French,Russian,ExampleFrench,ExampleRussian,Emoji
un loto,лотерея,"Jouer au <b>loto</b>.","Играть в <b>лотерею</b>.",🎰
une guêpe,оса,"Une piqûre de <b>guêpe</b>.","Укус <b>осы</b>.",🐝
un aplomb,апломб,"Avec <b>aplomb</b>.","С <b>апломбом</b>.",😎
une amande,миндаль,"Une <b>amande</b> grillée.","Жареный <b>миндаль</b>.",🥜
passionnément,страстно,"Aimer <b>passionnément</b>.","<b>Страстно</b> любить.",❤️‍🔥
une horde,орда,"Une <b>horde</b> de barbares.","<b>Орда</b> варваров.",⚔️
une vanne,задвижка,"Fermer la <b>vanne</b>.","Закрыть <b>задвижку</b>.",🔧
"insouciant, insouciante",беззаботный,"Un enfant <b>insouciant</b>.","<b>Беззаботный</b> ребёнок.",😊
athlète,атлет,"Un <b>athlète</b> professionnel.","Профессиональный <b>атлет</b>.",🏃
une justesse,точность,"Avec <b>justesse</b>.","С <b>точностью</b>.",🎯
"vertigineux, vertigineuse",головокружительный,"Une hauteur <b>vertigineuse</b>.","<b>Головокружительная</b> высота.",🏔️
altérer,искажать,"<b>Altérer</b> la vérité.","<b>Искажать</b> правду.",🤥
convier,приглашать,"<b>Convier</b> des amis.","<b>Пригласить</b> друзей.",📨
purger,очищать,"<b>Purger</b> une peine.","<b>Отбывать</b> наказание.",⚖️
un brigand,разбойник,"Un <b>brigand</b> dangereux.","Опасный <b>разбойник</b>.",🦹
une obéissance,послушание,"Une <b>obéissance</b> aveugle.","Слепое <b>послушание</b>.",🐕
relâche,перерыв,"Sans <b>relâche</b>.","Без <b>передышки</b>.",⏰
une interdiction,запрет,"Une <b>interdiction</b> de fumer.","<b>Запрет</b> на курение.",🚭
une lucarne,слуховое окно,"Une <b>lucarne</b> sur le toit.","<b>Слуховое окно</b> на крыше.",🪟
un ranch,ранчо,"Un <b>ranch</b> au Texas.","<b>Ранчо</b> в Техасе.",🤠
glauque,мрачный,"Un endroit <b>glauque</b>.","<b>Мрачное</b> место.",😨
peloter,лапать,"<b>Peloter</b> quelqu'un.","<b>Лапать</b> кого-то.",🙈
une détonation,взрыв,"Une <b>détonation</b> assourdissante.","Оглушительный <b>взрыв</b>.",💥
meubler,обставлять,"<b>Meubler</b> un appartement.","<b>Обставить</b> квартиру.",🛋️
pupille,зрачок,"La <b>pupille</b> de l'œil.","<b>Зрачок</b> глаза.",👁️
bégayer,заикаться,"<b>Bégayer</b> de peur.","<b>Заикаться</b> от страха.",🗣️
une glaise,глина,"Une terre de <b>glaise</b>.","<b>Глинистая</b> почва.",🏺
une posture,поза,"Une <b>posture</b> défensive.","Оборонительная <b>поза</b>.",🧘
un archevêque,архиепископ,"L'<b>archevêque</b> de Paris.","<b>Архиепископ</b> Парижа.",⛪
arborer,красоваться,"<b>Arborer</b> un sourire.","<b>Красоваться</b> улыбкой.",😊
"humiliant, humiliante",унизительный,"Une défaite <b>humiliante</b>.","<b>Унизительное</b> поражение.",😔
un duvet,пух,"Un <b>duvet</b> d'oie.","Гусиный <b>пух</b>.",🪶
"vertueux, vertueuse",добродетельный,"Une vie <b>vertueuse</b>.","<b>Добродетельная</b> жизнь.",😇
une résignation,смирение,"Avec <b>résignation</b>.","Со <b>смирением</b>.",😔
"autrichien, autrichienne",австрийский,"La cuisine <b>autrichienne</b>.","<b>Австрийская</b> кухня.",🇦🇹
un jupon,нижняя юбка,"Un <b>jupon</b> de dentelle.","Кружевная <b>нижняя юбка</b>.",👗
un exposé,доклад,"Faire un <b>exposé</b>.","Сделать <b>доклад</b>.",📊
une contribution,вклад,"Une <b>contribution</b> importante.","Важный <b>вклад</b>.",👏
"établi, établie",установленный,"Une règle <b>établie</b>.","<b>Установленное</b> правило.",📋
publicitaire,рекламный,"Une campagne <b>publicitaire</b>.","<b>Рекламная</b> кампания.",📺
un oeillet,гвоздика,"Un <b>œillet</b> rouge.","Красная <b>гвоздика</b>.",🌸
une fanfare,духовой оркестр,"Une <b>fanfare</b> militaire.","Военный <b>духовой оркестр</b>.",🎺
une bassine,таз,"Une <b>bassine</b> d'eau.","<b>Таз</b> с водой.",🪣
timidement,робко,"Répondre <b>timidement</b>.","<b>Робко</b> отвечать.",😊
un ghetto,гетто,"Le <b>ghetto</b> de Varsovie.","Варшавское <b>гетто</b>.",🏚️
alentour,вокруг,"Les villages <b>alentour</b>.","Окрестные <b>деревни</b>.",🏘️
dévaliser,обчищать,"<b>Dévaliser</b> une banque.","<b>Обчистить</b> банк.",🏦
un gradé,военнослужащий,"Un <b>gradé</b> de l'armée.","Военный <b>чин</b>.",🎖️
"mesquin, mesquine",мелочный,"Un homme <b>mesquin</b>.","<b>Мелочный</b> человек.",😤
pulvériser,распылять,"<b>Pulvériser</b> un produit.","<b>Распылить</b> средство.",💨
stationner,парковаться,"<b>Stationner</b> sa voiture.","<b>Припарковать</b> машину.",🅿️
un protecteur,покровитель,"Un <b>protecteur</b> des arts.","<b>Покровитель</b> искусств.",🎨
un réfectoire,столовая,"Le <b>réfectoire</b> de l'école.","Школьная <b>столовая</b>.",🍽️
une cocotte,курочка; кастрюля,"Une <b>cocotte</b>-minute.","<b>Скороварка</b>.",🍲
cambrioler,совершать кражу,"<b>Cambrioler</b> une maison.","<b>Обворовать</b> дом.",🏠
stresser,стрессовать,"Ça me <b>stresse</b>.","Это меня <b>напрягает</b>.",😰
un ivoire,слоновая кость,"Un bracelet en <b>ivoire</b>.","Браслет из <b>слоновой кости</b>.",🐘
une épice,пряность,"Les <b>épices</b> orientales.","Восточные <b>пряности</b>.",🌶️
ruminer,пережёвывать,"<b>Ruminer</b> ses pensées.","<b>Пережёвывать</b> мысли.",🐄
embaumer,бальзамировать,"<b>Embaumer</b> un corps.","<b>Бальзамировать</b> тело.",⚰️
un kit,набор,"Un <b>kit</b> de survie.","<b>Набор</b> для выживания.",🎒
un frémissement,дрожь,"Un <b>frémissement</b> de peur.","<b>Дрожь</b> от страха.",😨
une bobine,катушка,"Une <b>bobine</b> de fil.","<b>Катушка</b> ниток.",🧵
désobéir,не слушаться,"<b>Désobéir</b> à ses parents.","<b>Не слушаться</b> родителей.",😤
"luxueux, luxueuse",роскошный,"Un hôtel <b>luxueux</b>.","<b>Роскошный</b> отель.",🏨
"imprudent, imprudente",неосторожный,"Un conducteur <b>imprudent</b>.","<b>Неосторожный</b> водитель.",🚗
assigner,назначать,"<b>Assigner</b> une tâche.","<b>Назначить</b> задачу.",📋
un débutant,новичок,"Un <b>débutant</b> en informatique.","<b>Новичок</b> в информатике.",💻
aigre,кислый,"Un goût <b>aigre</b>.","<b>Кислый</b> вкус.",🍋
une maille,петля,"Une <b>maille</b> du tricot.","<b>Петля</b> вязания.",🧶
aiguiser,точить,"<b>Aiguiser</b> un couteau.","<b>Точить</b> нож.",🔪
"surnaturel, surnaturelle",сверхъестественный,"Un pouvoir <b>surnaturel</b>.","<b>Сверхъестественная</b> сила.",✨
un consentement,согласие,"Donner son <b>consentement</b>.","Дать <b>согласие</b>.",✅
un réel,реальность,"Le <b>réel</b> et l'imaginaire.","<b>Реальность</b> и воображение.",🌍
une norme,норма,"Respecter les <b>normes</b>.","Соблюдать <b>нормы</b>.",📋
une obsèques,похороны,"Assister aux <b>obsèques</b>.","Присутствовать на <b>похоронах</b>.",⚰️
