French,Russian,ExampleFrench,ExampleRussian,Emoji
une menuisière,столярша,"La <b>menuisière</b> fabrique des meubles.","<b>Столяр</b> изготавливает мебель.",🪵
un homosexuel,гомосексуал,"Un <b>homosexuel</b> assumé.","Открытый <b>гомосексуал</b>.",🏳️‍🌈
une zézette,писька (детск.),"La <b>zézette</b> des filles.","<b>Писька</b> девочек.",👶
un limousin,лимузенец,"Le <b>limousin</b> est une race bovine.","<b>Лимузен</b> — порода коров.",🐄
est,восточный,"La côte <b>est</b>.","<b>Восточное</b> побережье.",🧭
permis,дозволенный,"C'est <b>permis</b> de fumer ici ?","<b>Разрешено</b> здесь курить?",✅
un merdeux,засранец (груб.),"Petit <b>merdeux</b> !","Маленький <b>засранец</b>!",🤬
un nul,ноль; бездарь,"C'est un <b>nul</b> en maths.","Он <b>ноль</b> в математике.",0️⃣
une artilleuse,артиллеристка,"L'<b>artilleuse</b> tire le canon.","<b>Артиллеристка</b> стреляет из пушки.",💥
svp,пожалуйста (сокр.),"Répondez <b>SVP</b>.","Ответьте, <b>пожалуйста</b>.",🙏
un communal,коммунальный (субст.),"Les <b>communaux</b> du village.","<b>Общинные земли</b> деревни.",🏘️
quatre-vingts,восемьдесят,"Il a <b>quatre-vingts</b> ans.","Ему <b>восемьдесят</b> лет.",8️⃣0️⃣
un noyé,утопленник,"On a retrouvé le <b>noyé</b>.","Нашли <b>утопленника</b>.",🌊
brochant,покрывающий (геральд.),"Un lion <b>brochant</b>.","<b>Покрывающий</b> лев.",🦁
une jenny,прядильная машина,"La <b>jenny</b> révolutionna le textile.","<b>Дженни</b> совершила революцию в текстиле.",🧵
une embrasse,подхват (шторы),"L'<b>embrasse</b> du rideau.","<b>Подхват</b> занавески.",🪟
une châsse,рака (мощей),"La <b>châsse</b> du saint.","<b>Рака</b> святого.",⛪
"bu, bue",выпитый,"Une bouteille <b>bue</b>.","<b>Выпитая</b> бутылка.",🍾
un jacques,мужик (устар.),"Le <b>Jacques</b> Bonhomme.","<b>Простолюдин</b>.",👤
un mamelon,сосок; холм,"Le <b>mamelon</b> du sein.","<b>Сосок</b> груди.",🏔️
une érection,эрекция,"Avoir une <b>érection</b>.","Иметь <b>эрекцию</b>.",🔬
un about,торец; наконечник,"L'<b>about</b> de la poutre.","<b>Торец</b> балки.",🪵
une seigneurie,сеньория,"La <b>seigneurie</b> du château.","<b>Сеньория</b> замка.",🏰
un sourd,глухой (субст.),"Parler aux <b>sourds</b>.","Говорить <b>глухим</b>.",🧏
une arquebuse,аркебуза,"L'<b>arquebuse</b> est une arme.","<b>Аркебуза</b> — оружие.",🔫
un tué,убитый (субст.),"Les <b>tués</b> de la guerre.","<b>Погибшие</b> на войне.",🪖
