French,Russian,ExampleFrench,ExampleRussian,Emoji
un poteau,столб,"Un <b>poteau</b> électrique.","Электрический <b>столб</b>.",⚡
une tôle,жесть,"Une <b>tôle</b> ondulée.","Гофрированная <b>жесть</b>.",🔩
une générosité,щедрость,"Une grande <b>générosité</b>.","Большая <b>щедрость</b>.",🎁
un leader,лидер,"Le <b>leader</b> du groupe.","<b>Лидер</b> группы.",👑
un prestige,престиж,"Le <b>prestige</b> de la marque.","<b>Престиж</b> бренда.",✨
une mécanique,механика,"La <b>mécanique</b> auto.","Авто<b>механика</b>.",🔧
une pâtisserie,кондитерская,"Une <b>pâtisserie</b> française.","Французская <b>кондитерская</b>.",🧁
"policier, policière",полицейский (прил.),"Un roman <b>policier</b>.","<b>Детективный</b> роман.",🕵️
secondaire,второстепенный,"Un rôle <b>secondaire</b>.","<b>Второстепенная</b> роль.",2️⃣
comique,комичный,"Une situation <b>comique</b>.","<b>Комичная</b> ситуация.",😂
instruire,обучать,"<b>Instruire</b> les enfants.","<b>Обучать</b> детей.",📚
un fourgon,фургон,"Un <b>fourgon</b> de police.","Полицейский <b>фургон</b>.",🚐
un pétard,петарда,"Allumer un <b>pétard</b>.","Зажечь <b>петарду</b>.",🧨
"primitif, primitive",примитивный,"Un art <b>primitif</b>.","<b>Примитивное</b> искусство.",🎨
"cérébral, cérébrale",мозговой,"Une activité <b>cérébrale</b>.","<b>Мозговая</b> активность.",🧠
"chiant, chiante",надоедливый (разг.),"C'est <b>chiant</b>.","Это <b>достало</b>.",😤
une mouette,чайка,"Une <b>mouette</b> blanche.","Белая <b>чайка</b>.",🦅
une pyramide,пирамида,"La <b>pyramide</b> de Khéops.","<b>Пирамида</b> Хеопса.",🔺
un lézard,ящерица,"Un <b>lézard</b> au soleil.","<b>Ящерица</b> на солнце.",🦎
une berge,берег реки,"La <b>berge</b> de la Seine.","<b>Берег</b> Сены.",🏞️
étrangement,странно,"<b>Étrangement</b> silencieux.","<b>Странно</b> тихо.",🤨
une sûreté,безопасность,"La <b>sûreté</b> nationale.","Национальная <b>безопасность</b>.",🔒
savourer,смаковать,"<b>Savourer</b> un bon repas.","<b>Смаковать</b> хороший обед.",😋
un coucher,закат,"Le <b>coucher</b> du soleil.","<b>Закат</b> солнца.",🌅
un gagnant,победитель,"Le <b>gagnant</b> du concours.","<b>Победитель</b> конкурса.",🏆
un dealer,дилер,"Un <b>dealer</b> de drogue.","Наркодилер.",💊
une mallette,портфель,"Une <b>mallette</b> de médecin.","<b>Чемоданчик</b> врача.",💼
un talus,откос,"Un <b>talus</b> herbeux.","Травянистый <b>откос</b>.",🏔️
"oriental, orientale",восточный,"La cuisine <b>orientale</b>.","<b>Восточная</b> кухня.",🍜
un local,помещение,"Un <b>local</b> commercial.","Коммерческое <b>помещение</b>.",🏢
"éventuel, éventuelle",возможный,"Un problème <b>éventuel</b>.","<b>Возможная</b> проблема.",❓
copier,копировать,"<b>Copier</b> un document.","<b>Скопировать</b> документ.",📋
une communion,причастие,"La première <b>communion</b>.","Первое <b>причастие</b>.",⛪
une option,опция,"Une <b>option</b> supplémentaire.","Дополнительная <b>опция</b>.",☑️
une condoléance,соболезнование,"Présenter ses <b>condoléances</b>.","Выразить <b>соболезнования</b>.",🕯️
une étreinte,объятие,"Une <b>étreinte</b> chaleureuse.","Тёплое <b>объятие</b>.",🤗
une clairière,поляна,"Une <b>clairière</b> ensoleillée.","Солнечная <b>поляна</b>.",🌳
une traversée,переход,"La <b>traversée</b> de l'Atlantique.","<b>Переход</b> через Атлантику.",🚢
un scotch,скотч; виски,"Un verre de <b>scotch</b>.","Стакан <b>виски</b>.",🥃
un savant,учёный,"Un grand <b>savant</b>.","Великий <b>учёный</b>.",👨‍🔬
une thérapie,терапия,"Une <b>thérapie</b> de groupe.","Групповая <b>терапия</b>.",🧠
repentir,раскаиваться,"Se <b>repentir</b> de ses péchés.","<b>Раскаиваться</b> в грехах.",😔
impeccable,безупречный,"Un travail <b>impeccable</b>.","<b>Безупречная</b> работа.",✨
sordide,грязный,"Une affaire <b>sordide</b>.","<b>Грязное</b> дело.",🤢
louche,подозрительный,"Un type <b>louche</b>.","<b>Подозрительный</b> тип.",🤨
une réparation,ремонт,"Une <b>réparation</b> urgente.","Срочный <b>ремонт</b>.",🔧
blâmer,винить,"<b>Blâmer</b> quelqu'un.","<b>Винить</b> кого-то.",👆
un comédien,комедиант,"Un <b>comédien</b> talentueux.","Талантливый <b>актёр</b>.",🎭
