French,Russian,ExampleFrench,ExampleRussian,Emoji
un e,буква Е,"Le mot finit par un <b>e</b> muet.","Слово заканчивается на немую <b>е</b>.",🔤
un mieux,лучшее; улучшение,"Faute de <b>mieux</b>, on reste ici.","За неимением <b>лучшего</b>, останемся здесь.",📈
un beau,красавец,"C'est un <b>beau</b>, ce gars.","Этот парень — <b>красавец</b>.",😎
ben,ну (разг.),"<b>Ben</b> oui, c'est comme ça !","<b>Ну</b> да, так и есть!",🤷
un américain,американец,"Mon voisin est <b>américain</b>.","Мой сосед — <b>американец</b>.",🇺🇸
celle-ci,эта (вот эта),"<b>Celle-ci</b> est plus jolie.","<b>Эта</b> красивее.",👆
"sur, sure","кислый; уверенный","Le citron est <b>sur</b>.","Лимон <b>кислый</b>.",🍋
super,супер; отлично,"C'est <b>super</b> !","Это <b>супер</b>!",🌟
un dire,высказывание,"Selon ses <b>dires</b>, il était absent.","По его <b>словам</b>, он отсутствовал.",💬
parfaire,совершенствовать,"Il veut <b>parfaire</b> son français.","Он хочет <b>усовершенствовать</b> свой французский.",✨
faillir,чуть не (сделать),"J'ai <b>failli</b> tomber.","Я <b>чуть не</b> упал.",😅
un franc,франк (валюта),"Ça coûtait dix <b>francs</b>.","Это стоило десять <b>франков</b>.",💰
"arrivé, arrivée",прибывший,"Le train est <b>arrivé</b>.","Поезд <b>прибыл</b>.",🚂
un public,публика; аудитория,"Le <b>public</b> a applaudi.","<b>Публика</b> аплодировала.",👥
celle-là,та (вон та),"<b>Celle-là</b> est meilleure.","<b>Та</b> лучше.",👆
trente,тридцать,"Il a <b>trente</b> ans.","Ему <b>тридцать</b> лет.",3️⃣0️⃣
un artiste,артист; художник,"C'est un grand <b>artiste</b>.","Это великий <b>художник</b>.",🎨
"vu, vue",виденный; учитывая,"<b>Vu</b> les circonstances, j'accepte.","<b>Учитывая</b> обстоятельства, я согласен.",👁️
quelles,какие (ж.р.),"<b>Quelles</b> sont tes idées ?","<b>Какие</b> у тебя идеи?",❓
un rat,крыса,"Il y a un <b>rat</b> dans la cave.","В подвале <b>крыса</b>.",🐀
peser,весить; взвешивать,"Combien tu <b>pèses</b> ?","Сколько ты <b>весишь</b>?",⚖️
une gloire,слава; величие,"La <b>gloire</b> est éphémère.","<b>Слава</b> мимолётна.",🏆
