French,Russian,ExampleFrench,ExampleRussian,Emoji
flâner,бродить; прогуливаться,"<b>Flâner</b> dans les rues.","<b>Бродить</b> по улицам.",🚶
un jockey,жокей,"Le <b>jockey</b> monte le cheval.","<b>Жокей</b> на лошади.",🏇
moisir,плесневеть; прозябать,"Le pain a <b>moisi</b>.","Хлеб <b>заплесневел</b>.",🍞
un hectare,гектар,"Un terrain de dix <b>hectares</b>.","Участок в десять <b>гектаров</b>.",🌾
"bronzé, bronzée",загорелый,"Une peau <b>bronzée</b>.","<b>Загорелая</b> кожа.",☀️
une conspiration,заговор,"Une <b>conspiration</b> secrète.","Тайный <b>заговор</b>.",🤫
affliger,огорчать; поражать,"Cette nouvelle m'<b>afflige</b>.","Эта новость меня <b>огорчает</b>.",😢
sommer,требовать; приказывать,"<b>Sommer</b> quelqu'un de partir.","<b>Потребовать</b>, чтобы кто-то ушёл.",⚠️
un bahut,комод; лицей (разг.),"Le <b>bahut</b> est fermé.","<b>Лицей</b> закрыт.",🏫
un parachute,парашют,"Sauter en <b>parachute</b>.","Прыгать с <b>парашютом</b>.",🪂
une recrue,новобранец,"Une nouvelle <b>recrue</b>.","Новый <b>новобранец</b>.",🎖️
une houle,зыбь; волнение,"La <b>houle</b> de l'océan.","<b>Зыбь</b> океана.",🌊
riposter,давать отпор,"<b>Riposter</b> à une attaque.","<b>Дать отпор</b> атаке.",⚔️
une chouette,сова,"La <b>chouette</b> hulule.","<b>Сова</b> ухает.",🦉
une froideur,холодность,"Accueillir avec <b>froideur</b>.","Встретить <b>холодно</b>.",❄️
une immensité,необъятность,"L'<b>immensité</b> de l'univers.","<b>Бесконечность</b> вселенной.",🌌
fouiner,рыться; совать нос,"<b>Fouiner</b> dans les affaires.","<b>Рыться</b> в делах.",🔍
une coulée,поток; отливка,"Une <b>coulée</b> de lave.","<b>Поток</b> лавы.",🌋
"bouclé, bouclée",кудрявый; завершённый,"Des cheveux <b>bouclés</b>.","<b>Кудрявые</b> волосы.",👩‍🦱
une mercerie,галантерея,"Acheter du fil à la <b>mercerie</b>.","Купить нитки в <b>галантерее</b>.",🧵
un ricanement,хихиканье; ухмылка,"Un <b>ricanement</b> moqueur.","Насмешливое <b>хихиканье</b>.",😏
"changé, changée",изменённый,"Un homme <b>changé</b>.","<b>Изменившийся</b> человек.",🔄
un reporter,репортёр,"Le <b>reporter</b> interviewe.","<b>Репортёр</b> берёт интервью.",📰
"vaincu, vaincue",побеждённый,"L'armée <b>vaincue</b>.","<b>Побеждённая</b> армия.",🏳️
informe,бесформенный,"Une masse <b>informe</b>.","<b>Бесформенная</b> масса.",🫠
"insuffisant, insuffisante",недостаточный,"Un salaire <b>insuffisant</b>.","<b>Недостаточная</b> зарплата.",💸
une batte,бита,"Une <b>batte</b> de baseball.","Бейсбольная <b>бита</b>.",🏏
ouvertement,открыто,"Parler <b>ouvertement</b>.","Говорить <b>открыто</b>.",🗣️
"qualifié, qualifiée",квалифицированный,"Un ouvrier <b>qualifié</b>.","<b>Квалифицированный</b> рабочий.",👷
trôner,восседать; красоваться,"Le vase <b>trône</b> sur la table.","Ваза <b>красуется</b> на столе.",👑
un entonnoir,воронка,"Verser avec un <b>entonnoir</b>.","Наливать через <b>воронку</b>.",🔻
"piquant, piquante",острый; колючий,"Une sauce <b>piquante</b>.","<b>Острый</b> соус.",🌶️
