French,Russian,ExampleFrench,ExampleRussian,Emoji
un cargo,грузовое судно,"Un <b>cargo</b> maritime.","Морской <b>грузовоз</b>.",🚢
"souffrant, souffrante",страдающий,"Une personne <b>souffrante</b>.","<b>Страдающий</b> человек.",🤒
caser,пристраивать,"<b>Caser</b> les enfants.","<b>Пристроить</b> детей.",👨‍👩‍👧
un agenda,ежедневник,"Consulter son <b>agenda</b>.","Смотреть в <b>ежедневник</b>.",📒
une pancarte,плакат,"Une <b>pancarte</b> de protestation.","<b>Плакат</b> протеста.",📢
rigide,жёсткий,"Une règle <b>rigide</b>.","<b>Жёсткое</b> правило.",📏
une fiction,вымысел,"Une pure <b>fiction</b>.","Чистый <b>вымысел</b>.",📖
un imperméable,плащ,"Mettre son <b>imperméable</b>.","Надеть <b>плащ</b>.",🧥
un roulement,вращение,"Le <b>roulement</b> des tambours.","<b>Барабанная дробь</b>.",🥁
un armement,вооружение,"L'<b>armement</b> nucléaire.","Ядерное <b>вооружение</b>.",🚀
assaillir,нападать,"<b>Assaillir</b> l'ennemi.","<b>Напасть</b> на врага.",⚔️
un vagabond,бродяга,"Un <b>vagabond</b> solitaire.","Одинокий <b>бродяга</b>.",🚶
articuler,артикулировать,"<b>Articuler</b> clairement.","<b>Чётко</b> произносить.",🗣️
une artère,артерия,"L'<b>artère</b> principale.","Главная <b>артерия</b>.",❤️
un stage,стажировка,"Faire un <b>stage</b>.","Проходить <b>стажировку</b>.",💼
une coopération,сотрудничество,"Une <b>coopération</b> internationale.","Международное <b>сотрудничество</b>.",🤝
une renaissance,возрождение,"La <b>Renaissance</b> italienne.","Итальянское <b>Возрождение</b>.",🎨
"attaché, attachée",привязанный,"Je suis <b>attaché</b> à lui.","Я <b>привязан</b> к нему.",❤️
un euro,евро,"Payer en <b>euros</b>.","Платить в <b>евро</b>.",💶
acquitter,оправдывать,"<b>Acquitter</b> un accusé.","<b>Оправдать</b> обвиняемого.",⚖️
dense,плотный,"Une forêt <b>dense</b>.","<b>Густой</b> лес.",🌲
un étalage,витрина,"L'<b>étalage</b> d'un magasin.","<b>Витрина</b> магазина.",🛍️
"assassin, assassine",убийственный,"Un regard <b>assassin</b>.","<b>Убийственный</b> взгляд.",👀
une raie,скат; пробор,"Une <b>raie</b> dans les cheveux.","<b>Пробор</b> в волосах.",💇
un vaccin,вакцина,"Un <b>vaccin</b> contre la grippe.","<b>Вакцина</b> от гриппа.",💉
transpercer,пронзать,"<b>Transpercer</b> le cœur.","<b>Пронзить</b> сердце.",🗡️
ravager,опустошать,"<b>Ravager</b> une ville.","<b>Опустошить</b> город.",💥
un chignon,пучок,"Faire un <b>chignon</b>.","Сделать <b>пучок</b>.",💇‍♀️
un parage,окрестность,"Dans les <b>parages</b>.","В <b>окрестностях</b>.",📍
une légèreté,лёгкость,"Avec <b>légèreté</b>.","С <b>лёгкостью</b>.",🪶
un contraste,контраст,"Un <b>contraste</b> saisissant.","Поразительный <b>контраст</b>.",⬜
un étalon,жеребец,"Un bel <b>étalon</b>.","Красивый <b>жеребец</b>.",🐎
un gus,парень (разг.),"Un drôle de <b>gus</b>.","Странный <b>парень</b>.",👤
pleurnicher,хныкать,"Arrête de <b>pleurnicher</b>.","Хватит <b>хныкать</b>.",😢
un marron,каштан,"Un <b>marron</b> chaud.","Горячий <b>каштан</b>.",🌰
desserrer,ослаблять,"<b>Desserrer</b> sa cravate.","<b>Ослабить</b> галстук.",👔
"trempé, trempée",промокший,"Je suis <b>trempé</b>.","Я <b>промок насквозь</b>.",🌧️
un manager,менеджер,"Un bon <b>manager</b>.","Хороший <b>менеджер</b>.",👔
un chalet,шале,"Un <b>chalet</b> de montagne.","Горное <b>шале</b>.",🏔️
vache,жестокий (разг.),"C'est <b>vache</b> !","Это <b>жестоко</b>!",😤
une dynamite,динамит,"Une bâton de <b>dynamite</b>.","Палка <b>динамита</b>.",💣
frire,жарить,"<b>Frire</b> des pommes de terre.","<b>Жарить</b> картошку.",🍟
trafiquer,жульничать,"<b>Trafiquer</b> les comptes.","<b>Подделывать</b> счета.",📊
une définition,определение,"Une <b>définition</b> précise.","Точное <b>определение</b>.",📖
une tactique,тактика,"Une <b>tactique</b> militaire.","Военная <b>тактика</b>.",🎯
"tenu, tenue",обязанный,"Être <b>tenu</b> de payer.","Быть <b>обязанным</b> платить.",📋
dégringoler,скатываться,"<b>Dégringoler</b> les escaliers.","<b>Скатиться</b> с лестницы.",🎢
impatienter,раздражать,"Ça m'<b>impatiente</b>.","Это меня <b>раздражает</b>.",😤
un platane,платан,"Un vieux <b>platane</b>.","Старый <b>платан</b>.",🌳
une figue,инжир,"Une <b>figue</b> mûre.","Спелый <b>инжир</b>.",🍇
un supporter,болельщик,"Un <b>supporter</b> passionné.","Страстный <b>болельщик</b>.",⚽
temporaire,временный,"Un emploi <b>temporaire</b>.","<b>Временная</b> работа.",⏰
angoisser,тревожить,"Ça m'<b>angoisse</b>.","Это меня <b>тревожит</b>.",😰
conter,рассказывать,"<b>Conter</b> une histoire.","<b>Рассказать</b> историю.",📖
fleuriste,флорист,"Un <b>fleuriste</b> talentueux.","Талантливый <b>флорист</b>.",💐
une paie,зарплата,"Recevoir sa <b>paie</b>.","Получить <b>зарплату</b>.",💵
"tout-puissant, toute-puissante",всемогущий,"Un dieu <b>tout-puissant</b>.","<b>Всемогущий</b> бог.",👑
un protocole,протокол,"Le <b>protocole</b> diplomatique.","Дипломатический <b>протокол</b>.",📜
une prétention,претензия,"Sans <b>prétention</b>.","Без <b>претензий</b>.",🙂
une averse,ливень,"Une <b>averse</b> soudaine.","Внезапный <b>ливень</b>.",🌧️
une écorce,кора,"L'<b>écorce</b> d'un arbre.","<b>Кора</b> дерева.",🌲
un autographe,автограф,"Demander un <b>autographe</b>.","Попросить <b>автограф</b>.",✍️
un distributeur,автомат,"Un <b>distributeur</b> de billets.","<b>Банкомат</b>.",🏧
"sucré, sucrée",сладкий,"Un dessert <b>sucré</b>.","<b>Сладкий</b> десерт.",🍰
"affamé, affamée",голодный,"Un loup <b>affamé</b>.","<b>Голодный</b> волк.",🐺
"imminent, imminente",неминуемый,"Un danger <b>imminent</b>.","<b>Неминуемая</b> опасность.",⚠️
un mat,мат (шахм.),"Faire <b>mat</b>.","Поставить <b>мат</b>.",♟️
une tapisserie,гобелен,"Une <b>tapisserie</b> ancienne.","Старинный <b>гобелен</b>.",🖼️
une bordure,бордюр,"La <b>bordure</b> du trottoir.","<b>Бордюр</b> тротуара.",🛣️
une dureté,жёсткость,"La <b>dureté</b> du métal.","<b>Твёрдость</b> металла.",💎
une torpeur,оцепенение,"Une <b>torpeur</b> estivale.","Летнее <b>оцепенение</b>.",😴
une arnaque,афера,"Quelle <b>arnaque</b> !","Какая <b>афера</b>!",🤥
une résurrection,воскрешение,"La <b>résurrection</b> du Christ.","<b>Воскрешение</b> Христа.",⛪
dégonfler,сдуваться,"Le ballon se <b>dégonfle</b>.","Мяч <b>сдувается</b>.",🎈
une serre,теплица,"Cultiver en <b>serre</b>.","Выращивать в <b>теплице</b>.",🌱
préférable,предпочтительный,"C'est <b>préférable</b>.","Это <b>предпочтительнее</b>.",👍
racler,скрести,"<b>Racler</b> le fond.","<b>Скрести</b> по дну.",🥄
"fâcheux, fâcheuse",досадный,"Un incident <b>fâcheux</b>.","<b>Досадный</b> инцидент.",😕
"monumental, monumentale",монументальный,"Une œuvre <b>monumentale</b>.","<b>Монументальное</b> произведение.",🏛️
repeindre,перекрашивать,"<b>Repeindre</b> les murs.","<b>Перекрасить</b> стены.",🎨
gober,глотать,"<b>Gober</b> un œuf.","<b>Проглотить</b> яйцо.",🥚
un maudit,проклятый,"Un <b>maudit</b> problème.","<b>Проклятая</b> проблема.",😤
une pogne,рука (разг.),"Avoir de la <b>pogne</b>.","Иметь <b>крепкую хватку</b>.",✊
une relève,смена,"La <b>relève</b> de la garde.","<b>Смена</b> караула.",💂
un lourd,увалень,"Un vrai <b>lourd</b>.","Настоящий <b>увалень</b>.",🐻
une cacahuète,арахис,"Manger des <b>cacahuètes</b>.","Есть <b>арахис</b>.",🥜
