French,Russian,ExampleFrench,ExampleRussian,Emoji
un gentleman,джентльмен,"Un vrai <b>gentleman</b>.","Настоящий <b>джентльмен</b>.",🎩
"loyal, loyale",верный,"Un ami <b>loyal</b>.","<b>Верный</b> друг.",🤝
une convention,конвенция,"Une <b>convention</b> internationale.","Международная <b>конвенция</b>.",📋
un calendrier,календарь,"Regarder le <b>calendrier</b>.","Смотреть <b>календарь</b>.",📅
grincer,скрипеть,"La porte <b>grince</b>.","Дверь <b>скрипит</b>.",🚪
une nuance,оттенок,"Une <b>nuance</b> de bleu.","<b>Оттенок</b> синего.",🎨
"couché, couchée",лежащий,"Le soleil <b>couché</b>.","<b>Закат</b> солнца.",🌅
un exemplaire,экземпляр,"Un <b>exemplaire</b> rare.","Редкий <b>экземпляр</b>.",📕
indigne,недостойный,"Un comportement <b>indigne</b>.","<b>Недостойное</b> поведение.",😤
une récolte,урожай,"La <b>récolte</b> du blé.","<b>Урожай</b> пшеницы.",🌾
"poli, polie",вежливый,"Sois <b>poli</b>.","Будь <b>вежливым</b>.",🙂
"animal, animale",животный,"L'instinct <b>animal</b>.","<b>Животный</b> инстинкт.",🐾
un orteil,палец ноги,"Se cogner l'<b>orteil</b>.","Ушибить <b>палец</b> ноги.",🦶
"capital, capitale",главный,"Une erreur <b>capitale</b>.","<b>Главная</b> ошибка.",❗
un compartiment,купе,"Le <b>compartiment</b> du train.","<b>Купе</b> поезда.",🚂
une consigne,инструкция,"Suivre les <b>consignes</b>.","Следовать <b>инструкциям</b>.",📋
frissonner,дрожать,"<b>Frissonner</b> de froid.","<b>Дрожать</b> от холода.",🥶
un toubib,врач (разг.),"Appelle le <b>toubib</b>.","Позвони <b>врачу</b>.",👨‍⚕️
une démonstration,демонстрация,"Une <b>démonstration</b> de force.","<b>Демонстрация</b> силы.",💪
élancer,устремляться,"S'<b>élancer</b> en avant.","<b>Устремиться</b> вперёд.",🏃
"apparent, apparente",видимый,"Sans raison <b>apparente</b>.","Без <b>видимой</b> причины.",👀
un raisin,виноград,"Une grappe de <b>raisins</b>.","Гроздь <b>винограда</b>.",🍇
patienter,терпеливо ждать,"Veuillez <b>patienter</b>.","Пожалуйста, <b>подождите</b>.",⏳
contrairement,вопреки,"<b>Contrairement</b> à toi.","<b>Вопреки</b> тебе.",↔️
droguer,накачивать наркотиками,"On l'a <b>drogué</b>.","Его <b>накачали</b> наркотиками.",💊
indigner,возмущать,"Ça m'<b>indigne</b>.","Это меня <b>возмущает</b>.",😠
une culpabilité,вина,"Un sentiment de <b>culpabilité</b>.","Чувство <b>вины</b>.",😔
une injure,оскорбление,"Lancer des <b>injures</b>.","Бросать <b>оскорбления</b>.",🗣️
une survie,выживание,"Un instinct de <b>survie</b>.","Инстинкт <b>выживания</b>.",💪
une abeille,пчела,"Une <b>abeille</b> butine.","<b>Пчела</b> собирает нектар.",🐝
"cru, crue",сырой,"Un légume <b>cru</b>.","<b>Сырой</b> овощ.",🥕
un alibi,алиби,"Avoir un <b>alibi</b>.","Иметь <b>алиби</b>.",🔍
notamment,в частности,"<b>Notamment</b> en France.","<b>В частности</b> во Франции.",📌
dérisoire,ничтожный,"Une somme <b>dérisoire</b>.","<b>Ничтожная</b> сумма.",💸
une épave,обломки,"L'<b>épave</b> du navire.","<b>Обломки</b> корабля.",🚢
"obligé, obligée",обязанный,"Je suis <b>obligé</b>.","Я <b>обязан</b>.",✋
une ivresse,опьянение,"L'<b>ivresse</b> du pouvoir.","<b>Опьянение</b> властью.",🍷
une altesse,высочество,"Son <b>Altesse</b> royale.","Его королевское <b>высочество</b>.",👑
un budget,бюджет,"Respecter le <b>budget</b>.","Соблюдать <b>бюджет</b>.",💰
une mule,мул,"Têtu comme une <b>mule</b>.","Упрямый как <b>осёл</b>.",🫏
une composition,сочинение,"Une <b>composition</b> musicale.","Музыкальное <b>сочинение</b>.",🎵
"écrit, écrite",письменный,"Un examen <b>écrit</b>.","<b>Письменный</b> экзамен.",📝
un infini,бесконечность,"À l'<b>infini</b>.","До <b>бесконечности</b>.",♾️
une injustice,несправедливость,"Une <b>injustice</b> flagrante.","Вопиющая <b>несправедливость</b>.",⚖️
une logique,логика,"C'est <b>logique</b>.","Это <b>логично</b>.",🧠
"infernal, infernale",адский,"Un bruit <b>infernal</b>.","<b>Адский</b> шум.",🔥
machinalement,машинально,"Répondre <b>machinalement</b>.","Отвечать <b>машинально</b>.",🤖
enrichir,обогащать,"<b>Enrichir</b> son vocabulaire.","<b>Обогатить</b> словарный запас.",📚
"fâché, fâchée",рассерженный,"Je suis <b>fâché</b>.","Я <b>рассержен</b>.",😠
raisonner,рассуждать,"<b>Raisonne</b> un peu.","<b>Подумай</b> немного.",🤔
un intervalle,интервал,"Un <b>intervalle</b> de temps.","<b>Промежуток</b> времени.",⏱️
un cliché,клише,"Un <b>cliché</b> banal.","Банальное <b>клише</b>.",📸
insolite,необычный,"Une situation <b>insolite</b>.","<b>Необычная</b> ситуация.",🤨
récolter,собирать урожай,"<b>Récolter</b> les fruits.","<b>Собирать</b> урожай.",🧺
gaspiller,транжирить,"<b>Gaspiller</b> l'argent.","<b>Транжирить</b> деньги.",💸
récompenser,вознаграждать,"<b>Récompenser</b> un effort.","<b>Вознаградить</b> за усилие.",🏅
"savant, savante",учёный (прил.),"Un homme <b>savant</b>.","<b>Учёный</b> человек.",🎓
épier,подглядывать,"<b>Épier</b> par la fenêtre.","<b>Подглядывать</b> в окно.",👀
un tourment,мучение,"Un <b>tourment</b> sans fin.","Бесконечное <b>мучение</b>.",😫
mélancolique,меланхоличный,"Un air <b>mélancolique</b>.","<b>Меланхоличный</b> вид.",😔
"allumé, allumée",включённый,"La lumière est <b>allumée</b>.","Свет <b>включён</b>.",💡
un pansement,повязка,"Mettre un <b>pansement</b>.","Наложить <b>повязку</b>.",🩹
une concentration,концентрация,"Une grande <b>concentration</b>.","Высокая <b>концентрация</b>.",🎯
égorger,резать горло,"<b>Égorger</b> un mouton.","<b>Зарезать</b> барана.",🐑
"occidental, occidentale",западный,"La culture <b>occidentale</b>.","<b>Западная</b> культура.",🌍
un entrepôt,склад,"Un <b>entrepôt</b> de marchandises.","<b>Склад</b> товаров.",🏭
couronner,короновать,"<b>Couronner</b> le roi.","<b>Короновать</b> короля.",👑
un parrain,крёстный отец,"Mon <b>parrain</b> de baptême.","Мой <b>крёстный</b>.",👨
une description,описание,"Une <b>description</b> détaillée.","Подробное <b>описание</b>.",📝
une corbeille,корзина,"Une <b>corbeille</b> de fruits.","<b>Корзина</b> фруктов.",🧺
un tabouret,табурет,"Assieds-toi sur le <b>tabouret</b>.","Сядь на <b>табурет</b>.",🪑
un requin,акула,"Un <b>requin</b> blanc.","Белая <b>акула</b>.",🦈
une écurie,конюшня,"Nettoyer l'<b>écurie</b>.","Чистить <b>конюшню</b>.",🐴
invoquer,взывать,"<b>Invoquer</b> les dieux.","<b>Взывать</b> к богам.",🙏
déchiffrer,расшифровывать,"<b>Déchiffrer</b> un code.","<b>Расшифровать</b> код.",🔐
un sous-marin,подводная лодка,"Un <b>sous-marin</b> nucléaire.","Ядерная <b>подводная лодка</b>.",🚢
exaspérer,выводить из себя,"Tu m'<b>exaspères</b>.","Ты меня <b>выводишь из себя</b>.",😤
redire,повторять,"Je n'ai rien à <b>redire</b>.","Мне <b>нечего возразить</b>.",💬
