French,Russian,ExampleFrench,ExampleRussian,Emoji
prosit,прозит! будем!,<b>Prosit</b> !,<b>Прозит</b>!,🍻
pschitt,пшшш! (газировка),<b>Pschitt</b> ! La canette s'ouvre.,<b>Пшшш</b>! Банка открывается.,🥤
houhou,ау! эй!,"""<b>Houhou</b>, il y a quelqu'un ?""","<b>Ау</b>, есть кто?""",👋
nulles,никакие (ж.р.),<b>Nulles</b> chances.,<b>Никаких</b> шансов.,🚫
youp,оп!,<b>Youp</b> ! En avant !,<b>Оп</b>! Вперёд!,🎉
badaboum,бадабум! (грохот),<b>Badaboum</b> ! Tout est tombé.,<b>Бадабум</b>! Всё упало.,💥
vroum,врум! (мотор),<b>Vroum vroum</b> ! La voiture.,<b>Врум-врум</b>! Машина.,🚗
inch allah,иншалла (если Бог захочет),"<b>Inch Allah</b>, ça ira.","<b>Иншалла</b>, всё будет хорошо.",🙏
hurrah,ура!,<b>Hurrah</b> ! On a gagné !,<b>Ура</b>! Мы победили!,🎉
hare,аре! (воскл.),<b>Haré</b> krishna.,<b>Харе</b> кришна.,🙏
houlà,ого! ого-го!,"<b>Houlà</b>, attention !","<b>Ого</b>, осторожно!",😮
damned,чёрт! (англ.),<b>Damned</b> !,<b>Чёрт</b>!,😠
siennes,свои (её),Ce sont les <b>siennes</b>.,Это <b>её</b>.,👆
taratata,та-ра-та-та,"<b>Taratata</b>, pas d'excuses !","<b>Та-ра-та</b>, без отговорок!",🙅
niet,нет (рус.),"<b>Niet</b>, c'est non.",<b>Нет</b> — это нет.,🚫
quelqu'une,кто-нибудь (ж.р.),<b>Quelqu'une</b> peut m'aider ?,<b>Кто-нибудь</b> может помочь?,👩
dig,диг! (звук),<b>Dig ding</b> ! La sonnette.,<b>Динь-динь</b>! Звонок.,🔔
splash,плюх! всплеск!,<b>Splash</b> ! dans la piscine.,<b>Плюх</b>! в бассейн.,💦
pst,псст! эй!,<b>Pst</b> ! Viens ici.,<b>Псст</b>! Иди сюда.,🤫
balpeau,фигушки! (арго),<b>Balpeau</b> ! Tu n'auras rien.,<b>Фигушки</b>! Ничего не получишь.,🙅
patatras,бабах! (падение),<b>Patatras</b> ! Tout s'écroule.,<b>Бабах</b>! Всё рухнуло.,💥
snif,хнык (плач),"<b>Snif snif</b>, c'est triste.","<b>Хнык-хнык</b>, это грустно.",😢
tiennes,твои (ж.р.),Ce sont les <b>tiennes</b>.,Это <b>твои</b>.,👆
jusqu'au,до (м.р. + гласная),<b>Jusqu'au</b> bout.,<b>До</b> конца.,🎯
pouh,фу! тьфу!,"<b>Pouh</b>, ça pue !","<b>Фу</b>, воняет!",🤢
vlouf,бульк! (вода),<b>Vlouf</b> ! dans l'eau.,<b>Бульк</b>! в воду.,💧
sniff,хнык (сопли),"<b>Sniff</b>, j'ai froid.","<b>Хнык</b>, мне холодно.",🤧
oust,брысь! кыш!,<b>Oust</b> ! Dehors !,<b>Брысь</b>! Вон!,👉
vroom,врум! (мотор),<b>Vroom</b> ! La moto démarre.,<b>Врум</b>! Мотоцикл заводится.,🏍️
vôtres,ваши,Ce sont les <b>vôtres</b>.,Это <b>ваши</b>.,👆
tchin tchin,чин-чин! (тост),<b>Tchin tchin</b> !,<b>Чин-чин</b>!,🥂
atchoum,апчхи!,<b>Atchoum</b> ! À tes souhaits.,<b>Апчхи</b>! Будь здоров.,🤧
nôtres,наши,Ce sont les <b>nôtres</b>.,Это <b>наши</b>.,👆
pouic,пик! (писк),<b>Pouic pouic</b> ! fait la souris.,<b>Пик-пик</b>! пищит мышь.,🐭
hi-han,иа! (осёл),<b>Hi-han</b> ! brait l'âne.,<b>Иа</b>! ревёт осёл.,🫏
flop,хлоп! провал!,"<b>Flop</b>, le film est un échec.","<b>Флоп</b>, фильм провалился.",📉
à l'instar,по примеру; подобно,<b>À l'instar</b> de son père.,<b>По примеру</b> своего отца.,👨‍👦
gna gna,бу-бу-бу (нытьё),"<b>Gna gna gna</b>, arrête de pleurer !","<b>Бу-бу-бу</b>, хватит ныть!",😤
hem,гм; хм,"<b>Hem</b>, je réfléchis.","<b>Гм</b>, я думаю.",🤔
pin-pon,пин-пон (сирена),<b>Pin-pon pin-pon</b> ! Les pompiers.,<b>Пин-пон</b>! Пожарные.,🚒
prout,пук! пердёж,<b>Prout</b> ! Oh pardon !,"<b>Пук</b>! Ой, простите!",💨
tchin-tchin,чин-чин! (тост),"<b>Tchin-tchin</b>, à ta santé !","<b>Чин-чин</b>, за твоё здоровье!",🥂
cot cot codec,ко-ко-ко (курица),<b>Cot cot codec</b> ! fait la poule.,<b>Ко-ко-ко</b>! кудахчет курица.,🐔
n',не (перед гласной),<b>N'</b>oublie pas !,<b>Не</b> забудь!,☝️
am stram gram,эники-беники,<b>Am stram gram</b>...,<b>Эники-беники</b>...,🎲
houp,оп-ля!,<b>Houp</b>-là !,<b>Оп-ля</b>!,🤸
clic-clac,щёлк-щёлк; клик-клак,"<b>Clic-clac</b>, le canapé.","<b>Клик-клак</b>, диван.",🛋️
psitt,псст! (оклик),<b>Psitt</b> ! Par ici !,<b>Псст</b>! Сюда!,🤫
