French,Russian,ExampleFrench,ExampleRussian,Emoji
une révolution,революция,"C'était une <b>révolution</b>.","Это была <b>революция</b>.",✊
un désert,пустыня,"Le <b>désert</b> du Sahara.","Пустыня <b>Сахара</b>.",🏜️
une fatigue,усталость,"J'ai une grande <b>fatigue</b>.","У меня сильная <b>усталость</b>.",😴
un journaliste,журналист,"Le <b>journaliste</b> m'a interviewé.","<b>Журналист</b> взял у меня интервью.",📰
une soif,жажда,"J'ai <b>soif</b>.","Я хочу <b>пить</b>.",💧
une réserve,запас; заповедник,"J'ai fait des <b>réserves</b>.","Я сделал <b>запасы</b>.",📦
un meuble,мебель,"J'ai acheté de nouveaux <b>meubles</b>.","Я купил новую <b>мебель</b>.",🪑
un navire,корабль,"Le <b>navire</b> a quitté le port.","<b>Корабль</b> покинул порт.",🚢
un gaz,газ,"Il y a une odeur de <b>gaz</b>.","Пахнет <b>газом</b>.",💨
conseiller,советовать,"Je te <b>conseille</b> de rester.","Я тебе <b>советую</b> остаться.",💬
"mystérieux, mystérieuse",таинственный,"C'est un homme <b>mystérieux</b>.","Это <b>таинственный</b> человек.",🔮
flotter,плавать (на поверхности),"Le bateau <b>flotte</b>.","Лодка <b>плывёт</b>.",🚤
ferme,твёрдый; непоколебимый,"Il a une voix <b>ferme</b>.","У него <b>твёрдый</b> голос.",💪
une plume,перо,"L'oiseau a perdu une <b>plume</b>.","Птица потеряла <b>перо</b>.",🪶
démarrer,заводить; стартовать,"La voiture ne veut pas <b>démarrer</b>.","Машина не хочет <b>заводиться</b>.",🚗
grimper,взбираться,"Je <b>grimpe</b> à l'arbre.","Я <b>забираюсь</b> на дерево.",🧗
"juif, juive",еврейский,"C'est une fête <b>juive</b>.","Это <b>еврейский</b> праздник.",✡️
punir,наказывать,"On l'a <b>puni</b>.","Его <b>наказали</b>.",⚖️
décrire,описывать,"<b>Décris</b>-moi la scène.","<b>Опиши</b> мне сцену.",📝
rejeter,отвергать,"Ils ont <b>rejeté</b> ma demande.","Они <b>отклонили</b> мою заявку.",🚫
un banc,скамейка,"Assieds-toi sur le <b>banc</b>.","Садись на <b>скамейку</b>.",🪑
"furieux, furieuse",разъярённый,"Il est <b>furieux</b>.","Он <b>в ярости</b>.",😡
un signal,сигнал,"Attends le <b>signal</b>.","Жди <b>сигнала</b>.",📡
"évident, évidente",очевидный,"C'est <b>évident</b>.","Это <b>очевидно</b>.",✅
"malin, maligne",хитрый; сметливый,"Tu es <b>malin</b> !","Ты <b>хитрый</b>!",🦊
un masque,маска,"Mets ton <b>masque</b>.","Надень <b>маску</b>.",😷
un canon,пушка; красавец (разг.),"Le <b>canon</b> a tiré.","<b>Пушка</b> выстрелила.",💥
"innocent, innocente",невинный,"Il est <b>innocent</b>.","Он <b>невиновен</b>.",😇
un cauchemar,кошмар,"J'ai fait un <b>cauchemar</b>.","Мне приснился <b>кошмар</b>.",😱
un vélo,велосипед,"Je fais du <b>vélo</b>.","Я катаюсь на <b>велосипеде</b>.",🚲
maigre,худой,"Il est très <b>maigre</b>.","Он очень <b>худой</b>.",🩻
désigner,обозначать; назначать,"Il m'a <b>désigné</b> comme chef.","Он <b>назначил</b> меня главным.",👉
une allure,вид; скорость,"Il a une drôle d'<b>allure</b>.","У него странный <b>вид</b>.",🚶
un échange,обмен,"C'est un <b>échange</b> équitable.","Это справедливый <b>обмен</b>.",🔄
régner,царить,"Le silence <b>règne</b>.","Царит <b>тишина</b>.",👑
un connard,козёл (груб.),"Quel <b>connard</b> !","Какой <b>козёл</b>!",😠
une épreuve,испытание,"C'est une dure <b>épreuve</b>.","Это тяжёлое <b>испытание</b>.",💪
un chocolat,шоколад,"J'adore le <b>chocolat</b>.","Я обожаю <b>шоколад</b>.",🍫
brave,храбрый; славный,"C'est un <b>brave</b> homme.","Это <b>славный</b> человек.",🦸
bravo,браво,"<b>Bravo</b> !","<b>Браво</b>!",👏
une clef,ключ,"J'ai perdu mes <b>clefs</b>.","Я потерял <b>ключи</b>.",🔑
éveiller,пробуждать,"Le bruit m'a <b>éveillé</b>.","Шум меня <b>разбудил</b>.",⏰
une promenade,прогулка,"Faisons une <b>promenade</b>.","Давай <b>прогуляемся</b>.",🚶
"fameux, fameuse",знаменитый,"C'est un <b>fameux</b> restaurant.","Это <b>знаменитый</b> ресторан.",⭐
envers,по отношению к,"Il est gentil <b>envers</b> moi.","Он добр <b>ко</b> мне.",🤝
