French,Russian,ExampleFrench,ExampleRussian,Emoji
désinvolte,непринуждённый,"Un ton <b>désinvolte</b>.","<b>Непринуждённый</b> тон.",😎
une aumône,милостыня,"Demander l'<b>aumône</b>.","Просить <b>милостыню</b>.",🙏
débouler,вваливаться,"<b>Débouler</b> dans la pièce.","<b>Ввалиться</b> в комнату.",🚪
un tourisme,туризм,"Le <b>tourisme</b> de masse.","Массовый <b>туризм</b>.",✈️
"inégal, inégale",неравный,"Une lutte <b>inégale</b>.","<b>Неравная</b> борьба.",⚔️
profiler,вырисовываться,"Se <b>profiler</b> à l'horizon.","<b>Вырисовываться</b> на горизонте.",🌅
une sauvagerie,дикость,"Une <b>sauvagerie</b> primitive.","Первобытная <b>дикость</b>.",🐺
"coquin, coquine",шаловливый,"Un regard <b>coquin</b>.","<b>Шаловливый</b> взгляд.",😏
un sondage,опрос,"Un <b>sondage</b> d'opinion.","<b>Опрос</b> общественного мнения.",📊
endosser,надевать,"<b>Endosser</b> un uniforme.","<b>Надеть</b> униформу.",👔
"accroupi, accroupie",присевший,"<b>Accroupi</b> derrière un buisson.","<b>Присевший</b> за кустом.",🌳
juvénile,юношеский,"Une énergie <b>juvénile</b>.","<b>Юношеская</b> энергия.",⚡
un émerveillement,восхищение,"Un <b>émerveillement</b> devant la nature.","<b>Восхищение</b> природой.",✨
"achevé, achevée",законченный,"Un travail <b>achevé</b>.","<b>Законченная</b> работа.",✅
un mime,мим,"Un <b>mime</b> silencieux.","Молчаливый <b>мим</b>.",🎭
une indiscrétion,нескромность,"Commettre une <b>indiscrétion</b>.","Совершить <b>нескромность</b>.",🤫
barricader,баррикадировать,"Se <b>barricader</b> chez soi.","<b>Забаррикадироваться</b> дома.",🏠
un antre,логово,"L'<b>antre</b> du dragon.","<b>Логово</b> дракона.",🐉
brièvement,кратко,"Répondre <b>brièvement</b>.","Ответить <b>кратко</b>.",📝
un rameau,ветвь,"Un <b>rameau</b> d'olivier.","<b>Оливковая</b> ветвь.",🌿
suave,сладостный,"Un parfum <b>suave</b>.","<b>Сладостный</b> аромат.",🌸
bafouer,попирать,"<b>Bafouer</b> les droits.","<b>Попирать</b> права.",🚫
chanceler,шататься,"<b>Chanceler</b> de fatigue.","<b>Шататься</b> от усталости.",🥴
une tisane,настой,"Boire une <b>tisane</b>.","Пить <b>травяной настой</b>.",🍵
une amante,любовница,"L'<b>amante</b> secrète.","Тайная <b>любовница</b>.",💋
une rêne,повод,"Tenir les <b>rênes</b>.","Держать <b>поводья</b>.",🐴
priser,ценить,"<b>Priser</b> la liberté.","<b>Ценить</b> свободу.",💎
un attaché,атташе,"Un <b>attaché</b> d'ambassade.","Посольский <b>атташе</b>.",🏛️
un passe-temps,времяпрепровождение,"Un <b>passe-temps</b> agréable.","Приятное <b>времяпрепровождение</b>.",🎮
