French,Russian,ExampleFrench,ExampleRussian,Emoji
occulte,оккультный,"Des sciences <b>occultes</b>.","<b>Оккультные</b> науки.",🔮
un gradin,ступенька трибуны,"Assis sur les <b>gradins</b>.","Сидя на <b>ступеньках</b>.",🏟️
un sud-ouest,юго-запад,"Le vent du <b>sud-ouest</b>.","<b>Юго-западный</b> ветер.",🧭
un acompte,задаток,"Verser un <b>acompte</b>.","Внести <b>задаток</b>.",💰
un balancement,покачивание,"Le <b>balancement</b> du bateau.","<b>Покачивание</b> лодки.",🚢
un bobard,небылица,"Raconter des <b>bobards</b>.","Рассказывать <b>небылицы</b>.",🤥
un cake,кекс,"Un <b>cake</b> aux fruits.","Фруктовый <b>кекс</b>.",🍰
une subtilité,тонкость,"Les <b>subtilités</b> de la langue.","<b>Тонкости</b> языка.",🎯
avidement,жадно,"Lire <b>avidement</b>.","<b>Жадно</b> читать.",📖
effilocher,распускать,"<b>Effilocher</b> un tissu.","<b>Распускать</b> ткань.",🧵
gracier,помиловать,"<b>Gracier</b> un condamné.","<b>Помиловать</b> осуждённого.",⚖️
hebdomadaire,еженедельный,"Un magazine <b>hebdomadaire</b>.","<b>Еженедельный</b> журнал.",📰
une chancelière,канцлер (ж.),"La <b>chancelière</b> allemande.","Немецкий <b>канцлер</b>.",🇩🇪
une décadence,упадок,"La <b>décadence</b> d'un empire.","<b>Упадок</b> империи.",📉
un chancelier,канцлер,"Le <b>chancelier</b> autrichien.","Австрийский <b>канцлер</b>.",🏛️
un trouillard,трус,"Quel <b>trouillard</b> !","Какой <b>трус</b>!",😰
"régional, régionale",региональный,"Une cuisine <b>régionale</b>.","<b>Региональная</b> кухня.",🍽️
un papet,дедуля,"Le vieux <b>papet</b>.","Старый <b>дедуля</b>.",👴
un condé,полицейский (арго),"Attention aux <b>condés</b>.","Осторожно, <b>полиция</b>.",👮
"fourbu, fourbue",измотанный,"Je suis <b>fourbu</b>.","Я <b>измотан</b>.",😩
romantique,романтик,"Un vrai <b>romantique</b>.","Настоящий <b>романтик</b>.",💕
sadique,садист,"Un <b>sadique</b> notoire.","Известный <b>садист</b>.",😈
un corbillard,катафалк,"Le <b>corbillard</b> passe.","<b>Катафалк</b> проезжает.",⚰️
un druide,друид,"Un <b>druide</b> celtique.","Кельтский <b>друид</b>.",🌳
un prévenu,подсудимый,"Le <b>prévenu</b> est innocent.","<b>Подсудимый</b> невиновен.",⚖️
une charrue,плуг,"Tirer la <b>charrue</b>.","Тащить <b>плуг</b>.",🚜
une injonction,предписание,"Une <b>injonction</b> du tribunal.","<b>Предписание</b> суда.",📜
conjuguer,спрягать,"<b>Conjuguer</b> un verbe.","<b>Спрягать</b> глагол.",📚
une verge,прут,"Une <b>verge</b> de bois.","Деревянный <b>прут</b>.",🪵
lyrique,лирический,"Un poème <b>lyrique</b>.","<b>Лирическое</b> стихотворение.",📝
un effluve,запах,"Les <b>effluves</b> du jardin.","<b>Ароматы</b> сада.",🌸
"assorti, assortie",подобранный,"Des couleurs <b>assorties</b>.","<b>Подобранные</b> цвета.",🎨
bâillonner,затыкать рот,"<b>Bâillonner</b> la presse.","<b>Затыкать рот</b> прессе.",🤐
chamailler,ссориться,"Se <b>chamailler</b> sans cesse.","<b>Ссориться</b> без конца.",😤
un cagibi,чуланчик,"Ranger dans le <b>cagibi</b>.","Убрать в <b>чуланчик</b>.",🚪
un lépreux,прокажённый,"Un <b>lépreux</b> au Moyen Âge.","<b>Прокажённый</b> в Средневековье.",😷
"obsédant, obsédante",навязчивый,"Une idée <b>obsédante</b>.","<b>Навязчивая</b> идея.",🧠
"déployé, déployée",развёрнутый,"Des ailes <b>déployées</b>.","<b>Развёрнутые</b> крылья.",🦅
téméraire,безрассудный,"Un acte <b>téméraire</b>.","<b>Безрассудный</b> поступок.",⚡
un croque-mort,гробовщик,"Le <b>croque-mort</b> arrive.","<b>Гробовщик</b> приехал.",⚰️
un demeuré,придурок,"Quel <b>demeuré</b> !","Какой <b>придурок</b>!",🤦
un dû,должное,"Recevoir son <b>dû</b>.","Получить <b>должное</b>.",💰
une béatitude,блаженство,"Un état de <b>béatitude</b>.","Состояние <b>блаженства</b>.",😇
une charcuterie,колбасный магазин,"Acheter à la <b>charcuterie</b>.","Купить в <b>колбасном</b>.",🥓
"hongrois, hongroise",венгерский,"La cuisine <b>hongroise</b>.","<b>Венгерская</b> кухня.",🇭🇺
une toupie,волчок,"Faire tourner une <b>toupie</b>.","Крутить <b>волчок</b>.",🔄
"comédien, comédienne",комедийный,"Un talent <b>comédien</b>.","<b>Комедийный</b> талант.",🎭
hétéro,натурал,"Il est <b>hétéro</b>.","Он <b>натурал</b>.",👫
mercenaire,наёмник,"Un <b>mercenaire</b> de guerre.","Военный <b>наёмник</b>.",⚔️
un tracas,хлопоты,"Les <b>tracas</b> quotidiens.","Повседневные <b>хлопоты</b>.",😫
une natation,плавание,"Un cours de <b>natation</b>.","Урок <b>плавания</b>.",🏊
une psychiatrie,психиатрия,"Un service de <b>psychiatrie</b>.","Отделение <b>психиатрии</b>.",🏥
égoïste,эгоист,"Un pur <b>égoïste</b>.","Чистый <b>эгоист</b>.",🙄
démocrate,демократ,"Un <b>démocrate</b> convaincu.","Убеждённый <b>демократ</b>.",🏛️
dévisser,откручивать,"<b>Dévisser</b> un bouchon.","<b>Открутить</b> крышку.",🔧
un doc,документ (разг.),"Passe-moi le <b>doc</b>.","Передай <b>документ</b>.",📄
une crevasse,трещина,"Une <b>crevasse</b> dans le glacier.","<b>Трещина</b> в леднике.",🏔️
faste,пышный,"Un jour <b>faste</b>.","<b>Пышный</b> день.",✨
une friture,жарка,"De la <b>friture</b> de poisson.","<b>Жареная</b> рыба.",🐟
musculaire,мышечный,"Une douleur <b>musculaire</b>.","<b>Мышечная</b> боль.",💪
un contre-jour,контражур,"Photo en <b>contre-jour</b>.","Фото в <b>контражуре</b>.",📷
un internat,интернат,"Vivre en <b>internat</b>.","Жить в <b>интернате</b>.",🏫
un phono,проигрыватель,"Un vieux <b>phono</b>.","Старый <b>проигрыватель</b>.",📻
un rétroviseur,зеркало заднего вида,"Regarder dans le <b>rétroviseur</b>.","Смотреть в <b>зеркало заднего вида</b>.",🚗
