French,Russian,ExampleFrench,ExampleRussian,Emoji
flirter,флиртовать,"<b>Flirter</b> avec quelqu'un.","<b>Флиртовать</b> с кем-то.",💕
un aliment,продукт,"Un <b>aliment</b> sain.","Здоровый <b>продукт</b>.",🍎
noircir,чернить,"<b>Noircir</b> du papier.","<b>Исписать</b> бумагу.",📝
une marionnette,марионетка,"Une <b>marionnette</b> à fils.","<b>Марионетка</b> на нитях.",🎭
fracasser,разбивать вдребезги,"<b>Fracasser</b> une vitre.","<b>Разбить</b> окно вдребезги.",💥
un saumon,лосось,"Un <b>saumon</b> fumé.","Копчёный <b>лосось</b>.",🐟
intercepter,перехватывать,"<b>Intercepter</b> un message.","<b>Перехватить</b> сообщение.",📨
une location,аренда,"Une <b>location</b> de voiture.","<b>Аренда</b> машины.",🚗
une métamorphose,метаморфоза,"Une <b>métamorphose</b> totale.","Полная <b>метаморфоза</b>.",🦋
taquiner,дразнить,"<b>Taquiner</b> son frère.","<b>Дразнить</b> брата.",😜
un admirateur,поклонник,"Un <b>admirateur</b> secret.","Тайный <b>поклонник</b>.",❤️
une actualité,новости,"Les <b>actualités</b> du jour.","<b>Новости</b> дня.",📰
une confirmation,подтверждение,"Une <b>confirmation</b> officielle.","Официальное <b>подтверждение</b>.",✅
"relevé, relevée",поднятый,"La tête <b>relevée</b>.","<b>Поднятая</b> голова.",⬆️
un volcan,вулкан,"Un <b>volcan</b> en éruption.","<b>Вулкан</b> в извержении.",🌋
maltraiter,плохо обращаться,"<b>Maltraiter</b> un animal.","<b>Плохо обращаться</b> с животным.",😢
alimentaire,пищевой,"Une chaîne <b>alimentaire</b>.","<b>Пищевая</b> цепочка.",🍽️
un quotidien,ежедневная газета,"Lire le <b>quotidien</b>.","Читать <b>ежедневную газету</b>.",📰
un caissier,кассир,"Le <b>caissier</b> du supermarché.","<b>Кассир</b> супермаркета.",💵
implacable,беспощадный,"Un ennemi <b>implacable</b>.","<b>Беспощадный</b> враг.",😤
ranimer,оживлять,"<b>Ranimer</b> le feu.","<b>Раздуть</b> огонь.",🔥
"parfumé, parfumée",ароматный,"Une fleur <b>parfumée</b>.","<b>Ароматный</b> цветок.",🌸
une raclée,взбучка,"Prendre une <b>raclée</b>.","Получить <b>взбучку</b>.",👊
une syllabe,слог,"Une <b>syllabe</b> accentuée.","Ударный <b>слог</b>.",📖
électronique,электронный,"Un appareil <b>électronique</b>.","<b>Электронное</b> устройство.",📱
un boum,бум,"Un <b>boum</b> économique.","Экономический <b>бум</b>.",📈
un vice-président,вице-президент,"Le <b>vice-président</b> de la société.","<b>Вице-президент</b> компании.",👔
"glissant, glissante",скользкий,"Un sol <b>glissant</b>.","<b>Скользкий</b> пол.",⚠️
une efficacité,эффективность,"Une grande <b>efficacité</b>.","Высокая <b>эффективность</b>.",✅
une liasse,пачка,"Une <b>liasse</b> de billets.","<b>Пачка</b> купюр.",💵
un réconfort,утешение,"Trouver du <b>réconfort</b>.","Найти <b>утешение</b>.",🤗
belge,бельгийский,"Un chocolat <b>belge</b>.","<b>Бельгийский</b> шоколад.",🍫
poindre,появляться,"L'aube <b>point</b>.","<b>Забрезжил</b> рассвет.",🌅
une abondance,изобилие,"Une <b>abondance</b> de fruits.","<b>Изобилие</b> фруктов.",🍇
un inventaire,инвентарь,"Faire l'<b>inventaire</b>.","Проводить <b>инвентаризацию</b>.",📋
un néon,неон,"Une enseigne au <b>néon</b>.","<b>Неоновая</b> вывеска.",💡
"exigeant, exigeante",требовательный,"Un patron <b>exigeant</b>.","<b>Требовательный</b> босс.",📋
un chauffage,отопление,"Le <b>chauffage</b> central.","Центральное <b>отопление</b>.",🔥
un pieu,кол,"Planter un <b>pieu</b>.","Вбить <b>кол</b>.",🪵
une utilité,полезность,"D'une grande <b>utilité</b>.","Большой <b>пользы</b>.",✅
un spaghetti,спагетти,"Manger des <b>spaghettis</b>.","Есть <b>спагетти</b>.",🍝
picoler,выпивать (разг.),"<b>Picoler</b> toute la nuit.","<b>Бухать</b> всю ночь.",🍺
gicler,брызгать,"Le sang <b>gicle</b>.","Кровь <b>брызжет</b>.",💦
une ration,паёк,"Une <b>ration</b> de survie.","Аварийный <b>паёк</b>.",🍞
un aviateur,лётчик,"Un <b>aviateur</b> célèbre.","Знаменитый <b>лётчик</b>.",✈️
un gazon,газон,"Tondre le <b>gazon</b>.","Стричь <b>газон</b>.",🌱
un affût,засада,"Être à l'<b>affût</b>.","Быть в <b>засаде</b>.",👀
une écaille,чешуя,"Les <b>écailles</b> d'un poisson.","<b>Чешуя</b> рыбы.",🐟
un lièvre,заяц,"Courir comme un <b>lièvre</b>.","Бежать как <b>заяц</b>.",🐰
un répondeur,автоответчик,"Laisser un message sur le <b>répondeur</b>.","Оставить сообщение на <b>автоответчике</b>.",📞
cynique,циничный,"Un commentaire <b>cynique</b>.","<b>Циничный</b> комментарий.",😏
une corruption,коррупция,"La <b>corruption</b> politique.","Политическая <b>коррупция</b>.",💰
une rizière,рисовое поле,"Une <b>rizière</b> en terrasses.","<b>Рисовое поле</b> террасами.",🌾
une aire,площадка,"Une <b>aire</b> de repos.","Зона <b>отдыха</b>.",🅿️
vénérer,почитать,"<b>Vénérer</b> les ancêtres.","<b>Почитать</b> предков.",🙏
un pétale,лепесток,"Un <b>pétale</b> de rose.","<b>Лепесток</b> розы.",🌹
génétique,генетический,"Une maladie <b>génétique</b>.","<b>Генетическое</b> заболевание.",🧬
amasser,накапливать,"<b>Amasser</b> des richesses.","<b>Накопить</b> богатства.",💰
une pourriture,гниль,"La <b>pourriture</b> du bois.","<b>Гниль</b> дерева.",🪵
"ménager, ménagère",бытовой,"Les appareils <b>ménagers</b>.","<b>Бытовые</b> приборы.",🏠
une ferveur,рвение,"Avec <b>ferveur</b>.","С <b>рвением</b>.",🔥
exclusivement,исключительно,"<b>Exclusivement</b> pour vous.","<b>Исключительно</b> для вас.",⭐
surpasser,превосходить,"<b>Surpasser</b> ses rivaux.","<b>Превзойти</b> соперников.",🏆
"écrasé, écrasée",раздавленный,"Un insecte <b>écrasé</b>.","<b>Раздавленное</b> насекомое.",🐛
une godasse,ботинок (разг.),"Mes vieilles <b>godasses</b>.","Мои старые <b>башмаки</b>.",👟
une fugue,побег,"Faire une <b>fugue</b>.","Совершить <b>побег</b>.",🏃
une pantoufle,тапочка,"Mettre ses <b>pantoufles</b>.","Надеть <b>тапочки</b>.",🥿
un tilleul,липа,"Un thé au <b>tilleul</b>.","Чай из <b>липы</b>.",🌳
une soumission,подчинение,"Une <b>soumission</b> totale.","Полное <b>подчинение</b>.",🙇
"embarrassant, embarrassante",неловкий,"Une situation <b>embarrassante</b>.","<b>Неловкая</b> ситуация.",😳
bronzer,загорать,"<b>Bronzer</b> à la plage.","<b>Загорать</b> на пляже.",🏖️
une initiale,инициал,"Signer de ses <b>initiales</b>.","Подписать <b>инициалами</b>.",✍️
une truite,форель,"Une <b>truite</b> grillée.","Жареная <b>форель</b>.",🐟
un sillon,борозда,"Un <b>sillon</b> dans le champ.","<b>Борозда</b> на поле.",🌾
légiste,судмедэксперт,"Un médecin <b>légiste</b>.","<b>Судмедэксперт</b>.",🔬
biologique,биологический,"Une agriculture <b>biologique</b>.","<b>Органическое</b> земледелие.",🌱
une lieue,лье,"À des <b>lieues</b> d'ici.","За много <b>лье</b> отсюда.",📏
ovale,овальный,"Un visage <b>ovale</b>.","<b>Овальное</b> лицо.",⭕
trier,сортировать,"<b>Trier</b> les déchets.","<b>Сортировать</b> мусор.",♻️
"fraternel, fraternelle",братский,"Un amour <b>fraternel</b>.","<b>Братская</b> любовь.",🤗
une grue,журавль; кран,"Une <b>grue</b> de chantier.","Строительный <b>кран</b>.",🏗️
une solidarité,солидарность,"Une <b>solidarité</b> nationale.","Национальная <b>солидарность</b>.",🤝
injecter,вводить,"<b>Injecter</b> un médicament.","<b>Ввести</b> лекарство.",💉
déferler,накатывать,"Les vagues <b>déferlent</b>.","Волны <b>накатывают</b>.",🌊
"argenté, argentée",серебристый,"Des cheveux <b>argentés</b>.","<b>Серебристые</b> волосы.",✨
un pare-brise,лобовое стекло,"Nettoyer le <b>pare-brise</b>.","Вымыть <b>лобовое стекло</b>.",🚗
une miniature,миниатюра,"Une <b>miniature</b> ancienne.","Старинная <b>миниатюра</b>.",🖼️
une participation,участие,"Une <b>participation</b> active.","Активное <b>участие</b>.",🤝
