French,Russian,ExampleFrench,ExampleRussian,Emoji
un tournant,поворот,"Un <b>tournant</b> décisif.","<b>Решающий</b> поворот.",🔄
activer,активировать,"<b>Active</b> le système.","<b>Активируй</b> систему.",⚡
"traditionnel, traditionnelle",традиционный,"Une fête <b>traditionnelle</b>.","<b>Традиционный</b> праздник.",🎉
"sauf, sauve",невредимый,"Il est sain et <b>sauf</b>.","Он цел и <b>невредим</b>.",✅
"constant, constante",постоянный,"Un effort <b>constant</b>.","<b>Постоянное</b> усилие.",💪
naguère,некогда,"<b>Naguère</b>, il était roi.","<b>Некогда</b> он был королём.",👑
"tremblant, tremblante",дрожащий,"Une voix <b>tremblante</b>.","<b>Дрожащий</b> голос.",😨
abaisser,опускать,"<b>Abaisse</b> le levier.","<b>Опусти</b> рычаг.",⬇️
un oxygène,кислород,"Manquer d'<b>oxygène</b>.","Нехватка <b>кислорода</b>.",💨
considérable,значительный,"Une somme <b>considérable</b>.","<b>Значительная</b> сумма.",💰
un péril,опасность,"En <b>péril</b> de mort.","В смертельной <b>опасности</b>.",⚠️
un rivage,берег,"Le <b>rivage</b> de la mer.","Морской <b>берег</b>.",🏖️
un clin,мигание,"En un <b>clin</b> d'œil.","В <b>мгновение</b> ока.",👁️
une signification,значение,"La <b>signification</b> du mot.","<b>Значение</b> слова.",📖
"satisfait, satisfaite",удовлетворённый,"Je suis <b>satisfait</b>.","Я <b>удовлетворён</b>.",😊
une rangée,ряд,"Une <b>rangée</b> de chaises.","<b>Ряд</b> стульев.",🪑
attendrir,умилять,"Ça m'<b>attendrit</b>.","Это меня <b>умиляет</b>.",🥹
liquider,ликвидировать,"<b>Liquider</b> l'entreprise.","<b>Ликвидировать</b> компанию.",💼
économiser,экономить,"<b>Économise</b> ton argent.","<b>Экономь</b> деньги.",💰
définir,определять,"<b>Définis</b> le problème.","<b>Определи</b> проблему.",🎯
exploiter,эксплуатировать,"<b>Exploiter</b> les ressources.","<b>Эксплуатировать</b> ресурсы.",⛏️
forger,ковать,"<b>Forger</b> une épée.","<b>Выковать</b> меч.",🔨
prescrire,прописывать,"<b>Prescrire</b> un médicament.","<b>Выписать</b> лекарство.",💊
une conquête,завоевание,"La <b>conquête</b> de l'espace.","<b>Завоевание</b> космоса.",🚀
un bouchon,пробка,"Le <b>bouchon</b> de liège.","Пробка из <b>пробки</b>.",🍾
une thèse,диссертация,"Soutenir une <b>thèse</b>.","Защитить <b>диссертацию</b>.",🎓
questionner,допрашивать,"<b>Questionner</b> le suspect.","<b>Допрашивать</b> подозреваемого.",🔍
une menotte,наручник,"Mettre les <b>menottes</b>.","Надеть <b>наручники</b>.",⛓️
inspecter,инспектировать,"<b>Inspecter</b> les lieux.","<b>Осмотреть</b> место.",🔍
un béton,бетон,"Un mur en <b>béton</b>.","Стена из <b>бетона</b>.",🧱
un enregistrement,запись,"L'<b>enregistrement</b> audio.","Аудио<b>запись</b>.",🎙️
un locataire,арендатор,"Le <b>locataire</b> de l'appartement.","<b>Арендатор</b> квартиры.",🏠
aveugler,ослеплять,"La lumière m'<b>aveugle</b>.","Свет меня <b>ослепляет</b>.",☀️
"matériel, matérielle",материальный,"Un bien <b>matériel</b>.","<b>Материальное</b> благо.",💎
une éponge,губка,"Nettoie avec une <b>éponge</b>.","Вытри <b>губкой</b>.",🧽
polir,полировать,"<b>Polir</b> le métal.","<b>Отполировать</b> металл.",✨
authentique,подлинный,"Un document <b>authentique</b>.","<b>Подлинный</b> документ.",📜
inonder,затоплять,"La rivière a <b>inondé</b> la ville.","Река <b>затопила</b> город.",🌊
un arc,дуга; лук,"Un <b>arc</b>-en-ciel.","<b>Радуга</b>.",🌈
convenable,подходящий,"Une solution <b>convenable</b>.","<b>Подходящее</b> решение.",👍
un mineur,несовершеннолетний; шахтёр,"C'est un <b>mineur</b>.","Он <b>несовершеннолетний</b>.",👦
une intuition,интуиция,"Suivre son <b>intuition</b>.","Следовать <b>интуиции</b>.",🧠
une estime,уважение,"J'ai de l'<b>estime</b> pour lui.","Я его <b>уважаю</b>.",🙏
une exigence,требование,"Les <b>exigences</b> du poste.","<b>Требования</b> должности.",📋
nettement,отчётливо,"<b>Nettement</b> meilleur.","<b>Значительно</b> лучше.",📈
flipper,паниковать (разг.),"Ne <b>flippe</b> pas !","Не <b>паникуй</b>!",😱
