French,Russian,ExampleFrench,ExampleRussian,Emoji
grandiose,грандиозный,"Un spectacle <b>grandiose</b>.","<b>Грандиозное</b> зрелище.",🏛️
"plaisant, plaisante",приятный,"Une soirée <b>plaisante</b>.","<b>Приятный</b> вечер.",😊
un tempérament,темперамент,"Un <b>tempérament</b> fougueux.","Пылкий <b>темперамент</b>.",🔥
"sanguin, sanguine",сангвинический,"Un caractère <b>sanguin</b>.","<b>Сангвинический</b> характер.",❤️
une porcelaine,фарфор,"Une tasse en <b>porcelaine</b>.","<b>Фарфоровая</b> чашка.",🍵
"égaré, égarée",заблудившийся,"Un voyageur <b>égaré</b>.","<b>Заблудившийся</b> путник.",🧭
un bulletin,бюллетень,"Un <b>bulletin</b> météo.","Метео<b>сводка</b>.",📰
céleste,небесный,"Un corps <b>céleste</b>.","<b>Небесное</b> тело.",⭐
revendre,перепродавать,"<b>Revendre</b> une voiture.","<b>Перепродать</b> машину.",🚗
rasseoir,усаживать снова,"<b>Rassieds</b>-toi.","<b>Садись</b> обратно.",🪑
inverser,инвертировать,"<b>Inverser</b> l'ordre.","<b>Поменять</b> порядок.",🔄
un astre,светило,"Un <b>astre</b> lumineux.","Яркое <b>светило</b>.",⭐
"distrait, distraite",рассеянный,"Il est <b>distrait</b>.","Он <b>рассеянный</b>.",🤔
une bretelle,лямка,"Les <b>bretelles</b> du sac.","<b>Лямки</b> рюкзака.",🎒
influencer,влиять,"<b>Influencer</b> l'opinion.","<b>Влиять</b> на мнение.",📢
une offensive,наступление,"Lancer une <b>offensive</b>.","Начать <b>наступление</b>.",⚔️
un déchet,отходы,"Les <b>déchets</b> recyclables.","Перерабатываемые <b>отходы</b>.",♻️
une bâche,брезент,"Couvrir d'une <b>bâche</b>.","Накрыть <b>брезентом</b>.",🏕️
une olive,оливка,"Une <b>olive</b> verte.","Зелёная <b>оливка</b>.",🫒
"colonial, coloniale",колониальный,"L'ère <b>coloniale</b>.","<b>Колониальная</b> эпоха.",🏛️
blême,бледный,"Un visage <b>blême</b>.","<b>Бледное</b> лицо.",😨
"distingué, distinguée",изысканный,"Un homme <b>distingué</b>.","<b>Изысканный</b> человек.",🎩
une dinde,индейка,"Une <b>dinde</b> de Noël.","Рождественская <b>индейка</b>.",🦃
désespérément,отчаянно,"<b>Désespérément</b> amoureux.","<b>Отчаянно</b> влюблён.",💔
pâlir,бледнеть,"<b>Pâlir</b> de peur.","<b>Побледнеть</b> от страха.",😨
"turc, turque",турецкий,"Un café <b>turc</b>.","<b>Турецкий</b> кофе.",☕
"conjugal, conjugale",супружеский,"La vie <b>conjugale</b>.","<b>Супружеская</b> жизнь.",💑
un inconvénient,неудобство,"Un petit <b>inconvénient</b>.","Маленькое <b>неудобство</b>.",😕
un remous,волнение,"Des <b>remous</b> dans l'eau.","<b>Волнение</b> на воде.",🌊
un soda,газировка,"Un verre de <b>soda</b>.","Стакан <b>газировки</b>.",🥤
"costaud, costaude",крепкий,"Un gars <b>costaud</b>.","<b>Крепкий</b> парень.",💪
un logis,жилище,"Un humble <b>logis</b>.","Скромное <b>жилище</b>.",🏠
une insistance,настойчивость,"Avec <b>insistance</b>.","С <b>настойчивостью</b>.",💪
un tyran,тиран,"Un <b>tyran</b> cruel.","Жестокий <b>тиран</b>.",😈
différemment,по-разному,"Penser <b>différemment</b>.","Думать <b>по-разному</b>.",🤔
reparaître,появляться снова,"<b>Reparaître</b> au bout d'un an.","Снова <b>появиться</b> через год.",👻
verrouiller,запирать,"<b>Verrouiller</b> la porte.","<b>Запереть</b> дверь.",🔐
une démission,отставка,"Donner sa <b>démission</b>.","Подать в <b>отставку</b>.",📝
"réussi, réussie",удавшийся,"Une soirée <b>réussie</b>.","<b>Удавшийся</b> вечер.",🎉
un moineau,воробей,"Un petit <b>moineau</b>.","Маленький <b>воробей</b>.",🐦
typique,типичный,"Un cas <b>typique</b>.","<b>Типичный</b> случай.",📊
succomber,поддаваться,"<b>Succomber</b> à la tentation.","<b>Поддаться</b> искушению.",😵
un t-shirt,футболка,"Un <b>t-shirt</b> blanc.","Белая <b>футболка</b>.",👕
"sensuel, sensuelle",чувственный,"Une danse <b>sensuelle</b>.","<b>Чувственный</b> танец.",💃
"détaché, détachée",отстранённый,"Un ton <b>détaché</b>.","<b>Отстранённый</b> тон.",😐
un ravitaillement,снабжение,"Le <b>ravitaillement</b> des troupes.","<b>Снабжение</b> войск.",🚚
un impact,удар,"L'<b>impact</b> de la balle.","<b>Удар</b> пули.",💥
un sirop,сироп,"Un <b>sirop</b> contre la toux.","<b>Сироп</b> от кашля.",🍯
un carrelage,плитка,"Un <b>carrelage</b> blanc.","Белая <b>плитка</b>.",🟦
discerner,различать,"<b>Discerner</b> le vrai du faux.","<b>Различить</b> правду от лжи.",👁️
un fourré,заросли,"Se cacher dans les <b>fourrés</b>.","Прятаться в <b>зарослях</b>.",🌳
enrager,злиться,"<b>Enrager</b> de colère.","<b>Злиться</b> от гнева.",😡
"vaillant, vaillante",доблестный,"Un guerrier <b>vaillant</b>.","<b>Доблестный</b> воин.",⚔️
un grondement,рокот,"Le <b>grondement</b> du tonnerre.","<b>Рокот</b> грома.",⛈️
éparpiller,разбрасывать,"<b>Éparpiller</b> des graines.","<b>Разбросать</b> семена.",🌱
un festival,фестиваль,"Un <b>festival</b> de musique.","Музыкальный <b>фестиваль</b>.",🎵
purifier,очищать,"<b>Purifier</b> l'eau.","<b>Очистить</b> воду.",💧
un itinéraire,маршрут,"Un <b>itinéraire</b> touristique.","Туристический <b>маршрут</b>.",🗺️
"ingrat, ingrate",неблагодарный,"Un travail <b>ingrat</b>.","<b>Неблагодарная</b> работа.",😔
une omelette,омлет,"Une <b>omelette</b> aux champignons.","<b>Омлет</b> с грибами.",🥚
collaborer,сотрудничать,"<b>Collaborer</b> sur un projet.","<b>Сотрудничать</b> над проектом.",🤝
une cuvette,раковина; таз,"La <b>cuvette</b> des toilettes.","<b>Унитаз</b>.",🚽
un clochard,бродяга,"Un pauvre <b>clochard</b>.","Бедный <b>бродяга</b>.",🧑
un rappel,напоминание,"Un <b>rappel</b> de vaccin.","<b>Напоминание</b> о прививке.",💉
une psychologie,психология,"La <b>psychologie</b> humaine.","Человеческая <b>психология</b>.",🧠
tournoyer,кружиться,"<b>Tournoyer</b> dans le vent.","<b>Кружиться</b> на ветру.",🍃
désarmer,разоружать,"<b>Désarmer</b> l'ennemi.","<b>Разоружить</b> врага.",⚔️
"irréel, irréelle",нереальный,"Un décor <b>irréel</b>.","<b>Нереальный</b> декор.",🌈
resserrer,сжимать,"<b>Resserrer</b> les liens.","<b>Укреплять</b> связи.",🤝
une andouille,дурак (разг.),"Quelle <b>andouille</b> !","Какой <b>дурак</b>!",🤦
un stress,стресс,"Un <b>stress</b> intense.","Интенсивный <b>стресс</b>.",😰
"bien-aimé, bien-aimée",возлюбленный,"Mon <b>bien-aimé</b>.","Мой <b>возлюбленный</b>.",❤️
durcir,затвердевать,"Le béton <b>durcit</b>.","Бетон <b>затвердевает</b>.",🧱
un gendre,зять,"Mon <b>gendre</b> est gentil.","Мой <b>зять</b> добрый.",👨
