French,Russian,ExampleFrench,ExampleRussian,Emoji
un corps,тело,"J'ai mal partout dans le <b>corps</b> après le gym.","У меня болит всё <b>тело</b> после спортзала.",🏋️
une famille,семья,"Ma <b>famille</b> habite encore en Russie.","Моя <b>семья</b> ещё живёт в России.",👨‍👩‍👧
une année,год (период),"Cette <b>année</b> j'ai beaucoup progressé en français.","В этом <b>году</b> я сильно продвинулся во французском.",📆
un travail,работа,"Je cherche un <b>travail</b> dans mon domaine.","Я ищу <b>работу</b> по специальности.",💼
dormir,спать,"J'ai mal <b>dormi</b> à cause du décalage horaire.","Я плохо <b>спал</b> из-за смены часовых поясов.",😴
une chambre,комната; спальня,"Ma <b>chambre</b> est petite mais confortable.","Моя <b>комната</b> маленькая, но уютная.",🛏️
une affaire,"дело; вещи","C'est mon <b>affaire</b>, ne t'en mêle pas.","Это моё <b>дело</b>, не вмешивайся.",📂
répondre,отвечать,"Je dois <b>répondre</b> à ce courriel aujourd'hui.","Мне нужно <b>ответить</b> на этот email сегодня.",💬
enfin,наконец,"<b>Enfin</b>, le printemps est arrivé !","<b>Наконец</b> пришла весна!",🎉
ouais,да (разг.),"<b>Ouais</b>, je suis d'accord avec toi.","<b>Да</b>, я с тобой согласен.",👍
car,потому что; так как,"Je reste à la maison <b>car</b> je suis malade.","Я остаюсь дома, <b>потому что</b> болею.",🔗
loin,далеко,"Le supermarché n'est pas <b>loin</b> d'ici.","Супермаркет <b>недалеко</b> отсюда.",📍
monter,"подниматься; садиться (в транспорт)","<b>Monte</b> dans le bus, on est en retard !","<b>Садись</b> в автобус, мы опаздываем!",⬆️
seulement,только,"J'ai <b>seulement</b> cinq minutes pour manger.","У меня <b>только</b> пять минут на еду.",1️⃣
apprendre,учить(ся),"J'<b>apprends</b> le français depuis deux ans.","Я <b>учу</b> французский два года.",📚
un matin,утро,"Ce <b>matin</b>, il fait très froid dehors.","Сегодня <b>утром</b> очень холодно на улице.",🌅
une voix,голос,"Elle a une belle <b>voix</b> pour chanter.","У неё красивый <b>голос</b> для пения.",🎤
un pied,нога (ступня),"J'ai mal au <b>pied</b> après la randonnée.","У меня болит <b>нога</b> после похода.",🦶
un frère,брат,"Mon <b>frère</b> aîné habite à Toronto.","Мой старший <b>брат</b> живёт в Торонто.",👦
écrire,писать,"J'<b>écris</b> un courriel à mon patron.","Я <b>пишу</b> email начальнику.",✍️
une rue,улица,"J'habite dans une petite <b>rue</b> tranquille.","Я живу на маленькой тихой <b>улице</b>.",🛤️
une ville,город,"Montréal est une <b>ville</b> très multiculturelle.","Монреаль — очень мультикультурный <b>город</b>.",🏙️
boire,пить,"Je <b>bois</b> beaucoup d'eau pendant l'été.","Летом я <b>пью</b> много воды.",🥤
occuper,занимать,"Cette tâche m'<b>occupe</b> toute la journée.","Это задание <b>занимает</b> меня весь день.",📋
ainsi,"так; таким образом","<b>Ainsi</b>, tu peux économiser de l'argent.","<b>Таким образом</b> ты можешь сэкономить деньги.",➡️
une part,часть; доля,"Je veux ma <b>part</b> du gâteau.","Я хочу свою <b>долю</b> торта.",🍰
un visage,лицо,"Son <b>visage</b> me semble familier.","Его <b>лицо</b> кажется мне знакомым.",😊
payer,платить,"Je dois <b>payer</b> le loyer avant le premier.","Я должен <b>заплатить</b> за аренду до первого числа.",💳
un mois,месяц,"J'habite ici depuis trois <b>mois</b>.","Я живу здесь три <b>месяца</b>.",📅
demain,завтра,"On se voit <b>demain</b> au bureau.","Увидимся <b>завтра</b> в офисе.",📆
longtemps,долго,"Ça fait <b>longtemps</b> que je ne t'ai pas vu !","<b>Давно</b> тебя не видел!",⏰
montrer,показывать,"Peux-tu me <b>montrer</b> où est la bibliothèque ?","Можешь <b>показать</b>, где библиотека?",👉
garder,хранить; охранять,"Je vais <b>garder</b> ça en secret.","Я буду <b>хранить</b> это в секрете.",🔒
un coeur,сердце,"Cette chanson me touche au <b>cœur</b>.","Эта песня трогает моё <b>сердце</b>.",❤️
eh,э! эй!,"<b>Eh</b>, tu m'écoutes ou non ?","<b>Эй</b>, ты меня слушаешь или нет?",👋
"gros, grosse","толстый; большой","C'est un <b>gros</b> problème pour moi.","Это <b>большая</b> проблема для меня.",🐘
servir,"служить; подавать","À quoi ça <b>sert</b> ? — Je ne sais pas.","Для чего это <b>нужно</b>? — Не знаю.",🍽️
lire,читать,"Je <b>lis</b> le journal chaque matin.","Я <b>читаю</b> газету каждое утро.",📖
hein,а? да?,"Tu viens avec nous, <b>hein</b> ?","Ты идёшь с нами, <b>да</b>?",❓
presque,почти,"J'ai <b>presque</b> fini mon travail.","Я <b>почти</b> закончил работу.",📊
poser,класть; задавать (вопрос),"Je peux te <b>poser</b> une question ?","Можно <b>задать</b> тебе вопрос?",❓
quitter,покидать; уходить от,"J'ai <b>quitté</b> mon pays il y a deux ans.","Я <b>уехал</b> из своей страны два года назад.",🚪
envoyer,отправлять,"Je vais t'<b>envoyer</b> un courriel ce soir.","Я <b>отправлю</b> тебе email вечером.",📧
une minute,минута,"Attends une <b>minute</b>, j'arrive !","Подожди <b>минуту</b>, иду!",⏱️
un bras,рука (от плеча),"J'ai mal au <b>bras</b> depuis hier.","У меня болит <b>рука</b> со вчерашнего дня.",💪
"noir, noire",чёрный,"J'aime le café <b>noir</b> sans sucre.","Я люблю <b>чёрный</b> кофе без сахара.",⬛
une peine,"печаль; труд; наказание","Ça vaut la <b>peine</b> d'essayer.","<b>Стоит</b> попробовать.",😢
aujourd'hui,сегодня,"<b>Aujourd'hui</b>, il fait beau dehors.","<b>Сегодня</b> на улице хорошая погода.",📅
combien,сколько,"<b>Combien</b> ça coûte ?","<b>Сколько</b> это стоит?",🔢
"long, longue","длинный, -ая","L'hiver au Québec est très <b>long</b>.","Зима в Квебеке очень <b>длинная</b>.",📏
lever,поднимать,"<b>Lève</b> la main si tu as une question.","<b>Подними</b> руку, если есть вопрос.",✋
une suite,продолжение; номер (в отеле),"La <b>suite</b> de l'histoire est intéressante.","<b>Продолжение</b> истории интересное.",➡️
se souvenir,помнить,"Je me <b>souviens</b> de notre première rencontre.","Я <b>помню</b> нашу первую встречу.",🧠
continuer,продолжать,"<b>Continue</b> comme ça, tu fais du bon travail !","<b>Продолжай</b> в том же духе, ты хорошо работаешь!",▶️
une guerre,война,"Mon grand-père a vécu la <b>guerre</b>.","Мой дедушка пережил <b>войну</b>.",⚔️
un type,тип; парень,"Ce <b>type</b> me semble bizarre.","Этот <b>парень</b> мне кажется странным.",👤
un mal,боль; зло,"J'ai un <b>mal</b> de tête terrible.","У меня ужасная головная <b>боль</b>.",😣
"plein, pleine",полный,"Le métro est <b>plein</b> aux heures de pointe.","Метро <b>полное</b> в часы пик.",📦
tourner,"поворачивать; вращаться","<b>Tourne</b> à droite au prochain feu.","<b>Поверни</b> направо на следующем светофоре.",↩️
une chance,удача; шанс,"Bonne <b>chance</b> pour ton examen !","Удачи на экзамене!",🍀
un train,поезд,"Je prends le <b>train</b> pour aller à Québec.","Я еду на <b>поезде</b> в Квебек.",🚆
une madame,госпожа,"<b>Madame</b>, puis-je vous aider ?","<b>Госпожа</b>, могу я вам помочь?",👩
un sang,кровь,"Le médecin a fait une analyse de <b>sang</b>.","Врач сделал анализ <b>крови</b>.",🩸
un point,точка; пункт,"J'ai un <b>point</b> important à discuter.","У меня есть важный <b>пункт</b> для обсуждения.",📍
s'excuser,извиняться,"Je m'<b>excuse</b> pour le retard.","<b>Извиняюсь</b> за опоздание.",🙏
un truc,штука; вещь (разг.),"C'est quoi ce <b>truc</b> ?","Что это за <b>штука</b>?",🔧
retourner,возвращаться,"Je dois <b>retourner</b> au bureau.","Мне нужно <b>вернуться</b> в офис.",↩️
descendre,спускаться,"<b>Descends</b> vite, le taxi est là !","<b>Спускайся</b> быстрее, такси приехало!",⬇️
une personne,человек (нейтр.),"Il y a trois <b>personnes</b> dans la salle.","В зале три <b>человека</b>.",👤
"fou, folle","сумасшедший, -ая","Tu es <b>fou</b> de sortir par ce froid !","Ты <b>сумасшедший</b> выходить в такой холод!",🤪
raconter,рассказывать,"<b>Raconte</b>-moi ce qui s'est passé.","<b>Расскажи</b> мне, что случилось.",📖
un garçon,"мальчик; официант","Ce <b>garçon</b> parle trois langues.","Этот <b>мальчик</b> говорит на трёх языках.",👦
un cas,случай,"Dans ce <b>cas</b>, je ne peux pas t'aider.","В этом <b>случае</b> я не могу тебе помочь.",📋
"nouveau, nouvelle","новый, -ая","J'ai acheté une <b>nouvelle</b> voiture.","Я купил <b>новую</b> машину.",✨
une fin,конец,"La <b>fin</b> du film est très triste.","<b>Конец</b> фильма очень грустный.",🔚
une semaine,неделя,"Je travaille cinq jours par <b>semaine</b>.","Я работаю пять дней в <b>неделю</b>.",📅
paraître,казаться; появляться,"Ça <b>paraît</b> difficile, mais c'est faisable.","Это <b>кажется</b> сложным, но выполнимо.",🤔
jeter,бросать; выбрасывать,"Ne <b>jette</b> pas ça, c'est encore bon !","Не <b>выбрасывай</b> это, ещё годится!",🗑️
rappeler,напоминать; перезванивать,"<b>Rappelle</b>-moi de poster cette lettre.","<b>Напомни</b> мне отправить это письмо.",📞
un instant,мгновение,"Un <b>instant</b>, je vérifie.","<b>Секунду</b>, я проверю.",⏱️
une façon,способ; манера,"De toute <b>façon</b>, je dois y aller.","В любом <b>случае</b> мне нужно идти.",🔄
gagner,"выигрывать; зарабатывать","Je <b>gagne</b> assez pour vivre confortablement.","Я <b>зарабатываю</b> достаточно, чтобы жить комфортно.",💰
un lit,кровать,"Je suis fatigué, je vais au <b>lit</b>.","Я устал, иду в <b>кровать</b>.",🛏️
"blanc, blanche","белый, -ая","La neige est toute <b>blanche</b> ce matin.","Снег сегодня утром весь <b>белый</b>.",⬜
une tour,"башня; тур","La <b>tour</b> Eiffel est à Paris.","Эйфелева <b>башня</b> в Париже.",🗼
plutôt,скорее; лучше,"Je préfère <b>plutôt</b> rester à la maison.","Я <b>лучше</b> останусь дома.",🔄
toucher,"трогать; касаться","Ne <b>touche</b> pas à ça, c'est chaud !","Не <b>трогай</b> это, горячо!",✋
"prêt, prête","готовый, -ая","Tu es <b>prêt</b> à partir ?","Ты <b>готов</b> уходить?",✅
un bout,конец; кусок,"Au <b>bout</b> de la rue, tourne à gauche.","В <b>конце</b> улицы поверни налево.",🔚
un feu,"огонь; светофор","Le <b>feu</b> est rouge, attends !","<b>Светофор</b> красный, подожди!",🚦
espérer,надеяться,"J'<b>espère</b> que tout ira bien.","Я <b>надеюсь</b>, что всё будет хорошо.",🤞
acheter,покупать,"Je vais <b>acheter</b> du pain à la boulangerie.","Я пойду <b>куплю</b> хлеб в булочной.",🛒
un livre,книга,"J'ai <b>lu</b> un bon <b>livre</b> cette semaine.","На этой неделе я прочитал хорошую <b>книгу</b>.",📚
