French,Russian,ExampleFrench,ExampleRussian,Emoji
cool,классный (разг.),"C'est <b>cool</b> !","Это <b>классно</b>!",😎
résoudre,решать (проблему),"Il faut <b>résoudre</b> ce problème.","Надо <b>решить</b> эту проблему.",🧩
une nourriture,пища; еда,"La <b>nourriture</b> est délicieuse.","<b>Еда</b> вкусная.",🍲
"bref, brève",краткий,"Sois <b>bref</b>.","Будь <b>краток</b>.",📝
"brillant, brillante",блестящий,"C'est une idée <b>brillante</b> !","Это <b>блестящая</b> идея!",✨
une marque,марка; след,"C'est une <b>marque</b> célèbre.","Это известная <b>марка</b>.",🏷️
une fumée,дым,"Il y a de la <b>fumée</b>.","Здесь <b>дым</b>.",💨
céder,уступать,"Je ne vais pas <b>céder</b>.","Я не <b>уступлю</b>.",🚫
une saison,сезон,"Quelle est ta <b>saison</b> préférée ?","Какой твой любимый <b>сезон</b>?",🍂
repousser,отталкивать; откладывать,"Il m'a <b>repoussé</b>.","Он меня <b>оттолкнул</b>.",🚫
guérir,выздоравливать; лечить,"Tu vas <b>guérir</b> vite.","Ты быстро <b>выздоровеешь</b>.",💊
bouffer,жрать (разг.),"On va <b>bouffer</b> ?","Пойдём <b>поедим</b>?",🍔
un prisonnier,заключённый,"Le <b>prisonnier</b> s'est évadé.","<b>Заключённый</b> сбежал.",⛓️
"rond, ronde",круглый,"La Terre est <b>ronde</b>.","Земля <b>круглая</b>.",🌍
russe,русский,"Elle apprend le <b>russe</b>.","Она учит <b>русский</b>.",🇷🇺
claquer,хлопать; ломаться (разг.),"La porte a <b>claqué</b>.","Дверь <b>хлопнула</b>.",🚪
rattraper,догонять,"Je vais te <b>rattraper</b> !","Я тебя <b>догоню</b>!",🏃
un uniforme,форма (одежда),"Il porte un <b>uniforme</b>.","Он носит <b>форму</b>.",👔
"inconnu, inconnue",неизвестный,"C'est un numéro <b>inconnu</b>.","Это <b>неизвестный</b> номер.",❓
"égal, égale",равный,"Tous les hommes sont <b>égaux</b>.","Все люди <b>равны</b>.",⚖️
une limite,предел; граница,"Il y a une <b>limite</b> à tout.","Всему есть <b>предел</b>.",🚧
agréable,приятный,"C'est très <b>agréable</b>.","Это очень <b>приятно</b>.",😊
aveugle,слепой,"Il est <b>aveugle</b>.","Он <b>слепой</b>.",👀
un rayon,луч; полка; отдел,"Un <b>rayon</b> de soleil.","<b>Луч</b> солнца.",☀️
voyager,путешествовать,"J'aime <b>voyager</b>.","Я люблю <b>путешествовать</b>.",✈️
un imbécile,идиот,"Quel <b>imbécile</b> !","Какой <b>идиот</b>!",🤦
un sorcier,колдун,"C'est un <b>sorcier</b>.","Это <b>колдун</b>.",🧙
une angoisse,тревога,"J'ai des <b>angoisses</b>.","У меня <b>тревога</b>.",😰
un infirmier,медбрат,"L'<b>infirmier</b> m'a fait une piqûre.","<b>Медбрат</b> сделал мне укол.",💉
un abri,убежище; укрытие,"Cherche un <b>abri</b> !","Ищи <b>укрытие</b>!",🏠
un étudiant,студент,"Je suis <b>étudiant</b> à l'université.","Я <b>студент</b> университета.",🎓
une région,регион,"C'est une belle <b>région</b>.","Это красивый <b>регион</b>.",🗺️
une opinion,мнение,"Quelle est ton <b>opinion</b> ?","Какое твоё <b>мнение</b>?",💭
un bleu,синяк; синий,"J'ai un <b>bleu</b> sur le bras.","У меня <b>синяк</b> на руке.",🔵
une douceur,мягкость; сладость,"J'aime la <b>douceur</b> de ce tissu.","Мне нравится <b>мягкость</b> этой ткани.",🧸
une blessure,рана,"La <b>blessure</b> guérit bien.","<b>Рана</b> хорошо заживает.",🩹
un sou,грош; копейка,"Je n'ai pas un <b>sou</b>.","У меня ни <b>гроша</b>.",💰
une félicitation,поздравление,"<b>Félicitations</b> !","<b>Поздравляю</b>!",🎉
un style,стиль,"J'aime ton <b>style</b>.","Мне нравится твой <b>стиль</b>.",👗
une vision,зрение; видение,"J'ai eu une <b>vision</b>.","У меня было <b>видение</b>.",👁️
détacher,отвязывать; отцеплять,"<b>Détache</b> ta ceinture.","<b>Отстегни</b> ремень.",🔓
un quai,набережная; платформа,"Le train arrive au <b>quai</b> numéro deux.","Поезд прибывает на <b>платформу</b> номер два.",🚉
un contrat,контракт,"J'ai signé un <b>contrat</b>.","Я подписал <b>контракт</b>.",📄
fournir,снабжать; предоставлять,"Ils nous <b>fournissent</b> en matériel.","Они нас <b>снабжают</b> материалами.",📦
une série,серия; сериал,"J'adore cette <b>série</b>.","Я обожаю этот <b>сериал</b>.",📺
"suivant, suivante",следующий,"La page <b>suivante</b>.","<b>Следующая</b> страница.",➡️
habituer,приучать,"Je m'<b>habitue</b> au froid.","Я <b>привыкаю</b> к холоду.",❄️
