French,Russian,ExampleFrench,ExampleRussian,Emoji
autrefois,прежде; когда-то,"<b>Autrefois</b>, il n'y avait pas d'internet.","<b>Раньше</b> не было интернета.",📜
un anniversaire,день рождения; годовщина,"Joyeux <b>anniversaire</b> !","С <b>днём рождения</b>!",🎂
rare,редкий,"C'est un oiseau <b>rare</b>.","Это <b>редкая</b> птица.",💎
une patte,лапа,"Le chat a quatre <b>pattes</b>.","У кошки четыре <b>лапы</b>.",🐾
une demande,просьба; заявка,"J'ai fait une <b>demande</b> de visa.","Я подал <b>заявку</b> на визу.",📝
ravir,восхищать,"Ta performance m'a <b>ravi</b>.","Твоё выступление меня <b>восхитило</b>.",😊
étudier,учиться; изучать,"J'<b>étudie</b> le français chaque jour.","Я <b>изучаю</b> французский каждый день.",📚
un déjeuner,обед (Квебек: завтрак),"On se voit pour le <b>déjeuner</b> ?","Увидимся на <b>обеде</b>?",🍽️
"chéri, chérie","дорогой, -ая; любимый, -ая","<b>Chérie</b>, je suis rentré !","<b>Дорогая</b>, я дома!",❤️
une solution,решение,"J'ai trouvé une <b>solution</b>.","Я нашёл <b>решение</b>.",💡
guère,едва; почти не,"Je n'ai <b>guère</b> le temps.","У меня почти нет времени.",⏰
déclarer,заявлять; декларировать,"Je n'ai rien à <b>déclarer</b>.","Мне нечего <b>декларировать</b>.",📋
un directeur,директор,"Le <b>directeur</b> veut te voir.","<b>Директор</b> хочет тебя видеть.",👨‍💼
large,широкий,"C'est une rue <b>large</b>.","Это <b>широкая</b> улица.",↔️
un souci,беспокойство; забота,"Pas de <b>souci</b> !","Без проблем!",😌
"naturel, naturelle",естественный,"C'est <b>naturel</b>.","Это <b>естественно</b>.",🌿
une rencontre,встреча,"C'était une belle <b>rencontre</b>.","Это была прекрасная <b>встреча</b>.",🤝
saluer,приветствовать,"Je <b>salue</b> mes collègues chaque matin.","Я <b>приветствую</b> коллег каждое утро.",👋
s'enfuir,убегать,"Le voleur s'est <b>enfui</b>.","Вор <b>убежал</b>.",🏃
stupide,глупый,"C'est une question <b>stupide</b>.","Это <b>глупый</b> вопрос.",🙄
un poil,волосок; шерсть,"Le chat perd ses <b>poils</b>.","Кошка теряет <b>шерсть</b>.",🐱
une existence,существование,"C'est une <b>existence</b> tranquille.","Это <b>спокойное</b> существование.",🌍
incroyable,невероятный,"C'est une histoire <b>incroyable</b> !","Это <b>невероятная</b> история!",😮
là-dedans,там внутри,"Qu'est-ce qu'il y a <b>là-dedans</b> ?","Что <b>там внутри</b>?",📦
admettre,признавать; допускать,"J'<b>admets</b> mon erreur.","Я <b>признаю</b> свою ошибку.",✅
murmurer,шептать; бормотать,"Il m'a <b>murmuré</b> un secret.","Он <b>прошептал</b> мне секрет.",🤫
un sable,песок,"Les enfants jouent dans le <b>sable</b>.","Дети играют в <b>песке</b>.",🏖️
un personnage,персонаж,"C'est un <b>personnage</b> intéressant.","Это интересный <b>персонаж</b>.",🎭
peindre,красить; рисовать,"J'aime <b>peindre</b> des paysages.","Я люблю <b>рисовать</b> пейзажи.",🎨
plonger,нырять,"Je <b>plonge</b> dans la piscine.","Я <b>ныряю</b> в бассейн.",🏊
soit,"пусть; или; будь","<b>Soit</b> tu viens, <b>soit</b> tu restes.","<b>Либо</b> ты идёшь, <b>либо</b> остаёшься.",🔀
une toile,полотно; паутина,"L'araignée tisse sa <b>toile</b>.","Паук плетёт <b>паутину</b>.",🕸️
planter,сажать; втыкать,"Je <b>plante</b> des fleurs au jardin.","Я <b>сажаю</b> цветы в саду.",🌱
une base,основа; база,"C'est la <b>base</b> du problème.","Это <b>основа</b> проблемы.",🏗️
un titre,заголовок; звание,"Quel est le <b>titre</b> du livre ?","Какое <b>название</b> книги?",📖
une gorge,горло,"J'ai mal à la <b>gorge</b>.","У меня болит <b>горло</b>.",🤒
un costume,костюм,"Il porte un beau <b>costume</b>.","На нём красивый <b>костюм</b>.",🤵
sympa,симпатичный (разг.),"Elle est très <b>sympa</b>.","Она очень <b>симпатичная</b>.",😊
un baiser,поцелуй,"Il lui a donné un <b>baiser</b>.","Он дал ей <b>поцелуй</b>.",💋
une amitié,дружба,"Notre <b>amitié</b> est forte.","Наша <b>дружба</b> крепкая.",🤝
un commandant,командир,"Le <b>commandant</b> dirige l'opération.","<b>Командир</b> руководит операцией.",🎖️
"public, publique",публичный; общественный,"C'est un espace <b>public</b>.","Это <b>общественное</b> место.",🏛️
"intéressant, intéressante",интересный,"C'est un livre très <b>intéressant</b>.","Это очень <b>интересная</b> книга.",📚
une somme,сумма,"C'est une grosse <b>somme</b> d'argent.","Это большая <b>сумма</b> денег.",💰
une connaissance,знакомый; знание,"C'est une vieille <b>connaissance</b>.","Это старый <b>знакомый</b>.",👋
convenir,подходить; соглашаться,"Ça me <b>convient</b>.","Мне это <b>подходит</b>.",✅
une lampe,лампа,"Allume la <b>lampe</b>.","Включи <b>лампу</b>.",💡
confier,доверять,"Je te <b>confie</b> un secret.","Я <b>доверяю</b> тебе секрет.",🤫
respecter,уважать,"Il faut <b>respecter</b> les règles.","Нужно <b>соблюдать</b> правила.",✅
rose,розовый,"Elle porte une robe <b>rose</b>.","На ней <b>розовое</b> платье.",🌸
une liste,список,"J'ai fait une <b>liste</b> de courses.","Я составил <b>список</b> покупок.",📋
une blague,шутка,"C'est une <b>blague</b> !","Это <b>шутка</b>!",😂
"parfait, parfaite",совершенный; идеальный,"C'est <b>parfait</b> !","<b>Идеально</b>!",👌
renvoyer,отправлять обратно; увольнять,"On l'a <b>renvoyé</b> du travail.","Его <b>уволили</b> с работы.",🚪
une chasse,охота,"La <b>chasse</b> est interdite ici.","<b>Охота</b> здесь запрещена.",🦌
convaincre,убеждать,"J'essaie de le <b>convaincre</b>.","Я пытаюсь его <b>убедить</b>.",💬
une information,информация,"J'ai une <b>information</b> importante.","У меня важная <b>информация</b>.",📢
un fauteuil,кресло,"Assieds-toi dans le <b>fauteuil</b>.","Садись в <b>кресло</b>.",🪑
un sexe,пол; секс,"Quel est le <b>sexe</b> du bébé ?","Какой <b>пол</b> у ребёнка?",👶
"sacré, sacrée","священный; чёртов (разг.)","C'est un <b>sacré</b> menteur !","Это тот ещё <b>врун</b>!",😤
évidemment,очевидно; конечно,"<b>Évidemment</b>, tu as raison.","<b>Очевидно</b>, ты прав.",✅
un théâtre,театр,"On va au <b>théâtre</b> ce soir.","Вечером идём в <b>театр</b>.",🎭
insister,настаивать,"J'<b>insiste</b> pour que tu viennes.","Я <b>настаиваю</b>, чтобы ты пришёл.",💪
un arrêt,остановка,"L'<b>arrêt</b> de bus est ici.","<b>Остановка</b> автобуса здесь.",🚏
écarter,раздвигать; отстранять,"<b>Écarte</b>-toi du chemin.","<b>Отойди</b> с дороги.",↔️
"vif, vive","живой; яркий","C'est une couleur <b>vive</b>.","Это <b>яркий</b> цвет.",🎨
une étude,учёба; исследование,"Je fais mes <b>études</b> à Montréal.","Я <b>учусь</b> в Монреале.",📚
une aventure,приключение,"C'est une belle <b>aventure</b>.","Это прекрасное <b>приключение</b>.",🗺️
une défense,защита; оборона,"C'est pour ma <b>défense</b>.","Это в мою <b>защиту</b>.",🛡️
un fusil,ружьё,"Le chasseur porte un <b>fusil</b>.","Охотник несёт <b>ружьё</b>.",🔫
immobile,неподвижный,"Reste <b>immobile</b>.","Стой <b>неподвижно</b>.",🧍
une différence,различие,"Quelle est la <b>différence</b> ?","В чём <b>разница</b>?",↔️
refaire,переделывать,"Je dois <b>refaire</b> ce travail.","Мне нужно <b>переделать</b> эту работу.",🔄
une jeunesse,молодость,"La <b>jeunesse</b> passe vite.","<b>Молодость</b> проходит быстро.",👶
un pantalon,брюки,"J'ai acheté un nouveau <b>pantalon</b>.","Я купил новые <b>брюки</b>.",👖
un manteau,пальто,"Mets ton <b>manteau</b>, il fait froid.","Надень <b>пальто</b>, холодно.",🧥
politique,политический,"C'est une décision <b>politique</b>.","Это <b>политическое</b> решение.",🏛️
balancer,качать; выбрасывать,"Ne <b>balance</b> pas les bras.","Не <b>размахивай</b> руками.",🔄
finalement,в конце концов,"<b>Finalement</b>, il est venu.","<b>В конце концов</b> он пришёл.",🎯
un résultat,результат,"Quel est le <b>résultat</b> ?","Каков <b>результат</b>?",📊
un miracle,чудо,"C'est un <b>miracle</b> !","Это <b>чудо</b>!",✨
un événement,событие,"C'est un grand <b>événement</b>.","Это большое <b>событие</b>.",🎉
une bombe,бомба,"La <b>bombe</b> a explosé.","<b>Бомба</b> взорвалась.",💥
"nombreux, nombreuse",многочисленный,"Ils sont <b>nombreux</b>.","Их <b>много</b>.",👥
menacer,угрожать,"Il m'a <b>menacé</b>.","Он мне <b>угрожал</b>.",⚠️
dépendre,зависеть,"Ça <b>dépend</b> de toi.","Это <b>зависит</b> от тебя.",🔗
un mensonge,ложь,"C'est un <b>mensonge</b> !","Это <b>ложь</b>!",🤥
renoncer,отказываться,"J'ai <b>renoncé</b> à ce projet.","Я <b>отказался</b> от этого проекта.",🚫
une attaque,атака,"L'<b>attaque</b> a été repoussée.","<b>Атака</b> была отбита.",⚔️
