French,Russian,ExampleFrench,ExampleRussian,Emoji
une terrassière,землекоп (ж.р.),La <b>terrassière</b> creuse.,<b>Землекоп</b> копает.,🏗️
une mécréante,неверующая,Une <b>mécréante</b> obstinée.,Упрямая <b>неверующая</b>.,🚫
jusqu,до (перед гласной),<b>Jusqu'</b>à demain.,<b>До</b> завтра.,📅
une ailière,крайняя нападающая,L'<b>ailière</b> marque un but.,<b>Крайняя</b> забивает гол.,⚽
une videuse,вышибала (ж.р.),La <b>videuse</b> garde l'entrée.,<b>Вышибала</b> охраняет вход.,🚪
une sauveteuse,спасательница,La <b>sauveteuse</b> plonge.,<b>Спасательница</b> ныряет.,🏊‍♀️
vôtre,ваш,Le <b>vôtre</b> est meilleur.,<b>Ваш</b> лучше.,👆
une cantonnière,дорожница,La <b>cantonnière</b> répare la route.,<b>Дорожница</b> чинит дорогу.,🛤️
tap,тап! (звук),<b>Tap tap tap</b> sur le clavier.,<b>Тап-тап-тап</b> по клавиатуре.,⌨️
une planteuse,сажальщица,La <b>planteuse</b> de café.,<b>Сажальщица</b> кофе.,🌱
une armatrice,судовладелица,L'<b>armatrice</b> possède la flotte.,<b>Судовладелица</b> владеет флотом.,🚢
mien,мой,C'est le <b>mien</b>.,Это <b>мой</b>.,👆
floc,плюх!,<b>Floc</b> ! dans l'eau.,<b>Плюх</b>! в воду.,💧
une morte-vivante,живая мертвячка,Une <b>morte-vivante</b> dans le film.,<b>Зомби</b> в фильме.,🧟‍♀️
une prédicatrice,проповедница,La <b>prédicatrice</b> prêche.,<b>Проповедница</b> проповедует.,⛪
sienne,её (притяжат.),C'est la <b>sienne</b>.,Это <b>её</b>.,👆
une pharisienne,фарисейка,Une <b>pharisienne</b> hypocrite.,Лицемерная <b>фарисейка</b>.,🎭
une impuissante,бессильная,Se sentir <b>impuissante</b>.,Чувствовать себя <b>бессильной</b>.,😔
bang,бах! бум!,<b>Bang</b> ! Une explosion.,<b>Бах</b>! Взрыв.,💥
pff,пф! тьфу!,<b>Pff</b>, c'est nul.,<b>Пф</b>, это отстой.,😒
une laboureuse,пахарка,La <b>laboureuse</b> travaille le champ.,<b>Пахарка</b> обрабатывает поле.,🚜
par-dessous,под; снизу,Passer <b>par-dessous</b>.,Пройти <b>снизу</b>.,⬇️
revoici,вот снова,<b>Revoici</b> le printemps !,<b>Вот снова</b> весна!,🌸
une patrouilleuse,патрульная,La <b>patrouilleuse</b> surveille.,<b>Патрульная</b> наблюдает.,👮‍♀️
une sonneuse,звонарка,La <b>sonneuse</b> de cloches.,<b>Звонарка</b>.,🔔
une grossière,грубиянка,Quelle <b>grossière</b> !,Какая <b>грубиянка</b>!,😤
une vietnamienne,вьетнамка,Elle est <b>vietnamienne</b>.,Она <b>вьетнамка</b>.,🇻🇳
bé,ну; бе,<b>Bé</b>, je ne sais pas.,<b>Ну</b>, не знаю.,🤷
une ferrailleuse,старьёвщица,La <b>ferrailleuse</b> recycle.,<b>Старьёвщица</b> перерабатывает.,♻️
dong,динь-дон!,<b>Ding dong</b> ! La cloche sonne.,<b>Динь-дон</b>! Звонит колокол.,🔔
une écoutante,слушательница,L'<b>écoutante</b> au téléphone.,<b>Слушательница</b> на телефоне.,📞
une vénitienne,венецианка,Une <b>vénitienne</b> au carnaval.,<b>Венецианка</b> на карнавале.,🎭
maint,многий; не один,À <b>maintes</b> reprises.,<b>Много</b> раз.,🔄
une maréchale-ferrante,кузнец (ж.р.),La <b>maréchale-ferrante</b> ferre le cheval.,<b>Кузнец</b> подковывает лошадь.,🐴
