French,Russian,ExampleFrench,ExampleRussian,Emoji
une ordonnance,рецепт; предписание,"Le médecin a écrit une <b>ordonnance</b>.","Врач выписал <b>рецепт</b>.",📋
une remarque,замечание,"J'ai une <b>remarque</b> à faire.","У меня есть <b>замечание</b>.",💬
un boche,немец (пренебр.),"Les <b>Boches</b> pendant la guerre. (péjoratif)","<b>Боши</b> во время войны. (пренебр.)",🇩🇪
une pasteure,пастор (ж.р.),"La <b>pasteure</b> a donné un sermon.","<b>Пастор</b> произнесла проповедь.",⛪
café,кофейный (цвет),"Des yeux <b>café</b>.","<b>Кофейные</b> глаза.",☕
un drifter,бродяга; дрифтер,"Ce <b>drifter</b> voyage sans but.","Этот <b>бродяга</b> путешествует без цели.",🚗
un salopard,подонок (груб.),"Quel <b>salopard</b> !","Какой <b>подонок</b>!",🤬
bander,напрягать; возбуждаться,"<b>Bander</b> ses muscles.","<b>Напрягать</b> мышцы.",💪
une mousse,пена; мох,"La <b>mousse</b> de la bière.","<b>Пена</b> пива.",🍺
bye,пока (англ.),"<b>Bye</b>, à plus !","<b>Пока</b>, до скорого!",👋
un promis,жених; обещанный,"C'est mon <b>promis</b>.","Это мой <b>жених</b>.",💍
un pareil,подобный; такой же,"C'est du <b>pareil</b> au même.","<b>Одно и то же</b>.",🟰
moitié,наполовину,"La bouteille est <b>moitié</b> pleine.","Бутылка <b>наполовину</b> полная.",½
man,чувак (англ.),"Salut, <b>man</b> !","Привет, <b>чувак</b>!",🤙
aïe,ай! ой!,"<b>Aïe</b>, ça fait mal !","<b>Ай</b>, больно!",😣
un sous-titre,субтитр,"Le film a des <b>sous-titres</b>.","Фильм с <b>субтитрами</b>.",📝
soi-même,самому себе,"Il faut le faire <b>soi-même</b>.","Нужно сделать <b>самому</b>.",👤
une oublie,вафельная трубочка,"L'<b>oublie</b> est un gâteau ancien.","<b>Облатка</b> — старинное печенье.",🧇
un incroyable,невероятный (субст.),"C'est un <b>incroyable</b> !","Это что-то <b>невероятное</b>!",😮
un rien,пустяк; ничто,"Un <b>rien</b> l'énerve.","Его раздражает <b>любая мелочь</b>.",🤏
un fan,фанат,"Je suis un <b>fan</b> de hockey.","Я <b>фанат</b> хоккея.",🏒
les cieux,небеса,"Les <b>cieux</b> sont bleus.","<b>Небеса</b> голубые.",🌤️
un malaise,недомогание,"J'ai eu un <b>malaise</b>.","Мне стало <b>плохо</b>.",😵
ho,эй! о!,"<b>Ho</b>, attends-moi !","<b>Эй</b>, подожди!",📢
qu,что (перед гласной),"Je sais <b>qu'</b>il viendra.","Я знаю, <b>что</b> он придёт.",📎
quelques-uns,некоторые (м.р.),"<b>Quelques-uns</b> sont restés.","<b>Некоторые</b> остались.",👥
un office,служба; ведомство,"L'<b>office</b> du tourisme.","Туристическое <b>бюро</b>.",🏢
février,февраль,"En <b>février</b>, il fait froid.","В <b>феврале</b> холодно.",❄️
un caporal,капрал,"Le <b>caporal</b> commande les soldats.","<b>Капрал</b> командует солдатами.",🎖️
un moi,эго; я (субст.),"Le <b>moi</b> est haïssable.","<b>Эго</b> отвратительно.",🧠
parti,ушедший; отправившийся,"Il est <b>parti</b> ce matin.","Он <b>уехал</b> утром.",🚶
ben,ну (разг.),"<b>Ben</b> quoi ?","<b>Ну</b> и что?",🤷
une chiotte,сортир (груб.),"Je vais aux <b>chiottes</b>.","Я иду в <b>сортир</b>.",🚽
dessous,снизу; внизу,"Regarde <b>dessous</b>.","Посмотри <b>снизу</b>.",⬇️
une foudre,молния,"La <b>foudre</b> a frappé l'arbre.","<b>Молния</b> ударила в дерево.",⚡
un major,майор,"Le <b>major</b> dirige le bataillon.","<b>Майор</b> командует батальоном.",🎖️
un litre,литр,"Un <b>litre</b> de lait.","<b>Литр</b> молока.",🥛
