French,Russian,ExampleFrench,ExampleRussian,Emoji
un exploit,подвиг,"Un <b>exploit</b> héroïque.","Героический <b>подвиг</b>.",🏆
évoluer,развиваться,"La situation <b>évolue</b>.","Ситуация <b>развивается</b>.",📈
sombrer,тонуть; погружаться,"<b>Sombrer</b> dans la dépression.","<b>Погрузиться</b> в депрессию.",😔
un tournage,съёмки,"Le <b>tournage</b> du film.","<b>Съёмки</b> фильма.",🎬
louper,упускать (разг.),"J'ai <b>loupé</b> le train.","Я <b>опоздал</b> на поезд.",🚂
trinquer,чокаться,"<b>Trinquons</b> à ta santé !","<b>Выпьем</b> за твоё здоровье!",🥂
une république,республика,"La <b>République</b> française.","Французская <b>Республика</b>.",🇫🇷
tâter,ощупывать,"<b>Tâte</b> le terrain.","<b>Прощупай</b> почву.",🤚
un ciment,цемент,"Un mur en <b>ciment</b>.","Стена из <b>цемента</b>.",🧱
un sabre,сабля,"Un <b>sabre</b> laser.","Световой <b>меч</b>.",⚔️
brutalement,грубо,"Il m'a repoussé <b>brutalement</b>.","Он <b>грубо</b> меня оттолкнул.",😠
un terroriste,террорист,"Arrêter un <b>terroriste</b>.","Арестовать <b>террориста</b>.",🚔
un jambon,ветчина,"Un sandwich au <b>jambon</b>.","Сэндвич с <b>ветчиной</b>.",🥪
une observation,наблюдение,"Une <b>observation</b> pertinente.","Уместное <b>наблюдение</b>.",👀
une fantaisie,фантазия,"Une <b>fantaisie</b> musicale.","Музыкальная <b>фантазия</b>.",🎵
un parapluie,зонт,"Prends ton <b>parapluie</b>.","Возьми <b>зонт</b>.",☂️
dépouiller,обирать; лишать,"<b>Dépouiller</b> les victimes.","<b>Обобрать</b> жертв.",💰
"polonais, polonaise",польский,"La cuisine <b>polonaise</b>.","<b>Польская</b> кухня.",🇵🇱
une bille,шарик,"Jouer aux <b>billes</b>.","Играть в <b>шарики</b>.",🔮
imaginaire,воображаемый,"Un ami <b>imaginaire</b>.","<b>Воображаемый</b> друг.",💭
un brin,стебелёк; немного,"Un <b>brin</b> d'herbe.","<b>Травинка</b>.",🌿
un hangar,ангар,"Un <b>hangar</b> à avions.","Авиационный <b>ангар</b>.",✈️
un pâté,паштет,"Un <b>pâté</b> de campagne.","Деревенский <b>паштет</b>.",🥖
soi-disant,так называемый,"Un <b>soi-disant</b> expert.","<b>Так называемый</b> эксперт.",🤔
"incertain, incertaine",неопределённый,"L'avenir est <b>incertain</b>.","Будущее <b>неопределённо</b>.",❓
un tombeau,гробница,"Le <b>tombeau</b> du pharaon.","<b>Гробница</b> фараона.",⚰️
identique,идентичный,"Deux jumeaux <b>identiques</b>.","Два <b>идентичных</b> близнеца.",👬
"majeur, majeure",главный; совершеннолетний,"Un problème <b>majeur</b>.","<b>Главная</b> проблема.",❗
"odieux, odieuse",отвратительный,"Un crime <b>odieux</b>.","<b>Отвратительное</b> преступление.",😠
un citron,лимон,"Un jus de <b>citron</b>.","Лимонный <b>сок</b>.",🍋
une fourmi,муравей,"Une colonie de <b>fourmis</b>.","Колония <b>муравьёв</b>.",🐜
un battement,биение,"Le <b>battement</b> du cœur.","<b>Биение</b> сердца.",❤️
"favori, favorite",любимый,"Mon plat <b>favori</b>.","Моё <b>любимое</b> блюдо.",⭐
un football,футбол,"Jouer au <b>football</b>.","Играть в <b>футбол</b>.",⚽
un chaos,хаос,"C'est le <b>chaos</b>.","Это <b>хаос</b>.",🌀
une audace,смелость,"Quelle <b>audace</b> !","Какая <b>дерзость</b>!",💪
périr,погибать,"<b>Périr</b> en mer.","<b>Погибнуть</b> в море.",🌊
acharner,ожесточённо нападать,"Il s'<b>acharne</b> sur moi.","Он <b>ожесточённо</b> на меня нападает.",😤
une chaussée,мостовая,"La <b>chaussée</b> est glissante.","<b>Дорога</b> скользкая.",🛣️
"volé, volée",украденный,"Une voiture <b>volée</b>.","<b>Угнанная</b> машина.",🚗
une malle,чемодан,"Une vieille <b>malle</b>.","Старый <b>чемодан</b>.",🧳
un robinet,кран,"Ferme le <b>robinet</b>.","Закрой <b>кран</b>.",🚰
décharger,разгружать,"<b>Décharge</b> le camion.","<b>Разгрузи</b> грузовик.",🚚
"isolé, isolée",изолированный,"Un village <b>isolé</b>.","<b>Изолированная</b> деревня.",🏔️
baver,пускать слюни,"Le bébé <b>bave</b>.","Малыш <b>пускает слюни</b>.",👶
agrandir,увеличивать,"<b>Agrandis</b> la photo.","<b>Увеличь</b> фото.",🔍
complice,соучастник (прил.),"Un regard <b>complice</b>.","<b>Заговорщический</b> взгляд.",😏
explorer,исследовать,"<b>Explorer</b> la jungle.","<b>Исследовать</b> джунгли.",🌴
un chameau,верблюд,"Le <b>chameau</b> traverse le désert.","<b>Верблюд</b> пересекает пустыню.",🐫
interne,внутренний,"Un conflit <b>interne</b>.","<b>Внутренний</b> конфликт.",🔄
mécanique,механический,"Une panne <b>mécanique</b>.","<b>Механическая</b> поломка.",🔧
un vote,голосование,"Le <b>vote</b> est terminé.","<b>Голосование</b> завершено.",🗳️
un survivant,выживший,"Les <b>survivants</b> du crash.","<b>Выжившие</b> после крушения.",🙏
