French,Russian,ExampleFrench,ExampleRussian,Emoji
une inauguration,инаугурация,"L'<b>inauguration</b> du monument.","<b>Открытие</b> памятника.",🎀
une icône,икона,"Une <b>icône</b> religieuse.","Религиозная <b>икона</b>.",⛪
incinérer,сжигать,"<b>Incinérer</b> les déchets.","<b>Сжигать</b> отходы.",🔥
délibérer,совещаться,"<b>Délibérer</b> sur un verdict.","<b>Совещаться</b> о вердикте.",⚖️
marchander,торговаться,"<b>Marchander</b> le prix.","<b>Торговаться</b> о цене.",💰
plumer,ощипывать,"<b>Plumer</b> un poulet.","<b>Ощипать</b> курицу.",🐔
un toc,подделка,"C'est du <b>toc</b>.","Это <b>подделка</b>.",❌
une abomination,мерзость,"Quelle <b>abomination</b> !","Какая <b>мерзость</b>!",😱
une chaudière,котёл,"Une <b>chaudière</b> à gaz.","Газовый <b>котёл</b>.",🔥
une nervosité,нервозность,"Avec <b>nervosité</b>.","С <b>нервозностью</b>.",😬
raviser,передумать,"Se <b>raviser</b> au dernier moment.","<b>Передумать</b> в последний момент.",🤔
invalide,инвалид,"Un ancien <b>invalide</b>.","Бывший <b>инвалид</b>.",♿
conformer,согласовывать,"Se <b>conformer</b> aux règles.","<b>Соответствовать</b> правилам.",✅
une aubaine,удача,"Quelle <b>aubaine</b> !","Какая <b>удача</b>!",🍀
une hausse,повышение,"Une <b>hausse</b> des prix.","<b>Повышение</b> цен.",📈
"coutumier, coutumière",привычный,"Un geste <b>coutumier</b>.","<b>Привычный</b> жест.",🔄
"choqué, choquée",шокированный,"Profondément <b>choqué</b>.","Глубоко <b>шокированный</b>.",😮
finement,тонко,"Trancher <b>finement</b>.","<b>Тонко</b> нарезать.",🔪
une dictée,диктант,"Faire une <b>dictée</b>.","Писать <b>диктант</b>.",📝
déplorable,прискорбный,"Une situation <b>déplorable</b>.","<b>Прискорбная</b> ситуация.",😔
sanctifier,освящать,"<b>Sanctifier</b> un lieu.","<b>Освятить</b> место.",⛪
une proue,нос корабля,"La <b>proue</b> du navire.","<b>Нос</b> корабля.",🚢
un thermomètre,термометр,"Lire le <b>thermomètre</b>.","Смотреть на <b>термометр</b>.",🌡️
une urne,урна,"Une <b>urne</b> électorale.","Избирательная <b>урна</b>.",🗳️
un courroux,гнев,"Son <b>courroux</b> est terrible.","Его <b>гнев</b> ужасен.",😡
une biologie,биология,"Étudier la <b>biologie</b>.","Изучать <b>биологию</b>.",🧬
"autorisé, autorisée",уполномоченный,"Un personnel <b>autorisé</b>.","<b>Уполномоченный</b> персонал.",✅
inutilement,напрасно,"Attendre <b>inutilement</b>.","Ждать <b>напрасно</b>.",😔
bancaire,банковский,"Un compte <b>bancaire</b>.","<b>Банковский</b> счёт.",🏦
