French,Russian,ExampleFrench,ExampleRussian,Emoji
un député,депутат,"Le <b>député</b> vote la loi.","<b>Депутат</b> голосует за закон.",🏛️
une destination,место назначения,"Quelle est ta <b>destination</b> ?","Какой пункт <b>назначения</b>?",✈️
renouveler,возобновлять,"<b>Renouveler</b> son passeport.","<b>Обновить</b> паспорт.",📔
"tordu, tordue",скрученный,"Un fil <b>tordu</b>.","<b>Скрученная</b> проволока.",🔄
une poire,груша,"Une tarte aux <b>poires</b>.","Пирог с <b>грушами</b>.",🍐
une harmonie,гармония,"Vivre en <b>harmonie</b>.","Жить в <b>гармонии</b>.",☯️
"inconscient, inconsciente",бессознательный,"Il est <b>inconscient</b>.","Он <b>без сознания</b>.",😵
obséder,одержимо преследовать,"Cette idée m'<b>obsède</b>.","Эта мысль меня <b>преследует</b>.",🧠
un scrupule,угрызение совести,"Sans <b>scrupule</b>.","Без <b>угрызений совести</b>.",😬
liquide,жидкий,"Un savon <b>liquide</b>.","<b>Жидкое</b> мыло.",💧
une stupeur,оцепенение,"Frappé de <b>stupeur</b>.","Поражённый <b>оцепенением</b>.",😮
"clos, close",закрытый,"À huis <b>clos</b>.","За закрытыми <b>дверями</b>.",🚪
antique,античный,"Une civilisation <b>antique</b>.","<b>Античная</b> цивилизация.",🏛️
une amertume,горечь,"Avec <b>amertume</b>.","С <b>горечью</b>.",😔
une légion,легион,"La Légion <b>étrangère</b>.","Иностранный <b>легион</b>.",🪖
un contenu,содержимое,"Le <b>contenu</b> du paquet.","<b>Содержимое</b> пакета.",📦
un continent,континент,"Le <b>continent</b> africain.","Африканский <b>континент</b>.",🌍
une évolution,эволюция,"L'<b>évolution</b> des espèces.","<b>Эволюция</b> видов.",🦎
tacher,пачкать,"Ne <b>tache</b> pas ta chemise.","Не <b>испачкай</b> рубашку.",👕
une corvée,повинность; нудная работа,"Quelle <b>corvée</b> !","Какая <b>морока</b>!",😩
un feuillage,листва,"Le <b>feuillage</b> des arbres.","<b>Листва</b> деревьев.",🌿
fidèle,верный,"Un ami <b>fidèle</b>.","<b>Верный</b> друг.",🐕
un écolier,школьник,"Un jeune <b>écolier</b>.","Юный <b>школьник</b>.",📚
proclamer,провозглашать,"<b>Proclamer</b> la victoire.","<b>Провозгласить</b> победу.",📢
un commencement,начало,"Le <b>commencement</b> du monde.","<b>Начало</b> мира.",🌅
un couvercle,крышка,"Mets le <b>couvercle</b>.","Надень <b>крышку</b>.",🍲
dévoiler,раскрывать,"<b>Dévoiler</b> un secret.","<b>Раскрыть</b> секрет.",🤫
un crapaud,жаба,"Un <b>crapaud</b> dans le jardin.","<b>Жаба</b> в саду.",🐸
indépendant,независимый,"Un travailleur <b>indépendant</b>.","<b>Независимый</b> работник.",💼
passionner,увлекать,"Ce sujet me <b>passionne</b>.","Эта тема меня <b>увлекает</b>.",❤️
un étang,пруд,"Un <b>étang</b> de poissons.","<b>Пруд</b> с рыбами.",🐟
baser,основывать,"<b>Basé</b> sur une histoire vraie.","<b>Основано</b> на реальных событиях.",📖
résigner,смиряться,"Il s'est <b>résigné</b>.","Он <b>смирился</b>.",😔
une griffe,коготь,"Les <b>griffes</b> du chat.","<b>Когти</b> кота.",🐱
extraire,извлекать,"<b>Extraire</b> une dent.","<b>Удалить</b> зуб.",🦷
un confort,комфорт,"Le <b>confort</b> de la maison.","<b>Комфорт</b> дома.",🏠
une salive,слюна,"La <b>salive</b> aide à digérer.","<b>Слюна</b> помогает пищеварению.",💧
gifler,давать пощёчину,"Elle l'a <b>giflé</b>.","Она дала ему <b>пощёчину</b>.",✋
une croûte,корка,"La <b>croûte</b> du pain.","<b>Корка</b> хлеба.",🍞
un rite,обряд,"Un <b>rite</b> religieux.","Религиозный <b>обряд</b>.",🙏
éclaircir,прояснять,"<b>Éclaircis</b> la situation.","<b>Проясни</b> ситуацию.",💡
"répugnant, répugnante",отвратительный,"Un comportement <b>répugnant</b>.","<b>Отвратительное</b> поведение.",🤢
un record,рекорд,"Battre un <b>record</b>.","Побить <b>рекорд</b>.",🏆
implorer,умолять,"<b>Implorer</b> le pardon.","<b>Умолять</b> о прощении.",🙏
une fosse,яма,"Une <b>fosse</b> commune.","Общая <b>могила</b>.",🕳️
une pharmacie,аптека,"Acheter à la <b>pharmacie</b>.","Купить в <b>аптеке</b>.",💊
"strict, stricte",строгий,"Des règles <b>strictes</b>.","<b>Строгие</b> правила.",📋
un pois,горох,"Des petits <b>pois</b>.","Зелёный <b>горошек</b>.",🫛
un foulard,платок,"Un <b>foulard</b> de soie.","Шёлковый <b>платок</b>.",🧣
"financier, financière",финансовый,"Une crise <b>financière</b>.","<b>Финансовый</b> кризис.",💰
accéder,получать доступ,"<b>Accéder</b> au site.","<b>Получить доступ</b> к сайту.",🔓
une antenne,антенна,"L'<b>antenne</b> de télévision.","Телевизионная <b>антенна</b>.",📡
"aîné, aînée",старший,"Mon frère <b>aîné</b>.","Мой <b>старший</b> брат.",👨
une simplicité,простота,"La <b>simplicité</b> est la clé.","<b>Простота</b> — это ключ.",✨
une flûte,флейта,"Jouer de la <b>flûte</b>.","Играть на <b>флейте</b>.",🎵
encaisser,выдерживать; инкассировать,"Il sait <b>encaisser</b> les coups.","Он умеет <b>выдерживать</b> удары.",🥊
un dessein,замысел,"Avec le <b>dessein</b> de réussir.","С <b>намерением</b> преуспеть.",🎯
un missile,ракета,"Un <b>missile</b> nucléaire.","Ядерная <b>ракета</b>.",🚀
un registre,реестр,"Le <b>registre</b> des naissances.","<b>Реестр</b> рождений.",📋
"gênant, gênante",неловкий,"Une situation <b>gênante</b>.","<b>Неловкая</b> ситуация.",😳
épouvantable,ужасающий,"Un temps <b>épouvantable</b>.","<b>Ужасная</b> погода.",🌧️
paralyser,парализовать,"La peur le <b>paralyse</b>.","Страх его <b>парализует</b>.",😨
résumer,резюмировать,"<b>Résume</b> l'histoire.","<b>Резюмируй</b> историю.",📝
féroce,свирепый,"Un animal <b>féroce</b>.","<b>Свирепое</b> животное.",🦁
ruer,брыкаться,"Le cheval se <b>rue</b>.","Лошадь <b>брыкается</b>.",🐴
faciliter,облегчать,"<b>Faciliter</b> le travail.","<b>Облегчить</b> работу.",👍
incompréhensible,непонятный,"C'est <b>incompréhensible</b>.","Это <b>непонятно</b>.",🤷
diffuser,распространять,"<b>Diffuser</b> une émission.","<b>Транслировать</b> передачу.",📺
un jeton,жетон,"Un <b>jeton</b> de casino.","Казино <b>жетон</b>.",🎰
un business,бизнес,"Faire du <b>business</b>.","Делать <b>бизнес</b>.",💼
une farine,мука,"De la <b>farine</b> de blé.","Пшеничная <b>мука</b>.",🌾
"bruyant, bruyante",шумный,"Une rue <b>bruyante</b>.","<b>Шумная</b> улица.",📢
redonner,возвращать,"<b>Redonne</b>-moi mon livre.","<b>Верни</b> мне мою книгу.",📚
un fermier,фермер,"Le <b>fermier</b> cultive ses terres.","<b>Фермер</b> обрабатывает землю.",🧑‍🌾
embaucher,нанимать,"<b>Embaucher</b> un employé.","<b>Нанять</b> сотрудника.",💼
un dingue,сумасшедший (разг.),"C'est un <b>dingue</b>.","Он <b>чокнутый</b>.",🤪
souiller,осквернять,"<b>Souiller</b> une réputation.","<b>Запятнать</b> репутацию.",😔
un manuscrit,рукопись,"Un vieux <b>manuscrit</b>.","Старая <b>рукопись</b>.",📜
"éclatant, éclatante",яркий,"Une couleur <b>éclatante</b>.","<b>Яркий</b> цвет.",✨
éblouir,ослеплять,"Le soleil m'<b>éblouit</b>.","Солнце меня <b>ослепляет</b>.",☀️
un square,сквер,"Un <b>square</b> avec des bancs.","<b>Сквер</b> со скамейками.",🌳
une agression,агрессия,"Victime d'une <b>agression</b>.","Жертва <b>нападения</b>.",😨
