French,Russian,ExampleFrench,ExampleRussian,Emoji
accoster,причаливать,"<b>Accoster</b> au port.","<b>Причалить</b> к порту.",⚓
impensable,немыслимый,"C'est <b>impensable</b> !","Это <b>немыслимо</b>!",😱
force,много,"<b>Force</b> détails.","<b>Много</b> деталей.",📚
obscurément,смутно,"<b>Obscurément</b> conscient.","<b>Смутно</b> осознавая.",🤔
"rôti, rôtie",жареный,"Un poulet <b>rôti</b>.","<b>Жареная</b> курица.",🍗
un paravent,ширма,"Se cacher derrière un <b>paravent</b>.","Прятаться за <b>ширмой</b>.",🪟
un épouvantail,пугало,"Un <b>épouvantail</b> dans le champ.","<b>Пугало</b> на поле.",🎃
une exclusivité,эксклюзив,"En <b>exclusivité</b>.","<b>Эксклюзивно</b>.",⭐
une ogive,боеголовка,"Une <b>ogive</b> nucléaire.","Ядерная <b>боеголовка</b>.",☢️
un rétablissement,выздоровление,"Un prompt <b>rétablissement</b>.","Скорейшего <b>выздоровления</b>.",💊
désintéresser,делать равнодушным,"Se <b>désintéresser</b> de la politique.","<b>Потерять интерес</b> к политике.",🤷
"développé, développée",развитый,"Un pays <b>développé</b>.","<b>Развитая</b> страна.",🌍
indiscutable,бесспорный,"Un fait <b>indiscutable</b>.","<b>Бесспорный</b> факт.",✅
un tribord,правый борт,"Tourner à <b>tribord</b>.","Повернуть на <b>правый борт</b>.",🚢
rehausser,повышать,"<b>Rehausser</b> le prestige.","<b>Повысить</b> престиж.",📈
un charpentier,плотник,"Le <b>charpentier</b> construit.","<b>Плотник</b> строит.",🪓
un demi-frère,сводный брат,"Mon <b>demi-frère</b>.","Мой <b>сводный брат</b>.",👨‍👦
un nourrisson,грудничок,"Un <b>nourrisson</b> de trois mois.","Трёхмесячный <b>грудничок</b>.",👶
une casbah,касба,"La <b>casbah</b> d'Alger.","<b>Касба</b> Алжира.",🏛️
recoller,склеивать,"<b>Recoller</b> les morceaux.","<b>Склеить</b> кусочки.",🔧
un gringo,гринго,"Un <b>gringo</b> au Mexique.","<b>Гринго</b> в Мексике.",🤠
"chevelu, chevelue",волосатый,"Un homme <b>chevelu</b>.","<b>Волосатый</b> мужчина.",💇
"dédaigneux, dédaigneuse",презрительный,"Un regard <b>dédaigneux</b>.","<b>Презрительный</b> взгляд.",😒
détromper,разубеждать,"<b>Détromper</b> quelqu'un.","<b>Разубедить</b> кого-то.",💡
rejouer,переиграть,"<b>Rejouer</b> la scène.","<b>Переиграть</b> сцену.",🎬
"saccadé, saccadée",прерывистый,"Un mouvement <b>saccadé</b>.","<b>Прерывистое</b> движение.",🤖
un bourrelet,валик,"Un <b>bourrelet</b> de graisse.","<b>Складка</b> жира.",🍩
un vrac,навалом,"En <b>vrac</b>.","<b>Навалом</b>.",📦
pudique,стыдливый,"Un geste <b>pudique</b>.","<b>Стыдливый</b> жест.",😊
un décorateur,декоратор,"Un <b>décorateur</b> d'intérieur.","Интерьерный <b>декоратор</b>.",🎨
une admission,допуск,"L'<b>admission</b> à l'université.","<b>Допуск</b> в университет.",🎓
une perpétuité,пожизненное,"Condamné à <b>perpétuité</b>.","Осуждённый <b>пожизненно</b>.",⛓️
un avant-poste,аванпост,"Un <b>avant-poste</b> militaire.","Военный <b>аванпост</b>.",🏰
une encolure,вырез,"Une large <b>encolure</b>.","Широкий <b>вырез</b>.",👗
un vicomte,виконт,"Le <b>vicomte</b> de Valmont.","<b>Виконт</b> де Вальмон.",👑
une rhubarbe,ревень,"Une tarte à la <b>rhubarbe</b>.","Пирог с <b>ревенем</b>.",🥧
adepte,приверженец,"Un <b>adepte</b> du yoga.","<b>Приверженец</b> йоги.",🧘
"digital, digitale",цифровой,"L'ère <b>digitale</b>.","<b>Цифровая</b> эпоха.",📱
enfanter,рождать,"<b>Enfanter</b> dans la douleur.","<b>Рождать</b> в муках.",👶
"juteux, juteuse",сочный,"Une poire <b>juteuse</b>.","<b>Сочная</b> груша.",🍐
