French,Russian,ExampleFrench,ExampleRussian,Emoji
un coton,хлопок,"Une chemise en <b>coton</b>.","Рубашка из <b>хлопка</b>.",👕
un symbole,символ,"C'est un <b>symbole</b> de paix.","Это <b>символ</b> мира.",☮️
admirable,восхитительный,"C'est <b>admirable</b>.","Это <b>восхитительно</b>.",✨
une arrestation,арест,"L'<b>arrestation</b> du suspect.","<b>Арест</b> подозреваемого.",🚔
jusque-là,до сих пор,"<b>Jusque-là</b>, tout va bien.","<b>До сих пор</b> всё хорошо.",📍
imprimer,печатать,"<b>Imprime</b> le document.","<b>Распечатай</b> документ.",🖨️
"effrayant, effrayante",пугающий,"C'est <b>effrayant</b>.","Это <b>пугающе</b>.",😱
une vedette,звезда; катер,"C'est une <b>vedette</b> du cinéma.","Это кино<b>звезда</b>.",⭐
une morale,мораль,"La <b>morale</b> de l'histoire.","<b>Мораль</b> истории.",📖
une blouse,блузка; халат,"Mets ta <b>blouse</b> blanche.","Надень белый <b>халат</b>.",🥼
une boisson,напиток,"Une <b>boisson</b> fraîche.","Прохладный <b>напиток</b>.",🥤
drôlement,ужасно (разг.); смешно,"C'est <b>drôlement</b> bien.","Это <b>ужасно</b> хорошо.",😄
chérir,лелеять,"Je <b>chéris</b> ce souvenir.","Я <b>лелею</b> это воспоминание.",❤️
une caresse,ласка,"Une douce <b>caresse</b>.","Нежная <b>ласка</b>.",🤗
un instituteur,учитель (началка),"L'<b>instituteur</b> enseigne.","<b>Учитель</b> преподаёт.",👨‍🏫
une surveillance,наблюдение,"Sous <b>surveillance</b>.","Под <b>наблюдением</b>.",👁️
aveugle,слепой,"Il est <b>aveugle</b>.","Он <b>слепой</b>.",👁️‍🗨️
un noeud,узел,"Fais un <b>nœud</b>.","Завяжи <b>узел</b>.",🎀
rétablir,восстанавливать,"<b>Rétablir</b> l'ordre.","<b>Восстановить</b> порядок.",🔧
"fatal, fatale",роковой,"Une erreur <b>fatale</b>.","<b>Роковая</b> ошибка.",💀
déployer,развёртывать,"<b>Déploie</b> les troupes.","<b>Разверни</b> войска.",🪖
"ennemi, ennemie",вражеский,"Le camp <b>ennemi</b>.","<b>Вражеский</b> лагерь.",⚔️
"infini, infinie",бесконечный,"L'univers est <b>infini</b>.","Вселенная <b>бесконечна</b>.",♾️
arroser,поливать,"<b>Arrose</b> les plantes.","<b>Полей</b> растения.",🌱
détective,детектив,"Le <b>détective</b> enquête.","<b>Детектив</b> расследует.",🔍
mater,подчинять; глазеть (разг.),"Arrête de <b>mater</b> !","Хватит <b>пялиться</b>!",👀
une coutume,обычай,"C'est une vieille <b>coutume</b>.","Это старый <b>обычай</b>.",🎎
un objectif,цель; объектив,"Quel est ton <b>objectif</b> ?","Какова твоя <b>цель</b>?",🎯
un compliment,комплимент,"Merci pour le <b>compliment</b>.","Спасибо за <b>комплимент</b>.",😊
tragique,трагический,"Une fin <b>tragique</b>.","<b>Трагический</b> конец.",😢
une occupation,занятие; оккупация,"Quelle est ton <b>occupation</b> ?","Чем ты <b>занимаешься</b>?",💼
un milliard,миллиард,"Un <b>milliard</b> de dollars.","<b>Миллиард</b> долларов.",💰
une descente,спуск,"La <b>descente</b> de police.","Полицейский <b>рейд</b>.",🚔
soviétique,советский,"L'Union <b>soviétique</b>.","<b>Советский</b> Союз.",☭
une bicyclette,велосипед,"Je fais de la <b>bicyclette</b>.","Я катаюсь на <b>велосипеде</b>.",🚲
un refus,отказ,"Son <b>refus</b> est clair.","Его <b>отказ</b> ясен.",🚫
une médaille,медаль,"Il a gagné une <b>médaille</b>.","Он выиграл <b>медаль</b>.",🥇
un réseau,сеть,"Le <b>réseau</b> social.","Социальная <b>сеть</b>.",🌐
une cheville,лодыжка,"Je me suis tordu la <b>cheville</b>.","Я подвернул <b>лодыжку</b>.",🦶
"fabuleux, fabuleuse",сказочный,"Une histoire <b>fabuleuse</b>.","<b>Сказочная</b> история.",✨
reproduire,воспроизводить,"<b>Reproduis</b> ce dessin.","<b>Воспроизведи</b> этот рисунок.",🎨
une dose,доза,"Une <b>dose</b> de médicament.","<b>Доза</b> лекарства.",💊
un géant,великан,"C'est un <b>géant</b>.","Это <b>великан</b>.",🗿
une tendance,тенденция,"La nouvelle <b>tendance</b>.","Новая <b>тенденция</b>.",📈
une fraîcheur,свежесть,"La <b>fraîcheur</b> du matin.","Утренняя <b>свежесть</b>.",🌅
