French,Russian,ExampleFrench,ExampleRussian,Emoji
ballotter,болтать,"Le bateau <b>ballotte</b>.","Лодку <b>болтает</b>.",🚢
crédible,правдоподобный,"Une histoire <b>crédible</b>.","<b>Правдоподобная</b> история.",✅
une psychanalyse,психоанализ,"Faire une <b>psychanalyse</b>.","Проходить <b>психоанализ</b>.",🛋️
"surhumain, surhumaine",сверхчеловеческий,"Un effort <b>surhumain</b>.","<b>Сверхчеловеческое</b> усилие.",💪
une galoche,калоша,"Des <b>galoches</b> de pluie.","Дождевые <b>калоши</b>.",👢
formellement,формально,"<b>Formellement</b> interdit.","<b>Формально</b> запрещено.",🚫
mordiller,покусывать,"<b>Mordiller</b> un crayon.","<b>Покусывать</b> карандаш.",✏️
un brésilien,бразилец,"Un <b>Brésilien</b> de Rio.","<b>Бразилец</b> из Рио.",🇧🇷
un germe,зародыш,"Un <b>germe</b> de blé.","<b>Зародыш</b> пшеницы.",🌱
une revendication,требование,"Une <b>revendication</b> salariale.","<b>Требование</b> о зарплате.",📢
"médiéval, médiévale",средневековый,"Un château <b>médiéval</b>.","<b>Средневековый</b> замок.",🏰
un sniper,снайпер,"Un <b>sniper</b> en position.","<b>Снайпер</b> на позиции.",🎯
théorique,теоретический,"Un cours <b>théorique</b>.","<b>Теоретический</b> курс.",📚
une cuirasse,кираса,"Une <b>cuirasse</b> de chevalier.","Рыцарская <b>кираса</b>.",🛡️
une incarnation,воплощение,"L'<b>incarnation</b> du mal.","<b>Воплощение</b> зла.",😈
"narquois, narquoise",насмешливый,"Un sourire <b>narquois</b>.","<b>Насмешливая</b> улыбка.",😏
un acacia,акация,"Un <b>acacia</b> en fleurs.","Цветущая <b>акация</b>.",🌳
un spot,прожектор,"Un <b>spot</b> lumineux.","Световой <b>прожектор</b>.",💡
négligeable,пренебрежимый,"Un détail <b>négligeable</b>.","<b>Пренебрежимая</b> деталь.",🤷
une particularité,особенность,"Une <b>particularité</b> locale.","Местная <b>особенность</b>.",📍
"déchaîné, déchaînée",разбушевавшийся,"Une mer <b>déchaînée</b>.","<b>Разбушевавшееся</b> море.",🌊
"fripé, fripée",помятый,"Une chemise <b>fripée</b>.","<b>Помятая</b> рубашка.",👔
un excrément,экскременты,"Des <b>excréments</b> d'animaux.","<b>Экскременты</b> животных.",💩
un justicier,мститель,"Un <b>justicier</b> masqué.","Замаскированный <b>мститель</b>.",🦸
une amélioration,улучшение,"Une <b>amélioration</b> notable.","Заметное <b>улучшение</b>.",📈
une fouine,куница,"Une <b>fouine</b> dans le grenier.","<b>Куница</b> на чердаке.",🐾
une volute,завиток,"Des <b>volutes</b> de fumée.","<b>Завитки</b> дыма.",💨
espacer,разделять промежутками,"<b>Espacer</b> les visites.","<b>Разделять</b> визиты.",📅
glaner,собирать,"<b>Glaner</b> des informations.","<b>Собирать</b> информацию.",📝
hygiénique,гигиенический,"Du papier <b>hygiénique</b>.","<b>Туалетная</b> бумага.",🧻
un acajou,красное дерево,"Un meuble en <b>acajou</b>.","Мебель из <b>красного дерева</b>.",🪵
un gosier,глотка,"Avoir le <b>gosier</b> sec.","Пересохшая <b>глотка</b>.",🗣️
une omoplate,лопатка,"Une douleur à l'<b>omoplate</b>.","Боль в <b>лопатке</b>.",🦴
épauler,поддержать,"<b>Épauler</b> un ami.","<b>Поддержать</b> друга.",🤝
épeler,произносить по буквам,"<b>Épeler</b> son nom.","<b>Произнести по буквам</b> имя.",🔤
dégénérer,деградировать,"La situation <b>dégénère</b>.","Ситуация <b>деградирует</b>.",📉
