French,Russian,ExampleFrench,ExampleRussian,Emoji
une dizaine,десяток (около),"Une <b>dizaine</b> de personnes.","<b>Около десяти</b> человек.",🔢
une cheminée,камин; дымовая труба,"Le feu brûle dans la <b>cheminée</b>.","Огонь горит в <b>камине</b>.",🔥
une cible,мишень,"J'ai touché la <b>cible</b>.","Я попал в <b>мишень</b>.",🎯
incliner,наклонять,"<b>Incline</b> la tête.","<b>Наклони</b> голову.",↘️
une cravate,галстук,"Mets ta <b>cravate</b>.","Надень <b>галстук</b>.",👔
"armé, armée",вооружённый,"Il est <b>armé</b>.","Он <b>вооружён</b>.",🔫
une tempête,буря,"La <b>tempête</b> arrive.","<b>Буря</b> приближается.",🌪️
nier,отрицать,"Il <b>nie</b> tout.","Он всё <b>отрицает</b>.",🙅
moche,уродливый (разг.),"C'est <b>moche</b>.","Это <b>уродливо</b>.",😬
luire,сиять,"Les étoiles <b>luisent</b>.","Звёзды <b>сияют</b>.",✨
une avenue,проспект,"L'<b>avenue</b> des Champs-Élysées.","<b>Проспект</b> Елисейских Полей.",🛣️
un sacrifice,жертва,"C'est un grand <b>sacrifice</b>.","Это большая <b>жертва</b>.",🙏
un tuyau,труба; совет (разг.),"Le <b>tuyau</b> est bouché.","<b>Труба</b> засорена.",🔧
un instinct,инстинкт,"Fais confiance à ton <b>instinct</b>.","Доверяй своему <b>инстинкту</b>.",🧠
déshabiller,раздевать,"<b>Déshabille</b>-toi.","<b>Раздевайся</b>.",👕
un regret,сожаление,"Je n'ai aucun <b>regret</b>.","У меня нет <b>сожалений</b>.",😔
bourrer,набивать,"<b>Bourre</b> pas trop le sac.","Не <b>набивай</b> сумку слишком.",📦
contacter,связаться,"Je vais te <b>contacter</b>.","Я с тобой <b>свяжусь</b>.",📞
un incident,инцидент,"Il y a eu un <b>incident</b>.","Произошёл <b>инцидент</b>.",⚠️
"âgé, âgée",пожилой,"Il est <b>âgé</b> de soixante ans.","Ему шестьдесят лет.",👴
un aspect,аспект; вид,"C'est un <b>aspect</b> important.","Это важный <b>аспект</b>.",📊
un courrier,почта; письмо,"J'ai reçu du <b>courrier</b>.","Я получил <b>почту</b>.",📬
boucler,застёгивать; завершать,"<b>Boucle</b> ta ceinture.","<b>Застегни</b> ремень.",🔒
un reflet,отражение,"Je vois mon <b>reflet</b>.","Я вижу своё <b>отражение</b>.",🪞
un veuf,вдовец,"Il est <b>veuf</b>.","Он <b>вдовец</b>.",🖤
suspendre,подвешивать; приостанавливать,"<b>Suspends</b> ton manteau.","<b>Повесь</b> пальто.",🧥
un menteur,лжец,"C'est un <b>menteur</b>.","Это <b>лжец</b>.",🤥
une vente,продажа,"La <b>vente</b> est conclue.","<b>Продажа</b> завершена.",💰
soucier,беспокоиться,"Ne te <b>soucie</b> pas.","Не <b>волнуйся</b>.",😌
populaire,популярный,"C'est une chanson <b>populaire</b>.","Это <b>популярная</b> песня.",⭐
"fini, finie",законченный,"C'est <b>fini</b>.","Это <b>конец</b>.",🏁
"absolu, absolue",абсолютный,"C'est une vérité <b>absolue</b>.","Это <b>абсолютная</b> истина.",💯
un danseur,танцор,"C'est un bon <b>danseur</b>.","Он хороший <b>танцор</b>.",💃
une armoire,шкаф,"L'<b>armoire</b> est pleine.","<b>Шкаф</b> полон.",🪟
un secteur,сектор,"Le <b>secteur</b> privé.","<b>Частный</b> сектор.",📊
un chevalier,рыцарь,"Le <b>chevalier</b> combat.","<b>Рыцарь</b> сражается.",⚔️
un degré,степень; градус,"Il fait vingt <b>degrés</b>.","На улице двадцать <b>градусов</b>.",🌡️
un suicide,самоубийство,"C'est un <b>suicide</b>.","Это <b>самоубийство</b>.",😢
une file,очередь; ряд,"Mets-toi dans la <b>file</b>.","Встань в <b>очередь</b>.",👥
"étonnant, étonnante",удивительный,"C'est <b>étonnant</b> !","Это <b>удивительно</b>!",😮
siffler,свистеть,"Il sait <b>siffler</b>.","Он умеет <b>свистеть</b>.",🎵
"compliqué, compliquée",сложный,"C'est <b>compliqué</b>.","Это <b>сложно</b>.",🧩
"las, lasse",усталый; утомлённый,"Je suis <b>las</b>.","Я <b>устал</b>.",😴
"direct, directe",прямой,"C'est un vol <b>direct</b>.","Это <b>прямой</b> рейс.",✈️
un baron,барон,"Le <b>baron</b> du château.","<b>Барон</b> замка.",👑
une vengeance,месть,"La <b>vengeance</b> est un plat froid.","<b>Месть</b> — блюдо холодное.",😠
un musée,музей,"Je visite le <b>musée</b>.","Я посещаю <b>музей</b>.",🏛️
une émission,передача; выпуск,"J'ai regardé une <b>émission</b>.","Я посмотрел <b>передачу</b>.",📺
justifier,оправдывать,"Je dois <b>justifier</b> ma décision.","Мне нужно <b>оправдать</b> своё решение.",📝
emplir,наполнять,"La salle s'<b>emplit</b> de monde.","Зал <b>наполняется</b> людьми.",👥
un commerce,торговля; магазин,"Il tient un <b>commerce</b>.","У него <b>магазин</b>.",🏪
une humanité,человечество,"L'<b>humanité</b> progresse.","<b>Человечество</b> развивается.",🌍
"serré, serrée",тесный; сжатый,"Le pantalon est trop <b>serré</b>.","Брюки слишком <b>тесные</b>.",👖
fréquenter,посещать; встречаться,"Je <b>fréquente</b> ce café.","Я <b>хожу</b> в это кафе.",☕
un jouet,игрушка,"L'enfant joue avec son <b>jouet</b>.","Ребёнок играет со своей <b>игрушкой</b>.",🧸
"civil, civile",гражданский,"La guerre <b>civile</b>.","<b>Гражданская</b> война.",⚔️
approuver,одобрять,"J'<b>approuve</b> ta décision.","Я <b>одобряю</b> твоё решение.",👍
un citoyen,гражданин,"C'est un <b>citoyen</b> canadien.","Это канадский <b>гражданин</b>.",🇨🇦
"moral, morale",моральный,"C'est un dilemme <b>moral</b>.","Это <b>моральная</b> дилемма.",⚖️
"médical, médicale",медицинский,"L'examen <b>médical</b>.","<b>Медицинский</b> осмотр.",🏥
un tiroir,ящик (мебель),"Ouvre le <b>tiroir</b>.","Открой <b>ящик</b>.",🗄️
déménager,переезжать,"Je vais <b>déménager</b>.","Я собираюсь <b>переехать</b>.",📦
un pouce,большой палец; дюйм,"Lève le <b>pouce</b> !","Подними <b>большой палец</b>!",👍
"prisonnier, prisonnière",пленный,"Il est <b>prisonnier</b>.","Он <b>в плену</b>.",⛓️
une éternité,вечность,"Ça fait une <b>éternité</b>.","Это <b>целая вечность</b>.",♾️
un crétin,кретин,"Quel <b>crétin</b> !","Какой <b>кретин</b>!",🙄
vaguement,смутно,"Je m'en souviens <b>vaguement</b>.","Я <b>смутно</b> помню.",🤔
un écran,экран,"Regarde l'<b>écran</b>.","Смотри на <b>экран</b>.",📺
ordinaire,обычный,"C'est un jour <b>ordinaire</b>.","Это <b>обычный</b> день.",📅
particulièrement,особенно,"Je l'aime <b>particulièrement</b>.","Я её <b>особенно</b> люблю.",❤️
garer,парковать,"<b>Gare</b> la voiture.","<b>Припаркуй</b> машину.",🅿️
une union,союз,"L'<b>union</b> fait la force.","В <b>единстве</b> — сила.",🤝
insulter,оскорблять,"Ne m'<b>insulte</b> pas.","Не <b>оскорбляй</b> меня.",😤
sacrifier,жертвовать,"Il a <b>sacrifié</b> sa vie.","Он <b>пожертвовал</b> жизнью.",🙏
"généreux, généreuse",щедрый,"Tu es très <b>généreux</b>.","Ты очень <b>щедрый</b>.",🎁
un aéroport,аэропорт,"L'<b>aéroport</b> est loin.","<b>Аэропорт</b> далеко.",✈️
une villa,вилла,"Ils ont une <b>villa</b>.","У них есть <b>вилла</b>.",🏡
un blé,пшеница,"Le champ de <b>blé</b>.","Пшеничное <b>поле</b>.",🌾
fonder,основывать,"Il a <b>fondé</b> une entreprise.","Он <b>основал</b> компанию.",🏢
sain,здоровый,"Un corps <b>sain</b>.","<b>Здоровое</b> тело.",💪
un traitement,лечение; обработка,"Le <b>traitement</b> est efficace.","<b>Лечение</b> эффективно.",💊
emparer,захватывать,"Il s'est <b>emparé</b> du pouvoir.","Он <b>захватил</b> власть.",👑
une lame,лезвие,"La <b>lame</b> est tranchante.","<b>Лезвие</b> острое.",🔪
