French,Russian,ExampleFrench,ExampleRussian,Emoji
une bataille,битва,"La <b>bataille</b> a été rude.","<b>Битва</b> была жёсткой.",⚔️
un cadavre,труп,"On a trouvé un <b>cadavre</b>.","Нашли <b>труп</b>.",💀
bosser,работать (разг.),"Je <b>bosse</b> ce week-end.","Я <b>работаю</b> на выходных.",💼
une lunette,очки (мн.),"J'ai perdu mes <b>lunettes</b>.","Я потерял <b>очки</b>.",👓
une vache,корова,"La <b>vache</b> donne du lait.","<b>Корова</b> даёт молоко.",🐄
deuxième,второй,"C'est la <b>deuxième</b> fois.","Это <b>второй</b> раз.",2️⃣
un voleur,вор,"Le <b>voleur</b> s'est enfui.","<b>Вор</b> сбежал.",🦹
une crise,кризис,"On traverse une <b>crise</b>.","Мы переживаем <b>кризис</b>.",📉
briller,сиять,"Les étoiles <b>brillent</b>.","Звёзды <b>сияют</b>.",✨
un dommage,ущерб; жалость,"C'est <b>dommage</b> !","<b>Жаль</b>!",😔
concerner,касаться,"Ça ne me <b>concerne</b> pas.","Это меня не <b>касается</b>.",🤷
un inspecteur,инспектор,"L'<b>inspecteur</b> examine les documents.","<b>Инспектор</b> проверяет документы.",🔍
enterrer,хоронить; закапывать,"On a <b>enterré</b> le trésor.","Мы <b>закопали</b> клад.",⚰️
un restaurant,ресторан,"On va au <b>restaurant</b> ce soir.","Вечером идём в <b>ресторан</b>.",🍽️
lors,во время,"<b>Lors</b> de la réunion, il a parlé.","<b>Во время</b> собрания он выступил.",📅
un port,порт,"Le bateau est au <b>port</b>.","Корабль в <b>порту</b>.",⚓
transformer,преобразовывать,"On a <b>transformé</b> la maison.","Мы <b>переделали</b> дом.",🔄
prononcer,произносить,"Comment <b>prononces</b>-tu ce mot ?","Как ты <b>произносишь</b> это слово?",🗣️
une zone,зона,"C'est une <b>zone</b> interdite.","Это запретная <b>зона</b>.",🚫
un cerveau,мозг,"Le <b>cerveau</b> humain est complexe.","Человеческий <b>мозг</b> сложен.",🧠
un fruit,фрукт,"Mange des <b>fruits</b> chaque jour.","Ешь <b>фрукты</b> каждый день.",🍎
survivre,выживать,"Il a <b>survécu</b> à l'accident.","Он <b>выжил</b> в аварии.",💪
un saint,святой,"C'est un <b>saint</b> homme.","Это <b>святой</b> человек.",😇
autrement,иначе,"Fais-le <b>autrement</b>.","Сделай это <b>иначе</b>.",🔄
"charmant, charmante",очаровательный,"Elle est <b>charmante</b>.","Она <b>очаровательна</b>.",😊
un prêtre,священник,"Le <b>prêtre</b> dit la messe.","<b>Священник</b> служит мессу.",⛪
une justice,правосудие,"La <b>justice</b> sera faite.","<b>Справедливость</b> восторжествует.",⚖️
un club,клуб,"Je suis membre du <b>club</b>.","Я член <b>клуба</b>.",🏟️
pendre,вешать; висеть,"Le tableau <b>pend</b> au mur.","Картина <b>висит</b> на стене.",🖼️
une reine,королева,"La <b>reine</b> d'Angleterre.","<b>Королева</b> Англии.",👑
un amant,любовник,"Elle a un <b>amant</b> secret.","У неё тайный <b>любовник</b>.",❤️
"étranger, étrangère",иностранный,"C'est une langue <b>étrangère</b>.","Это <b>иностранный</b> язык.",🌍
un appareil,аппарат; прибор,"L'<b>appareil</b> photo est cassé.","<b>Фотоаппарат</b> сломан.",📷
un trait,черта; линия,"C'est un <b>trait</b> de caractère.","Это <b>черта</b> характера.",📏
nettoyer,чистить,"Je dois <b>nettoyer</b> la maison.","Мне нужно <b>убрать</b> дом.",🧹
prétendre,утверждать; притворяться,"Il <b>prétend</b> tout savoir.","Он <b>утверждает</b>, что всё знает.",🤔
un monstre,монстр,"C'est un <b>monstre</b> !","Это <b>монстр</b>!",👹
une montre,часы (наручные),"Ma <b>montre</b> est en retard.","Мои <b>часы</b> отстают.",⌚
une valeur,ценность,"C'est un objet de grande <b>valeur</b>.","Это очень <b>ценный</b> предмет.",💎
une usine,завод,"L'<b>usine</b> produit des voitures.","<b>Завод</b> производит машины.",🏭
une queue,хвост; очередь,"Il y a une longue <b>queue</b>.","Длинная <b>очередь</b>.",🐈
un froid,холод,"Je n'aime pas le <b>froid</b>.","Я не люблю <b>холод</b>.",🥶
croiser,скрещивать; встречать,"J'ai <b>croisé</b> un ami dans la rue.","Я <b>встретил</b> друга на улице.",🤝
réunir,собирать; объединять,"On va <b>réunir</b> la famille.","Мы <b>соберём</b> семью.",👨‍👩‍👧‍👦
également,также; тоже,"Je viendrai <b>également</b>.","Я тоже приду.",➕
avaler,глотать,"<b>Avale</b> le comprimé.","<b>Проглоти</b> таблетку.",💊
un contrôle,контроль; проверка,"Il y a un <b>contrôle</b> à la frontière.","На границе <b>проверка</b>.",🔍
accuser,обвинять,"On l'<b>accuse</b> de vol.","Его <b>обвиняют</b> в краже.",⚖️
organiser,организовывать,"Je vais <b>organiser</b> une fête.","Я <b>организую</b> вечеринку.",🎉
une source,источник,"C'est une <b>source</b> fiable.","Это надёжный <b>источник</b>.",💧
haïr,ненавидеть,"Je <b>hais</b> le mensonge.","Я <b>ненавижу</b> ложь.",😤
une piste,трасса; след,"La police suit une <b>piste</b>.","Полиция идёт по <b>следу</b>.",🔍
brusquement,резко; внезапно,"Il s'est arrêté <b>brusquement</b>.","Он <b>резко</b> остановился.",⚡
une violence,насилие,"La <b>violence</b> n'est pas la solution.","<b>Насилие</b> — не выход.",🚫
une veste,пиджак; куртка,"Mets ta <b>veste</b>.","Надень <b>куртку</b>.",🧥
