French,Russian,ExampleFrench,ExampleRussian,Emoji,WordType
une course,бег; гонка; покупки,Je dois faire les <b>courses</b>.,Мне нужно сходить за <b>покупками</b>.,🛒,f
un fric,деньги (разг.),J'ai plus de <b>fric</b>.,У меня больше нет <b>денег</b>.,💸,m
une bouteille,бутылка,Ouvre la <b>bouteille</b> de vin.,Открой <b>бутылку</b> вина.,🍾,f
une bande,лента; банда; группа,Une <b>bande</b> d'amis se retrouve ce soir.,<b>Компания</b> друзей встречается вечером.,👥,f
un billet,билет; банкнота,J'ai acheté un <b>billet</b> pour le concert.,Я купил <b>билет</b> на концерт.,🎫,m
avouer,признаваться,J'<b>avoue</b> que je ne savais pas.,"<b>Признаюсь</b>, я не знал.",🙊,v
ressentir,чувствовать; ощущать,Je <b>ressens</b> de la fatigue.,Я <b>чувствую</b> усталость.,❤️,v
certains,некоторые,<b>Certains</b> disent que c'est vrai.,"<b>Некоторые</b> говорят, что это правда.",👥,adj
appuyer,нажимать; поддерживать,<b>Appuie</b> sur le bouton vert.,<b>Нажми</b> на зелёную кнопку.,👆,v
une machine,машина; механизм,La <b>machine</b> à café est cassée.,Кофе<b>машина</b> сломана.,⚙️,f
une nature,природа,La <b>nature</b> au Québec est magnifique.,<b>Природа</b> в Квебеке великолепна.,🌲,f
une avance,аванс; заблаговременность,Je te paie une <b>avance</b> de cent dollars.,Я даю тебе <b>аванс</b> в сто долларов.,💵,f
une télé,телевизор (разг.),Je regarde la <b>télé</b> le soir.,Вечером я смотрю <b>телевизор</b>.,📺,f
une santé,здоровье,Ta <b>santé</b> est plus importante que le travail.,Твоё <b>здоровье</b> важнее работы.,💚,f
prouver,доказывать,Je peux te <b>prouver</b> que j'ai raison.,"Я могу <b>доказать</b>, что я прав.",📋,v
un désir,желание,Son plus grand <b>désir</b> est de voyager.,Его главное <b>желание</b> — путешествовать.,💫,m
"gris, grise",серый,Le ciel est <b>gris</b> aujourd'hui.,Небо сегодня <b>серое</b>.,☁️,adj
relever,поднимать; подмечать,"<b>Relève</b>-toi, tu peux le faire !","<b>Вставай</b>, ты справишься!",⬆️,v
