French,Russian,ExampleFrench,ExampleRussian,Emoji
une conséquence,последствие,"C'est une <b>conséquence</b> grave.","Это серьёзное <b>последствие</b>.",⚠️
un studio,студия,"J'habite dans un <b>studio</b>.","Я живу в <b>студии</b>.",🏠
"divers, diverse",разнообразный,"Il y a <b>divers</b> problèmes.","Есть <b>разные</b> проблемы.",📊
extrême,крайний,"C'est une mesure <b>extrême</b>.","Это <b>крайняя</b> мера.",⚡
filmer,снимать на видео,"On a <b>filmé</b> la scène.","Мы <b>сняли</b> сцену.",🎥
"habituel, habituelle",обычный,"C'est son comportement <b>habituel</b>.","Это его <b>обычное</b> поведение.",📅
dénoncer,разоблачать; доносить,"Il a <b>dénoncé</b> les criminels.","Он <b>разоблачил</b> преступников.",📢
guider,направлять; вести,"Je vais te <b>guider</b>.","Я тебя <b>проведу</b>.",🧭
efforcer,стараться,"Je m'<b>efforce</b> de réussir.","Я <b>стараюсь</b> преуспеть.",💪
imiter,подражать,"Ne l'<b>imite</b> pas.","Не <b>подражай</b> ему.",🎭
une offre,предложение,"J'ai reçu une <b>offre</b> d'emploi.","Я получил <b>предложение</b> о работе.",📩
un humain,человек,"L'être <b>humain</b>.","Человеческое <b>существо</b>.",🧑
"douloureux, douloureuse",болезненный,"C'est un souvenir <b>douloureux</b>.","Это <b>болезненное</b> воспоминание.",😢
"royal, royale",королевский,"La famille <b>royale</b>.","<b>Королевская</b> семья.",👑
une messe,месса,"Il assiste à la <b>messe</b>.","Он присутствует на <b>мессе</b>.",⛪
un blessé,раненый,"Il y a des <b>blessés</b>.","Есть <b>раненые</b>.",🩹
une demi-heure,полчаса,"Attends une <b>demi-heure</b>.","Подожди <b>полчаса</b>.",⏰
un cadre,рамка; сотрудник,"C'est un <b>cadre</b> supérieur.","Он <b>руководитель</b>.",👔
une division,деление; отдел,"La <b>division</b> du travail.","<b>Разделение</b> труда.",📊
profondément,глубоко,"Je suis <b>profondément</b> touché.","Я <b>глубоко</b> тронут.",❤️
exagérer,преувеличивать,"Tu <b>exagères</b> !","Ты <b>преувеличиваешь</b>!",🙄
vieillir,стареть,"On <b>vieillit</b> tous.","Мы все <b>стареем</b>.",👴
une comédie,комедия,"C'est une <b>comédie</b> drôle.","Это смешная <b>комедия</b>.",😂
"amusant, amusante",забавный,"C'est <b>amusant</b>.","Это <b>забавно</b>.",😄
un désespoir,отчаяние,"Il est au <b>désespoir</b>.","Он в <b>отчаянии</b>.",😩
auparavant,ранее; прежде,"<b>Auparavant</b>, j'habitais à Moscou.","<b>Раньше</b> я жил в Москве.",⏮️
un désordre,беспорядок,"Quel <b>désordre</b> !","Какой <b>беспорядок</b>!",🧹
un extérieur,внешнее; снаружи,"À l'<b>extérieur</b> de la maison.","<b>Снаружи</b> дома.",🏠
un adulte,взрослый,"C'est un comportement d'<b>adulte</b>.","Это <b>взрослое</b> поведение.",👨
une nuque,затылок,"J'ai mal à la <b>nuque</b>.","У меня болит <b>затылок</b>.",🤕
un jeudi,четверг,"On se voit <b>jeudi</b>.","Увидимся в <b>четверг</b>.",📅
un crédit,кредит,"J'ai pris un <b>crédit</b>.","Я взял <b>кредит</b>.",💳
un joueur,игрок,"C'est un bon <b>joueur</b>.","Это хороший <b>игрок</b>.",🎮
vomir,рвать (тошнота),"J'ai envie de <b>vomir</b>.","Меня <b>тошнит</b>.",🤢
une culture,культура,"La <b>culture</b> québécoise.","Квебекская <b>культура</b>.",🎭
une liaison,связь; роман,"Ils ont une <b>liaison</b>.","У них <b>связь</b>.",💑
troubler,беспокоить; смущать,"Ça me <b>trouble</b>.","Это меня <b>смущает</b>.",😳
chauffer,нагревать,"<b>Chauffe</b> le lait.","<b>Подогрей</b> молоко.",🔥
un langage,язык; речь,"Le <b>langage</b> des signes.","<b>Язык</b> жестов.",🤟
un royaume,королевство,"Le <b>royaume</b> de France.","<b>Королевство</b> Франции.",👑
une revanche,реванш,"Je veux ma <b>revanche</b>.","Я хочу <b>реванш</b>.",💪
"exprès, expresse",нарочно,"Je l'ai fait <b>exprès</b>.","Я это сделал <b>нарочно</b>.",😏
physique,физический,"L'activité <b>physique</b>.","<b>Физическая</b> активность.",💪
un luxe,роскошь,"C'est du <b>luxe</b>.","Это <b>роскошь</b>.",💎
préciser,уточнять,"Je dois <b>préciser</b> une chose.","Мне нужно <b>уточнить</b> одну вещь.",📝
un drame,драма,"C'est un <b>drame</b> familial.","Это семейная <b>драма</b>.",🎭
un enterrement,похороны,"J'assiste à un <b>enterrement</b>.","Я присутствую на <b>похоронах</b>.",⚰️
une méthode,метод,"C'est une bonne <b>méthode</b>.","Это хороший <b>метод</b>.",📋
témoigner,свидетельствовать,"Il a <b>témoigné</b> au tribunal.","Он <b>дал показания</b> в суде.",⚖️
dépenser,тратить,"J'ai <b>dépensé</b> trop d'argent.","Я <b>потратил</b> слишком много денег.",💸
transmettre,передавать,"<b>Transmets</b>-lui mon message.","<b>Передай</b> ему моё сообщение.",📨
