French,Russian,ExampleFrench,ExampleRussian,Emoji
une propriété,собственность; свойство,"C'est une <b>propriété</b> privée.","Это <b>частная собственность</b>.",🏠
"laid, laide",уродливый,"C'est <b>laid</b>.","Это <b>уродливо</b>.",😬
une cendre,пепел,"Les <b>cendres</b> du feu.","<b>Пепел</b> от огня.",🔥
une réputation,репутация,"Il a une bonne <b>réputation</b>.","У него хорошая <b>репутация</b>.",⭐
un comptoir,стойка; прилавок,"Pose ça sur le <b>comptoir</b>.","Положи это на <b>прилавок</b>.",🏪
ressortir,выходить снова; выделяться,"Les couleurs <b>ressortent</b> bien.","Цвета хорошо <b>выделяются</b>.",🎨
un ambassadeur,посол,"L'<b>ambassadeur</b> de France.","<b>Посол</b> Франции.",🏛️
un individu,индивид; особь,"C'est un drôle d'<b>individu</b>.","Это странный <b>тип</b>.",👤
un habitant,житель,"Les <b>habitants</b> de la ville.","<b>Жители</b> города.",👥
un visiteur,посетитель,"Le <b>visiteur</b> attend.","<b>Посетитель</b> ждёт.",🚪
un cirque,цирк,"On va au <b>cirque</b>.","Идём в <b>цирк</b>.",🎪
portable,переносной,"Un téléphone <b>portable</b>.","<b>Мобильный</b> телефон.",📱
un marin,моряк,"Le <b>marin</b> navigue.","<b>Моряк</b> плывёт.",⛵
envelopper,заворачивать,"<b>Enveloppe</b> le cadeau.","<b>Заверни</b> подарок.",🎁
une pause,пауза,"Faisons une <b>pause</b>.","Сделаем <b>перерыв</b>.",☕
un vivant,живой; живое существо,"C'est un être <b>vivant</b>.","Это <b>живое</b> существо.",🌱
une commission,комиссия; поручение,"Je dois faire des <b>commissions</b>.","Мне нужно сделать <b>покупки</b>.",🛒
un creux,углубление; пустота,"J'ai un <b>creux</b>.","Я голоден.",🕳️
une ouverture,открытие; отверстие,"L'<b>ouverture</b> du magasin.","<b>Открытие</b> магазина.",🚪
une communication,коммуникация,"La <b>communication</b> est importante.","<b>Коммуникация</b> важна.",💬
réellement,действительно,"C'est <b>réellement</b> vrai.","Это <b>действительно</b> так.",✅
un marbre,мрамор,"Une statue en <b>marbre</b>.","Статуя из <b>мрамора</b>.",🏛️
précisément,именно; точно,"<b>Précisément</b> ce que je voulais.","<b>Именно</b> то, что я хотел.",🎯
loger,размещать; жить,"Où <b>loges</b>-tu ?","Где ты <b>живёшь</b>?",🏠
une portée,досягаемость; выводок,"Hors de <b>portée</b>.","Вне <b>досягаемости</b>.",📏
une puce,блоха; чип,"La <b>puce</b> électronique.","Электронный <b>чип</b>.",🔌
un conseiller,советник,"Le <b>conseiller</b> municipal.","<b>Советник</b> мэрии.",👔
un carreau,плитка; стекло (окна),"Le <b>carreau</b> est cassé.","<b>Стекло</b> разбито.",🪟
"régulier, régulière",регулярный,"C'est un client <b>régulier</b>.","Это <b>постоянный</b> клиент.",📆
une proposition,предложение,"J'ai une <b>proposition</b>.","У меня есть <b>предложение</b>.",💡
destiner,предназначать,"Ce cadeau t'est <b>destiné</b>.","Этот подарок <b>предназначен</b> тебе.",🎁
protester,протестовать,"Ils <b>protestent</b> dans la rue.","Они <b>протестуют</b> на улице.",📢
"confus, confuse",смущённый; запутанный,"Je suis <b>confus</b>.","Я <b>смущён</b>.",😳
un diamant,алмаз,"Une bague avec un <b>diamant</b>.","Кольцо с <b>бриллиантом</b>.",💎
heurter,ударять; задевать,"Il a <b>heurté</b> la table.","Он <b>ударился</b> о стол.",💥
torturer,пытать,"Ils l'ont <b>torturé</b>.","Его <b>пытали</b>.",😣
une magie,магия,"C'est de la <b>magie</b>.","Это <b>магия</b>.",🪄
une faiblesse,слабость,"C'est ma <b>faiblesse</b>.","Это моя <b>слабость</b>.",💔
sucer,сосать,"<b>Suce</b> le bonbon.","<b>Соси</b> конфету.",🍭
une façade,фасад,"La <b>façade</b> de l'immeuble.","<b>Фасад</b> здания.",🏢
une photographie,фотография,"J'adore la <b>photographie</b>.","Я обожаю <b>фотографию</b>.",📷
un caillou,камешек,"Il a jeté un <b>caillou</b>.","Он бросил <b>камешек</b>.",🪨
envier,завидовать,"Je t'<b>envie</b>.","Я тебе <b>завидую</b>.",😒
situer,располагать,"Où est <b>situé</b> le musée ?","Где <b>расположен</b> музей?",📍
manifester,проявлять; демонстрировать,"Ils <b>manifestent</b> dans la rue.","Они <b>протестуют</b> на улице.",📢
éliminer,устранять,"<b>Élimine</b> ce problème.","<b>Устрани</b> эту проблему.",❌
un asile,приют; убежище,"Un <b>asile</b> pour réfugiés.","<b>Приют</b> для беженцев.",🏠
citer,цитировать,"Je vais te <b>citer</b> un exemple.","Я тебе <b>приведу</b> пример.",📝
évanouir,терять сознание,"Elle s'est <b>évanouie</b>.","Она <b>потеряла сознание</b>.",😵
un document,документ,"Signe ce <b>document</b>.","Подпиши этот <b>документ</b>.",📄
"fichu, fichue",пропащий (разг.),"C'est <b>fichu</b>.","Всё <b>пропало</b>.",😔
un personnel,персонал,"Le <b>personnel</b> de l'hôtel.","<b>Персонал</b> отеля.",👥
un mouton,баран; овца,"Le <b>mouton</b> broute.","<b>Овца</b> пасётся.",🐑
raccompagner,провожать,"Je vais te <b>raccompagner</b>.","Я тебя <b>провожу</b>.",🚶
un élan,порыв; лось,"Un <b>élan</b> de générosité.","<b>Порыв</b> щедрости.",💕
un foie,печень,"J'ai mal au <b>foie</b>.","У меня болит <b>печень</b>.",🩺
une formule,формула,"La <b>formule</b> magique.","<b>Магическая</b> формула.",🔮
une casquette,кепка,"Mets ta <b>casquette</b>.","Надень <b>кепку</b>.",🧢
une plaisanterie,шутка,"C'est une <b>plaisanterie</b>.","Это <b>шутка</b>.",😄
un canal,канал,"Le <b>canal</b> de Lachine.","Канал <b>Лашин</b>.",🚢
un arabe,араб; арабский,"J'apprends l'<b>arabe</b>.","Я учу <b>арабский</b>.",🇸🇦
une ambulance,скорая помощь,"Appelez une <b>ambulance</b> !","Вызовите <b>скорую</b>!",🚑
une alliance,союз; обручальное кольцо,"Notre <b>alliance</b> est solide.","Наш <b>союз</b> крепок.",💍
un plomb,свинец; предохранитель,"Les <b>plombs</b> ont sauté.","<b>Пробки</b> выбило.",⚡
voter,голосовать,"Je vais <b>voter</b>.","Я пойду <b>голосовать</b>.",🗳️
une échelle,лестница; масштаб,"Monte sur l'<b>échelle</b>.","Поднимись по <b>лестнице</b>.",🪜
