French,Russian,ExampleFrench,ExampleRussian,Emoji
un extrême,крайность,"Aller d'un <b>extrême</b> à l'autre.","Бросаться из <b>крайности</b> в крайность.",↔️
décapiter,обезглавливать,"<b>Décapiter</b> un roi.","<b>Обезглавить</b> короля.",👑
un déguisement,маскарадный костюм,"Un <b>déguisement</b> de pirate.","<b>Костюм</b> пирата.",🎭
un costard,костюм (разг.),"Un beau <b>costard</b>.","Красивый <b>костюм</b>.",🤵
un crack,ас; крэк,"Un <b>crack</b> en informatique.","<b>Ас</b> в информатике.",💻
un boulet,ядро,"Un <b>boulet</b> de canon.","Пушечное <b>ядро</b>.",💣
foudroyer,поражать,"<b>Foudroyer</b> du regard.","<b>Испепелить</b> взглядом.",⚡
une moisson,урожай,"La <b>moisson</b> du blé.","<b>Урожай</b> пшеницы.",🌾
arpenter,мерить шагами,"<b>Arpenter</b> la pièce.","<b>Мерить шагами</b> комнату.",🚶
une identification,идентификация,"L'<b>identification</b> du suspect.","<b>Идентификация</b> подозреваемого.",🔍
un flux,поток,"Le <b>flux</b> d'informations.","<b>Поток</b> информации.",📊
un rouble,рубль,"Payer en <b>roubles</b>.","Платить в <b>рублях</b>.",💵
une moelle,мозг (костный),"La <b>moelle</b> épinière.","Спинной <b>мозг</b>.",🧠
un ronflement,храп,"Le <b>ronflement</b> du dormeur.","<b>Храп</b> спящего.",😴
une métropole,метрополия,"Une grande <b>métropole</b>.","Большая <b>метрополия</b>.",🏙️
terroriste,террористический,"Un attentat <b>terroriste</b>.","<b>Террористический</b> теракт.",⚠️
un banquet,банкет,"Un <b>banquet</b> de mariage.","Свадебный <b>банкет</b>.",🍽️
lamenter,оплакивать,"Se <b>lamenter</b> sur son sort.","<b>Оплакивать</b> свою судьбу.",😢
une pâleur,бледность,"Une <b>pâleur</b> mortelle.","Мертвенная <b>бледность</b>.",😨
un îlot,островок,"Un <b>îlot</b> de verdure.","<b>Островок</b> зелени.",🏝️
merveilleusement,чудесно,"<b>Merveilleusement</b> bien.","<b>Чудесно</b> хорошо.",✨
un store,жалюзи,"Baisser le <b>store</b>.","Опустить <b>жалюзи</b>.",🪟
un guéridon,столик,"Un <b>guéridon</b> rond.","Круглый <b>столик</b>.",🪑
"sujet, sujette",подверженный,"<b>Sujet</b> aux migraines.","<b>Подверженный</b> мигреням.",🤕
un révérend,преподобный,"Le <b>révérend</b> père.","<b>Преподобный</b> отец.",⛪
une semence,семя,"Les <b>semences</b> de blé.","<b>Семена</b> пшеницы.",🌱
gratuitement,бесплатно,"Entrer <b>gratuitement</b>.","Войти <b>бесплатно</b>.",🆓
"renversé, renversée",опрокинутый,"Un verre <b>renversé</b>.","<b>Опрокинутый</b> стакан.",🥛
une croisade,крестовый поход,"Une <b>croisade</b> médiévale.","Средневековый <b>крестовый поход</b>.",⚔️
avorter,делать аборт,"<b>Avorter</b> un projet.","<b>Прервать</b> проект.",❌
"attirant, attirante",притягательный,"Une femme <b>attirante</b>.","<b>Притягательная</b> женщина.",💃
confisquer,конфисковать,"<b>Confisquer</b> des biens.","<b>Конфисковать</b> имущество.",🔒
"défunt, défunte",покойный,"Mon <b>défunt</b> père.","Мой <b>покойный</b> отец.",🕯️
"exclusif, exclusive",эксклюзивный,"Une interview <b>exclusive</b>.","<b>Эксклюзивное</b> интервью.",⭐
pomper,качать,"<b>Pomper</b> de l'eau.","<b>Качать</b> воду.",💧
débrancher,отключать,"<b>Débrancher</b> l'appareil.","<b>Отключить</b> прибор.",🔌
un maçon,каменщик,"Un <b>maçon</b> qualifié.","Квалифицированный <b>каменщик</b>.",🧱
excepté,за исключением,"Tous <b>excepté</b> lui.","Все, <b>кроме</b> него.",❌
une brousse,буш,"La <b>brousse</b> africaine.","Африканский <b>буш</b>.",🌿
"voûté, voûtée",сутулый,"Un dos <b>voûté</b>.","<b>Сутулая</b> спина.",🚶
"condamné, condamnée",осуждённый,"Un <b>condamné</b> à mort.","<b>Приговорённый</b> к смерти.",⚖️
instable,неустойчивый,"Un équilibre <b>instable</b>.","<b>Неустойчивое</b> равновесие.",⚖️
un festin,пир,"Un <b>festin</b> royal.","Королевский <b>пир</b>.",🍗
un élu,избранник,"L'<b>élu</b> du peuple.","<b>Избранник</b> народа.",🗳️
