French,Russian,ExampleFrench,ExampleRussian,Emoji
un porte-bonheur,талисман,"Un <b>porte-bonheur</b> porte-clés.","<b>Талисман</b> на брелке.",🍀
"opérationnel, opérationnelle",работоспособный,"Un système <b>opérationnel</b>.","<b>Работоспособная</b> система.",⚙️
intérieurement,внутренне,"Souffrir <b>intérieurement</b>.","Страдать <b>внутренне</b>.",💔
"déguisé, déguisée",переодетый,"Un voleur <b>déguisé</b>.","<b>Переодетый</b> вор.",🎭
plausible,правдоподобный,"Une explication <b>plausible</b>.","<b>Правдоподобное</b> объяснение.",🤔
un détonateur,детонатор,"Amorcer le <b>détonateur</b>.","Подготовить <b>детонатор</b>.",💣
exiler,изгонять,"<b>Exiler</b> un opposant.","<b>Изгнать</b> оппозиционера.",😔
fertile,плодородный,"Une terre <b>fertile</b>.","<b>Плодородная</b> земля.",🌾
méga,мега,"C'est <b>méga</b> cool !","Это <b>мега</b> круто!",🔥
un apaisement,успокоение,"Un <b>apaisement</b> des tensions.","<b>Ослабление</b> напряжённости.",☮️
une idéologie,идеология,"Une <b>idéologie</b> politique.","Политическая <b>идеология</b>.",📖
nerveusement,нервно,"Rire <b>nerveusement</b>.","<b>Нервно</b> смеяться.",😬
une chaire,кафедра,"La <b>chaire</b> du professeur.","Профессорская <b>кафедра</b>.",🎓
un doctorat,докторантура,"Soutenir un <b>doctorat</b>.","Защитить <b>докторскую</b>.",📜
orthodoxe,православный,"L'église <b>orthodoxe</b>.","<b>Православная</b> церковь.",⛪
une perquisition,обыск,"Une <b>perquisition</b> policière.","Полицейский <b>обыск</b>.",🔍
"torturé, torturée",измученный,"Un visage <b>torturé</b>.","<b>Измученное</b> лицо.",😫
un meneur,лидер,"Le <b>meneur</b> de la révolte.","<b>Лидер</b> восстания.",✊
une éthique,этика,"L'<b>éthique</b> professionnelle.","Профессиональная <b>этика</b>.",⚖️
une météorite,метеорит,"Une <b>météorite</b> géante.","Гигантский <b>метеорит</b>.",☄️
une pulsion,влечение,"Une <b>pulsion</b> incontrôlable.","Неконтролируемое <b>влечение</b>.",💓
abreuver,поить,"<b>Abreuver</b> les chevaux.","<b>Поить</b> лошадей.",🐴
"criard, criarde",кричащий,"Des couleurs <b>criardes</b>.","<b>Кричащие</b> цвета.",🎨
un devenir,будущее,"Quel sera son <b>devenir</b> ?","Каким будет его <b>будущее</b>?",🔮
une escroquerie,мошенничество,"Une <b>escroquerie</b> massive.","Массовое <b>мошенничество</b>.",💰
une immatriculation,регистрация,"Une plaque d'<b>immatriculation</b>.","Регистрационный <b>номер</b>.",🚗
voleter,порхать,"Les papillons <b>volètent</b>.","Бабочки <b>порхают</b>.",🦋
"déterminé, déterminée",решительный,"Un homme <b>déterminé</b>.","<b>Решительный</b> человек.",💪
hirsute,косматый,"Une barbe <b>hirsute</b>.","<b>Косматая</b> борода.",🧔
un pingouin,пингвин,"Un <b>pingouin</b> sur la glace.","<b>Пингвин</b> на льду.",🐧
"imprécis, imprécise",неточный,"Une réponse <b>imprécise</b>.","<b>Неточный</b> ответ.",🤷
tramer,замышлять,"<b>Tramer</b> un complot.","<b>Замышлять</b> заговор.",🤫
une réservation,бронирование,"Faire une <b>réservation</b>.","Сделать <b>бронирование</b>.",📅
paître,пастись,"Les moutons <b>paissent</b>.","Овцы <b>пасутся</b>.",🐑
suspense,напряжённый,"Un film à <b>suspense</b>.","<b>Напряжённый</b> фильм.",🎬
un tramway,трамвай,"Prendre le <b>tramway</b>.","Сесть на <b>трамвай</b>.",🚊
insaisissable,неуловимый,"Un ennemi <b>insaisissable</b>.","<b>Неуловимый</b> враг.",👻
catastrophique,катастрофический,"Une situation <b>catastrophique</b>.","<b>Катастрофическая</b> ситуация.",💥
"enflammé, enflammée",воспалённый,"Un discours <b>enflammé</b>.","<b>Пламенная</b> речь.",🔥
nicher,гнездиться,"Les oiseaux <b>nichent</b>.","Птицы <b>гнездятся</b>.",🐦
un aluminium,алюминий,"Un pot en <b>aluminium</b>.","Кастрюля из <b>алюминия</b>.",🍳
un asthme,астма,"Souffrir d'<b>asthme</b>.","Страдать от <b>астмы</b>.",🫁
un attelage,упряжка,"Un <b>attelage</b> de chevaux.","Лошадиная <b>упряжка</b>.",🐴
un orateur,оратор,"Un brillant <b>orateur</b>.","Блестящий <b>оратор</b>.",🗣️
un parasol,зонт от солнца,"Sous le <b>parasol</b>.","Под <b>пляжным зонтом</b>.",⛱️
une citadelle,цитадель,"La <b>citadelle</b> fortifiée.","Укреплённая <b>цитадель</b>.",🏰
une console,консоль,"Une <b>console</b> de jeux.","Игровая <b>консоль</b>.",🎮
"embêtant, embêtante",досадный,"Une situation <b>embêtante</b>.","<b>Досадная</b> ситуация.",😤
une tanière,берлога,"La <b>tanière</b> de l'ours.","<b>Берлога</b> медведя.",🐻
parsemer,усыпать,"<b>Parsemer</b> de fleurs.","<b>Усыпать</b> цветами.",🌸
