French,Russian,ExampleFrench,ExampleRussian,Emoji
intituler,озаглавливать,"<b>Intituler</b> un livre.","<b>Озаглавить</b> книгу.",📖
décliner,отклонять,"<b>Décliner</b> une offre.","<b>Отклонить</b> предложение.",✋
une franchise,искренность,"Parler avec <b>franchise</b>.","Говорить <b>откровенно</b>.",🗣️
une perche,шест,"Sauter à la <b>perche</b>.","Прыжки с <b>шестом</b>.",🏅
un coureur,бегун,"Un <b>coureur</b> de marathon.","<b>Марафонец</b>.",🏃
ressaisir,овладевать снова,"Se <b>ressaisir</b>.","<b>Взять себя в руки</b>.",💪
exalter,возвеличивать,"<b>Exalter</b> un héros.","<b>Превозносить</b> героя.",🦸
un glaçon,кубик льда,"Mettre des <b>glaçons</b>.","Положить <b>кубики льда</b>.",🧊
un média,медиа,"Les <b>médias</b> sociaux.","Социальные <b>сети</b>.",📱
déformer,деформировать,"<b>Déformer</b> la vérité.","<b>Исказить</b> правду.",🔄
un bilan,итог,"Faire le <b>bilan</b>.","Подвести <b>итоги</b>.",📊
"confiant, confiante",уверенный,"Se montrer <b>confiant</b>.","Быть <b>уверенным</b>.",😎
une altitude,высота,"Une haute <b>altitude</b>.","Большая <b>высота</b>.",⛰️
un bled,глушь,"Un <b>bled</b> perdu.","Забытая <b>глушь</b>.",🏜️
une crotte,какашка,"Une <b>crotte</b> de chien.","Собачья <b>какашка</b>.",💩
triple,тройной,"Un <b>triple</b> saut.","<b>Тройной</b> прыжок.",3️⃣
assombrir,омрачать,"<b>Assombrir</b> l'ambiance.","<b>Омрачить</b> атмосферу.",☁️
borner,ограничивать,"Se <b>borner</b> à écouter.","<b>Ограничиться</b> слушанием.",🛑
percher,усаживаться,"L'oiseau se <b>perche</b>.","Птица <b>садится</b>.",🐦
un moustique,комар,"Un <b>moustique</b> m'a piqué.","<b>Комар</b> меня укусил.",🦟
aventurer,рисковать,"S'<b>aventurer</b> dans la forêt.","<b>Отважиться</b> в лес.",🌲
un lever,восход,"Le <b>lever</b> du soleil.","<b>Восход</b> солнца.",🌅
une vis,винт,"Serrer une <b>vis</b>.","Закрутить <b>винт</b>.",🔩
"posé, posée",спокойный,"Un ton <b>posé</b>.","<b>Спокойный</b> тон.",😌
"vitré, vitrée",стеклянный,"Une porte <b>vitrée</b>.","<b>Стеклянная</b> дверь.",🪟
érotique,эротический,"Un film <b>érotique</b>.","<b>Эротический</b> фильм.",💋
un revenu,доход,"Un <b>revenu</b> annuel.","Годовой <b>доход</b>.",💰
diplomatique,дипломатический,"Une mission <b>diplomatique</b>.","<b>Дипломатическая</b> миссия.",🤝
accroître,увеличивать,"<b>Accroître</b> ses connaissances.","<b>Расширить</b> знания.",📚
un isolement,изоляция,"Un <b>isolement</b> total.","Полная <b>изоляция</b>.",🏠
une nonne,монахиня,"Une <b>nonne</b> pieuse.","Набожная <b>монахиня</b>.",🙏
une paresse,лень,"La <b>paresse</b> est un péché.","<b>Лень</b> — грех.",😴
déguster,дегустировать,"<b>Déguster</b> un vin.","<b>Дегустировать</b> вино.",🍷
un stock,запас,"Un grand <b>stock</b>.","Большой <b>запас</b>.",📦
un centime,сантим,"Un <b>centime</b> d'euro.","<b>Цент</b> евро.",💰
dénicher,отыскать,"<b>Dénicher</b> un trésor.","<b>Отыскать</b> сокровище.",💎
un verger,фруктовый сад,"Un <b>verger</b> de pommiers.","Яблоневый <b>сад</b>.",🍎
réaliste,реалистичный,"Un film <b>réaliste</b>.","<b>Реалистичный</b> фильм.",🎬
une embrouille,заморочка,"Quelle <b>embrouille</b> !","Какая <b>заморочка</b>!",🤯
nullement,никоим образом,"<b>Nullement</b> satisfait.","<b>Никоим образом</b> не удовлетворён.",❌
une bouillie,каша,"Une <b>bouillie</b> pour bébé.","<b>Каша</b> для малыша.",🥣
rendormir,снова засыпать,"Se <b>rendormir</b> vite.","Быстро <b>снова заснуть</b>.",😴
un tricot,вязание,"Faire du <b>tricot</b>.","<b>Вязать</b>.",🧶
atténuer,смягчать,"<b>Atténuer</b> la douleur.","<b>Смягчить</b> боль.",💊
"éblouissant, éblouissante",ослепительный,"Une lumière <b>éblouissante</b>.","<b>Ослепительный</b> свет.",✨
alourdir,утяжелять,"<b>Alourdir</b> le texte.","<b>Утяжелить</b> текст.",📚
obligatoire,обязательный,"Un cours <b>obligatoire</b>.","<b>Обязательный</b> курс.",📋
une volupté,сладострастие,"Avec <b>volupté</b>.","С <b>наслаждением</b>.",😌
terroriser,терроризировать,"<b>Terroriser</b> les habitants.","<b>Терроризировать</b> жителей.",😱
une armure,доспехи,"Une <b>armure</b> de chevalier.","Рыцарские <b>доспехи</b>.",🛡️
inverse,обратный,"Dans le sens <b>inverse</b>.","В <b>обратном</b> направлении.",↩️
"martial, martiale",боевой,"Les arts <b>martiaux</b>.","<b>Боевые</b> искусства.",🥋
une modestie,скромность,"Avec <b>modestie</b>.","Со <b>скромностью</b>.",😊
rallumer,снова зажигать,"<b>Rallumer</b> la lumière.","<b>Снова зажечь</b> свет.",💡
une lâcheté,трусость,"Une <b>lâcheté</b> honteuse.","Позорная <b>трусость</b>.",😔
un karma,карма,"Le <b>karma</b> positif.","Позитивная <b>карма</b>.",☯️
illustre,знаменитый,"Un <b>illustre</b> écrivain.","<b>Знаменитый</b> писатель.",⭐
un concept,концепт,"Un <b>concept</b> innovant.","Инновационный <b>концепт</b>.",💡
"fondamental, fondamentale",фундаментальный,"Une question <b>fondamentale</b>.","<b>Фундаментальный</b> вопрос.",🏛️
épater,поражать,"<b>Épater</b> la galerie.","<b>Поразить</b> публику.",🤩
un mécanicien,механик,"Le <b>mécanicien</b> répare.","<b>Механик</b> ремонтирует.",🔧
compenser,компенсировать,"<b>Compenser</b> une perte.","<b>Компенсировать</b> потерю.",⚖️
un sauvetage,спасение,"Une opération de <b>sauvetage</b>.","<b>Спасательная</b> операция.",🚨
une garnison,гарнизон,"La <b>garnison</b> de la ville.","<b>Гарнизон</b> города.",🪖
imperceptible,незаметный,"Un changement <b>imperceptible</b>.","<b>Незаметное</b> изменение.",🔍
une gamelle,котелок,"Manger à la <b>gamelle</b>.","Есть из <b>котелка</b>.",🍲
un naufrage,кораблекрушение,"Survivre au <b>naufrage</b>.","Выжить после <b>кораблекрушения</b>.",🚢
un souverain,государь,"Le <b>souverain</b> du royaume.","<b>Государь</b> королевства.",👑
un claquement,хлопок,"Un <b>claquement</b> de porte.","<b>Хлопок</b> двери.",🚪
un feutre,фломастер; фетр,"Écrire au <b>feutre</b>.","Писать <b>фломастером</b>.",🖊️
limpide,прозрачный,"Une eau <b>limpide</b>.","<b>Прозрачная</b> вода.",💧
un formulaire,формуляр,"Remplir un <b>formulaire</b>.","Заполнить <b>формуляр</b>.",📝
une séquence,последовательность,"Une <b>séquence</b> vidéo.","Видео<b>последовательность</b>.",🎬
un trac,мандраж,"Avoir le <b>trac</b>.","Иметь <b>мандраж</b>.",😰
marmonner,бормотать,"<b>Marmonner</b> une réponse.","<b>Пробормотать</b> ответ.",🗣️
un désarroi,замешательство,"Un grand <b>désarroi</b>.","Большое <b>замешательство</b>.",😵
"anxieux, anxieuse",тревожный,"Un regard <b>anxieux</b>.","<b>Тревожный</b> взгляд.",😟
une contradiction,противоречие,"Une <b>contradiction</b> flagrante.","Явное <b>противоречие</b>.",↔️
enjamber,перешагивать,"<b>Enjamber</b> un obstacle.","<b>Перешагнуть</b> препятствие.",🚶
une anecdote,анекдот,"Raconter une <b>anecdote</b>.","Рассказать <b>анекдот</b>.",😂
river,приковывать,"<b>River</b> les yeux.","<b>Приковать</b> взгляд.",👀
une devise,девиз,"La <b>devise</b> nationale.","Национальный <b>девиз</b>.",🏳️
