French,Russian,ExampleFrench,ExampleRussian,Emoji
éclabousser,забрызгивать,"<b>Éclabousser</b> de boue.","<b>Забрызгать</b> грязью.",💦
affaisser,оседать,"Le mur s'<b>affaisse</b>.","Стена <b>оседает</b>.",🧱
"coincé, coincée",зажатый,"Je suis <b>coincé</b>.","Я <b>застрял</b>.",😫
un institut,институт,"Un <b>institut</b> de recherche.","Научно-исследовательский <b>институт</b>.",🏛️
un plombier,сантехник,"Appeler le <b>plombier</b>.","Вызвать <b>сантехника</b>.",🔧
un sursis,отсрочка,"Un <b>sursis</b> d'exécution.","<b>Отсрочка</b> исполнения.",⏰
prodiguer,расточать,"<b>Prodiguer</b> des conseils.","<b>Расточать</b> советы.",💬
saper,подрывать,"<b>Saper</b> le moral.","<b>Подрывать</b> моральный дух.",💥
une bride,узда,"Tenir la <b>bride</b>.","Держать <b>узду</b>.",🐴
une senteur,аромат,"Une <b>senteur</b> de jasmin.","<b>Аромат</b> жасмина.",🌸
un laser,лазер,"Un rayon <b>laser</b>.","<b>Лазерный</b> луч.",✨
un égoïsme,эгоизм,"Un <b>égoïsme</b> flagrant.","Явный <b>эгоизм</b>.",😤
un sot,глупец,"Quel <b>sot</b> !","Какой <b>глупец</b>!",🤦
étinceler,искриться,"Les diamants <b>étincellent</b>.","Бриллианты <b>искрятся</b>.",💎
"compréhensif, compréhensive",понимающий,"Un patron <b>compréhensif</b>.","<b>Понимающий</b> начальник.",🤗
un parlement,парламент,"Le <b>parlement</b> européen.","Европейский <b>парламент</b>.",🏛️
"enveloppé, enveloppée",обёрнутый,"<b>Enveloppé</b> de brume.","<b>Окутанный</b> туманом.",🌫️
un goudron,дёготь,"Le <b>goudron</b> de la route.","<b>Гудрон</b> дороги.",🛣️
une gamme,гамма,"Une large <b>gamme</b> de produits.","Широкая <b>гамма</b> продуктов.",🎹
une tournure,оборот,"Une <b>tournure</b> de phrase.","<b>Оборот</b> речи.",📝
oblique,косой,"Une ligne <b>oblique</b>.","<b>Косая</b> линия.",📐
une emmerde,проблема (разг.),"Quelle <b>emmerde</b> !","Какой <b>геморрой</b>!",😤
un sida,СПИД,"Le virus du <b>sida</b>.","Вирус <b>СПИДа</b>.",🏥
un laurier,лавр,"Une feuille de <b>laurier</b>.","<b>Лавровый</b> лист.",🌿
