French,Russian,ExampleFrench,ExampleRussian,Emoji
frite,обжаренный; измотанный,Je suis <b>frite</b>.,Я <b>измотана</b>.,😴
jaffer,жрать (разг.),<b>Jaffer</b> un sandwich.,<b>Жрать</b> бутерброд.,🍔
une normale,норма; нормаль,Revenir à la <b>normale</b>.,Вернуться к <b>норме</b>.,📊
un vizir,визирь,Le <b>vizir</b> conseille le sultan.,<b>Визирь</b> советует султану.,👳
rebours,наоборот; против,À <b>rebours</b> du courant.,<b>Против</b> течения.,↩️
un porter,портер (пиво),Un <b>porter</b> anglais.,Английский <b>портер</b>.,🍺
un home,дом; приют,Un <b>home</b> pour personnes âgées.,<b>Дом</b> престарелых.,🏠
un trip,трип; поездка,Un <b>trip</b> en moto.,<b>Поездка</b> на мотоцикле.,🏍️
une archère,лучница,L'<b>archère</b> vise la cible.,<b>Лучница</b> целится в мишень.,🏹
une rancœur,злоба; обида,Garder de la <b>rancœur</b>.,Хранить <b>злобу</b>.,😤
un zanzi,зензи (игра в кости),Jouer au <b>zanzi</b>.,Играть в <b>зензи</b>.,🎲
un haut-commissaire,верховный комиссар,Le <b>haut-commissaire</b> de l'ONU.,<b>Верховный комиссар</b> ООН.,🏛️
un w,буква W,Le mot commence par un <b>w</b>.,Слово начинается на <b>w</b>.,🔤
un martini,мартини,Un <b>martini</b> dry.,Сухой <b>мартини</b>.,🍸
vous-mêmes,сами (вы),Faites-le <b>vous-mêmes</b>.,Сделайте это <b>сами</b>.,👥
un pissou,трус (квебек.),C'est un <b>pissou</b>.,Он <b>трус</b>.,🐔
un ave,аве (молитва),Réciter un <b>Ave</b>.,Читать <b>Аве</b>.,🙏
un rabbi,раввин,Le <b>rabbi</b> enseigne la Torah.,<b>Раввин</b> учит Торе.,✡️
un back,бэк; защитник,Le <b>back</b> défend.,<b>Защитник</b> обороняется.,⚽
un affreux,урод; уродец,C'est un <b>affreux</b>.,Он <b>урод</b>.,👹
un raton,енот; арабчонок (груб.),Le <b>raton</b> laveur.,<b>Енот</b>-полоскун.,🦝
un intéressé,заинтересованный (субст.),L'<b>intéressé</b> peut faire appel.,<b>Заинтересованный</b> может подать апелляцию.,🧑‍💼
une je,буква J,La lettre <b>j</b>.,Буква <b>ж</b>.,🔤
une héro,героин (наркотик),L'<b>héro</b> est dangereuse.,<b>Героин</b> опасен.,🚫
"merdeux, merdeuse",засранный (груб.),Un gamin <b>merdeux</b>.,<b>Сопливый</b> пацан.,🤬
"nègre, négresse",негритянский (устар.),L'art <b>nègre</b>.,<b>Негритянское</b> искусство.,🚫
un israélien,израильтянин,Il est <b>israélien</b>.,Он <b>израильтянин</b>.,🇮🇱
hip,гип! ура!,<b>Hip hip hip</b> hourra !,<b>Гип-гип</b> ура!,🎉
pus,больше не (квебек.),J'en veux <b>pus</b>.,Я <b>больше</b> не хочу.,🚫
une verticale,вертикаль,À la <b>verticale</b>.,По <b>вертикали</b>.,📏
un implant,имплант,Un <b>implant</b> dentaire.,Зубной <b>имплант</b>.,🦷
mienne,моя,C'est la <b>mienne</b>.,Это <b>моя</b>.,👆
un protestant,протестант,Il est <b>protestant</b>.,Он <b>протестант</b>.,⛪
une conservatrice,консерватор (ж.р.),La <b>conservatrice</b> du musée.,<b>Хранительница</b> музея.,🏛️
une traiteuse,поставщица,La <b>traiteuse</b> prépare le buffet.,<b>Поставщица</b> готовит фуршет.,🍽️
une informatique,информатика,Étudier l'<b>informatique</b>.,Изучать <b>информатику</b>.,💻
un cocu,рогоносец,C'est un <b>cocu</b>.,Он <b>рогоносец</b>.,🤘
un indifférent,безразличный (субст.),Jouer les <b>indifférents</b>.,Притворяться <b>равнодушным</b>.,😐
un brûlé,обожжённый (субст.),Les grands <b>brûlés</b>.,<b>Обожжённые</b>.,🔥
une malfaitrice,преступница,La <b>malfaitrice</b> a été arrêtée.,<b>Преступницу</b> задержали.,👮‍♀️
une vessie,мочевой пузырь,La <b>vessie</b> est pleine.,<b>Мочевой пузырь</b> полон.,🫀
un important,важный (субст.),Faire l'<b>important</b>.,Корчить из себя <b>важную персону</b>.,🎩
masturber,мастурбировать,Se <b>masturber</b>.,<b>Мастурбировать</b>.,🔞
un black,темнокожий (разг.),C'est un <b>black</b>.,Он <b>темнокожий</b>.,👤
un gras,жирное; жир,Le <b>gras</b> du jambon.,<b>Жир</b> ветчины.,🥓
un ana,сборник изречений,Un <b>ana</b> de Voltaire.,<b>Сборник</b> изречений Вольтера.,📚
un trauma,травма,Un <b>trauma</b> crânien.,Черепная <b>травма</b>.,🏥
un hollandais,голландец,Il est <b>hollandais</b>.,Он <b>голландец</b>.,🇳🇱
un rital,итальяшка (груб.),C'est un <b>rital</b>.,Он <b>итальяшка</b>.,🇮🇹
un africain,африканец,Il est <b>africain</b>.,Он <b>африканец</b>.,🌍
un jais,гагат; чёрный,Des yeux de <b>jais</b>.,Глаза цвета <b>гагата</b>.,⬛
cave,тупой; лох (разг.),T'es <b>cave</b> ou quoi ?,Ты <b>тупой</b> или как?,🤦
gémellaire,близнецовый,Une grossesse <b>gémellaire</b>.,<b>Близнецовая</b> беременность.,👶👶
un violet,фиолетовый (цвет),Le <b>violet</b> est ma couleur.,<b>Фиолетовый</b> — мой цвет.,💜
minimum,минимальный,Un salaire <b>minimum</b>.,<b>Минимальная</b> зарплата.,📉
chair,телесный,De couleur <b>chair</b>.,<b>Телесного</b> цвета.,🎨
un jésuite,иезуит,Le <b>jésuite</b> enseigne.,<b>Иезуит</b> учит.,⛪
une house,хаус (музыка),De la musique <b>house</b>.,Музыка <b>хаус</b>.,🎵
un sicilien,сицилиец,Il est <b>sicilien</b>.,Он <b>сицилиец</b>.,🇮🇹
"poussé, poussée",продвинутый; усиленный,Une recherche <b>poussée</b>.,<b>Углублённое</b> исследование.,🔬
"trait, traite",дойка (о корове),La vache <b>traite</b>.,<b>Выдоенная</b> корова.,🐄
prime,первый; начальный,La <b>prime</b> jeunesse.,<b>Ранняя</b> молодость.,🌱
étendu,протяжённый; широкий,Un vocabulaire <b>étendu</b>.,<b>Богатый</b> словарный запас.,📖
un final,финал (муз.),Le <b>final</b> de la symphonie.,<b>Финал</b> симфонии.,🎼
une embrasure,проём; амбразура,L'<b>embrasure</b> de la fenêtre.,<b>Проём</b> окна.,🪟
une esplanade,эспланада,L'<b>esplanade</b> du château.,<b>Эспланада</b> замка.,🏰
blanchâtre,белёсый,Une lumière <b>blanchâtre</b>.,<b>Белёсый</b> свет.,🌫️
un couplet,куплет,Le <b>couplet</b> de la chanson.,<b>Куплет</b> песни.,🎤
continuellement,непрерывно,Travailler <b>continuellement</b>.,Работать <b>непрерывно</b>.,🔄
une myrtille,черника,Des <b>myrtilles</b> fraîches.,Свежая <b>черника</b>.,🫐
assécher,осушать,<b>Assécher</b> un marais.,<b>Осушить</b> болото.,💧
"maladif, maladive",болезненный,Un enfant <b>maladif</b>.,<b>Болезненный</b> ребёнок.,🤒
un fichu,платок; косынка,Un <b>fichu</b> en laine.,Шерстяной <b>платок</b>.,🧣
une adhésion,присоединение; членство,L'<b>adhésion</b> à l'UE.,<b>Вступление</b> в ЕС.,🤝
une interview,интервью,Donner une <b>interview</b>.,Дать <b>интервью</b>.,🎤
"intégral, intégrale",полный; цельный,Un paiement <b>intégral</b>.,<b>Полная</b> оплата.,💯
"rêvé, rêvée",идеальный,Un travail <b>rêvé</b>.,<b>Идеальная</b> работа.,✨
un magnum,магнум (бутылка),Un <b>magnum</b> de champagne.,<b>Магнум</b> шампанского.,🍾
un calife,халиф,Le <b>calife</b> de Bagdad.,<b>Халиф</b> Багдада.,👳
"charnu, charnue",мясистый,Des lèvres <b>charnues</b>.,<b>Мясистые</b> губы.,👄
