French,Russian,ExampleFrench,ExampleRussian,Emoji
une case,клетка,"Cocher la <b>case</b>.","Поставить галочку в <b>клетке</b>.",☑️
stérile,бесплодный,"Un débat <b>stérile</b>.","<b>Бесплодная</b> дискуссия.",❌
débuter,начинать,"<b>Débuter</b> une carrière.","<b>Начать</b> карьеру.",🚀
une sottise,глупость,"Dire des <b>sottises</b>.","Говорить <b>глупости</b>.",🤦
un banquier,банкир,"Le <b>banquier</b> accorde un prêt.","<b>Банкир</b> даёт кредит.",🏦
une fondation,фонд,"Une <b>fondation</b> caritative.","Благотворительный <b>фонд</b>.",🏛️
"soûl, soûle",пьяный,"Il est complètement <b>soûl</b>.","Он совершенно <b>пьян</b>.",🍺
une morgue,морг,"Le corps est à la <b>morgue</b>.","Тело в <b>морге</b>.",🏥
une brûlure,ожог,"Une <b>brûlure</b> au doigt.","<b>Ожог</b> на пальце.",🔥
un complot,заговор,"Un <b>complot</b> politique.","Политический <b>заговор</b>.",🤫
expulser,высылать,"<b>Expulser</b> un immigrant.","<b>Выслать</b> иммигранта.",🚪
obstiner,упрямиться,"Il s'<b>obstine</b> à refuser.","Он <b>упорствует</b> в отказе.",🐴
localiser,определять местонахождение,"<b>Localiser</b> le signal.","<b>Определить</b> местонахождение сигнала.",📍
autrui,другие (люди),"Respecter <b>autrui</b>.","Уважать <b>других</b>.",👥
un rhum,ром,"Un verre de <b>rhum</b>.","Стакан <b>рома</b>.",🥃
une baisse,падение,"Une <b>baisse</b> des prix.","<b>Падение</b> цен.",📉
subitement,внезапно,"<b>Subitement</b>, il est parti.","<b>Внезапно</b> он ушёл.",⚡
une splendeur,великолепие,"La <b>splendeur</b> du palais.","<b>Великолепие</b> дворца.",✨
"conséquent, conséquente",значительный,"Une somme <b>conséquente</b>.","<b>Значительная</b> сумма.",💰
une trousse,пенал,"Une <b>trousse</b> d'école.","Школьный <b>пенал</b>.",✏️
"douteux, douteuse",сомнительный,"Une affaire <b>douteuse</b>.","<b>Сомнительное</b> дело.",🤔
"éteint, éteinte",погасший,"Un feu <b>éteint</b>.","<b>Погасший</b> огонь.",🔥
un tourbillon,вихрь,"Un <b>tourbillon</b> de vent.","<b>Вихрь</b> ветра.",🌪️
une concession,уступка,"Faire une <b>concession</b>.","Сделать <b>уступку</b>.",🤝
endurer,выносить,"<b>Endurer</b> la douleur.","<b>Выносить</b> боль.",💪
un satellite,спутник,"Un <b>satellite</b> artificiel.","Искусственный <b>спутник</b>.",🛰️
une correspondance,корреспонденция,"Une <b>correspondance</b> secrète.","Тайная <b>переписка</b>.",✉️
fortement,сильно,"<b>Fortement</b> recommandé.","<b>Настоятельно</b> рекомендуется.",💪
un mendiant,нищий,"Un <b>mendiant</b> dans la rue.","<b>Нищий</b> на улице.",🧑
"menaçant, menaçante",угрожающий,"Un ton <b>menaçant</b>.","<b>Угрожающий</b> тон.",😠
correctement,правильно,"Répondre <b>correctement</b>.","Ответить <b>правильно</b>.",✅
"puant, puante",вонючий,"Un fromage <b>puant</b>.","<b>Вонючий</b> сыр.",🧀
un gangster,гангстер,"Un film de <b>gangsters</b>.","Фильм о <b>гангстерах</b>.",🎬
une garantie,гарантия,"Une <b>garantie</b> de deux ans.","<b>Гарантия</b> два года.",📜
un lavabo,раковина,"Se laver au <b>lavabo</b>.","Мыться у <b>раковины</b>.",🚿
aggraver,усугублять,"<b>Aggraver</b> la situation.","<b>Усугубить</b> ситуацию.",😓
un renard,лиса,"Un <b>renard</b> rusé.","Хитрая <b>лиса</b>.",🦊
une invasion,вторжение,"Une <b>invasion</b> de fourmis.","<b>Нашествие</b> муравьёв.",🐜
éternellement,вечно,"Attendre <b>éternellement</b>.","Ждать <b>вечно</b>.",⏳
"promis, promise",обещанный,"La terre <b>promise</b>.","<b>Обетованная</b> земля.",🌍
une stratégie,стратегия,"Une <b>stratégie</b> marketing.","Маркетинговая <b>стратегия</b>.",📊
un pilier,столб,"Un <b>pilier</b> de pierre.","Каменный <b>столб</b>.",🏛️
ironique,ироничный,"Un sourire <b>ironique</b>.","<b>Ироничная</b> улыбка.",😏
"séduisant, séduisante",соблазнительный,"Une offre <b>séduisante</b>.","<b>Соблазнительное</b> предложение.",😍
"émouvant, émouvante",трогательный,"Un discours <b>émouvant</b>.","<b>Трогательная</b> речь.",🥲
un symptôme,симптом,"Les <b>symptômes</b> de la grippe.","<b>Симптомы</b> гриппа.",🤒
une vieillesse,старость,"Une <b>vieillesse</b> heureuse.","Счастливая <b>старость</b>.",👴
une rafale,порыв; очередь,"Une <b>rafale</b> de vent.","<b>Порыв</b> ветра.",💨
"insignifiant, insignifiante",незначительный,"Un détail <b>insignifiant</b>.","<b>Незначительная</b> деталь.",🔍
un culot,наглость,"Quel <b>culot</b> !","Какая <b>наглость</b>!",😤
un squelette,скелет,"Le <b>squelette</b> humain.","Человеческий <b>скелет</b>.",💀
une énigme,загадка,"Résoudre une <b>énigme</b>.","Разгадать <b>загадку</b>.",🧩
judiciaire,судебный,"Une enquête <b>judiciaire</b>.","<b>Судебное</b> расследование.",⚖️
physiquement,физически,"<b>Physiquement</b> épuisé.","<b>Физически</b> истощён.",😫
littéraire,литературный,"Un prix <b>littéraire</b>.","<b>Литературная</b> премия.",📚
un montant,сумма,"Le <b>montant</b> total.","Общая <b>сумма</b>.",💵
un colis,посылка,"Recevoir un <b>colis</b>.","Получить <b>посылку</b>.",📦
agripper,хватать,"<b>Agripper</b> la rampe.","<b>Схватиться</b> за перила.",✊
"décisif, décisive",решающий,"Un moment <b>décisif</b>.","<b>Решающий</b> момент.",⚡
un développement,развитие,"Le <b>développement</b> économique.","Экономическое <b>развитие</b>.",📈
une noblesse,благородство,"La <b>noblesse</b> du geste.","<b>Благородство</b> жеста.",👑
"déchiré, déchirée",разорванный,"Un jean <b>déchiré</b>.","<b>Рваные</b> джинсы.",👖
engendrer,порождать,"<b>Engendrer</b> des problèmes.","<b>Порождать</b> проблемы.",🔄
un processus,процесс,"Un <b>processus</b> complexe.","Сложный <b>процесс</b>.",⚙️
un nécessaire,необходимое,"Le strict <b>nécessaire</b>.","Самое <b>необходимое</b>.",📋
compléter,дополнять,"<b>Complète</b> le formulaire.","<b>Заполни</b> анкету.",✍️
marron,коричневый,"Des yeux <b>marron</b>.","<b>Карие</b> глаза.",🟤
embrouiller,запутывать,"<b>Embrouiller</b> les idées.","<b>Запутать</b> мысли.",🤯
un ail,чеснок,"Une gousse d'<b>ail</b>.","Зубчик <b>чеснока</b>.",🧄
un porche,крыльцо,"S'asseoir sur le <b>porche</b>.","Сидеть на <b>крыльце</b>.",🚪
une vingtaine,около двадцати,"Une <b>vingtaine</b> de personnes.","Около <b>двадцати</b> человек.",👥
une écharpe,шарф,"Mettre une <b>écharpe</b>.","Надеть <b>шарф</b>.",🧣
quitte,квитый,"<b>Quitte</b> ou double.","Пан или <b>пропал</b>.",🎲
brosser,чистить щёткой,"<b>Brosse</b> tes dents.","<b>Почисти</b> зубы.",🪥
un rabbin,раввин,"Le <b>rabbin</b> de la synagogue.","<b>Раввин</b> синагоги.",✡️
une agonie,агония,"Une longue <b>agonie</b>.","Долгая <b>агония</b>.",😵
une marine,флот,"La <b>marine</b> nationale.","Военно-морской <b>флот</b>.",⚓
une comparaison,сравнение,"Une <b>comparaison</b> flatteuse.","Лестное <b>сравнение</b>.",📊
