French,Russian,ExampleFrench,ExampleRussian,Emoji
expérimenter,экспериментировать,"<b>Expérimenter</b> de nouvelles méthodes.","<b>Экспериментировать</b> с новыми методами.",🔬
"foireux, foireuse",дурацкий,"Un plan <b>foireux</b>.","<b>Дурацкий</b> план.",👎
un abonnement,подписка,"Un <b>abonnement</b> mensuel.","Ежемесячная <b>подписка</b>.",📰
un gymnase,спортзал,"S'entraîner au <b>gymnase</b>.","Тренироваться в <b>спортзале</b>.",🏋️
un cratère,кратер,"Le <b>cratère</b> d'un volcan.","<b>Кратер</b> вулкана.",🌋
empocher,прикарманить,"<b>Empocher</b> l'argent.","<b>Прикарманить</b> деньги.",💰
tamponner,штамповать,"<b>Tamponner</b> un document.","<b>Штамповать</b> документ.",📄
inacceptable,неприемлемый,"Une attitude <b>inacceptable</b>.","<b>Неприемлемое</b> поведение.",🚫
une oasis,оазис,"Une <b>oasis</b> de paix.","<b>Оазис</b> спокойствия.",🏝️
accessible,доступный,"Un prix <b>accessible</b>.","<b>Доступная</b> цена.",✅
"harmonieux, harmonieuse",гармоничный,"Une musique <b>harmonieuse</b>.","<b>Гармоничная</b> музыка.",🎵
"latéral, latérale",боковой,"Une entrée <b>latérale</b>.","<b>Боковой</b> вход.",🚪
une bile,желчь,"Se faire de la <b>bile</b>.","Переживать.",😰
une maisonnette,домик,"Une <b>maisonnette</b> de jardin.","Садовый <b>домик</b>.",🏠
"respecté, respectée",уважаемый,"Un homme <b>respecté</b>.","<b>Уважаемый</b> человек.",👤
basque,баскский,"Le pays <b>basque</b>.","<b>Баскская</b> страна.",🇪🇸
obscurcir,затемнять,"<b>Obscurcir</b> la pièce.","<b>Затемнить</b> комнату.",🌑
un tact,такт,"Avec <b>tact</b>.","С <b>тактом</b>.",🤝
comptable,бухгалтерский,"Un système <b>comptable</b>.","<b>Бухгалтерская</b> система.",📊
un fumeur,курильщик,"Un <b>fumeur</b> invétéré.","Заядлый <b>курильщик</b>.",🚬
"argentin, argentine",аргентинский,"Le tango <b>argentin</b>.","<b>Аргентинское</b> танго.",🇦🇷
supportable,терпимый,"Une douleur <b>supportable</b>.","<b>Терпимая</b> боль.",😕
un crépitement,треск,"Le <b>crépitement</b> du feu.","<b>Треск</b> огня.",🔥
un raid,рейд,"Un <b>raid</b> aérien.","Воздушный <b>рейд</b>.",✈️
une agressivité,агрессивность,"Avec <b>agressivité</b>.","С <b>агрессивностью</b>.",😠
solennellement,торжественно,"Jurer <b>solennellement</b>.","<b>Торжественно</b> клясться.",🎭
"jauni, jaunie",пожелтевший,"Des pages <b>jaunies</b>.","<b>Пожелтевшие</b> страницы.",📜
une toque,колпак,"La <b>toque</b> du chef.","<b>Колпак</b> повара.",👨‍🍳
un arbuste,кустарник,"Un <b>arbuste</b> fleuri.","Цветущий <b>кустарник</b>.",🌺
décimer,уничтожать,"<b>Décimer</b> la population.","<b>Уничтожить</b> население.",😔
"miséricordieux, miséricordieuse",милосердный,"Un Dieu <b>miséricordieux</b>.","<b>Милосердный</b> Бог.",🙏
somnambule,лунатик,"Un <b>somnambule</b> nocturne.","Ночной <b>лунатик</b>.",🌙
un ravage,опустошение,"Les <b>ravages</b> de la guerre.","<b>Опустошения</b> войны.",💔
naze,никудышный,"Un film <b>naze</b>.","<b>Никудышный</b> фильм.",👎
un extrait,выдержка,"Un <b>extrait</b> de texte.","<b>Выдержка</b> из текста.",📝
une extinction,вымирание,"L'<b>extinction</b> des dinosaures.","<b>Вымирание</b> динозавров.",🦖
singulièrement,особенно,"<b>Singulièrement</b> beau.","<b>Особенно</b> красив.",✨
fourguer,сбывать,"<b>Fourguer</b> de la marchandise.","<b>Сбывать</b> товар.",📦
un dépens,убыток,"À ses <b>dépens</b>.","За свой <b>счёт</b>.",💸
une violation,нарушение,"Une <b>violation</b> des droits.","<b>Нарушение</b> прав.",⚖️
"émotionnel, émotionnelle",эмоциональный,"Une réaction <b>émotionnelle</b>.","<b>Эмоциональная</b> реакция.",😢
"fané, fanée",увядший,"Des fleurs <b>fanées</b>.","<b>Увядшие</b> цветы.",🥀
un avatar,аватар,"Un <b>avatar</b> numérique.","Цифровой <b>аватар</b>.",👤
une stupidité,глупость,"Quelle <b>stupidité</b> !","Какая <b>глупость</b>!",🤦
flétrir,увядать,"Les roses <b>flétrissent</b>.","Розы <b>увядают</b>.",🌹
"affilé, affilée",заточенный,"Une lame <b>affilée</b>.","<b>Заточенное</b> лезвие.",🔪
"reconnu, reconnue",признанный,"Un artiste <b>reconnu</b>.","<b>Признанный</b> артист.",🎨
une répugnance,отвращение,"Avec <b>répugnance</b>.","С <b>отвращением</b>.",🤢
un bambou,бамбук,"Une forêt de <b>bambou</b>.","<b>Бамбуковый</b> лес.",🎋
"ancestral, ancestrale",родовой,"Une terre <b>ancestrale</b>.","<b>Родовая</b> земля.",🏠
une pastèque,арбуз,"Une tranche de <b>pastèque</b>.","Ломтик <b>арбуза</b>.",🍉
"masqué, masquée",замаскированный,"Un homme <b>masqué</b>.","<b>Замаскированный</b> человек.",🎭
gamberger,кумекать,"<b>Gamberger</b> toute la nuit.","<b>Кумекать</b> всю ночь.",🤔
convoiter,вожделеть,"<b>Convoiter</b> le pouvoir.","<b>Жаждать</b> власти.",👑
"chétif, chétive",хилый,"Un enfant <b>chétif</b>.","<b>Хилый</b> ребёнок.",🤒
une carrosserie,кузов,"La <b>carrosserie</b> de la voiture.","<b>Кузов</b> машины.",🚗
"ridé, ridée",морщинистый,"Un visage <b>ridé</b>.","<b>Морщинистое</b> лицо.",👴
femelle,самка,"Une <b>femelle</b> lion.","<b>Львица</b>.",🦁
terrasser,повергать,"<b>Terrasser</b> l'ennemi.","<b>Повергнуть</b> врага.",⚔️
infidèle,неверный,"Un mari <b>infidèle</b>.","<b>Неверный</b> муж.",💔
"révolu, révolue",минувший,"Une époque <b>révolue</b>.","<b>Минувшая</b> эпоха.",⏳
un employeur,работодатель,"Un bon <b>employeur</b>.","Хороший <b>работодатель</b>.",💼
déconcerter,смущать,"<b>Déconcerter</b> l'adversaire.","<b>Смутить</b> противника.",😕
faune,фауна,"La <b>faune</b> sauvage.","Дикая <b>фауна</b>.",🦁
relax,расслабленный,"Une ambiance <b>relax</b>.","<b>Расслабленная</b> атмосфера.",😎
reluquer,пялиться,"<b>Reluquer</b> une fille.","<b>Пялиться</b> на девушку.",👀
"temporel, temporelle",временной,"Un pouvoir <b>temporel</b>.","<b>Светская</b> власть.",⏰
une truffe,трюфель,"Une <b>truffe</b> noire.","Чёрный <b>трюфель</b>.",🍄
"nuptial, nuptiale",брачный,"La chambre <b>nuptiale</b>.","<b>Брачная</b> комната.",💒
un mortier,миномёт,"Un tir de <b>mortier</b>.","Выстрел из <b>миномёта</b>.",💣
une aptitude,способность,"Une <b>aptitude</b> naturelle.","Природная <b>способность</b>.",🎯
"habitué, habituée",привычный,"Un geste <b>habitué</b>.","<b>Привычный</b> жест.",🔄
un raffinement,утончённость,"Avec <b>raffinement</b>.","С <b>утончённостью</b>.",💎
"arrondi, arrondie",округлённый,"Une somme <b>arrondie</b>.","<b>Округлённая</b> сумма.",🔢
"fulgurant, fulgurante",молниеносный,"Une carrière <b>fulgurante</b>.","<b>Молниеносная</b> карьера.",⚡
lorgner,коситься,"<b>Lorgner</b> sur le voisin.","<b>Коситься</b> на соседа.",👀
un surf,сёрфинг,"Faire du <b>surf</b>.","Заниматься <b>сёрфингом</b>.",🏄
une céréale,злак,"Les <b>céréales</b> du petit-déjeuner.","<b>Хлопья</b> на завтрак.",🥣
joliment,мило,"<b>Joliment</b> décoré.","<b>Мило</b> украшено.",🎀
