French,Russian,ExampleFrench,ExampleRussian,Emoji
une grand-mère,бабушка,"Ma <b>grand-mère</b> fait les meilleures tartes.","Моя <b>бабушка</b> печёт лучшие пироги.",👵
poursuivre,преследовать; продолжать,"La police a <b>poursuivi</b> le voleur.","Полиция <b>преследовала</b> вора.",🏃
une colère,гнев,"Il est en <b>colère</b> contre moi.","Он <b>злится</b> на меня.",😠
un animal,животное,"J'aime les <b>animaux</b>.","Я люблю <b>животных</b>.",🐾
discuter,обсуждать,"On peut <b>discuter</b> de ce sujet.","Мы можем <b>обсудить</b> эту тему.",💬
signer,подписывать,"<b>Signez</b> ici, s'il vous plaît.","<b>Подпишите</b> здесь, пожалуйста.",✍️
une présence,присутствие,"Ta <b>présence</b> me rassure.","Твоё <b>присутствие</b> меня успокаивает.",👤
sonner,звонить; звучать,"Le téléphone <b>sonne</b>.","Телефон <b>звонит</b>.",📞
une mémoire,память,"J'ai une mauvaise <b>mémoire</b>.","У меня плохая <b>память</b>.",🧠
une larme,слеза,"Des <b>larmes</b> coulaient sur ses joues.","<b>Слёзы</b> текли по её щекам.",😢
surprendre,удивлять,"Cette nouvelle m'a <b>surpris</b>.","Эта новость меня <b>удивила</b>.",😮
capable,способный,"Je suis <b>capable</b> de le faire.","Я <b>способен</b> это сделать.",💪
une surprise,сюрприз,"J'ai une <b>surprise</b> pour toi.","У меня для тебя <b>сюрприз</b>.",🎁
un siècle,век; столетие,"Nous vivons au XXIe <b>siècle</b>.","Мы живём в XXI <b>веке</b>.",📜
une beauté,красота,"La <b>beauté</b> de ce paysage est incroyable.","<b>Красота</b> этого пейзажа невероятна.",🌸
un dîner,ужин,"Le <b>dîner</b> est prêt.","<b>Ужин</b> готов.",🍽️
un crime,преступление,"C'est un <b>crime</b> grave.","Это тяжкое <b>преступление</b>.",⚖️
un rôle,роль,"Il joue le <b>rôle</b> principal dans le film.","Он играет главную <b>роль</b> в фильме.",🎭
un cousin,кузен; двоюродный брат,"Mon <b>cousin</b> vit à Québec.","Мой <b>кузен</b> живёт в Квебеке.",👦
un art,искусство,"L'<b>art</b> québécois est très riche.","Квебекское <b>искусство</b> очень богатое.",🎨
un effort,усилие,"Fais un <b>effort</b>, tu peux y arriver !","Сделай <b>усилие</b>, ты справишься!",💪
hors,"вне; за пределами","Il est <b>hors</b> de question.","Это <b>исключено</b>.",🚫
"dangereux, dangereuse",опасный,"C'est un quartier <b>dangereux</b>.","Это <b>опасный</b> район.",⚠️
mériter,заслуживать,"Tu <b>mérites</b> une pause.","Ты <b>заслуживаешь</b> отдых.",🏆
blesser,ранить,"Je ne voulais pas te <b>blesser</b>.","Я не хотел тебя <b>обидеть</b>.",😢
une occasion,возможность; случай,"C'est une bonne <b>occasion</b>.","Это хорошая <b>возможность</b>.",✨
allumer,включать; зажигать,"<b>Allume</b> la lumière, s'il te plaît.","<b>Включи</b> свет, пожалуйста.",💡
un espoir,надежда,"J'ai <b>espoir</b> que tout ira bien.","Я <b>надеюсь</b>, что всё будет хорошо.",🤞
absolument,абсолютно; обязательно,"C'est <b>absolument</b> nécessaire.","Это <b>абсолютно</b> необходимо.",💯
