French,Russian,ExampleFrench,ExampleRussian,Emoji
"glacial, glaciale",ледяной,"Un vent <b>glacial</b>.","<b>Ледяной</b> ветер.",🥶
"effrayé, effrayée",испуганный,"Un regard <b>effrayé</b>.","<b>Испуганный</b> взгляд.",😨
une montée,подъём,"La <b>montée</b> des escaliers.","<b>Подъём</b> по лестнице.",📈
une écume,пена,"L'<b>écume</b> des vagues.","<b>Пена</b> волн.",🌊
vulnérable,уязвимый,"Un point <b>vulnérable</b>.","<b>Уязвимая</b> точка.",😟
"poussiéreux, poussiéreuse",пыльный,"Une route <b>poussiéreuse</b>.","<b>Пыльная</b> дорога.",🛤️
"bavard, bavarde",болтливый,"Elle est <b>bavarde</b>.","Она <b>болтливая</b>.",🗣️
un fichier,файл,"Ouvrir un <b>fichier</b>.","Открыть <b>файл</b>.",📁
improviser,импровизировать,"<b>Improviser</b> un discours.","<b>Импровизировать</b> речь.",🎤
rauque,хриплый,"Une voix <b>rauque</b>.","<b>Хриплый</b> голос.",🗣️
engouffrer,поглощать,"S'<b>engouffrer</b> dans le métro.","<b>Устремиться</b> в метро.",🚇
neutre,нейтральный,"Un terrain <b>neutre</b>.","<b>Нейтральная</b> территория.",⚖️
réconforter,утешать,"<b>Réconforter</b> un ami.","<b>Утешить</b> друга.",🤗
une marmite,кастрюля,"Une <b>marmite</b> de soupe.","<b>Кастрюля</b> супа.",🍲
infâme,бесчестный,"Un acte <b>infâme</b>.","<b>Бесчестный</b> поступок.",😤
un galon,галун; нашивка,"Gagner ses <b>galons</b>.","Заслужить <b>погоны</b>.",🎖️
un taux,ставка,"Le <b>taux</b> d'intérêt.","Процентная <b>ставка</b>.",📊
une frite,картошка фри,"Des <b>frites</b> belges.","Бельгийская <b>картошка фри</b>.",🍟
"matinal, matinale",утренний,"Une promenade <b>matinale</b>.","<b>Утренняя</b> прогулка.",🌅
un rituel,ритуал,"Un <b>rituel</b> quotidien.","Ежедневный <b>ритуал</b>.",📿
réapparaître,вновь появляться,"<b>Réapparaître</b> soudain.","Внезапно <b>появиться</b> вновь.",👻
tutoyer,обращаться на «ты»,"On peut se <b>tutoyer</b> ?","Можем на «<b>ты</b>»?",👋
une lassitude,усталость,"Une grande <b>lassitude</b>.","Большая <b>усталость</b>.",😩
"ému, émue",растроганный,"Je suis <b>ému</b>.","Я <b>растроган</b>.",🥲
"latin, latine",латинский,"La culture <b>latine</b>.","<b>Латинская</b> культура.",📜
une correction,исправление,"Apporter une <b>correction</b>.","Внести <b>исправление</b>.",✍️
un contour,контур,"Les <b>contours</b> du visage.","<b>Контуры</b> лица.",✏️
une opposition,оппозиция,"L'<b>opposition</b> politique.","Политическая <b>оппозиция</b>.",⚔️
un képi,кепи,"Le <b>képi</b> du gendarme.","<b>Кепи</b> жандарма.",👮
pécher,грешить,"<b>Pécher</b> par orgueil.","<b>Грешить</b> гордыней.",😇
vis-à-vis,по отношению к,"<b>Vis-à-vis</b> de la loi.","<b>По отношению</b> к закону.",↔️
une dépense,расход,"Réduire les <b>dépenses</b>.","Сократить <b>расходы</b>.",💸
une craie,мел,"Écrire à la <b>craie</b>.","Писать <b>мелом</b>.",✍️
exclamer,восклицать,"S'<b>exclamer</b> de joie.","<b>Воскликнуть</b> от радости.",😃
précédemment,ранее,"Comme dit <b>précédemment</b>.","Как сказано <b>ранее</b>.",⏮️
une vibration,вибрация,"Une légère <b>vibration</b>.","Лёгкая <b>вибрация</b>.",📳
"assuré, assurée",уверенный,"Un pas <b>assuré</b>.","<b>Уверенный</b> шаг.",💪
un escargot,улитка,"Un <b>escargot</b> de Bourgogne.","Бургундская <b>улитка</b>.",🐌
une sentinelle,часовой,"Une <b>sentinelle</b> vigilante.","Бдительный <b>часовой</b>.",💂
une déposition,показание,"Faire une <b>déposition</b>.","Дать <b>показания</b>.",📝
abominable,отвратительный,"Un crime <b>abominable</b>.","<b>Отвратительное</b> преступление.",🤢
un éclairage,освещение,"Un bon <b>éclairage</b>.","Хорошее <b>освещение</b>.",💡
un adjoint,заместитель,"L'<b>adjoint</b> au maire.","<b>Заместитель</b> мэра.",👔
un dirigeant,руководитель,"Un <b>dirigeant</b> d'entreprise.","<b>Руководитель</b> компании.",👨‍💼
une lisière,опушка,"À la <b>lisière</b> de la forêt.","На <b>опушке</b> леса.",🌲
un réfugié,беженец,"Un camp de <b>réfugiés</b>.","Лагерь <b>беженцев</b>.",🏕️
une constitution,конституция,"La <b>Constitution</b> française.","Французская <b>конституция</b>.",📜
une volée,стая; залп,"Une <b>volée</b> d'oiseaux.","<b>Стая</b> птиц.",🐦
"joint, jointe",приложенный,"Voir pièce <b>jointe</b>.","Смотри <b>вложение</b>.",📎
un joint,стык; косяк,"Un <b>joint</b> de fenêtre.","Оконный <b>уплотнитель</b>.",🪟
un débarquement,высадка,"Le <b>débarquement</b> en Normandie.","<b>Высадка</b> в Нормандии.",⚓
un jazz,джаз,"Un concert de <b>jazz</b>.","<b>Джазовый</b> концерт.",🎷
une méchanceté,злоба,"Dire des <b>méchancetés</b>.","Говорить <b>злости</b>.",😠
prêcher,проповедовать,"<b>Prêcher</b> la paix.","<b>Проповедовать</b> мир.",⛪
terne,тусклый,"Un regard <b>terne</b>.","<b>Тусклый</b> взгляд.",😐
dorer,золотить,"<b>Dorer</b> le poulet.","<b>Подрумянить</b> курицу.",🍗
un relais,эстафета,"Un <b>relais</b> routier.","Придорожный <b>мотель</b>.",🏨
un gouffre,пропасть,"Un <b>gouffre</b> financier.","Финансовая <b>пропасть</b>.",💸
chantonner,напевать,"<b>Chantonner</b> une mélodie.","<b>Напевать</b> мелодию.",🎵
un biais,уловка; наклон,"Par le <b>biais</b> de.","<b>Посредством</b>.",↗️
un crocodile,крокодил,"Un <b>crocodile</b> du Nil.","Нильский <b>крокодил</b>.",🐊
"confidentiel, confidentielle",конфиденциальный,"Un document <b>confidentiel</b>.","<b>Конфиденциальный</b> документ.",🔒
un veston,пиджак,"Un <b>veston</b> élégant.","Элегантный <b>пиджак</b>.",🧥
alerte,бодрый,"Un esprit <b>alerte</b>.","<b>Бодрый</b> ум.",🧠
un fardeau,бремя,"Un lourd <b>fardeau</b>.","Тяжёлое <b>бремя</b>.",💼
un déplacement,перемещение,"Un <b>déplacement</b> professionnel.","<b>Командировка</b>.",✈️
un puzzle,головоломка,"Assembler un <b>puzzle</b>.","Собирать <b>пазл</b>.",🧩
un supplice,пытка,"C'est un <b>supplice</b>.","Это <b>пытка</b>.",😫
une condamnation,приговор,"Une <b>condamnation</b> à mort.","Смертный <b>приговор</b>.",⚖️
une locomotive,локомотив,"La <b>locomotive</b> à vapeur.","Паровой <b>локомотив</b>.",🚂
dévaler,скатываться,"<b>Dévaler</b> la pente.","<b>Скатиться</b> с горы.",⛷️
"anormal, anormale",ненормальный,"Une situation <b>anormale</b>.","<b>Ненормальная</b> ситуация.",⚠️
une traduction,перевод,"Une <b>traduction</b> fidèle.","Верный <b>перевод</b>.",📖
scruter,пристально смотреть,"<b>Scruter</b> l'horizon.","<b>Вглядываться</b> в горизонт.",👀
un acide,кислота,"Un <b>acide</b> corrosif.","Коррозийная <b>кислота</b>.",🧪
une carotte,морковь,"Une <b>carotte</b> râpée.","Тёртая <b>морковь</b>.",🥕
un triangle,треугольник,"Un <b>triangle</b> équilatéral.","Равносторонний <b>треугольник</b>.",📐
un égout,канализация,"Les <b>égouts</b> de Paris.","Парижская <b>канализация</b>.",🕳️
coopérer,сотрудничать,"<b>Coopérer</b> avec la police.","<b>Сотрудничать</b> с полицией.",🤝
puiser,черпать,"<b>Puiser</b> de l'eau.","<b>Черпать</b> воду.",💧
un enseignement,обучение,"L'<b>enseignement</b> supérieur.","Высшее <b>образование</b>.",🎓
"guerrier, guerrière",воинственный,"Un peuple <b>guerrier</b>.","<b>Воинственный</b> народ.",⚔️
un gravier,гравий,"Une allée de <b>gravier</b>.","Аллея из <b>гравия</b>.",🪨
un dauphin,дельфин,"Un <b>dauphin</b> joueur.","Игривый <b>дельфин</b>.",🐬
une détente,расслабление,"Un moment de <b>détente</b>.","Момент <b>расслабления</b>.",😌
brailler,орать,"Arrête de <b>brailler</b>.","Хватит <b>орать</b>.",📢
une parade,парад,"Une <b>parade</b> militaire.","Военный <b>парад</b>.",🎖️
