French,Russian,ExampleFrench,ExampleRussian,Emoji
un papy,дедушка,"Mon <b>papy</b> adoré.","Мой любимый <b>дедуля</b>.",👴
un patin,конёк,"Des <b>patins</b> à glace.","Ледовые <b>коньки</b>.",⛸️
une utilisation,использование,"L'<b>utilisation</b> du produit.","<b>Использование</b> продукта.",📋
une asperge,спаржа,"Des <b>asperges</b> fraîches.","Свежая <b>спаржа</b>.",🥬
une maladresse,неловкость,"Une <b>maladresse</b> de jeunesse.","<b>Неловкость</b> молодости.",🤦
un brillant,бриллиант,"Un <b>brillant</b> de grande taille.","Крупный <b>бриллиант</b>.",💎
une performance,показатель,"Une <b>performance</b> exceptionnelle.","Исключительный <b>результат</b>.",🏆
"arraché, arrachée",вырванный,"Une dent <b>arrachée</b>.","<b>Вырванный</b> зуб.",🦷
mimer,изображать,"<b>Mimer</b> un animal.","<b>Изображать</b> животное.",🎭
un blasphème,богохульство,"Proférer un <b>blasphème</b>.","Произносить <b>богохульство</b>.",😱
un pépin,косточка; неприятность,"Un <b>pépin</b> de pomme.","Яблочная <b>косточка</b>.",🍎
siffloter,насвистывать,"<b>Siffloter</b> une mélodie.","<b>Насвистывать</b> мелодию.",🎵
"blafard, blafarde",бледный,"Une lumière <b>blafarde</b>.","<b>Тусклый</b> свет.",💡
"déchirant, déchirante",раздирающий,"Un cri <b>déchirant</b>.","<b>Раздирающий</b> крик.",😭
un goûter,полдник,"L'heure du <b>goûter</b>.","Время <b>полдника</b>.",🍰
une propreté,чистота,"La <b>propreté</b> du lieu.","<b>Чистота</b> места.",✨
épaissir,густеть,"La sauce <b>épaissit</b>.","Соус <b>густеет</b>.",🍲
"rigoureux, rigoureuse",строгий,"Un hiver <b>rigoureux</b>.","<b>Суровая</b> зима.",❄️
somnoler,дремать,"<b>Somnoler</b> sur le canapé.","<b>Дремать</b> на диване.",😴
un glacier,ледник,"Un <b>glacier</b> alpin.","Альпийский <b>ледник</b>.",🏔️
délaisser,забрасывать,"<b>Délaisser</b> ses amis.","<b>Забросить</b> друзей.",😔
un fugitif,беглец,"Un <b>fugitif</b> recherché.","Разыскиваемый <b>беглец</b>.",🏃
clamer,провозглашать,"<b>Clamer</b> son innocence.","<b>Провозглашать</b> невиновность.",📢
solidement,крепко,"Attaché <b>solidement</b>.","<b>Крепко</b> привязанный.",💪
un auditeur,слушатель,"Un <b>auditeur</b> attentif.","Внимательный <b>слушатель</b>.",👂
un chômeur,безработный,"Un <b>chômeur</b> de longue durée.","<b>Безработный</b> с большим стажем.",😔
un max,максимум,"Un <b>max</b> de chance.","<b>Максимум</b> удачи.",⬆️
un solo,соло,"Jouer un <b>solo</b> de guitare.","Играть <b>соло</b> на гитаре.",🎸
"forestier, forestière",лесной,"Un chemin <b>forestier</b>.","<b>Лесная</b> тропа.",🌲
"routier, routière",дорожный,"Un réseau <b>routier</b>.","<b>Дорожная</b> сеть.",🛣️
un chiot,щенок,"Un adorable <b>chiot</b>.","Очаровательный <b>щенок</b>.",🐶
un chausson,тапочка,"Mettre ses <b>chaussons</b>.","Надеть <b>тапочки</b>.",🥿
un spécimen,экземпляр,"Un rare <b>spécimen</b>.","Редкий <b>экземпляр</b>.",🦋
un pardessus,пальто,"Un <b>pardessus</b> noir.","Чёрное <b>пальто</b>.",🧥
"précipité, précipitée",поспешный,"Un départ <b>précipité</b>.","<b>Поспешный</b> отъезд.",🏃
une latte,планка,"Une <b>latte</b> de bois.","Деревянная <b>планка</b>.",🪵
une partition,партитура,"La <b>partition</b> musicale.","Музыкальная <b>партитура</b>.",🎵
pivoter,вращаться,"<b>Pivoter</b> sur place.","<b>Вращаться</b> на месте.",🔄
abréger,сокращать,"<b>Abréger</b> son discours.","<b>Сократить</b> речь.",✂️
sacrément,чертовски,"<b>Sacrément</b> difficile.","<b>Чертовски</b> трудно.",😤
