French,Russian,ExampleFrench,ExampleRussian,Emoji
un normal,нормальный (субст.),"Revenir à la <b>normale</b>.","Вернуться к <b>норме</b>.",📊
une envahisseuse,захватчица,"L'<b>envahisseuse</b> a conquis le territoire.","<b>Захватчица</b> завоевала территорию.",⚔️
par-ci,тут и там,"<b>Par-ci</b>, par-là.","<b>Тут и там</b>.",📍
quelques-unes,некоторые (ж.р.),"<b>Quelques-unes</b> sont parties.","<b>Некоторые</b> ушли.",👩‍👩‍👧
dix-neuf,девятнадцать,"Il a <b>dix-neuf</b> ans.","Ему <b>девятнадцать</b> лет.",1️⃣9️⃣
un pascal,паскаль (единица),"La pression en <b>pascals</b>.","Давление в <b>паскалях</b>.",📐
"lesbien, lesbienne",лесбийский,"Un couple <b>lesbien</b>.","<b>Лесбийская</b> пара.",🏳️‍🌈
un titi,парижский мальчишка,"Le <b>titi</b> parisien.","Парижский <b>гаврош</b>.",🧒
un mac,сутенёр (разг.),"Le <b>mac</b> contrôle les filles.","<b>Сутенёр</b> контролирует девушек.",🚫
maintes,многие (ж.р.),"<b>Maintes</b> fois.","<b>Много</b> раз.",🔄
un content,довольный (субст.),"Faire des <b>contents</b>.","<b>Угодить</b> многим.",😊
une dope,наркотик (разг.),"Accro à la <b>dope</b>.","Подсел на <b>наркоту</b>.",💊
la plupart de,большинство,"<b>La plupart de</b> mes amis.","<b>Большинство</b> моих друзей.",👥
un jésus,Иисус; младенец,"Le petit <b>Jésus</b>.","Младенец <b>Иисус</b>.",👶
un cortex,кора (мозга),"Le <b>cortex</b> cérébral.","Мозговая <b>кора</b>.",🧠
un z,буква Z,"Le mot finit par un <b>z</b>.","Слово заканчивается на <b>z</b>.",🔤
une bourre,набивка; спешка,"Être à la <b>bourre</b>.","Быть в <b>запарке</b>.",⏰
une pétasse,тёлка (груб.),"Quelle <b>pétasse</b> !","Какая <b>тёлка</b>! (груб.)",🤬
un parfait,совершенство; парфе,"Le <b>parfait</b> au chocolat.","Шоколадное <b>парфе</b>.",🍨
un orgasme,оргазм,"Avoir un <b>orgasme</b>.","Испытать <b>оргазм</b>.",💥
un min,минута (сокр.),"Attends une <b>min</b>.","Подожди <b>минуту</b>.",⏱️
