French,Russian,ExampleFrench,ExampleRussian,Emoji
une colonie,колония,"Une <b>colonie</b> de vacances.","Летний <b>лагерь</b>.",🏕️
accoucher,рожать,"Elle va bientôt <b>accoucher</b>.","Она скоро <b>родит</b>.",👶
scientifique,научный,"Une découverte <b>scientifique</b>.","<b>Научное</b> открытие.",🔬
une patrouille,патруль,"La <b>patrouille</b> de police.","Полицейский <b>патруль</b>.",🚔
une détresse,бедствие,"Un signal de <b>détresse</b>.","Сигнал <b>бедствия</b>.",🆘
une roche,скала,"Une <b>roche</b> volcanique.","Вулканическая <b>порода</b>.",🪨
frôler,задевать,"La balle l'a <b>frôlé</b>.","Пуля его <b>задела</b>.",💨
un sabot,копыто; башмак,"Le <b>sabot</b> du cheval.","<b>Копыто</b> лошади.",🐴
compromettre,компрометировать,"<b>Compromettre</b> sa réputation.","<b>Компрометировать</b> репутацию.",😬
tourmenter,мучить,"Ne te <b>tourmente</b> pas.","Не <b>мучайся</b>.",😟
une querelle,ссора,"Une <b>querelle</b> de famille.","Семейная <b>ссора</b>.",👨‍👩‍👧
une poursuite,погоня,"Une <b>poursuite</b> en voiture.","Автомобильная <b>погоня</b>.",🚗
multiplier,умножать,"<b>Multiplie</b> par deux.","<b>Умножь</b> на два.",✖️
une représentation,представление,"Une <b>représentation</b> théâtrale.","Театральное <b>представление</b>.",🎭
une tentation,искушение,"Résister à la <b>tentation</b>.","Противостоять <b>искушению</b>.",😈
une graisse,жир,"La <b>graisse</b> animale.","Животный <b>жир</b>.",🥓
"désespéré, désespérée",отчаянный,"Un geste <b>désespéré</b>.","<b>Отчаянный</b> поступок.",😰
diviser,делить,"<b>Divise</b> en deux.","<b>Раздели</b> надвое.",➗
un débat,дебаты,"Un <b>débat</b> politique.","Политические <b>дебаты</b>.",🗣️
un crochet,крюк,"Accroché au <b>crochet</b>.","Висит на <b>крюке</b>.",🪝
un divan,диван,"Allongé sur le <b>divan</b>.","Лёжа на <b>диване</b>.",🛋️
un chirurgien,хирург,"Le <b>chirurgien</b> opère.","<b>Хирург</b> оперирует.",👨‍⚕️
afficher,вывешивать; показывать,"<b>Affiche</b> le poster.","<b>Повесь</b> постер.",🖼️
"surprenant, surprenante",удивительный,"Une nouvelle <b>surprenante</b>.","<b>Удивительная</b> новость.",😮
un dépôt,склад; депозит,"Un <b>dépôt</b> de garantie.","<b>Залог</b>.",💵
disponible,доступный,"Je suis <b>disponible</b>.","Я <b>свободен</b>.",✅
un buffet,буфет,"Le <b>buffet</b> du petit-déjeuner.","<b>Буфет</b> для завтрака.",🍳
une cicatrice,шрам,"Une vieille <b>cicatrice</b>.","Старый <b>шрам</b>.",🩹
un mérite,заслуга,"C'est à son <b>mérite</b>.","Это его <b>заслуга</b>.",🏅
un caprice,каприз,"C'est un <b>caprice</b>.","Это <b>каприз</b>.",😤
"légal, légale",законный,"C'est <b>légal</b>.","Это <b>законно</b>.",⚖️
un câble,кабель,"Le <b>câble</b> électrique.","Электрический <b>кабель</b>.",🔌
vibrer,вибрировать,"Le téléphone <b>vibre</b>.","Телефон <b>вибрирует</b>.",📳
une insulte,оскорбление,"C'est une <b>insulte</b>.","Это <b>оскорбление</b>.",😤
une révélation,откровение,"Quelle <b>révélation</b> !","Какое <b>откровение</b>!",💡
un achat,покупка,"Faire des <b>achats</b>.","Делать <b>покупки</b>.",🛍️
"illégal, illégale",незаконный,"C'est <b>illégal</b>.","Это <b>незаконно</b>.",🚫
une gaieté,веселье,"Avec <b>gaieté</b>.","С <b>весельем</b>.",😄
"excitant, excitante",захватывающий,"Une nouvelle <b>excitante</b>.","<b>Захватывающая</b> новость.",🎉
un teint,цвет лица,"Un beau <b>teint</b>.","Красивый <b>цвет лица</b>.",😊
"brisé, brisée",разбитый,"Le cœur <b>brisé</b>.","<b>Разбитое</b> сердце.",💔
un conducteur,водитель,"Le <b>conducteur</b> du bus.","<b>Водитель</b> автобуса.",🚌
carrément,напрямик (разг.),"<b>Carrément</b> incroyable.","<b>Просто</b> невероятно.",😮
"maternel, maternelle",материнский,"L'amour <b>maternel</b>.","<b>Материнская</b> любовь.",❤️
une extrémité,конец; крайность,"À l'<b>extrémité</b> de la rue.","В <b>конце</b> улицы.",📍
une coiffure,причёска,"Une belle <b>coiffure</b>.","Красивая <b>причёска</b>.",💇
