French,Russian,ExampleFrench,ExampleRussian,Emoji
recouvrer,восстанавливать,"<b>Recouvrer</b> la santé.","<b>Восстановить</b> здоровье.",💪
un échelon,ступенька,"Gravir les <b>échelons</b>.","Подниматься по <b>ступенькам</b>.",📈
un violoncelle,виолончель,"Jouer du <b>violoncelle</b>.","Играть на <b>виолончели</b>.",🎻
une réclame,реклама,"Une <b>réclame</b> lumineuse.","Световая <b>реклама</b>.",📺
un rayonnement,излучение,"Le <b>rayonnement</b> solaire.","Солнечное <b>излучение</b>.",☀️
équilibrer,уравновешивать,"<b>Équilibrer</b> le budget.","<b>Сбалансировать</b> бюджет.",⚖️
"nain, naine",карликовый,"Une plante <b>naine</b>.","<b>Карликовое</b> растение.",🌱
une modification,изменение,"Une légère <b>modification</b>.","Небольшое <b>изменение</b>.",📝
"rationnel, rationnelle",рациональный,"Un choix <b>rationnel</b>.","<b>Рациональный</b> выбор.",🧠
un mobilier,мебель,"Le <b>mobilier</b> de bureau.","Офисная <b>мебель</b>.",🪑
"voluptueux, voluptueuse",сладострастный,"Une danse <b>voluptueuse</b>.","<b>Сладострастный</b> танец.",💃
gîte,приют,"Trouver un <b>gîte</b>.","Найти <b>приют</b>.",🏨
resplendir,сиять,"Le soleil <b>resplendit</b>.","Солнце <b>сияет</b>.",✨
une escadrille,эскадрилья,"Une <b>escadrille</b> aérienne.","Воздушная <b>эскадрилья</b>.",✈️
"ahuri, ahurie",ошеломлённый,"Un regard <b>ahuri</b>.","<b>Ошеломлённый</b> взгляд.",😲
un graffiti,граффити,"Un <b>graffiti</b> sur le mur.","<b>Граффити</b> на стене.",🎨
un rigolo,весельчак,"Un sacré <b>rigolo</b>.","Тот ещё <b>весельчак</b>.",😄
une auréole,нимб,"Une <b>auréole</b> de saint.","<b>Нимб</b> святого.",😇
une servitude,порабощение,"Une vie de <b>servitude</b>.","Жизнь в <b>рабстве</b>.",⛓️
"inspiré, inspirée",вдохновлённый,"Un artiste <b>inspiré</b>.","<b>Вдохновлённый</b> художник.",🎨
"servi, servie",обслуженный,"Bien <b>servi</b>.","Хорошо <b>обслуженный</b>.",🍽️
un croiseur,крейсер,"Un <b>croiseur</b> de guerre.","Военный <b>крейсер</b>.",🚢
un flair,чутьё,"Avoir du <b>flair</b>.","Иметь <b>чутьё</b>.",👃
aristocrate,аристократ,"Un vrai <b>aristocrate</b>.","Настоящий <b>аристократ</b>.",👑
organique,органический,"Un produit <b>organique</b>.","<b>Органический</b> продукт.",🥬
un vilain,злодей,"Un <b>vilain</b> personnage.","Злодейский <b>персонаж</b>.",😈
une articulation,сустав,"Une <b>articulation</b> du genou.","<b>Сустав</b> колена.",🦵
malhonnête,нечестный,"Un homme <b>malhonnête</b>.","<b>Нечестный</b> человек.",🤥
un documentaire,документальный фильм,"Un <b>documentaire</b> animalier.","<b>Документальный фильм</b> о животных.",🎬
une emprise,власть,"Sous l'<b>emprise</b> de l'alcool.","Под <b>влиянием</b> алкоголя.",🍺
une mésange,синица,"Une <b>mésange</b> bleue.","Голубая <b>синица</b>.",🐦
capituler,капитулировать,"<b>Capituler</b> devant l'ennemi.","<b>Капитулировать</b> перед врагом.",🏳️
patriotique,патриотический,"Un hymne <b>patriotique</b>.","<b>Патриотический</b> гимн.",🇫🇷
une bottine,ботинок,"Des <b>bottines</b> en cuir.","Кожаные <b>ботинки</b>.",👢
une habitation,жилище,"Une <b>habitation</b> modeste.","Скромное <b>жилище</b>.",🏠
hérétique,еретический,"Une idée <b>hérétique</b>.","<b>Еретическая</b> идея.",⚠️
mortuaire,погребальный,"Une chambre <b>mortuaire</b>.","<b>Погребальная</b> комната.",⚰️
ternir,тускнеть,"L'argent <b>ternit</b>.","Серебро <b>тускнеет</b>.",🪙
une persécution,преследование,"Une <b>persécution</b> religieuse.","Религиозное <b>преследование</b>.",😔
un préservatif,презерватив,"Utiliser un <b>préservatif</b>.","Использовать <b>презерватив</b>.",🛡️
agile,ловкий,"Un chat <b>agile</b>.","<b>Ловкий</b> кот.",🐱
graisser,смазывать,"<b>Graisser</b> les engrenages.","<b>Смазать</b> шестерёнки.",🔧
un handicap,ограничение,"Un <b>handicap</b> physique.","Физическое <b>ограничение</b>.",♿
une pneumonie,пневмония,"Une <b>pneumonie</b> aiguë.","Острая <b>пневмония</b>.",🏥
carrer,устраиваться,"Se <b>carrer</b> dans un fauteuil.","<b>Устроиться</b> в кресле.",🛋️
un concombre,огурец,"Une salade de <b>concombres</b>.","Салат из <b>огурцов</b>.",🥒
une corniche,карниз,"La <b>corniche</b> du toit.","<b>Карниз</b> крыши.",🏠
pêle-mêle,вперемешку,"Tout <b>pêle-mêle</b>.","Всё <b>вперемешку</b>.",🔀
détestable,отвратительный,"Un temps <b>détestable</b>.","<b>Отвратительная</b> погода.",🌧️
un colon,колонист,"Un <b>colon</b> américain.","Американский <b>колонист</b>.",🏠
une paralysie,паралич,"Une <b>paralysie</b> totale.","Полный <b>паралич</b>.",🏥
une traîne,шлейф,"La <b>traîne</b> de la robe.","<b>Шлейф</b> платья.",👗
empester,вонять,"<b>Empester</b> le tabac.","<b>Вонять</b> табаком.",🚬
un brevet,патент,"Déposer un <b>brevet</b>.","Зарегистрировать <b>патент</b>.",📝
ancrer,закреплять,"<b>Ancrer</b> ses convictions.","<b>Укрепить</b> свои убеждения.",⚓
"déplacé, déplacée",неуместный,"Une remarque <b>déplacée</b>.","<b>Неуместное</b> замечание.",😬
un épi,колос,"Un <b>épi</b> de blé.","<b>Колос</b> пшеницы.",🌾
"clément, clémente",милосердный,"Un juge <b>clément</b>.","<b>Милосердный</b> судья.",⚖️
"conservateur, conservatrice",консервативный,"Un parti <b>conservateur</b>.","<b>Консервативная</b> партия.",🏛️
un résistant,участник сопротивления,"Un <b>résistant</b> de la guerre.","<b>Участник сопротивления</b>.",✊
un glissement,скольжение,"Un <b>glissement</b> de terrain.","<b>Оползень</b>.",🏔️
un daim,олень,"Un <b>daim</b> dans la forêt.","<b>Олень</b> в лесу.",🦌
un mangeur,едок,"Un gros <b>mangeur</b>.","Большой <b>едок</b>.",🍽️
un sarcasme,сарказм,"Avec <b>sarcasme</b>.","С <b>сарказмом</b>.",😏
"encombrant, encombrante",громоздкий,"Un meuble <b>encombrant</b>.","<b>Громоздкая</b> мебель.",📦
un débit,расход,"Un <b>débit</b> d'eau.","<b>Расход</b> воды.",💧
un poney,пони,"Monter un <b>poney</b>.","Кататься на <b>пони</b>.",🐴
un carrosse,карета,"Le <b>carrosse</b> de Cendrillon.","<b>Карета</b> Золушки.",🎠
une lave,лава,"La <b>lave</b> du volcan.","<b>Лава</b> вулкана.",🌋
amputer,ампутировать,"<b>Amputer</b> une jambe.","<b>Ампутировать</b> ногу.",🏥
outrager,оскорблять,"<b>Outrager</b> quelqu'un.","<b>Оскорбить</b> кого-то.",😤
"prolongé, prolongée",продлённый,"Un séjour <b>prolongé</b>.","<b>Продлённое</b> пребывание.",📅
un scooter,скутер,"Rouler en <b>scooter</b>.","Ездить на <b>скутере</b>.",🛵
une convenance,приличие,"Respecter les <b>convenances</b>.","Соблюдать <b>приличия</b>.",👔
une justification,оправдание,"Sans <b>justification</b>.","Без <b>оправдания</b>.",🤷
un maton,надзиратель (разг.),"Le <b>maton</b> de prison.","Тюремный <b>надзиратель</b>.",👮
un augure,предзнаменование,"Un bon <b>augure</b>.","Хорошее <b>предзнаменование</b>.",🔮
