French,Russian,ExampleFrench,ExampleRussian,Emoji
"destiné, destinée",предназначенный,"<b>Destiné</b> à réussir.","<b>Предназначенный</b> для успеха.",⭐
"bouleversant, bouleversante",потрясающий,"Un film <b>bouleversant</b>.","<b>Потрясающий</b> фильм.",😭
un scout,скаут,"Un <b>scout</b> en uniforme.","<b>Скаут</b> в форме.",⛺
une captivité,плен,"Des années de <b>captivité</b>.","Годы <b>плена</b>.",⛓️
une éruption,извержение,"Une <b>éruption</b> volcanique.","Вулканическое <b>извержение</b>.",🌋
"barré, barrée",чокнутый (разг.),"Un mec <b>barré</b>.","<b>Чокнутый</b> тип.",🤪
"décevant, décevante",разочаровывающий,"Un résultat <b>décevant</b>.","<b>Разочаровывающий</b> результат.",😔
"gardé, gardée",охраняемый,"Une résidence <b>gardée</b>.","<b>Охраняемая</b> резиденция.",🏢
tarir,иссякать,"La source <b>tarit</b>.","Источник <b>иссякает</b>.",💧
une broderie,вышивка,"Une belle <b>broderie</b>.","Красивая <b>вышивка</b>.",🧵
un plouc,деревенщина,"Un vrai <b>plouc</b>.","Настоящая <b>деревенщина</b>.",🌾
"adroit, adroite",умелый,"Un geste <b>adroit</b>.","<b>Умелый</b> жест.",👍
"rejeté, rejetée",отвергнутый,"Se sentir <b>rejeté</b>.","Чувствовать себя <b>отвергнутым</b>.",😔
différencier,различать,"<b>Différencier</b> les couleurs.","<b>Различать</b> цвета.",🎨
mixte,смешанный,"Une école <b>mixte</b>.","<b>Смешанная</b> школа.",🏫
"scintillant, scintillante",мерцающий,"Des étoiles <b>scintillantes</b>.","<b>Мерцающие</b> звёзды.",⭐
un alignement,выравнивание,"L'<b>alignement</b> des planètes.","<b>Выравнивание</b> планет.",🌍
"aveuglant, aveuglante",ослепительный,"Une lumière <b>aveuglante</b>.","<b>Ослепительный</b> свет.",💡
un connaisseur,знаток,"Un <b>connaisseur</b> de vin.","<b>Знаток</b> вин.",🍷
"informé, informée",осведомлённый,"Rester <b>informé</b>.","Оставаться <b>осведомлённым</b>.",📰
