French,Russian,ExampleFrench,ExampleRussian,Emoji
une rive,берег,"La <b>rive</b> du fleuve.","<b>Берег</b> реки.",🏞️
entreprendre,предпринимать,"J'ai <b>entrepris</b> des études.","Я <b>начал</b> учёбу.",🎯
un kilo,килограмм,"Deux <b>kilos</b> de pommes.","Два <b>килограмма</b> яблок.",⚖️
une éducation,образование,"L'<b>éducation</b> est importante.","<b>Образование</b> важно.",📚
un muscle,мышца,"J'ai mal aux <b>muscles</b>.","У меня болят <b>мышцы</b>.",💪
un chèque,чек,"J'ai fait un <b>chèque</b>.","Я выписал <b>чек</b>.",💳
un poignet,запястье,"J'ai mal au <b>poignet</b>.","У меня болит <b>запястье</b>.",🖐️
un partenaire,партнёр,"C'est mon <b>partenaire</b> d'affaires.","Это мой деловой <b>партнёр</b>.",🤝
une libération,освобождение,"La <b>libération</b> du pays.","<b>Освобождение</b> страны.",🕊️
tailler,резать; стричь,"<b>Taille</b> la haie.","<b>Подстриги</b> изгородь.",✂️
une barre,палка; брусок,"Une <b>barre</b> de chocolat.","<b>Плитка</b> шоколада.",🍫
"marié, mariée",женатый; замужем,"Il est <b>marié</b>.","Он <b>женат</b>.",💍
une atmosphère,атмосфера,"L'<b>atmosphère</b> est tendue.","<b>Атмосфера</b> напряжённая.",🌍
uniquement,исключительно,"C'est <b>uniquement</b> pour toi.","Это <b>только</b> для тебя.",☝️
traduire,переводить,"Je vais <b>traduire</b> ce texte.","Я <b>переведу</b> этот текст.",📝
un bâton,палка,"Marche avec un <b>bâton</b>.","Иди с <b>палкой</b>.",🥢
une pipe,трубка,"Il fume la <b>pipe</b>.","Он курит <b>трубку</b>.",🚬
"glacé, glacée",ледяной,"L'eau est <b>glacée</b>.","Вода <b>ледяная</b>.",❄️
une bougie,свеча,"Allume la <b>bougie</b>.","Зажги <b>свечу</b>.",🕯️
envisager,рассматривать; планировать,"J'<b>envisage</b> de partir.","Я <b>планирую</b> уехать.",🤔
une conviction,убеждение,"J'ai la <b>conviction</b> que...","У меня <b>убеждение</b>, что...",💪
une population,население,"La <b>population</b> augmente.","<b>Население</b> растёт.",👥
une certitude,уверенность,"J'ai la <b>certitude</b> que c'est vrai.","Я <b>уверен</b>, что это правда.",✅
"chinois, chinoise",китайский,"La cuisine <b>chinoise</b>.","<b>Китайская</b> кухня.",🥡
réjouir,радовать,"Ça me <b>réjouit</b>.","Это меня <b>радует</b>.",😊
une évidence,очевидность,"C'est une <b>évidence</b>.","Это <b>очевидно</b>.",💡
une moto,мотоцикл,"Je fais de la <b>moto</b>.","Я езжу на <b>мотоцикле</b>.",🏍️
ralentir,замедлять,"<b>Ralentis</b> un peu.","<b>Притормози</b> немного.",🐢
écrouler,обрушиваться,"Le mur s'est <b>écroulé</b>.","Стена <b>обрушилась</b>.",🧱
une grange,амбар,"La <b>grange</b> est pleine de foin.","<b>Амбар</b> полон сена.",🏚️
une salade,салат,"Je mange une <b>salade</b>.","Я ем <b>салат</b>.",🥗
