French,Russian,ExampleFrench,ExampleRussian,Emoji
"mauvais, mauvaise","плохой, -ая","C'est une <b>mauvaise</b> idée de sortir par ce temps.","<b>Плохая</b> идея выходить в такую погоду.",👎
une envie,желание,"J'ai <b>envie</b> d'un bon café chaud.","Мне <b>хочется</b> хорошего горячего кофе.",💭
manquer,"не хватать; скучать; пропускать","Tu me <b>manques</b> beaucoup.","Я очень по тебе <b>скучаю</b>.",😢
prier,просить; молиться,"Je vous en <b>prie</b>, entrez !","<b>Прошу вас</b>, входите!",🙏
une force,сила,"Je n'ai plus la <b>force</b> de continuer.","У меня больше нет <b>сил</b> продолжать.",💪
"heureux, heureuse","счастливый, -ая","Je suis <b>heureux</b> de vivre au Québec.","Я <b>счастлив</b> жить в Квебеке.",😊
importer,иметь значение,"Ça ne m'<b>importe</b> pas — fais comme tu veux.","Мне <b>всё равно</b> — делай как хочешь.",🤷
un ordre,порядок; приказ,"Je dois mettre de l'<b>ordre</b> dans mes affaires.","Мне нужно навести <b>порядок</b> в делах.",📋
un mec,парень (разг.),"Ce <b>mec</b> est vraiment sympa.","Этот <b>парень</b> реально классный.",👦
une table,стол,"Mets les assiettes sur la <b>table</b>.","Положи тарелки на <b>стол</b>.",🪑
fermer,закрывать,"<b>Ferme</b> la porte, il fait froid !","<b>Закрой</b> дверь, холодно!",🚪
rencontrer,встречать,"J'ai <b>rencontré</b> ma femme au Québec.","Я <b>встретил</b> жену в Квебеке.",🤝
un pays,страна,"Le Canada est un grand <b>pays</b>.","Канада — большая <b>страна</b>.",🌍
compter,считать; рассчитывать,"Je <b>compte</b> sur toi pour m'aider.","Я <b>рассчитываю</b> на тебя.",🔢
un fond,дно; глубина; фон,"Au <b>fond</b>, tu as raison.","<b>В сущности</b>, ты прав.",⬇️
un lieu,место,"C'est un <b>lieu</b> historique à visiter.","Это историческое <b>место</b> для посещения.",📍
ailleurs,в другом месте,"Je préfère aller <b>ailleurs</b>.","Я предпочитаю пойти <b>в другое место</b>.",➡️
une route,дорога,"La <b>route</b> est glissante en hiver.","Зимой <b>дорога</b> скользкая.",🛣️
expliquer,объяснять,"Peux-tu m'<b>expliquer</b> cette règle ?","Можешь <b>объяснить</b> мне это правило?",📖
imaginer,представлять,"J'<b>imagine</b> que c'est difficile pour toi.","Я <b>представляю</b>, что тебе сложно.",💭
rire,смеяться,"Ne <b>ris</b> pas, c'est sérieux !","Не <b>смейся</b>, это серьёзно!",😂
reprendre,"возобновлять; брать снова","Je vais <b>reprendre</b> mes études en septembre.","Я <b>возобновлю</b> учёбу в сентябре.",🔄
valoir,стоить (о ценности),"Ça <b>vaut</b> la peine d'essayer.","<b>Стоит</b> попробовать.",💎
décider,решать,"J'ai <b>décidé</b> d'immigrer au Canada.","Я <b>решил</b> иммигрировать в Канаду.",✅
ensemble,вместе,"On travaille mieux <b>ensemble</b>.","<b>Вместе</b> мы работаем лучше.",👫
une cause,причина,"À <b>cause</b> du froid, je reste chez moi.","<b>Из-за</b> холода я сижу дома.",🔗
un mari,муж,"Mon <b>mari</b> travaille dans l'informatique.","Мой <b>муж</b> работает в IT.",👨
un chien,собака,"Mon <b>chien</b> adore jouer dans la neige.","Мой <b>пёс</b> обожает играть в снегу.",🐕
un soleil,солнце,"Le <b>soleil</b> se couche tôt en hiver.","Зимой <b>солнце</b> садится рано.",☀️
pourtant,однако; тем не менее,"Il fait froid, <b>pourtant</b> le soleil brille.","Холодно, <b>однако</b> солнце светит.",↩️
un ciel,небо,"Le <b>ciel</b> est bleu aujourd'hui.","<b>Небо</b> сегодня голубое.",🌤️
parfois,иногда,"<b>Parfois</b>, je m'ennuie de mon pays.","<b>Иногда</b> я скучаю по родине.",🔄
un regard,взгляд,"Son <b>regard</b> m'a tout de suite plu.","Её <b>взгляд</b> мне сразу понравился.",👁️
emmener,уводить; увозить,"Je vais <b>emmener</b> les enfants au parc.","Я <b>отведу</b> детей в парк.",🚶
surtout,особенно; главное,"<b>Surtout</b>, n'oublie pas ton passeport !","<b>Главное</b>, не забудь паспорт!",⚠️
possible,возможный,"C'est <b>possible</b> de changer la date ?","<b>Возможно</b> изменить дату?",✅
un chef,начальник; шеф-повар,"Mon <b>chef</b> est très exigeant.","Мой <b>начальник</b> очень требовательный.",👨‍💼
voici,вот (ближе),"<b>Voici</b> mon numéro de téléphone.","<b>Вот</b> мой номер телефона.",👆
agir,действовать,"Il faut <b>agir</b> vite !","Нужно <b>действовать</b> быстро!",⚡
recevoir,получать,"J'ai <b>reçu</b> ta lettre hier.","Я <b>получил</b> твоё письмо вчера.",📬
un plaisir,удовольствие,"C'est un <b>plaisir</b> de travailler avec toi.","<b>Приятно</b> с тобой работать.",😊
là-bas,там (далеко),"Tu vois le magasin <b>là-bas</b> ?","Видишь магазин <b>там</b>?",👉
un doute,сомнение,"Sans <b>doute</b>, tu as raison.","<b>Без сомнения</b>, ты прав.",🤔
suffire,быть достаточным,"Ça <b>suffit</b> ! J'en ai assez !","<b>Хватит</b>! Мне надоело!",✋
derrière,за; позади,"Le parking est <b>derrière</b> le bâtiment.","Парковка <b>за</b> зданием.",⬅️
une pièce,"комната; монета; пьеса","L'appartement a trois <b>pièces</b>.","В квартире три <b>комнаты</b>.",🚪
"nouveau, nouvelle","новый, -ая","J'ai trouvé un <b>nouvel</b> appartement.","Я нашёл <b>новую</b> квартиру.",✨
une partie,часть; партия (игра),"Une grande <b>partie</b> de mon travail est en français.","Большая <b>часть</b> моей работы на французском.",📊
