French,Russian,ExampleFrench,ExampleRussian,Emoji
une vitesse,скорость,"Quelle <b>vitesse</b> incroyable !","Какая невероятная <b>скорость</b>!",🚀
"curieux, curieuse",любопытный,"Je suis <b>curieux</b> de savoir.","Мне <b>любопытно</b> узнать.",🤔
"moyen, moyenne",средний,"C'est une taille <b>moyenne</b>.","Это <b>средний</b> размер.",📊
durant,в течение,"<b>Durant</b> l'hiver, il neige beaucoup.","<b>В течение</b> зимы много снега.",⏳
un article,статья,"J'ai lu un <b>article</b> intéressant.","Я прочитал интересную <b>статью</b>.",📰
"con, conne",тупой (груб.),"Ne sois pas <b>con</b> !","Не будь <b>тупым</b>!",🙄
vider,опустошать,"<b>Vide</b> ton assiette.","<b>Доешь</b> свою тарелку.",🍽️
admirer,восхищаться,"J'<b>admire</b> ton courage.","Я <b>восхищаюсь</b> твоей смелостью.",😍
un terme,термин; срок,"C'est un <b>terme</b> technique.","Это технический <b>термин</b>.",📖
coincer,зажимать; застревать,"Je me suis <b>coincé</b> le doigt.","Я <b>прищемил</b> палец.",🚪
une excuse,извинение; отговорка,"Je n'accepte pas tes <b>excuses</b>.","Я не принимаю твои <b>отговорки</b>.",🙅
achever,завершать,"J'ai <b>achevé</b> mon travail.","Я <b>завершил</b> работу.",✅
abattre,валить; убивать,"Ils ont <b>abattu</b> l'arbre.","Они <b>срубили</b> дерево.",🪓
"malheureux, malheureuse",несчастный,"Elle a l'air <b>malheureuse</b>.","Она выглядит <b>несчастной</b>.",😢
pénétrer,проникать,"L'eau a <b>pénétré</b> dans la maison.","Вода <b>проникла</b> в дом.",💧
mordre,кусать,"Le chien m'a <b>mordu</b>.","Собака меня <b>укусила</b>.",🐕
une victoire,победа,"C'est une grande <b>victoire</b> !","Это большая <b>победа</b>!",🏆
formidable,потрясающий,"C'est une idée <b>formidable</b> !","Это <b>потрясающая</b> идея!",👏
une cesse,прекращение,"Il travaille sans <b>cesse</b>.","Он работает без <b>устали</b>.",♾️
une croix,крест,"Il y a une <b>croix</b> sur la colline.","На холме стоит <b>крест</b>.",✝️
"sûr, sûre",уверенный,"Tu es <b>sûr</b> de toi ?","Ты <b>уверен</b> в себе?",💪
une poussière,пыль,"Il y a de la <b>poussière</b> partout.","Везде <b>пыль</b>.",🧹
supplier,умолять,"Je te <b>supplie</b> de m'aider.","Я тебя <b>умоляю</b> помочь.",🙏
un gâteau,торт; пирожное,"J'ai fait un <b>gâteau</b> au chocolat.","Я испёк <b>торт</b> с шоколадом.",🍰
soigner,лечить; ухаживать,"Le médecin va te <b>soigner</b>.","Врач тебя <b>вылечит</b>.",🩺
rompre,рвать; разрывать,"Ils ont <b>rompu</b> leurs fiançailles.","Они <b>разорвали</b> помолвку.",💔
un discours,речь,"Le président a fait un <b>discours</b>.","Президент произнёс <b>речь</b>.",🎤
une veille,канун; бодрствование,"C'était la <b>veille</b> de Noël.","Это был <b>канун</b> Рождества.",🌙
une planète,планета,"La Terre est une <b>planète</b>.","Земля — это <b>планета</b>.",🌍
soutenir,поддерживать,"Je te <b>soutiens</b> à cent pour cent.","Я тебя <b>поддерживаю</b> на все сто.",🤝
"méchant, méchante",злой,"Ce chien est <b>méchant</b>.","Эта собака <b>злая</b>.",😠
effacer,стирать,"<b>Efface</b> cette erreur.","<b>Сотри</b> эту ошибку.",🧽
un immeuble,многоквартирный дом,"J'habite dans un grand <b>immeuble</b>.","Я живу в большом <b>многоквартирном доме</b>.",🏢
imposer,навязывать,"Je ne veux rien t'<b>imposer</b>.","Я не хочу тебе ничего <b>навязывать</b>.",🚫
une couverture,одеяло; обложка,"Prends une <b>couverture</b>, il fait froid.","Возьми <b>одеяло</b>, холодно.",🛏️
"commun, commune",общий,"On a des amis <b>communs</b>.","У нас есть <b>общие</b> друзья.",🤝
obéir,слушаться,"<b>Obéis</b> à tes parents.","<b>Слушайся</b> родителей.",👨‍👩‍👧
une réunion,собрание,"J'ai une <b>réunion</b> à dix heures.","У меня <b>собрание</b> в десять.",📋
un compagnon,товарищ; спутник,"C'est mon <b>compagnon</b> de voyage.","Это мой <b>попутчик</b>.",👥
un rideau,штора,"Ferme les <b>rideaux</b>.","Закрой <b>шторы</b>.",🪟
"perdu, perdue",потерянный,"Je suis <b>perdu</b>.","Я <b>потерялся</b>.",😰
un succès,успех,"C'est un grand <b>succès</b> !","Это большой <b>успех</b>!",🎉
éclairer,освещать,"La lampe <b>éclaire</b> la pièce.","Лампа <b>освещает</b> комнату.",💡
une branche,ветка,"L'oiseau est sur la <b>branche</b>.","Птица на <b>ветке</b>.",🌿
contrôler,контролировать,"Je <b>contrôle</b> la situation.","Я <b>контролирую</b> ситуацию.",✅
exiger,требовать,"Il <b>exige</b> une réponse.","Он <b>требует</b> ответа.",📢
une naissance,рождение,"C'est le jour de ma <b>naissance</b>.","Это день моего <b>рождения</b>.",👶
une flamme,пламя,"La <b>flamme</b> danse dans la cheminée.","<b>Пламя</b> танцует в камине.",🔥
une danse,танец,"Tu m'accordes cette <b>danse</b> ?","Ты позволишь мне этот <b>танец</b>?",💃
une peinture,живопись; краска,"J'aime la <b>peinture</b> impressionniste.","Я люблю <b>живопись</b> импрессионизма.",🎨
rassurer,успокаивать,"<b>Rassure</b>-toi, tout ira bien.","<b>Успокойся</b>, всё будет хорошо.",😌
un démon,демон,"Il se bat contre ses <b>démons</b>.","Он борется со своими <b>демонами</b>.",😈
un quart,четверть,"Il est midi et <b>quart</b>.","Сейчас четверть первого.",🕐
faible,слабый,"Je me sens <b>faible</b>.","Я чувствую себя <b>слабым</b>.",😩
une viande,мясо,"Je ne mange pas de <b>viande</b>.","Я не ем <b>мясо</b>.",🥩
"nerveux, nerveuse",нервный,"Elle est très <b>nerveuse</b>.","Она очень <b>нервная</b>.",😬
un ensemble,ансамбль; совокупность,"On va faire ça <b>ensemble</b>.","Мы сделаем это <b>вместе</b>.",👫
agiter,трясти; волновать,"N'<b>agite</b> pas la bouteille.","Не <b>тряси</b> бутылку.",🔄
heureusement,к счастью,"<b>Heureusement</b>, il n'y a pas eu de blessés.","<b>К счастью</b>, обошлось без раненых.",😮‍💨
une leçon,урок,"J'ai appris ma <b>leçon</b>.","Я выучил <b>урок</b>.",📖
un os,кость,"Le chien ronge un <b>os</b>.","Собака грызёт <b>кость</b>.",🦴
condamner,осуждать; приговаривать,"Le tribunal l'a <b>condamné</b>.","Суд его <b>осудил</b>.",⚖️
environ,около; примерно,"Il y a <b>environ</b> cent personnes.","Там <b>около</b> ста человек.",📊
une cellule,камера; клетка,"Il est en <b>cellule</b>.","Он в <b>камере</b>.",🔒
un chauffeur,водитель,"Le <b>chauffeur</b> de taxi attend.","<b>Водитель</b> такси ждёт.",🚕
un parfum,духи; аромат,"Ce <b>parfum</b> sent bon.","Эти <b>духи</b> хорошо пахнут.",🌸
fouiller,обыскивать,"La police a <b>fouillé</b> la maison.","Полиция <b>обыскала</b> дом.",🔍
une aile,крыло,"L'oiseau a une <b>aile</b> blessée.","У птицы раненое <b>крыло</b>.",🦅
une absence,отсутствие,"Ton <b>absence</b> m'a manqué.","Я скучал в твоё <b>отсутствие</b>.",😔
une presse,пресса,"La <b>presse</b> en parle partout.","<b>Пресса</b> об этом везде пишет.",📰
un roman,роман,"J'ai lu un bon <b>roman</b>.","Я прочитал хороший <b>роман</b>.",📚
un pardon,прощение,"Je te demande <b>pardon</b>.","Прошу у тебя <b>прощения</b>.",🙏
"anglais, anglaise",английский,"Je parle <b>anglais</b>.","Я говорю по-<b>английски</b>.",🇬🇧
une distance,расстояние,"La <b>distance</b> est longue.","<b>Расстояние</b> большое.",📏
un univers,вселенная,"L'<b>univers</b> est immense.","<b>Вселенная</b> огромна.",🌌
refermer,закрывать снова,"<b>Referme</b> la porte.","<b>Закрой</b> дверь.",🚪
une grâce,милость; изящество,"Elle danse avec <b>grâce</b>.","Она танцует с <b>изяществом</b>.",✨
révéler,раскрывать,"Je vais te <b>révéler</b> un secret.","Я тебе <b>открою</b> секрет.",🤫
un dessus,верх,"C'est sur le <b>dessus</b>.","Это <b>сверху</b>.",⬆️
une tombe,могила,"Il est allé sur la <b>tombe</b> de son père.","Он пошёл на <b>могилу</b> отца.",⚰️
un oeuf,яйцо,"Je mange un <b>œuf</b> au petit-déjeuner.","Я ем <b>яйцо</b> на завтрак.",🥚
"précis, précise",точный,"Sois plus <b>précis</b>.","Будь <b>точнее</b>.",🎯
honnête,честный,"Il est très <b>honnête</b>.","Он очень <b>честный</b>.",✅
un niveau,уровень,"Ton <b>niveau</b> de français est bon.","Твой <b>уровень</b> французского хороший.",📊
"blond, blonde",блондин; светловолосый,"Elle a les cheveux <b>blonds</b>.","У неё <b>светлые</b> волосы.",👱
indiquer,указывать,"Pouvez-vous m'<b>indiquer</b> le chemin ?","Можете <b>указать</b> мне дорогу?",👉
un comte,граф,"Le <b>comte</b> habitait ce château.","<b>Граф</b> жил в этом замке.",👑
un génie,гений,"C'est un vrai <b>génie</b> !","Он настоящий <b>гений</b>!",🧠
un tueur,убийца,"Le <b>tueur</b> a été arrêté.","<b>Убийца</b> был арестован.",🔪
commettre,совершать (преступление),"Il a <b>commis</b> une erreur.","Он <b>совершил</b> ошибку.",⚠️
pâle,бледный,"Tu es tout <b>pâle</b>.","Ты совсем <b>бледный</b>.",😰
une enquête,расследование,"La police mène une <b>enquête</b>.","Полиция ведёт <b>расследование</b>.",🔍
un fantôme,призрак,"Tu crois aux <b>fantômes</b> ?","Ты веришь в <b>призраков</b>?",👻
fabriquer,изготавливать,"Cette usine <b>fabrique</b> des meubles.","Эта фабрика <b>производит</b> мебель.",🏭
assister,присутствовать,"J'ai <b>assisté</b> à la conférence.","Я <b>присутствовал</b> на конференции.",👥
"puissant, puissante",могущественный,"C'est un homme <b>puissant</b>.","Это <b>могущественный</b> человек.",💪
une hauteur,высота,"Quelle est la <b>hauteur</b> de cette tour ?","Какова <b>высота</b> этой башни?",📏
