French,Russian,ExampleFrench,ExampleRussian,Emoji
une animation,анимация,"Une <b>animation</b> pour enfants.","Детская <b>анимация</b>.",🎬
pouffer,фыркать,"<b>Pouffer</b> de rire.","<b>Фыркнуть</b> от смеха.",😂
hormis,кроме,"Tous <b>hormis</b> lui.","Все <b>кроме</b> него.",➖
un millénaire,тысячелетие,"Le troisième <b>millénaire</b>.","Третье <b>тысячелетие</b>.",📅
démoniaque,демонический,"Un rire <b>démoniaque</b>.","<b>Демонический</b> смех.",😈
tresser,плести,"<b>Tresser</b> des cheveux.","<b>Плести</b> косу.",💇
une émeraude,изумруд,"Une <b>émeraude</b> précieuse.","Драгоценный <b>изумруд</b>.",💎
un veinard,везунчик,"Quel <b>veinard</b> !","Какой <b>везунчик</b>!",🍀
un douanier,таможенник,"Le <b>douanier</b> vérifie les bagages.","<b>Таможенник</b> проверяет багаж.",🛃
une halle,крытый рынок,"La <b>halle</b> aux poissons.","Рыбный <b>рынок</b>.",🏛️
insensiblement,незаметно,"Changer <b>insensiblement</b>.","<b>Незаметно</b> меняться.",🔍
un avortement,аборт,"Un <b>avortement</b> spontané.","Спонтанный <b>аборт</b>.",🏥
attester,свидетельствовать,"<b>Attester</b> la vérité.","<b>Свидетельствовать</b> правду.",📜
"dansant, dansante",танцевальный,"Une soirée <b>dansante</b>.","<b>Танцевальный</b> вечер.",💃
incrédule,недоверчивый,"Un regard <b>incrédule</b>.","<b>Недоверчивый</b> взгляд.",🤨
une trombe,смерч,"Une <b>trombe</b> d'eau.","Водяной <b>смерч</b>.",🌊
rafler,сгребать,"<b>Rafler</b> tous les prix.","<b>Сгрести</b> все призы.",🏆
une fourche,вилы,"Une <b>fourche</b> de jardin.","Садовые <b>вилы</b>.",🔱
"approprié, appropriée",подходящий,"Une réponse <b>appropriée</b>.","<b>Подходящий</b> ответ.",✅
antiquaire,антиквар,"Un <b>antiquaire</b> réputé.","Известный <b>антиквар</b>.",🏺
roupiller,дрыхнуть,"<b>Roupiller</b> toute la journée.","<b>Дрыхнуть</b> весь день.",😴
une révérence,реверанс,"Faire une <b>révérence</b>.","Сделать <b>реверанс</b>.",🎭
omettre,упускать,"<b>Omettre</b> un détail.","<b>Упустить</b> деталь.",❌
un sceau,печать,"Le <b>sceau</b> royal.","Королевская <b>печать</b>.",🔏
une retrouvaille,встреча (после разлуки),"Des <b>retrouvailles</b> émouvantes.","Трогательная <b>встреча</b>.",🤗
"haletant, haletante",задыхающийся,"Une voix <b>haletante</b>.","<b>Задыхающийся</b> голос.",😮‍💨
optimiste,оптимистичный,"Une vision <b>optimiste</b>.","<b>Оптимистичный</b> взгляд.",😊
un hoquet,икота,"Avoir le <b>hoquet</b>.","У меня <b>икота</b>.",🗣️
un sous-officier,унтер-офицер,"Un <b>sous-officier</b> de l'armée.","Армейский <b>унтер-офицер</b>.",🎖️
"barbu, barbue",бородатый,"Un homme <b>barbu</b>.","<b>Бородатый</b> мужчина.",🧔
"buté, butée",упрямый,"Un enfant <b>buté</b>.","<b>Упрямый</b> ребёнок.",😤
un feuilleton,сериал,"Un <b>feuilleton</b> télévisé.","Телевизионный <b>сериал</b>.",📺
un clerc,клерк,"Un <b>clerc</b> de notaire.","<b>Клерк</b> нотариуса.",📋
une hérésie,ересь,"C'est une <b>hérésie</b> !","Это <b>ересь</b>!",⚠️
attrister,печалить,"Cette nouvelle m'<b>attriste</b>.","Эта новость меня <b>печалит</b>.",😢
un hibou,сова,"Un <b>hibou</b> dans la nuit.","<b>Сова</b> в ночи.",🦉
une doctrine,доктрина,"Une <b>doctrine</b> politique.","Политическая <b>доктрина</b>.",📖
"déplaisant, déplaisante",неприятный,"Une situation <b>déplaisante</b>.","<b>Неприятная</b> ситуация.",😕
invincible,непобедимый,"Une armée <b>invincible</b>.","<b>Непобедимая</b> армия.",🛡️
damner,проклинать,"<b>Damner</b> son âme.","<b>Проклясть</b> душу.",😈
une intégrité,целостность,"L'<b>intégrité</b> territoriale.","Территориальная <b>целостность</b>.",🗺️
une meule,жёрнов,"Une <b>meule</b> de moulin.","Мельничный <b>жёрнов</b>.",🌾
"dru, drue",густой,"Une pluie <b>drue</b>.","<b>Густой</b> дождь.",🌧️
déambuler,прогуливаться,"<b>Déambuler</b> dans la rue.","<b>Прогуливаться</b> по улице.",🚶
froidement,холодно,"Répondre <b>froidement</b>.","Ответить <b>холодно</b>.",❄️
un levier,рычаг,"Actionner le <b>levier</b>.","Нажать на <b>рычаг</b>.",🔧
une particule,частица,"Une <b>particule</b> de poussière.","<b>Частица</b> пыли.",🔬
sévir,свирепствовать,"L'épidémie <b>sévit</b>.","Эпидемия <b>свирепствует</b>.",⚠️
accoutumer,приучать,"S'<b>accoutumer</b> au froid.","<b>Привыкнуть</b> к холоду.",🌡️
illico,тотчас,"Viens <b>illico</b> !","Приходи <b>тотчас</b>!",⚡
ratisser,сгребать граблями,"<b>Ratisser</b> les feuilles.","<b>Сгребать</b> листья.",🍂
"tombant, tombante",ниспадающий,"Des épaules <b>tombantes</b>.","<b>Покатые</b> плечи.",👤
une fragilité,хрупкость,"La <b>fragilité</b> du verre.","<b>Хрупкость</b> стекла.",💎
un enclos,загон,"Un <b>enclos</b> pour animaux.","<b>Загон</b> для животных.",🐄
un baseball,бейсбол,"Jouer au <b>baseball</b>.","Играть в <b>бейсбол</b>.",⚾
un vitrail,витраж,"Un <b>vitrail</b> d'église.","Церковный <b>витраж</b>.",🏰
assimiler,усваивать,"<b>Assimiler</b> des connaissances.","<b>Усваивать</b> знания.",📚
barder,накаляться,"Ça va <b>barder</b> !","Сейчас <b>начнётся</b>!",🔥
un halo,ореол,"Un <b>halo</b> de lumière.","<b>Ореол</b> света.",✨
un surveillant,надзиратель,"Le <b>surveillant</b> de prison.","Тюремный <b>надзиратель</b>.",👮
une dérision,насмешка,"Tourner en <b>dérision</b>.","Подвергать <b>насмешке</b>.",😏
une sonde,зонд,"Une <b>sonde</b> spatiale.","Космический <b>зонд</b>.",🛸
patriote,патриот,"Un <b>patriote</b> convaincu.","Убеждённый <b>патриот</b>.",🏳️
une volaille,птица (домашняя),"Élever de la <b>volaille</b>.","Разводить <b>птицу</b>.",🐔
"écossais, écossaise",шотландский,"Un kilt <b>écossais</b>.","<b>Шотландский</b> килт.",🏴󠁧󠁢󠁳󠁣󠁴󠁿
extraterrestre,инопланетный,"Une vie <b>extraterrestre</b>.","<b>Инопланетная</b> жизнь.",👽
progressivement,постепенно,"Avancer <b>progressivement</b>.","<b>Постепенно</b> продвигаться.",📈
"rugueux, rugueuse",шершавый,"Une surface <b>rugueuse</b>.","<b>Шершавая</b> поверхность.",🪨
"impur, impure",нечистый,"Une eau <b>impure</b>.","<b>Нечистая</b> вода.",💧
joncher,устилать,"Des feuilles <b>jonchent</b> le sol.","Листья <b>устилают</b> землю.",🍂
une échéance,срок,"À courte <b>échéance</b>.","В краткосрочной <b>перспективе</b>.",📅
similaire,похожий,"Un cas <b>similaire</b>.","<b>Похожий</b> случай.",🔄
un comprimé,таблетка,"Prendre un <b>comprimé</b>.","Принять <b>таблетку</b>.",💊
dégouliner,стекать,"L'eau <b>dégouline</b>.","Вода <b>стекает</b>.",💧
un bandeau,повязка,"Un <b>bandeau</b> sur les yeux.","<b>Повязка</b> на глазах.",🎭
une pénitence,покаяние,"Faire <b>pénitence</b>.","Совершать <b>покаяние</b>.",🙏
lunaire,лунный,"Un paysage <b>lunaire</b>.","<b>Лунный</b> пейзаж.",🌙
un feuillet,листок,"Un <b>feuillet</b> de papier.","<b>Листок</b> бумаги.",📄
licencier,увольнять,"<b>Licencier</b> un employé.","<b>Уволить</b> сотрудника.",📋
une frénésie,неистовство,"Avec <b>frénésie</b>.","С <b>неистовством</b>.",🔥
voguer,плыть,"<b>Voguer</b> sur les flots.","<b>Плыть</b> по волнам.",⛵
"craintif, craintive",боязливый,"Un regard <b>craintif</b>.","<b>Боязливый</b> взгляд.",😨
truquer,фальсифицировать,"<b>Truquer</b> les élections.","<b>Фальсифицировать</b> выборы.",🗳️
une virilité,мужественность,"Prouver sa <b>virilité</b>.","Доказать свою <b>мужественность</b>.",💪
moucher,сморкаться,"Se <b>moucher</b> bruyamment.","Громко <b>сморкаться</b>.",🤧
une métaphore,метафора,"Une belle <b>métaphore</b>.","Красивая <b>метафора</b>.",📝
