French,Russian,ExampleFrench,ExampleRussian,Emoji
"infect, infecte",отвратительный,"Un temps <b>infect</b>.","<b>Отвратительная</b> погода.",🤢
"irrégulier, irrégulière",нерегулярный,"Un verbe <b>irrégulier</b>.","<b>Неправильный</b> глагол.",📖
une dot,приданое,"Une belle <b>dot</b>.","Хорошее <b>приданое</b>.",💰
un hublot,иллюминатор,"Regarder par le <b>hublot</b>.","Смотреть в <b>иллюминатор</b>.",🪟
une embuscade,засада,"Tomber dans une <b>embuscade</b>.","Попасть в <b>засаду</b>.",⚔️
comique,комичный,"Une situation <b>comique</b>.","<b>Комичная</b> ситуация.",😂
un pommier,яблоня,"Un <b>pommier</b> en fleurs.","Цветущая <b>яблоня</b>.",🍎
déterrer,выкапывать,"<b>Déterrer</b> un trésor.","<b>Выкопать</b> клад.",⛏️
appréhender,опасаться,"<b>Appréhender</b> le futur.","<b>Опасаться</b> будущего.",😟
échauffer,разогревать,"S'<b>échauffer</b> avant le sport.","<b>Разогреться</b> перед спортом.",🏃
inaudible,неслышный,"Un son <b>inaudible</b>.","<b>Неслышный</b> звук.",🔇
un amas,куча,"Un <b>amas</b> de pierres.","<b>Куча</b> камней.",🪨
éponger,вытирать,"<b>Éponger</b> le sol.","<b>Вытереть</b> пол.",🧽
livide,мертвенно-бледный,"Un teint <b>livide</b>.","<b>Мертвенно-бледный</b> цвет лица.",😨
un flambeau,факел,"Porter le <b>flambeau</b>.","Нести <b>факел</b>.",🔥
un tirage,тираж,"Un <b>tirage</b> limité.","Ограниченный <b>тираж</b>.",📰
"attendu, attendue",ожидаемый,"Un résultat <b>attendu</b>.","<b>Ожидаемый</b> результат.",⏰
un hospice,приют,"Un <b>hospice</b> de vieillards.","Дом <b>престарелых</b>.",🏥
"défoncé, défoncée",разбитый,"Une route <b>défoncée</b>.","<b>Разбитая</b> дорога.",🛣️
pétrifier,окаменеть,"<b>Pétrifier</b> de peur.","<b>Окаменеть</b> от страха.",😱
corrompre,развращать,"<b>Corrompre</b> un juge.","<b>Подкупить</b> судью.",💰
fléchir,сгибать,"<b>Fléchir</b> les genoux.","<b>Согнуть</b> колени.",🦵
terrer,прятаться,"Se <b>terrer</b> chez soi.","<b>Засесть</b> дома.",🏠
une gouvernante,гувернантка,"Engager une <b>gouvernante</b>.","Нанять <b>гувернантку</b>.",👩
précipitamment,поспешно,"Partir <b>précipitamment</b>.","Уйти <b>поспешно</b>.",🏃
soûler,напиваться,"Se <b>soûler</b> au whisky.","<b>Напиться</b> виски.",🥃
une dévotion,набожность,"Avec <b>dévotion</b>.","С <b>набожностью</b>.",🙏
romanesque,романтичный,"Une histoire <b>romanesque</b>.","<b>Романтичная</b> история.",📖
un réverbère,фонарь,"Un <b>réverbère</b> de rue.","Уличный <b>фонарь</b>.",💡
"instinctif, instinctive",инстинктивный,"Une réaction <b>instinctive</b>.","<b>Инстинктивная</b> реакция.",🧠
une nounou,нянечка,"La <b>nounou</b> des enfants.","<b>Нянечка</b> детей.",👶
"imposant, imposante",внушительный,"Un bâtiment <b>imposant</b>.","<b>Внушительное</b> здание.",🏛️
un enjeu,ставка,"Les <b>enjeux</b> du match.","<b>Ставки</b> матча.",🎯
une barricade,баррикада,"Ériger une <b>barricade</b>.","Воздвигнуть <b>баррикаду</b>.",🧱
