French,Russian,ExampleFrench,ExampleRussian,Emoji
eux-mêmes,сами (они м.р.),"Ils l'ont fait <b>eux-mêmes</b>.","Они сделали это <b>сами</b>.",👥
un impossible,невозможное,"Faire l'<b>impossible</b>.","Сделать <b>невозможное</b>.",🚫
continue,"непрерывный, -ая","Une ligne <b>continue</b>.","<b>Сплошная</b> линия.",➖
un com,комментарий; реклама (разг.),"C'est de la <b>com</b>.","Это <b>реклама</b>.",📣
une vierge,девственница; Дева,"La Sainte <b>Vierge</b>.","Святая <b>Дева</b>.",👼
lesquelles,которые (ж.р.),"Les règles <b>lesquelles</b> tu dois suivre.","Правила, <b>которые</b> ты должен соблюдать.",❓
vous-même,сами (Вы),"Faites-le <b>vous-même</b>.","Сделайте это <b>сами</b>.",👤
jusque,до; вплоть до,"<b>Jusque</b> là, tout va bien.","<b>До сих пор</b> всё хорошо.",➡️
heu,э-э; хм,"<b>Heu</b>... je ne sais pas.","<b>Э-э</b>... я не знаю.",🤔
un rond,круг; сантим (разг.),"Je n'ai pas un <b>rond</b>.","У меня ни <b>гроша</b>.",⭕
demi,наполовину,"Elle est <b>demi</b>-folle.","Она <b>наполовину</b> сумасшедшая.",½
un pédé,гей (груб.),"C'est un <b>pédé</b>. (péjoratif)","Он <b>гей</b>. (груб.)",🏳️‍🌈
un partenaire,партнёр,"Mon <b>partenaire</b> commercial.","Мой деловой <b>партнёр</b>.",🤝
un pour,за (субст.),"Le <b>pour</b> et le contre.","<b>За</b> и против.",⚖️
une saloperie,дрянь; гадость (груб.),"C'est une vraie <b>saloperie</b>.","Это настоящая <b>дрянь</b>.",🤢
un portier,швейцар; вратарь,"Le <b>portier</b> garde l'entrée.","<b>Швейцар</b> охраняет вход.",🚪
ô,о! (возглас),"<b>Ô</b> mon Dieu !","<b>О</b> боже мой!",😲
un bouge,притон; дыра,"Ce bar est un vrai <b>bouge</b>.","Этот бар — настоящий <b>притон</b>.",🍺
suicider,совершать самоубийство,"Il s'est <b>suicidé</b>.","Он <b>покончил с собой</b>.",😢
un b,буква Б,"Le mot commence par un <b>b</b>.","Слово начинается с <b>б</b>.",🔤
un nègre,негр (устар.); литнегр,"Un <b>nègre</b> littéraire écrit pour d'autres.","<b>Литературный негр</b> пишет за других.",✍️
un prochain,ближний,"Aime ton <b>prochain</b>.","Возлюби <b>ближнего</b> своего.",❤️
hum,хм,"<b>Hum</b>... intéressant.","<b>Хм</b>... интересно.",🤔
quarante,сорок,"Il a <b>quarante</b> ans.","Ему <b>сорок</b> лет.",4️⃣0️⃣
un télégramme,телеграмма,"J'ai reçu un <b>télégramme</b>.","Я получил <b>телеграмму</b>.",📨
onze,одиннадцать,"L'équipe a <b>onze</b> joueurs.","В команде <b>одиннадцать</b> игроков.",1️⃣1️⃣
une souris,мышь,"La <b>souris</b> mange le fromage.","<b>Мышь</b> ест сыр.",🐭
une crème,крем; сливки,"Une <b>crème</b> pour le visage.","<b>Крем</b> для лица.",🧴
