French,Russian,ExampleFrench,ExampleRussian,Emoji
une mythologie,мифология,"La <b>mythologie</b> grecque.","Греческая <b>мифология</b>.",🏛️
un mutant,мутант,"Un <b>mutant</b> génétique.","Генетический <b>мутант</b>.",🧬
un dandy,денди,"Un <b>dandy</b> élégant.","Элегантный <b>денди</b>.",🎩
une censure,цензура,"La <b>censure</b> des médias.","<b>Цензура</b> СМИ.",🚫
"odorant, odorante",ароматный,"Une fleur <b>odorante</b>.","<b>Ароматный</b> цветок.",🌸
"spécialisé, spécialisée",специализированный,"Un magasin <b>spécialisé</b>.","<b>Специализированный</b> магазин.",🏪
une sucrerie,сладость,"Manger des <b>sucreries</b>.","Есть <b>сладости</b>.",🍬
sauvegarder,сохранять,"<b>Sauvegarder</b> un fichier.","<b>Сохранить</b> файл.",💾
un mécano,механик (разг.),"Le <b>mécano</b> du garage.","Гаражный <b>механик</b>.",🔧
une connivence,сговор,"Avec <b>connivence</b>.","В <b>сговоре</b>.",🤝
objecter,возражать,"<b>Objecter</b> un argument.","<b>Возразить</b> аргументом.",🗣️
sexuellement,сексуально,"Transmis <b>sexuellement</b>.","Передающийся <b>половым путём</b>.",🏥
un blâme,порицание,"Recevoir un <b>blâme</b>.","Получить <b>порицание</b>.",📋
un attendrissement,умиление,"Avec <b>attendrissement</b>.","С <b>умилением</b>.",😢
un fantassin,пехотинец,"Un <b>fantassin</b> de l'armée.","Армейский <b>пехотинец</b>.",🎖️
un placement,размещение,"Un <b>placement</b> financier.","Финансовое <b>размещение</b>.",💰
"obstiné, obstinée",упрямый,"Un refus <b>obstiné</b>.","<b>Упрямый</b> отказ.",😤
une régularité,регулярность,"Avec <b>régularité</b>.","С <b>регулярностью</b>.",📅
une répression,репрессия,"La <b>répression</b> politique.","Политическая <b>репрессия</b>.",⚖️
"bleuté, bleutée",голубоватый,"Une lumière <b>bleutée</b>.","<b>Голубоватый</b> свет.",🔵
sangler,стягивать,"<b>Sangler</b> un cheval.","<b>Подтянуть</b> подпругу.",🐴
un oranger,апельсиновое дерево,"Un <b>oranger</b> en fleurs.","Цветущий <b>апельсин</b>.",🍊
un prélèvement,забор,"Un <b>prélèvement</b> sanguin.","<b>Забор</b> крови.",🩸
réquisitionner,реквизировать,"<b>Réquisitionner</b> des véhicules.","<b>Реквизировать</b> транспорт.",🚗
un box,бокс,"Le <b>box</b> des accusés.","<b>Скамья</b> подсудимых.",⚖️
un voilier,парусник,"Un <b>voilier</b> de course.","Гоночный <b>парусник</b>.",⛵
une instance,инстанция,"Une <b>instance</b> judiciaire.","Судебная <b>инстанция</b>.",🏛️
un dormeur,соня,"Un gros <b>dormeur</b>.","Большой <b>соня</b>.",😴
automatiquement,автоматически,"Cela se fait <b>automatiquement</b>.","Это делается <b>автоматически</b>.",⚙️
peigner,расчёсывать,"<b>Peigner</b> les cheveux.","<b>Расчёсывать</b> волосы.",💇
une avancée,прорыв,"Une <b>avancée</b> technologique.","Технологический <b>прорыв</b>.",🚀
vraisemblablement,вероятно,"Il viendra <b>vraisemblablement</b>.","Он <b>вероятно</b> придёт.",🤔
égayer,оживлять,"<b>Égayer</b> la pièce.","<b>Оживить</b> комнату.",🎨
compatir,сочувствовать,"<b>Compatir</b> à la douleur.","<b>Сочувствовать</b> боли.",💔
"illimité, illimitée",неограниченный,"Un accès <b>illimité</b>.","<b>Неограниченный</b> доступ.",♾️
un déshonneur,бесчестье,"Subir un <b>déshonneur</b>.","Потерпеть <b>бесчестье</b>.",😔
alcoolique,алкогольный,"Une boisson <b>alcoolique</b>.","<b>Алкогольный</b> напиток.",🍺
un soubresaut,вздрагивание,"Un <b>soubresaut</b> de peur.","<b>Вздрагивание</b> от страха.",😨
archéologue,археолог,"Un <b>archéologue</b> passionné.","Увлечённый <b>археолог</b>.",🏺
bomber,выпячивать,"<b>Bomber</b> le torse.","<b>Выпячивать</b> грудь.",💪
"désarmé, désarmée",безоружный,"Un homme <b>désarmé</b>.","<b>Безоружный</b> человек.",🚫
un magot,куш,"Amasser un <b>magot</b>.","Накопить <b>куш</b>.",💰
un vassal,вассал,"Le <b>vassal</b> du roi.","<b>Вассал</b> короля.",⚔️
une bouille,рожица,"Une bonne <b>bouille</b>.","Милая <b>рожица</b>.",😊
deuxièmement,во-вторых,"<b>Deuxièmement</b>, écoutez.","<b>Во-вторых</b>, слушайте.",2️⃣
simultanément,одновременно,"Agir <b>simultanément</b>.","Действовать <b>одновременно</b>.",⏱️
un ressentiment,обида,"Garder du <b>ressentiment</b>.","Хранить <b>обиду</b>.",😤
"campagnard, campagnarde",сельский,"Une vie <b>campagnarde</b>.","<b>Сельская</b> жизнь.",🌾
incapable,неспособный,"Un <b>incapable</b> total.","Полный <b>неумеха</b>.",🤷
"taré, tarée",придурковатый,"Un type <b>taré</b>.","<b>Придурковатый</b> тип.",🤪
un charlatan,шарлатан,"Un <b>charlatan</b> de foire.","Ярмарочный <b>шарлатан</b>.",🎪
une épargne,сбережения,"Un compte d'<b>épargne</b>.","Сберегательный <b>счёт</b>.",💰
recréer,воссоздавать,"<b>Recréer</b> une ambiance.","<b>Воссоздать</b> атмосферу.",🎨
"superstitieux, superstitieuse",суеверный,"Une personne <b>superstitieuse</b>.","<b>Суеверный</b> человек.",🐈‍⬛
"végétarien, végétarienne",вегетарианский,"Un menu <b>végétarien</b>.","<b>Вегетарианское</b> меню.",🥗
clean,чистый,"Un look <b>clean</b>.","<b>Чистый</b> вид.",✅
un traiteur,кейтеринг,"Commander chez un <b>traiteur</b>.","Заказать у <b>кейтеринга</b>.",🍽️
une grêle,град,"Une averse de <b>grêle</b>.","Ливень с <b>градом</b>.",🌨️
"fervent, fervente",пылкий,"Un <b>fervent</b> admirateur.","<b>Пылкий</b> поклонник.",❤️
"fixé, fixée",установленный,"Un prix <b>fixé</b>.","<b>Установленная</b> цена.",📌
implanter,внедрять,"<b>Implanter</b> une entreprise.","<b>Внедрить</b> компанию.",🏢
une unanimité,единогласие,"À l'<b>unanimité</b>.","<b>Единогласно</b>.",👍
"vécu, vécue",пережитый,"Une expérience <b>vécue</b>.","<b>Пережитый</b> опыт.",📖
