French,Russian,ExampleFrench,ExampleRussian,Emoji
caresser,гладить; ласкать,"Elle <b>caresse</b> le chat.","Она <b>гладит</b> кота.",🐱
une boule,шар,"C'est une <b>boule</b> de neige.","Это снежный <b>ком</b>.",⚪
un samedi,суббота,"On se voit <b>samedi</b> ?","Увидимся в <b>субботу</b>?",📅
"lointain, lointaine",далёкий,"C'est un pays <b>lointain</b>.","Это <b>далёкая</b> страна.",🌍
un artiste,художник; артист,"C'est un grand <b>artiste</b>.","Это великий <b>художник</b>.",🎨
un repos,отдых,"J'ai besoin de <b>repos</b>.","Мне нужен <b>отдых</b>.",😴
marre,сыт по горло (разг.),"J'en ai <b>marre</b> !","Мне это <b>надоело</b>!",😤
un miroir,зеркало,"Je me regarde dans le <b>miroir</b>.","Я смотрюсь в <b>зеркало</b>.",🪞
une goutte,капля,"Une <b>goutte</b> d'eau.","<b>Капля</b> воды.",💧
"épais, épaisse",толстый; густой,"Ce livre est <b>épais</b>.","Эта книга <b>толстая</b>.",📚
une puissance,мощь; сила,"C'est une grande <b>puissance</b> mondiale.","Это великая мировая <b>держава</b>.",💪
une expression,выражение,"C'est une <b>expression</b> idiomatique.","Это идиоматическое <b>выражение</b>.",💬
une unité,единство; единица,"L'<b>unité</b> fait la force.","В <b>единстве</b> сила.",🤝
un vide,пустота,"Il y a un <b>vide</b> dans ma vie.","В моей жизни <b>пустота</b>.",🕳️
un don,дар; пожертвование,"Il a le <b>don</b> de la musique.","У него <b>дар</b> к музыке.",🎁
interrompre,прерывать,"Ne m'<b>interromps</b> pas !","Не <b>перебивай</b> меня!",🛑
"joyeux, joyeuse",радостный,"<b>Joyeux</b> Noël !","<b>Весёлого</b> Рождества!",🎄
emmerder,доставать (груб.),"Tu m'<b>emmerdes</b> !","Ты меня <b>достал</b>!",😠
examiner,осматривать; изучать,"Le médecin va t'<b>examiner</b>.","Врач тебя <b>осмотрит</b>.",🩺
un match,матч,"Le <b>match</b> commence à huit heures.","<b>Матч</b> начинается в восемь.",⚽
rigoler,смеяться (разг.),"On a bien <b>rigolé</b>.","Мы здорово <b>посмеялись</b>.",😂
un malade,больной,"Le <b>malade</b> va mieux.","<b>Больной</b> чувствует себя лучше.",🏥
une humeur,настроение,"Elle est de bonne <b>humeur</b>.","Она в хорошем <b>настроении</b>.",😊
une masse,масса,"Une <b>masse</b> de gens attendaient.","<b>Масса</b> людей ждала.",👥
un alcool,алкоголь,"Je ne bois pas d'<b>alcool</b>.","Я не пью <b>алкоголь</b>.",🍷
déplacer,перемещать,"<b>Déplace</b> ce meuble.","<b>Передвинь</b> эту мебель.",🚚
exploser,взрываться,"La bombe a <b>explosé</b>.","Бомба <b>взорвалась</b>.",💥
un adieu,прощание,"C'est un <b>adieu</b>.","Это <b>прощание</b>.",👋
double,двойной,"C'est le <b>double</b> du prix.","Это <b>вдвое</b> дороже.",✌️
visiter,посещать,"Je vais <b>visiter</b> le musée.","Я собираюсь <b>посетить</b> музей.",🏛️
énerver,раздражать,"Tu m'<b>énerves</b> !","Ты меня <b>раздражаешь</b>!",😤
un talent,талант,"Tu as beaucoup de <b>talent</b>.","У тебя большой <b>талант</b>.",⭐
un éclat,вспышка; осколок,"Un <b>éclat</b> de rire.","Взрыв <b>смеха</b>.",✨
contenter,удовлетворять,"Je me <b>contente</b> de peu.","Я <b>довольствуюсь</b> малым.",😌
contenir,содержать,"Cette boîte <b>contient</b> des bijoux.","Эта коробка <b>содержит</b> украшения.",📦
superbe,великолепный,"C'est une vue <b>superbe</b> !","Это <b>великолепный</b> вид!",🤩
une pointe,остриё; пик,"C'est l'heure de <b>pointe</b>.","Это час <b>пик</b>.",📍
un trottoir,тротуар,"Marche sur le <b>trottoir</b>.","Иди по <b>тротуару</b>.",🚶
un assassin,убийца,"L'<b>assassin</b> a été condamné.","<b>Убийца</b> был осуждён.",⚔️
un môme,ребёнок (разг.),"Ce <b>môme</b> est adorable.","Этот <b>малыш</b> очарователен.",👶
goûter,пробовать,"<b>Goûte</b> ce plat.","<b>Попробуй</b> это блюдо.",🍴
un palais,дворец,"Le roi vit dans un <b>palais</b>.","Король живёт во <b>дворце</b>.",🏰
un drap,простыня,"Change les <b>draps</b> du lit.","Смени <b>простыни</b> на кровати.",🛏️
mince,тонкий; стройный,"Elle est très <b>mince</b>.","Она очень <b>стройная</b>.",👩
une tache,пятно,"Il y a une <b>tache</b> sur ta chemise.","На твоей рубашке <b>пятно</b>.",👕
une qualité,качество,"C'est un produit de <b>qualité</b>.","Это <b>качественный</b> продукт.",⭐
un printemps,весна,"Le <b>printemps</b> arrive.","<b>Весна</b> приходит.",🌸
une urgence,срочность; скорая,"C'est une <b>urgence</b> !","Это <b>срочно</b>!",🚨
un lycée,лицей; старшая школа,"Mon fils est au <b>lycée</b>.","Мой сын учится в <b>лицее</b>.",🎒
un patient,пациент,"Le <b>patient</b> attend le médecin.","<b>Пациент</b> ждёт врача.",🏥
