French,Russian,ExampleFrench,ExampleRussian,Emoji
résider,проживать,"<b>Résider</b> à Paris.","<b>Проживать</b> в Париже.",🏠
une rosée,роса,"La <b>rosée</b> du matin.","Утренняя <b>роса</b>.",💧
répartir,распределять,"<b>Répartir</b> les tâches.","<b>Распределить</b> задачи.",📊
une arcade,аркада,"Sous les <b>arcades</b>.","Под <b>аркадами</b>.",🏛️
un parapet,парапет,"Le <b>parapet</b> du pont.","<b>Парапет</b> моста.",🌉
une tortue,черепаха,"Une <b>tortue</b> marine.","Морская <b>черепаха</b>.",🐢
affranchir,освобождать,"<b>Affranchir</b> un esclave.","<b>Освободить</b> раба.",⛓️
"hideux, hideuse",отвратительный,"Un monstre <b>hideux</b>.","<b>Отвратительный</b> монстр.",👹
un round,раунд,"Le premier <b>round</b>.","Первый <b>раунд</b>.",🥊
une seringue,шприц,"Une <b>seringue</b> stérile.","Стерильный <b>шприц</b>.",💉
perplexe,озадаченный,"Rester <b>perplexe</b>.","Оставаться <b>озадаченным</b>.",🤔
une puanteur,вонь,"Une <b>puanteur</b> insupportable.","Невыносимая <b>вонь</b>.",🤢
psychopathe,психопат,"Un dangereux <b>psychopathe</b>.","Опасный <b>психопат</b>.",🔪
un vestibule,вестибюль,"Le <b>vestibule</b> de l'immeuble.","<b>Вестибюль</b> здания.",🚪
une sardine,сардина,"Une boîte de <b>sardines</b>.","Банка <b>сардин</b>.",🐟
un tarif,тариф,"Le <b>tarif</b> en vigueur.","Действующий <b>тариф</b>.",💰
un protégé,протеже,"Le <b>protégé</b> du directeur.","<b>Протеже</b> директора.",👤
fouler,топтать,"<b>Fouler</b> le sol.","<b>Топтать</b> землю.",🦶
"spontané, spontanée",спонтанный,"Un geste <b>spontané</b>.","<b>Спонтанный</b> жест.",⚡
"superficiel, superficielle",поверхностный,"Une analyse <b>superficielle</b>.","<b>Поверхностный</b> анализ.",📊
un bide,провал (разг.),"Quel <b>bide</b> !","Какой <b>провал</b>!",👎
un envoyé,посланник,"Un <b>envoyé</b> spécial.","<b>Спецкор</b>.",📰
une timidité,застенчивость,"Vaincre sa <b>timidité</b>.","Преодолеть <b>застенчивость</b>.",😊
"audacieux, audacieuse",дерзкий,"Un plan <b>audacieux</b>.","<b>Дерзкий</b> план.",🦸
une sexualité,сексуальность,"La <b>sexualité</b> humaine.","Человеческая <b>сексуальность</b>.",❤️
initier,посвящать,"<b>Initier</b> quelqu'un à l'art.","<b>Посвятить</b> кого-то в искусство.",🎨
un guichet,окошко,"Le <b>guichet</b> de la banque.","<b>Окошко</b> в банке.",🏦
"charnel, charnelle",плотский,"Un désir <b>charnel</b>.","<b>Плотское</b> желание.",💋
acquiescer,соглашаться,"<b>Acquiescer</b> d'un signe de tête.","<b>Согласиться</b> кивком.",👍
pensionnaire,постоялец,"Un <b>pensionnaire</b> de l'hôtel.","<b>Постоялец</b> отеля.",🏨
déceler,обнаруживать,"<b>Déceler</b> une faille.","<b>Обнаружить</b> изъян.",🔍
yankee,янки,"Un <b>yankee</b> américain.","Американский <b>янки</b>.",🇺🇸
apprivoiser,приручать,"<b>Apprivoiser</b> un animal.","<b>Приручить</b> животное.",🦊
"nommé, nommée",именуемый,"Un homme <b>nommé</b> Pierre.","Человек по <b>имени</b> Пьер.",📛
"gagné, gagnée",выигранный,"Une bataille <b>gagnée</b>.","<b>Выигранная</b> битва.",🏆
"crasseux, crasseuse",грязный,"Des vêtements <b>crasseux</b>.","<b>Грязная</b> одежда.",👕
grommeler,ворчать,"<b>Grommeler</b> des injures.","<b>Ворчать</b> ругательства.",😤
une obstination,упрямство,"Une <b>obstination</b> têtue.","Упёртое <b>упрямство</b>.",🐂
un socialisme,социализм,"Le <b>socialisme</b> démocratique.","Демократический <b>социализм</b>.",🏛️
réciproque,взаимный,"Un amour <b>réciproque</b>.","<b>Взаимная</b> любовь.",❤️
maléfique,зловещий,"Un pouvoir <b>maléfique</b>.","<b>Зловещая</b> сила.",😈
"individuel, individuelle",индивидуальный,"Un sport <b>individuel</b>.","<b>Индивидуальный</b> спорт.",🏃
éplucher,чистить,"<b>Éplucher</b> des pommes de terre.","<b>Чистить</b> картошку.",🥔
propice,благоприятный,"Un moment <b>propice</b>.","<b>Благоприятный</b> момент.",✅
"mécontent, mécontente",недовольный,"Un client <b>mécontent</b>.","<b>Недовольный</b> клиент.",😤
déraper,заносить,"La voiture <b>dérape</b>.","Машину <b>заносит</b>.",🚗
un agresseur,агрессор,"Un <b>agresseur</b> violent.","Жестокий <b>агрессор</b>.",👊
émaner,исходить,"<b>Émaner</b> une odeur.","<b>Исходить</b> (о запахе).",👃
une crapule,негодяй,"Une sale <b>crapule</b>.","Грязный <b>негодяй</b>.",😈
une famine,голод,"Une terrible <b>famine</b>.","Ужасный <b>голод</b>.",😔
une rapidité,быстрота,"Avec <b>rapidité</b>.","С <b>быстротой</b>.",⚡
une fabrication,изготовление,"La <b>fabrication</b> de meubles.","<b>Изготовление</b> мебели.",🔨
approprier,присваивать,"S'<b>approprier</b> un bien.","<b>Присвоить</b> имущество.",🏠
une teinte,оттенок,"Une <b>teinte</b> rosée.","Розоватый <b>оттенок</b>.",🎨
un klaxon,клаксон,"Appuyer sur le <b>klaxon</b>.","Нажать на <b>клаксон</b>.",🚗
osciller,колебаться,"<b>Osciller</b> entre deux choix.","<b>Колебаться</b> между выборами.",↔️
une boulangerie,булочная,"Aller à la <b>boulangerie</b>.","Идти в <b>булочную</b>.",🥖
une totalité,совокупность,"La <b>totalité</b> des résultats.","<b>Совокупность</b> результатов.",📊
"gourmand, gourmande",сластёна,"Un enfant <b>gourmand</b>.","Ребёнок-<b>сластёна</b>.",🍰
un dedans,внутренность,"Au <b>dedans</b>.","<b>Внутри</b>.",🏠
une compétence,компетенция,"Avoir les <b>compétences</b>.","Обладать <b>компетенциями</b>.",📚
une gelée,желе,"Une <b>gelée</b> de fruits.","Фруктовое <b>желе</b>.",🍮
entre-temps,тем временем,"<b>Entre-temps</b>, il est parti.","<b>Тем временем</b> он ушёл.",⏰
un appât,наживка,"Un <b>appât</b> pour poissons.","<b>Наживка</b> для рыбы.",🎣
une maîtrise,мастерство,"Une parfaite <b>maîtrise</b>.","Совершенное <b>мастерство</b>.",🎯
"fumant, fumante",дымящийся,"Un café <b>fumant</b>.","<b>Дымящийся</b> кофе.",☕
"grillé, grillée",жареный,"Un poulet <b>grillé</b>.","<b>Жареная</b> курица.",🍗
