French,Russian,ExampleFrench,ExampleRussian,Emoji
une opportunité,возможность,"Une belle <b>opportunité</b>.","Прекрасная <b>возможность</b>.",🎯
un ciné,кино (разг.),"Aller au <b>ciné</b>.","Идти в <b>кино</b>.",🎬
une licence,лицензия,"Une <b>licence</b> de conduire.","Водительские <b>права</b>.",📜
blanchir,отбеливать,"<b>Blanchir</b> le linge.","<b>Отбелить</b> бельё.",🧺
une tartine,бутерброд,"Une <b>tartine</b> de confiture.","<b>Бутерброд</b> с вареньем.",🍞
solaire,солнечный,"Un panneau <b>solaire</b>.","<b>Солнечная</b> панель.",☀️
subsister,существовать,"<b>Subsister</b> avec peu.","<b>Выживать</b> с малым.",💪
répliquer,возражать,"<b>Répliquer</b> avec ironie.","<b>Возразить</b> с иронией.",💬
une présentation,презентация,"Une <b>présentation</b> PowerPoint.","<b>Презентация</b> PowerPoint.",📊
gouverner,править,"<b>Gouverner</b> un pays.","<b>Править</b> страной.",🏛️
une collaboration,сотрудничество,"Une <b>collaboration</b> fructueuse.","Плодотворное <b>сотрудничество</b>.",🤝
souper,ужинать,"<b>Souper</b> en famille.","<b>Ужинать</b> в семье.",🍽️
une secousse,толчок,"Une <b>secousse</b> sismique.","Сейсмический <b>толчок</b>.",🌋
un perron,крыльцо,"Sur le <b>perron</b> de la maison.","На <b>крыльце</b> дома.",🏠
broder,вышивать,"<b>Broder</b> une nappe.","<b>Вышивать</b> скатерть.",🧵
une coque,корпус,"La <b>coque</b> du navire.","<b>Корпус</b> корабля.",🚢
"chaleureux, chaleureuse",тёплый,"Un accueil <b>chaleureux</b>.","<b>Тёплый</b> приём.",🤗
un fantasme,фантазия,"Un <b>fantasme</b> récurrent.","Повторяющаяся <b>фантазия</b>.",💭
égoïste,эгоистичный,"Un comportement <b>égoïste</b>.","<b>Эгоистичное</b> поведение.",😤
une audition,прослушивание,"Passer une <b>audition</b>.","Пройти <b>прослушивание</b>.",🎤
un partisan,сторонник,"Un <b>partisan</b> du changement.","<b>Сторонник</b> перемен.",✊
une application,приложение,"Une <b>application</b> mobile.","Мобильное <b>приложение</b>.",📱
gaiement,весело,"Chanter <b>gaiement</b>.","Петь <b>весело</b>.",🎵
"mourant, mourante",умирающий,"Un homme <b>mourant</b>.","<b>Умирающий</b> человек.",😢
un embarras,затруднение,"Un <b>embarras</b> financier.","Финансовые <b>затруднения</b>.",💸
un poker,покер,"Jouer au <b>poker</b>.","Играть в <b>покер</b>.",🃏
"inouï, inouïe",неслыханный,"Un succès <b>inouï</b>.","<b>Неслыханный</b> успех.",🤯
un cordon,шнур,"Un <b>cordon</b> de police.","Полицейское <b>оцепление</b>.",👮
un torrent,поток,"Un <b>torrent</b> de montagne.","Горный <b>поток</b>.",🌊
une indulgence,снисходительность,"Avec <b>indulgence</b>.","Со <b>снисходительностью</b>.",😊
"soucieux, soucieuse",озабоченный,"Un air <b>soucieux</b>.","<b>Озабоченный</b> вид.",😟
"convaincu, convaincue",убеждённый,"Je suis <b>convaincu</b>.","Я <b>убеждён</b>.",✅
"successif, successive",последовательный,"Trois jours <b>successifs</b>.","Три <b>последовательных</b> дня.",📅
un jean,джинсы,"Un <b>jean</b> bleu.","Синие <b>джинсы</b>.",👖
une distraction,развлечение,"Une <b>distraction</b> agréable.","Приятное <b>развлечение</b>.",🎮
"meurtrier, meurtrière",смертоносный,"Une arme <b>meurtrière</b>.","<b>Смертоносное</b> оружие.",💀
trébucher,спотыкаться,"<b>Trébucher</b> sur une pierre.","<b>Споткнуться</b> о камень.",🦵
une touffe,пучок,"Une <b>touffe</b> d'herbe.","<b>Пучок</b> травы.",🌿
un bétail,скот,"Le <b>bétail</b> dans le pré.","<b>Скот</b> на лугу.",🐄
une sérénité,безмятежность,"Une grande <b>sérénité</b>.","Большая <b>безмятежность</b>.",😌
un bazar,базар; беспорядок,"Quel <b>bazar</b> !","Какой <b>бардак</b>!",🤯
emprisonner,заключать,"<b>Emprisonner</b> un criminel.","<b>Заключить</b> преступника.",🔒
inciter,побуждать,"<b>Inciter</b> à la violence.","<b>Побуждать</b> к насилию.",📢
un verrou,засов,"Fermer le <b>verrou</b>.","Закрыть <b>засов</b>.",🔐
une brise,бриз,"Une douce <b>brise</b>.","Лёгкий <b>бриз</b>.",🌬️
une monture,оправа; верховое животное,"Une <b>monture</b> de lunettes.","<b>Оправа</b> очков.",👓
un cadet,младший,"Mon frère <b>cadet</b>.","Мой <b>младший</b> брат.",👦
"pieux, pieuse",набожный,"Une femme <b>pieuse</b>.","<b>Набожная</b> женщина.",🙏
un préféré,любимец,"C'est mon <b>préféré</b>.","Это мой <b>любимец</b>.",⭐
espionner,шпионить,"<b>Espionner</b> quelqu'un.","<b>Шпионить</b> за кем-то.",🕵️
une bouchée,кусок,"Une <b>bouchée</b> de pain.","<b>Кусок</b> хлеба.",🍞
une autopsie,вскрытие,"Pratiquer une <b>autopsie</b>.","Провести <b>вскрытие</b>.",🏥
escorter,сопровождать,"<b>Escorter</b> le président.","<b>Сопровождать</b> президента.",🚗
piller,грабить,"<b>Piller</b> un magasin.","<b>Грабить</b> магазин.",💰
insensible,бесчувственный,"Un cœur <b>insensible</b>.","<b>Бесчувственное</b> сердце.",❄️
mobile,подвижный,"Un téléphone <b>mobile</b>.","<b>Мобильный</b> телефон.",📱
