French,Russian,ExampleFrench,ExampleRussian,Emoji
loucher,косить,"<b>Loucher</b> légèrement.","Слегка <b>косить</b>.",👀
"ténébreux, ténébreuse",мрачный,"Un regard <b>ténébreux</b>.","<b>Мрачный</b> взгляд.",🌑
un penchant,склонность,"Avoir un <b>penchant</b> pour l'art.","Иметь <b>склонность</b> к искусству.",🎨
un villageois,сельский житель,"Les <b>villageois</b> se réunissent.","<b>Сельские жители</b> собираются.",🏘️
hospitaliser,госпитализировать,"<b>Hospitaliser</b> un patient.","<b>Госпитализировать</b> пациента.",🏥
mollo,потихоньку,"Vas-y <b>mollo</b> !","Иди <b>потихоньку</b>!",🐢
une quille,кегля,"Renverser les <b>quilles</b>.","Сбить <b>кегли</b>.",🎳
une traverse,шпала,"Une <b>traverse</b> de chemin de fer.","Железнодорожная <b>шпала</b>.",🚂
"cadet, cadette",младший,"Mon frère <b>cadet</b>.","Мой <b>младший</b> брат.",👦
un traducteur,переводчик,"Un <b>traducteur</b> professionnel.","Профессиональный <b>переводчик</b>.",📝
délibérément,намеренно,"Agir <b>délibérément</b>.","Действовать <b>намеренно</b>.",🎯
spontanément,спонтанно,"Réagir <b>spontanément</b>.","Реагировать <b>спонтанно</b>.",⚡
une mentalité,менталитет,"Changer de <b>mentalité</b>.","Сменить <b>менталитет</b>.",🧠
indigène,коренной,"Une population <b>indigène</b>.","<b>Коренное</b> население.",🌍
un matos,снаряжение,"Préparer le <b>matos</b>.","Подготовить <b>снаряжение</b>.",🎒
traire,доить,"<b>Traire</b> les vaches.","<b>Доить</b> коров.",🐄
provisoirement,временно,"Habiter <b>provisoirement</b> ici.","<b>Временно</b> жить здесь.",⏰
une virée,вылазка,"Une <b>virée</b> en voiture.","<b>Вылазка</b> на машине.",🚗
un bandage,повязка,"Mettre un <b>bandage</b>.","Наложить <b>повязку</b>.",🩹
une astuce,хитрость,"Une <b>astuce</b> pratique.","Практичная <b>хитрость</b>.",💡
approfondir,углублять,"<b>Approfondir</b> ses connaissances.","<b>Углублять</b> знания.",📚
un fard,грим,"Se mettre du <b>fard</b>.","Наносить <b>грим</b>.",🎭
un radeau,плот,"Construire un <b>radeau</b>.","Построить <b>плот</b>.",🚣
un yaourt,йогурт,"Manger un <b>yaourt</b>.","Есть <b>йогурт</b>.",🥛
recharger,перезаряжать,"<b>Recharger</b> le téléphone.","<b>Перезарядить</b> телефон.",🔋
rugir,рычать,"Le lion <b>rugit</b>.","Лев <b>рычит</b>.",🦁
une excursion,экскурсия,"Une <b>excursion</b> en montagne.","<b>Экскурсия</b> в горы.",🏔️
une traction,тяга,"La <b>traction</b> avant.","Передняя <b>тяга</b>.",🚗
un aspirateur,пылесос,"Passer l'<b>aspirateur</b>.","Пропылесосить.",🧹
un crash,крушение,"Un <b>crash</b> aérien.","Авиа<b>катастрофа</b>.",✈️
un dessinateur,чертёжник,"Un <b>dessinateur</b> industriel.","Промышленный <b>чертёжник</b>.",✏️
une prune,слива,"Une <b>prune</b> mûre.","Спелая <b>слива</b>.",🍑
façonner,формировать,"<b>Façonner</b> l'argile.","<b>Формировать</b> глину.",🏺
astronaute,космонавт,"Un <b>astronaute</b> en mission.","<b>Космонавт</b> на миссии.",👨‍🚀
un script,сценарий,"Écrire un <b>script</b>.","Написать <b>сценарий</b>.",📝
jaunâtre,желтоватый,"Une couleur <b>jaunâtre</b>.","<b>Желтоватый</b> цвет.",🟡
"engagé, engagée",активный,"Un artiste <b>engagé</b>.","<b>Ангажированный</b> артист.",✊
une directive,директива,"Suivre les <b>directives</b>.","Следовать <b>директивам</b>.",📋
"poisseux, poisseuse",липкий,"Des mains <b>poisseuses</b>.","<b>Липкие</b> руки.",🤚
un cadran,циферблат,"Le <b>cadran</b> de la montre.","<b>Циферблат</b> часов.",⏰
une broussaille,кустарник,"Des <b>broussailles</b> épaisses.","Густой <b>кустарник</b>.",🌿
jacter,болтать,"<b>Jacter</b> sans arrêt.","<b>Болтать</b> без остановки.",🗣️
un potentiel,потенциал,"Un grand <b>potentiel</b>.","Большой <b>потенциал</b>.",📈
fraîchement,свежо,"<b>Fraîchement</b> repeint.","<b>Свежеокрашенный</b>.",🎨
"énervé, énervée",раздражённый,"Il est <b>énervé</b>.","Он <b>раздражён</b>.",😠
"noyé, noyée",утонувший,"Un homme <b>noyé</b>.","<b>Утонувший</b> человек.",💀
sécuriser,обезопасить,"<b>Sécuriser</b> la zone.","<b>Обезопасить</b> зону.",🔒
un tee-shirt,футболка,"Un <b>tee-shirt</b> blanc.","Белая <b>футболка</b>.",👕
tatouer,татуировать,"Se faire <b>tatouer</b>.","Сделать <b>татуировку</b>.",🎨
un renvoi,увольнение,"Un <b>renvoi</b> injuste.","Несправедливое <b>увольнение</b>.",📋
confusément,смутно,"Se rappeler <b>confusément</b>.","<b>Смутно</b> помнить.",🤔
un fonctionnement,функционирование,"Le <b>fonctionnement</b> du système.","<b>Функционирование</b> системы.",⚙️
une milice,ополчение,"Une <b>milice</b> armée.","Вооружённое <b>ополчение</b>.",⚔️
sonder,зондировать,"<b>Sonder</b> le terrain.","<b>Прозондировать</b> почву.",🔍
une immortalité,бессмертие,"L'<b>immortalité</b> de l'âme.","<b>Бессмертие</b> души.",✨
une netteté,чёткость,"La <b>netteté</b> de l'image.","<b>Чёткость</b> изображения.",📷
"ambulant, ambulante",бродячий,"Un marchand <b>ambulant</b>.","<b>Бродячий</b> торговец.",🚶
un forgeron,кузнец,"Le <b>forgeron</b> frappe le fer.","<b>Кузнец</b> куёт железо.",🔨
premièrement,во-первых,"<b>Premièrement</b>, écoutez-moi.","<b>Во-первых</b>, послушайте меня.",1️⃣
charitable,благотворительный,"Une œuvre <b>charitable</b>.","<b>Благотворительная</b> организация.",❤️
"végétal, végétale",растительный,"Une huile <b>végétale</b>.","<b>Растительное</b> масло.",🌱
"palpitant, palpitante",захватывающий,"Une histoire <b>palpitante</b>.","<b>Захватывающая</b> история.",😮
"étouffant, étouffante",душный,"Une chaleur <b>étouffante</b>.","<b>Душная</b> жара.",🥵
replacer,переставлять,"<b>Replacer</b> les meubles.","<b>Переставить</b> мебель.",🪑
"travailleur, travailleuse",трудолюбивый,"Un employé <b>travailleur</b>.","<b>Трудолюбивый</b> сотрудник.",💼
un sabotage,саботаж,"Un acte de <b>sabotage</b>.","Акт <b>саботажа</b>.",💥
une publication,публикация,"Une <b>publication</b> scientifique.","Научная <b>публикация</b>.",📄
apitoyer,вызывать жалость,"<b>Apitoyer</b> les gens.","<b>Вызывать жалость</b> у людей.",😢
braver,бросать вызов,"<b>Braver</b> le danger.","<b>Бросить вызов</b> опасности.",💪
dégrader,ухудшать,"<b>Dégrader</b> l'environnement.","<b>Ухудшать</b> окружающую среду.",🌍
"garanti, garantie",гарантированный,"Un succès <b>garanti</b>.","<b>Гарантированный</b> успех.",✅
maladroitement,неуклюже,"Agir <b>maladroitement</b>.","Действовать <b>неуклюже</b>.",🙃
un enchantement,очарование,"Quel <b>enchantement</b> !","Какое <b>очарование</b>!",✨
"visqueux, visqueuse",вязкий,"Un liquide <b>visqueux</b>.","<b>Вязкая</b> жидкость.",🧪
"sensationnel, sensationnelle",сенсационный,"Une nouvelle <b>sensationnelle</b>.","<b>Сенсационная</b> новость.",📰
un conservatoire,консерватория,"Le <b>conservatoire</b> de musique.","Музыкальная <b>консерватория</b>.",🎵
un vestige,след,"Les <b>vestiges</b> du passé.","<b>Следы</b> прошлого.",🏛️
écarquiller,широко раскрывать,"<b>Écarquiller</b> les yeux.","<b>Широко раскрыть</b> глаза.",👀
un blaireau,барсук,"Un <b>blaireau</b> nocturne.","Ночной <b>барсук</b>.",🦡
coïncider,совпадать,"Les dates <b>coïncident</b>.","Даты <b>совпадают</b>.",📅
"collant, collante",липкий,"Des bonbons <b>collants</b>.","<b>Липкие</b> конфеты.",🍬
fréquemment,часто,"Voyager <b>fréquemment</b>.","<b>Часто</b> путешествовать.",✈️
un vinaigre,уксус,"Un filet de <b>vinaigre</b>.","Немного <b>уксуса</b>.",🍶
une virginité,девственность,"Perdre sa <b>virginité</b>.","Потерять <b>девственность</b>.",💫
une illustration,иллюстрация,"Une belle <b>illustration</b>.","Красивая <b>иллюстрация</b>.",🖼️
une maternité,материнство,"La joie de la <b>maternité</b>.","Радость <b>материнства</b>.",👩‍👧
une salve,залп,"Une <b>salve</b> d'applaudissements.","<b>Залп</b> аплодисментов.",👏
