French,Russian,ExampleFrench,ExampleRussian,Emoji
par-delà,за пределами; по ту сторону,"<b>Par-delà</b> les frontières.","<b>За пределами</b> границ.",🌍
des chips,чипсы,"Un paquet de <b>chips</b>.","Пачка <b>чипсов</b>.",🥔
une imposteure,самозванка,"L'<b>imposteure</b> a été démasquée.","<b>Самозванку</b> разоблачили.",🎭
chuter,падать; снижаться,"Les ventes ont <b>chuté</b>.","Продажи <b>упали</b>.",📉
un imposteur,самозванец,"C'est un <b>imposteur</b> !","Он <b>самозванец</b>!",🎭
une finale,финал,"La <b>finale</b> de la coupe.","<b>Финал</b> кубка.",🏆
harper,хватать; цеплять,"<b>Harper</b> quelque chose.","<b>Схватить</b> что-то.",🤏
une atteinte,покушение; ущерб,"Une <b>atteinte</b> à la liberté.","<b>Покушение</b> на свободу.",⚠️
un brancard,носилки,"Porter sur un <b>brancard</b>.","Нести на <b>носилках</b>.",🏥
"pensif, pensive",задумчивый,"Un air <b>pensif</b>.","<b>Задумчивый</b> вид.",🤔
un vaincu,побеждённый,"Les <b>vaincus</b> de la guerre.","<b>Побеждённые</b> на войне.",😔
confectionner,изготавливать,"<b>Confectionner</b> un gâteau.","<b>Приготовить</b> торт.",🎂
obstinément,упорно; настойчиво,"Refuser <b>obstinément</b>.","<b>Упорно</b> отказываться.",😤
inépuisable,неисчерпаемый,"Une source <b>inépuisable</b>.","<b>Неисчерпаемый</b> источник.",💧
un couillon,дурак (груб.),"Quel <b>couillon</b> !","Какой <b>дурак</b>!",🤦
une bâtisse,строение; здание,"Une vieille <b>bâtisse</b>.","Старое <b>здание</b>.",🏚️
une crève,простуда (разг.),"J'ai chopé la <b>crève</b>.","Я <b>простудился</b>.",🤧
un thon,тунец,"Du <b>thon</b> en conserve.","Консервированный <b>тунец</b>.",🐟
un sacré,священное; чертовски,"Un <b>sacré</b> menteur !","<b>Чертов</b> лжец!",😤
un toutou,собачка (разг.),"Mon petit <b>toutou</b>.","Мой <b>пёсик</b>.",🐕
un outrage,оскорбление; надругательство,"Un <b>outrage</b> à la justice.","<b>Оскорбление</b> правосудия.",⚖️
der,последний (разг.),"C'est le <b>der</b> des ders.","Это <b>последний</b> из последних.",🔚
jucher,усаживать высоко,"Se <b>jucher</b> sur une branche.","<b>Взобраться</b> на ветку.",🌳
persécuter,преследовать,"<b>Persécuter</b> les minorités.","<b>Преследовать</b> меньшинства.",😢
un fagot,вязанка (дров),"Un <b>fagot</b> de bois.","<b>Вязанка</b> дров.",🪵
faiblir,слабеть,"Ses forces <b>faiblissent</b>.","Его силы <b>слабеют</b>.",😓
un parterre,клумба; партер,"Le <b>parterre</b> de fleurs.","<b>Клумба</b> цветов.",🌷
épingler,прикалывать; поймать,"<b>Épingler</b> un criminel.","<b>Поймать</b> преступника.",📌
un chuchotement,шёпот,"Un <b>chuchotement</b> dans la nuit.","<b>Шёпот</b> в ночи.",🤫
un format,формат,"Le <b>format</b> du fichier.","<b>Формат</b> файла.",📐
un paradoxe,парадокс,"C'est un <b>paradoxe</b>.","Это <b>парадокс</b>.",🤔
barbouiller,пачкать; мазать,"<b>Barbouiller</b> le mur.","<b>Размалевать</b> стену.",🎨
une vitamine,витамин,"Prendre des <b>vitamines</b>.","Принимать <b>витамины</b>.",💊
asperger,обрызгивать,"<b>Asperger</b> d'eau.","<b>Обрызгать</b> водой.",💦
stimuler,стимулировать,"<b>Stimuler</b> l'économie.","<b>Стимулировать</b> экономику.",📈
hyper,супер; очень,"C'est <b>hyper</b> bien !","Это <b>супер</b> хорошо!",🔥
démentir,опровергать,"<b>Démentir</b> une rumeur.","<b>Опровергнуть</b> слух.",🚫
une louange,хвала; похвала,"Chanter les <b>louanges</b>.","Петь <b>хвалу</b>.",🙌
