French,Russian,ExampleFrench,ExampleRussian,Emoji
"triomphal, triomphale",победный,"Une marche <b>triomphale</b>.","<b>Победный</b> марш.",🏆
un rapprochement,примирение,"Un <b>rapprochement</b> familial.","Семейное <b>примирение</b>.",👨‍👩‍👧
une révision,повторение,"Une <b>révision</b> avant l'examen.","<b>Повторение</b> перед экзаменом.",📚
affluer,наплывать,"Les souvenirs <b>affluent</b>.","Воспоминания <b>наплывают</b>.",💭
un correspondant,собеседник,"Un <b>correspondant</b> étranger.","Иностранный <b>собеседник</b>.",📧
un historien,летописец,"Un <b>historien</b> renommé.","Известный <b>историк</b>.",📜
déjouer,срывать,"<b>Déjouer</b> les plans.","<b>Сорвать</b> планы.",❌
relayer,передавать,"<b>Relayer</b> l'information.","<b>Передавать</b> информацию.",📡
écarlate,багровый,"Un visage <b>écarlate</b>.","<b>Багровое</b> лицо.",🔴
"minutieux, minutieuse",скрупулёзный,"Un travail <b>minutieux</b>.","<b>Скрупулёзная</b> работа.",🔬
compréhensible,доступный,"Un langage <b>compréhensible</b>.","<b>Доступный</b> язык.",💬
une divinité,бог,"Une <b>divinité</b> égyptienne.","Египетское <b>божество</b>.",🇪🇬
vétérinaire,ветеринарный,"Une clinique <b>vétérinaire</b>.","<b>Ветеринарная</b> клиника.",🏥
endommager,портить,"<b>Endommager</b> le matériel.","<b>Испортить</b> оборудование.",💔
un rôti,жаркой,"Un <b>rôti</b> au four.","<b>Жаркое</b> в духовке.",🍖
un désaccord,несогласие,"Exprimer son <b>désaccord</b>.","Выразить <b>несогласие</b>.",🙅
une arrogance,надменность,"Une certaine <b>arrogance</b>.","Некоторая <b>надменность</b>.",😏
une manchette,заголовок,"Les <b>manchettes</b> des journaux.","Газетные <b>заголовки</b>.",📰
happer,поглощать,"Le tourbillon l'a <b>happé</b>.","Водоворот его <b>поглотил</b>.",🌊
"adéquat, adéquate",соответствующий,"Des moyens <b>adéquats</b>.","<b>Соответствующие</b> средства.",✅
un sultan,государь,"Le palais du <b>sultan</b>.","Дворец <b>султана</b>.",🏰
une restauration,ресторанное дело,"Travailler dans la <b>restauration</b>.","Работать в <b>ресторанном деле</b>.",🍽️
un bibelot,статуэтка,"Un <b>bibelot</b> en porcelaine.","Фарфоровая <b>статуэтка</b>.",🏺
un hockey,хоккей,"Le <b>hockey</b> canadien.","Канадский <b>хоккей</b>.",🇨🇦
"bienveillant, bienveillante",доброжелательный,"Un sourire <b>bienveillant</b>.","<b>Доброжелательная</b> улыбка.",😊
une amabilité,учтивость,"Avoir l'<b>amabilité</b> de...","Иметь <b>любезность</b>...",🙏
"coûteux, coûteuse",затратный,"Une erreur <b>coûteuse</b>.","<b>Затратная</b> ошибка.",💸
"rusé, rusée",лукавый,"Un sourire <b>rusé</b>.","<b>Лукавая</b> улыбка.",😏
un e-mail,имейл,"Recevoir un <b>e-mail</b>.","Получить <b>имейл</b>.",📩
un jules,ухажёр,"Son nouveau <b>jules</b>.","Её новый <b>ухажёр</b>.",💕
dévier,сворачивать,"<b>Dévier</b> du sujet.","<b>Отклониться</b> от темы.",↩️
gratis,даром,"Donner <b>gratis</b>.","Отдать <b>даром</b>.",🎁
un brocanteur,антиквар,"Un <b>brocanteur</b> passionné.","Увлечённый <b>антиквар</b>.",🔍
un gland,орешек,"Cueillir des <b>glands</b>.","Собирать <b>жёлуди</b>.",🌳
jaunir,выцветать,"Le papier <b>jaunit</b>.","Бумага <b>выцветает</b>.",📜
mutuellement,обоюдно,"S'estimer <b>mutuellement</b>.","<b>Обоюдно</b> уважать.",👥
