French,Russian,ExampleFrench,ExampleRussian,Emoji
ding,дзинь,"<b>Ding</b> ! La cloche sonne.","<b>Дзинь</b>! Звонит колокол.",🔔
"indigné, indignée",возмущённый,"Un air <b>indigné</b>.","<b>Возмущённый</b> вид.",😤
un fossoyeur,могильщик,"Le <b>fossoyeur</b> du cimetière.","<b>Могильщик</b> на кладбище.",⚰️
un sauna,сауна,"Aller au <b>sauna</b>.","Ходить в <b>сауну</b>.",🧖
une privation,лишение,"Des <b>privations</b> de guerre.","Военные <b>лишения</b>.",😔
une tulipe,тюльпан,"Un bouquet de <b>tulipes</b>.","Букет <b>тюльпанов</b>.",🌷
un canari,канарейка,"Un <b>canari</b> jaune.","Жёлтая <b>канарейка</b>.",🐦
un chouchou,любимчик,"Le <b>chouchou</b> de la prof.","<b>Любимчик</b> учительницы.",⭐
un gui,омела,"Du <b>gui</b> de Noël.","Рождественская <b>омела</b>.",🎄
une crique,бухта,"Une petite <b>crique</b>.","Маленькая <b>бухта</b>.",🏖️
une fossoyeuse,могильщица,"La <b>fossoyeuse</b> creuse.","<b>Могильщица</b> копает.",⚰️
présentable,презентабельный,"Être <b>présentable</b>.","Быть <b>презентабельным</b>.",👔
valide,годный,"Un billet <b>valide</b>.","<b>Годный</b> билет.",✅
un empressement,рвение,"Avec <b>empressement</b>.","С <b>рвением</b>.",🏃
malmener,грубо обращаться,"<b>Malmener</b> quelqu'un.","<b>Грубо обращаться</b> с кем-то.",😤
nomade,кочевник,"Un peuple <b>nomade</b>.","<b>Кочевой</b> народ.",🏕️
un accélérateur,акселератор,"Appuyer sur l'<b>accélérateur</b>.","Нажать на <b>газ</b>.",🚗
une sape,подкоп,"La <b>sape</b> des fondations.","<b>Подкоп</b> под фундамент.",⛏️
contrebas,внизу,"En <b>contrebas</b> de la route.","<b>Ниже</b> дороги.",⬇️
un taulier,хозяин (арго),"Le <b>taulier</b> de l'hôtel.","<b>Хозяин</b> отеля.",🏨
une initiation,посвящение,"Un rite d'<b>initiation</b>.","Обряд <b>посвящения</b>.",🎓
rapatrier,репатриировать,"<b>Rapatrier</b> les réfugiés.","<b>Репатриировать</b> беженцев.",✈️
sanitaire,санитарный,"Des conditions <b>sanitaires</b>.","<b>Санитарные</b> условия.",🏥
"épanoui, épanouie",расцветший,"Un visage <b>épanoui</b>.","<b>Расцветшее</b> лицо.",😊
un orifice,отверстие,"L'<b>orifice</b> d'un tube.","<b>Отверстие</b> трубки.",⭕
un sous-lieutenant,младший лейтенант,"Un <b>sous-lieutenant</b> de l'armée.","<b>Младший лейтенант</b> армии.",🎖️
"défendu, défendue",запрещённый,"Un fruit <b>défendu</b>.","<b>Запретный</b> плод.",🍎
un électricien,электрик,"Appeler l'<b>électricien</b>.","Позвать <b>электрика</b>.",🔌
une célébration,празднование,"Une <b>célébration</b> nationale.","Национальное <b>празднование</b>.",🎉
une lamentation,причитание,"Des <b>lamentations</b> funèbres.","Траурные <b>причитания</b>.",😢
une sous-lieutenante,младший лейтенант (ж.),"La <b>sous-lieutenante</b> commande.","<b>Младший лейтенант</b> командует.",🎖️
une télécommande,пульт,"La <b>télécommande</b> de la télé.","<b>Пульт</b> телевизора.",📺
"paralysé, paralysée",парализованный,"Un homme <b>paralysé</b>.","<b>Парализованный</b> человек.",♿
un boyard,боярин,"Un <b>boyard</b> russe.","Русский <b>боярин</b>.",👑
une gondole,гондола,"Une <b>gondole</b> à Venise.","<b>Гондола</b> в Венеции.",🛶
parano,параноидальный,"Il est un peu <b>parano</b>.","Он немного <b>параноик</b>.",🧠
cellulaire,клеточный,"Le niveau <b>cellulaire</b>.","<b>Клеточный</b> уровень.",🔬
"fauché, fauchée",на мели,"Je suis <b>fauché</b>.","Я <b>на мели</b>.",💸
"radin, radine",скупой,"Il est <b>radin</b>.","Он <b>скупой</b>.",💰
un irlandais,ирландец,"Un <b>Irlandais</b> de Dublin.","<b>Ирландец</b> из Дублина.",🍀
une arrière-boutique,подсобка,"Dans l'<b>arrière-boutique</b>.","В <b>подсобке</b>.",🏪
une entaille,зарубка,"Une <b>entaille</b> dans le bois.","<b>Зарубка</b> на дереве.",🪓
un tracé,маршрут,"Le <b>tracé</b> de la route.","<b>Маршрут</b> дороги.",🗺️
une rengaine,припев,"Toujours la même <b>rengaine</b>.","Всё та же <b>песня</b>.",🎵
à l'instar,по примеру,"<b>À l'instar</b> de son père.","<b>По примеру</b> своего отца.",👨
"éloquent, éloquente",красноречивый,"Un orateur <b>éloquent</b>.","<b>Красноречивый</b> оратор.",🗣️
"intensif, intensive",интенсивный,"Un cours <b>intensif</b>.","<b>Интенсивный</b> курс.",📚
une résine,смола,"De la <b>résine</b> d'arbre.","Древесная <b>смола</b>.",🌲
réputer,считать,"<b>Réputer</b> quelqu'un coupable.","<b>Считать</b> кого-то виновным.",⚖️
brusquer,торопить,"Ne me <b>brusquez</b> pas !","Не <b>торопите</b> меня!",⏰
décerner,присуждать,"<b>Décerner</b> un prix.","<b>Присудить</b> премию.",🏆
un aumônier,капеллан,"L'<b>aumônier</b> de l'hôpital.","<b>Капеллан</b> больницы.",⛪
un organisateur,организатор,"L'<b>organisateur</b> de l'événement.","<b>Организатор</b> мероприятия.",📋
une géométrie,геометрия,"Étudier la <b>géométrie</b>.","Изучать <b>геометрию</b>.",📐
une anse,ручка (кувшина),"L'<b>anse</b> du panier.","<b>Ручка</b> корзины.",🧺
"progressif, progressive",прогрессивный,"Un impôt <b>progressif</b>.","<b>Прогрессивный</b> налог.",📈
un coéquipier,товарищ по команде,"Mon <b>coéquipier</b> au foot.","Мой <b>товарищ по команде</b>.",⚽
un semestre,семестр,"Le premier <b>semestre</b>.","Первый <b>семестр</b>.",📚
une conversion,обращение,"Une <b>conversion</b> religieuse.","Религиозное <b>обращение</b>.",🙏
patrouiller,патрулировать,"<b>Patrouiller</b> dans les rues.","<b>Патрулировать</b> улицы.",🚔
un résidu,остаток,"Un <b>résidu</b> chimique.","Химический <b>остаток</b>.",🧪
une rime,рифма,"Une <b>rime</b> pauvre.","Бедная <b>рифма</b>.",📝
"ballant, ballante",болтающийся,"Les bras <b>ballants</b>.","<b>Болтающиеся</b> руки.",🙋
"grandissant, grandissante",растущий,"Une inquiétude <b>grandissante</b>.","<b>Растущая</b> тревога.",📈
une convoitise,алчность,"Avec <b>convoitise</b>.","С <b>алчностью</b>.",👀
"venimeux, venimeuse",ядовитый,"Un serpent <b>venimeux</b>.","<b>Ядовитая</b> змея.",🐍
couillon,дурачок (груб.),"Quel <b>couillon</b> !","Какой <b>дурачок</b>!",🤦
un casse-croûte,перекус,"Prendre un <b>casse-croûte</b>.","Сделать <b>перекус</b>.",🥪
un vomi,рвота,"Nettoyer le <b>vomi</b>.","Убрать <b>рвоту</b>.",🤢
"vendu, vendue",продажный,"Un homme <b>vendu</b>.","<b>Продажный</b> человек.",💰
"prématuré, prématurée",преждевременный,"Une mort <b>prématurée</b>.","<b>Преждевременная</b> смерть.",⏳
une contenance,вместимость,"La <b>contenance</b> du verre.","<b>Вместимость</b> стакана.",🥃
une philo,философия (разг.),"Avoir cours de <b>philo</b>.","Иметь урок <b>философии</b>.",🤔
furtivement,украдкой,"Regarder <b>furtivement</b>.","Смотреть <b>украдкой</b>.",👀
"rompu, rompue",измождённый,"<b>Rompu</b> de fatigue.","<b>Измождённый</b> усталостью.",😫
"tombal, tombale",надгробный,"Une pierre <b>tombale</b>.","<b>Надгробная</b> плита.",⚰️
un corniaud,дворняга,"Un <b>corniaud</b> adorable.","Милая <b>дворняга</b>.",🐕
un désespéré,отчаявшийся,"Un acte de <b>désespéré</b>.","Поступок <b>отчаявшегося</b>.",😔
un grillon,сверчок,"Le chant du <b>grillon</b>.","Пение <b>сверчка</b>.",🦗
un émissaire,эмиссар,"Un <b>émissaire</b> du roi.","<b>Эмиссар</b> короля.",👤
une amnésie,амнезия,"Souffrir d'<b>amnésie</b>.","Страдать от <b>амнезии</b>.",🧠
