French,Russian,ExampleFrench,ExampleRussian,Emoji
une innocence,невинность,"Prouver son <b>innocence</b>.","Доказать свою <b>невиновность</b>.",😇
grogner,ворчать; рычать,"Le chien <b>grogne</b>.","Собака <b>рычит</b>.",🐕
attarder,задерживаться,"Ne t'<b>attarde</b> pas.","Не <b>задерживайся</b>.",⏰
un blouson,куртка,"Mets ton <b>blouson</b>.","Надень <b>куртку</b>.",🧥
un ruban,лента,"Un <b>ruban</b> rouge.","Красная <b>лента</b>.",🎀
un portail,ворота; портал,"Le <b>portail</b> s'ouvre.","<b>Ворота</b> открываются.",🚪
confortable,удобный,"Un fauteuil <b>confortable</b>.","<b>Удобное</b> кресло.",🛋️
un tireur,стрелок,"Un bon <b>tireur</b>.","Хороший <b>стрелок</b>.",🎯
un ruisseau,ручей,"Le <b>ruisseau</b> coule.","<b>Ручей</b> течёт.",🏞️
provenir,происходить,"D'où <b>provient</b> ce bruit ?","Откуда <b>исходит</b> этот шум?",🤔
orner,украшать,"<b>Orne</b> le sapin.","<b>Укрась</b> ёлку.",🎄
gronder,ругать; грохотать,"Papa me <b>gronde</b>.","Папа меня <b>ругает</b>.",😠
émerger,всплывать,"La vérité <b>émerge</b>.","Правда <b>всплывает</b>.",💡
paniquer,паниковать,"Ne <b>panique</b> pas !","Не <b>паникуй</b>!",😱
désespérer,отчаиваться,"Ne <b>désespère</b> pas.","Не <b>отчаивайся</b>.",😔
désagréable,неприятный,"Une odeur <b>désagréable</b>.","<b>Неприятный</b> запах.",😒
choquer,шокировать,"Ça m'a <b>choqué</b>.","Это меня <b>шокировало</b>.",😲
largement,широко; намного,"<b>Largement</b> suffisant.","<b>Более чем</b> достаточно.",✅
une banlieue,пригород,"La <b>banlieue</b> de Paris.","<b>Пригород</b> Парижа.",🏘️
"impatient, impatiente",нетерпеливый,"Je suis <b>impatient</b>.","Я <b>нетерпелив</b>.",⏳
un chariot,тележка,"Le <b>chariot</b> de courses.","Продуктовая <b>тележка</b>.",🛒
un défi,вызов,"C'est un <b>défi</b>.","Это <b>вызов</b>.",💪
une ressource,ресурс,"Les <b>ressources</b> naturelles.","Природные <b>ресурсы</b>.",🌲
volontaire,добровольный,"Un acte <b>volontaire</b>.","<b>Добровольный</b> поступок.",🙋
un index,указатель; индекс,"L'<b>index</b> du livre.","<b>Указатель</b> книги.",📖
convoquer,вызывать; созывать,"On m'a <b>convoqué</b>.","Меня <b>вызвали</b>.",📩
un département,департамент; отдел,"Le <b>département</b> des ventes.","<b>Отдел</b> продаж.",🏢
faucher,косить; красть (разг.),"On m'a <b>fauché</b> mon vélo.","У меня <b>украли</b> велосипед.",🚲
une tribu,племя,"Une <b>tribu</b> africaine.","Африканское <b>племя</b>.",🏕️
une guitare,гитара,"Jouer de la <b>guitare</b>.","Играть на <b>гитаре</b>.",🎸
