French,Russian,ExampleFrench,ExampleRussian,Emoji
un rapport,отношение; доклад,"Ça n'a aucun <b>rapport</b> avec le sujet.","Это не имеет <b>отношения</b> к теме.",📊
"clair, claire","ясный, -ая; светлый, -ая","C'est <b>clair</b> maintenant ?","Теперь <b>ясно</b>?",💡
un boulot,работа (разг.),"J'ai trouvé un bon <b>boulot</b> à Montréal.","Я нашёл хорошую <b>работу</b> в Монреале.",💼
avancer,продвигаться,"Le projet <b>avance</b> bien.","Проект <b>продвигается</b> хорошо.",⏩
un téléphone,телефон,"Mon <b>téléphone</b> ne fonctionne plus.","Мой <b>телефон</b> больше не работает.",📱
"certain, certaine","уверенный; некоторый","Je suis <b>certain</b> que c'est lui.","Я <b>уверен</b>, что это он.",✅
facile,лёгкий; простой,"C'est <b>facile</b> à faire.","Это <b>легко</b> сделать.",👍
enlever,снимать; убирать,"<b>Enlève</b> tes chaussures avant d'entrer.","<b>Сними</b> обувь перед входом.",👟
une épaule,плечо,"J'ai mal à l'<b>épaule</b> droite.","У меня болит правое <b>плечо</b>.",💪
sinon,иначе; а то,"Dépêche-toi, <b>sinon</b> on va être en retard.","Поторопись, <b>а то</b> опоздаем.",⚠️
une confiance,доверие,"J'ai <b>confiance</b> en toi.","Я тебе <b>доверяю</b>.",🤝
un vent,ветер,"Le <b>vent</b> souffle fort aujourd'hui.","Сегодня сильный <b>ветер</b>.",💨
adorer,обожать,"J'<b>adore</b> la cuisine québécoise.","Я <b>обожаю</b> квебекскую кухню.",❤️
casser,ломать,"J'ai <b>cassé</b> mon téléphone.","Я <b>сломал</b> телефон.",💔
une parole,слово; речь,"Tu as ma <b>parole</b>, je viendrai.","Даю <b>слово</b>, я приду.",💬
s'amuser,развлекаться,"On s'est bien <b>amusés</b> à la fête.","Мы хорошо <b>повеселились</b> на вечеринке.",🎉
un bébé,младенец,"Le <b>bébé</b> dort toute la nuit maintenant.","<b>Малыш</b> теперь спит всю ночь.",👶
un geste,жест,"Il a fait un <b>geste</b> de la main.","Он сделал <b>жест</b> рукой.",👋
pardon,извините; простите,"<b>Pardon</b>, je ne vous ai pas vu.","<b>Извините</b>, я вас не заметил.",🙏
un arbre,дерево,"Il y a de beaux <b>arbres</b> dans ce parc.","В этом парке красивые <b>деревья</b>.",🌳
un hôtel,гостиница,"J'ai réservé une chambre à l'<b>hôtel</b>.","Я забронировал номер в <b>отеле</b>.",🏨
un numéro,номер,"Donne-moi ton <b>numéro</b> de téléphone.","Дай мне свой <b>номер</b> телефона.",🔢
un mariage,свадьба; брак,"Leur <b>mariage</b> a eu lieu en été.","Их <b>свадьба</b> была летом.",💒
mentir,лгать,"Ne me <b>mens</b> pas !","Не <b>ври</b> мне!",🤥
une carte,"карта; карточка","J'ai besoin d'une <b>carte</b> de la ville.","Мне нужна <b>карта</b> города.",🗺️
intéresser,интересовать,"Ce sujet m'<b>intéresse</b> beaucoup.","Эта тема меня очень <b>интересует</b>.",🤔
une fête,праздник; вечеринка,"On organise une <b>fête</b> samedi soir.","Мы устраиваем <b>вечеринку</b> в субботу вечером.",🎊
un voyage,путешествие,"Mon <b>voyage</b> au Canada a changé ma vie.","Моё <b>путешествие</b> в Канаду изменило мою жизнь.",✈️
sale,грязный,"Tes mains sont <b>sales</b>, va les laver.","У тебя грязные руки, пойди вымой их.",🧹
une couleur,цвет,"Quelle <b>couleur</b> tu préfères ?","Какой <b>цвет</b> ты предпочитаешь?",🎨
tôt,рано,"Je me lève <b>tôt</b> chaque matin.","Я встаю <b>рано</b> каждое утро.",⏰
un capitaine,капитан,"Le <b>capitaine</b> dirige l'équipe.","<b>Капитан</b> руководит командой.",⚓
une paix,мир,"Je veux la <b>paix</b> dans le monde.","Я хочу <b>мира</b> во всём мире.",☮️
tromper,обманывать; ошибаться,"Je me suis <b>trompé</b> de chemin.","Я <b>ошибся</b> дорогой.",❌
réussir,удаваться; успевать,"J'ai <b>réussi</b> mon examen !","Я <b>сдал</b> экзамен!",🎉
sauter,прыгать,"Les enfants <b>sautent</b> sur le trampoline.","Дети <b>прыгают</b> на батуте.",🦘
une peau,кожа,"Elle a une <b>peau</b> très douce.","У неё очень мягкая <b>кожа</b>.",✋
une aide,помощь,"J'ai besoin de ton <b>aide</b>.","Мне нужна твоя <b>помощь</b>.",🤝
une dame,дама,"Cette <b>dame</b> cherche la sortie.","Эта <b>дама</b> ищет выход.",👩
une forme,"форма; здоровье","Je suis en pleine <b>forme</b> aujourd'hui.","Я сегодня в отличной <b>форме</b>.",💪
un oncle,дядя,"Mon <b>oncle</b> habite à Québec.","Мой <b>дядя</b> живёт в Квебеке.",👨
utiliser,использовать,"J'<b>utilise</b> cette application chaque jour.","Я <b>использую</b> это приложение каждый день.",📱
une espèce,вид; порода,"C'est une <b>espèce</b> d'oiseau rare.","Это редкий <b>вид</b> птицы.",🐦
"bas, basse","низкий, -ая; тихий, -ая","Parle plus <b>bas</b>, le bébé dort.","Говори <b>тише</b>, малыш спит.",⬇️
une fleur,цветок,"J'ai acheté des <b>fleurs</b> pour ma femme.","Я купил <b>цветы</b> для жены.",🌸
terminer,заканчивать,"J'ai <b>terminé</b> mon travail.","Я <b>закончил</b> работу.",🏁
"bleu, bleue",синий; голубой,"Le ciel est <b>bleu</b> aujourd'hui.","Небо сегодня <b>голубое</b>.",🔵
un début,начало,"Au <b>début</b>, c'était difficile.","<b>Сначала</b> было сложно.",▶️
rêver,мечтать; видеть сон,"Je <b>rêve</b> de voyager autour du monde.","Я <b>мечтаю</b> путешествовать по миру.",💭
une image,изображение; образ,"Cette <b>image</b> est très belle.","Это <b>изображение</b> очень красивое.",🖼️
drôle,смешной; странный,"Cette histoire est très <b>drôle</b>.","Эта история очень <b>смешная</b>.",😂
malade,больной,"Je suis <b>malade</b>, je reste à la maison.","Я <b>болею</b>, остаюсь дома.",🤒
salut,привет; пока,"<b>Salut</b>, comment ça va ?","<b>Привет</b>, как дела?",👋
un plan,план,"Quel est ton <b>plan</b> pour ce soir ?","Какой у тебя <b>план</b> на вечер?",📋
exactement,точно; именно,"C'est <b>exactement</b> ce que je voulais dire.","Это <b>именно</b> то, что я хотел сказать.",✅
traverser,пересекать,"<b>Traverse</b> la rue au feu vert.","<b>Переходи</b> улицу на зелёный.",🚶
une seconde,секунда,"Attends une <b>seconde</b>, j'arrive.","Подожди <b>секунду</b>, иду.",⏱️
grave,"серьёзный; тяжёлый","Ce n'est pas <b>grave</b>, ne t'inquiète pas.","Это не <b>страшно</b>, не волнуйся.",😐
habiter,жить; проживать,"J'<b>habite</b> à Montréal depuis un an.","Я <b>живу</b> в Монреале год.",🏠
une oreille,ухо,"J'ai mal à l'<b>oreille</b>.","У меня болит <b>ухо</b>.",👂
jurer,клясться; ругаться,"Je te <b>jure</b> que c'est vrai !","<b>Клянусь</b>, это правда!",🤞
plusieurs,несколько,"J'ai visité <b>plusieurs</b> villes au Québec.","Я посетил <b>несколько</b> городов в Квебеке.",🔢
un flic,полицейский (разг.),"Le <b>flic</b> m'a donné une amende.","<b>Полицейский</b> выписал мне штраф.",👮
une ombre,тень,"Je me repose à l'<b>ombre</b> de l'arbre.","Я отдыхаю в <b>тени</b> дерева.",🌑
une habitude,привычка,"J'ai l'<b>habitude</b> de me lever tôt.","У меня <b>привычка</b> вставать рано.",🔄
"prochain, prochaine","следующий, -ая","On se voit la semaine <b>prochaine</b>.","Увидимся на <b>следующей</b> неделе.",➡️
"haut, haute","высокий, -ая","C'est un bâtiment très <b>haut</b>.","Это очень <b>высокое</b> здание.",⬆️
danser,танцевать,"J'aime <b>danser</b> la salsa.","Я люблю <b>танцевать</b> сальсу.",💃
une armée,армия,"Il a servi dans l'<b>armée</b>.","Он служил в <b>армии</b>.",🎖️
calmer,успокаивать,"<b>Calme</b>-toi, tout va bien.","<b>Успокойся</b>, всё хорошо.",😌
une gueule,пасть; морда (разг.),"<b>Ta gueule !</b> — C'est vulgaire !","<b>Заткнись!</b> — Это грубо!",🐺
un prix,цена; приз,"Quel est le <b>prix</b> de ce livre ?","Какая <b>цена</b> этой книги?",💵
une ligne,линия; строка,"Lis la première <b>ligne</b>.","Прочитай первую <b>строку</b>.",📏
debout,стоя; на ногах,"Je suis resté <b>debout</b> toute la journée.","Я простоял весь день <b>на ногах</b>.",🧍
"différent, différente",разный; другой,"Chaque personne est <b>différente</b>.","Каждый человек <b>разный</b>.",🔀
