French,Russian,ExampleFrench,ExampleRussian,Emoji
un talon,каблук; пятка,"Mes <b>talons</b> me font mal.","<b>Каблуки</b> меня убивают.",👠
un volant,руль,"Il tient le <b>volant</b>.","Он держит <b>руль</b>.",🚗
un chou,капуста,"J'ai fait une soupe au <b>chou</b>.","Я приготовил суп с <b>капустой</b>.",🥬
une séance,сеанс; заседание,"La <b>séance</b> de cinéma.","Киносеанс.",🎬
une cérémonie,церемония,"La <b>cérémonie</b> de mariage.","Свадебная <b>церемония</b>.",💒
moderne,современный,"C'est un appartement <b>moderne</b>.","Это <b>современная</b> квартира.",🏙️
afin de,для того чтобы,"<b>Afin de</b> réussir, travaille dur.","<b>Чтобы</b> преуспеть, работай усердно.",🎯
"foutu, foutue",пропащий (разг.),"C'est <b>foutu</b> !","Всё <b>пропало</b>!",😤
un placard,шкаф,"Range tes affaires dans le <b>placard</b>.","Убери вещи в <b>шкаф</b>.",🚪
échouer,терпеть неудачу,"J'ai <b>échoué</b> à l'examen.","Я <b>провалил</b> экзамен.",❌
une poignée,ручка; горсть,"Une <b>poignée</b> de main.","<b>Рукопожатие</b>.",🤝
embêter,надоедать,"Tu m'<b>embêtes</b>.","Ты мне <b>надоедаешь</b>.",😤
électrique,электрический,"C'est une voiture <b>électrique</b>.","Это <b>электрический</b> автомобиль.",⚡
persuader,убеждать,"Je l'ai <b>persuadé</b> de rester.","Я его <b>убедил</b> остаться.",💬
absurde,абсурдный,"C'est <b>absurde</b> !","Это <b>абсурд</b>!",🤯
entretenir,поддерживать; содержать,"Il <b>entretient</b> sa voiture.","Он <b>следит</b> за своей машиной.",🔧
semblable,похожий,"Ils sont <b>semblables</b>.","Они <b>похожи</b>.",👯
autoriser,разрешать,"Tu es <b>autorisé</b> à entrer.","Тебе <b>разрешено</b> войти.",✅
un estomac,желудок,"J'ai mal à l'<b>estomac</b>.","У меня болит <b>живот</b>.",🤢
une ruine,руины,"Les <b>ruines</b> du château.","<b>Руины</b> замка.",🏚️
magique,волшебный,"C'est un moment <b>magique</b>.","Это <b>волшебный</b> момент.",✨
un métal,металл,"C'est fait en <b>métal</b>.","Это сделано из <b>металла</b>.",⚙️
un océan,океан,"L'<b>océan</b> Atlantique.","<b>Атлантический</b> океан.",🌊
exercer,упражнять; практиковать,"Il <b>exerce</b> le métier de médecin.","Он <b>практикует</b> как врач.",💼
vive,да здравствует,"<b>Vive</b> le Québec !","Да здравствует Квебек!",🎉
un défaut,недостаток,"Tout le monde a des <b>défauts</b>.","У всех есть <b>недостатки</b>.",⚠️
un sel,соль,"Passe-moi le <b>sel</b>.","Передай мне <b>соль</b>.",🧂
"marrant, marrante",забавный (разг.),"C'est <b>marrant</b> !","Это <b>забавно</b>!",😂
un tabac,табак,"Il fume du <b>tabac</b>.","Он курит <b>табак</b>.",🚬
une permission,разрешение; увольнительная,"J'ai demandé la <b>permission</b>.","Я попросил <b>разрешения</b>.",📝
raisonnable,разумный,"Sois <b>raisonnable</b>.","Будь <b>разумным</b>.",🧠
un sport,спорт,"Le hockey est mon <b>sport</b> préféré.","Хоккей — мой любимый <b>спорт</b>.",🏒
un plafond,потолок,"Le <b>plafond</b> est haut.","<b>Потолок</b> высокий.",🏠
une commande,заказ,"J'ai passé une <b>commande</b>.","Я сделал <b>заказ</b>.",📦
augmenter,увеличивать,"Les prix ont <b>augmenté</b>.","Цены <b>выросли</b>.",📈
entièrement,полностью,"C'est <b>entièrement</b> vrai.","Это <b>полностью</b> верно.",💯
percer,пробивать; прорываться,"Il a <b>percé</b> le mur.","Он <b>пробил</b> стену.",🔨
consacrer,посвящать,"Je <b>consacre</b> ma vie à l'art.","Я <b>посвящаю</b> жизнь искусству.",🎨
épargner,сберегать; щадить,"<b>Épargne</b>-moi les détails.","<b>Избавь</b> меня от подробностей.",💰
publier,публиковать,"Il a <b>publié</b> un livre.","Он <b>опубликовал</b> книгу.",📚
forcément,обязательно; неизбежно,"C'est <b>forcément</b> lui.","Это <b>наверняка</b> он.",✅
parer,украшать; парировать,"<b>Pare</b> le coup !","<b>Отрази</b> удар!",⚔️
user,изнашивать,"Mes chaussures sont <b>usées</b>.","Мои туфли <b>изношены</b>.",👟
un pilote,пилот,"Le <b>pilote</b> d'avion.","<b>Пилот</b> самолёта.",✈️
un canard,утка,"Le <b>canard</b> nage.","<b>Утка</b> плавает.",🦆
une paire,пара,"Une <b>paire</b> de chaussures.","<b>Пара</b> туфель.",👟
totalement,полностью; совершенно,"Je suis <b>totalement</b> d'accord.","Я <b>полностью</b> согласен.",💯
une cabine,кабина,"La <b>cabine</b> téléphonique.","Телефонная <b>будка</b>.",📞
une merveille,чудо,"C'est une <b>merveille</b> !","Это <b>чудо</b>!",✨
une veine,вена; везение,"Tu as de la <b>veine</b> !","Тебе <b>повезло</b>!",🍀
un rocher,скала,"Le <b>rocher</b> est énorme.","<b>Скала</b> огромная.",🪨
une poudre,порошок; пудра,"La <b>poudre</b> à laver.","Стиральный <b>порошок</b>.",🧴
une explosion,взрыв,"J'ai entendu une <b>explosion</b>.","Я услышал <b>взрыв</b>.",💥
un pré,луг,"Les vaches sont dans le <b>pré</b>.","Коровы на <b>лугу</b>.",🌾
"officiel, officielle",официальный,"C'est une annonce <b>officielle</b>.","Это <b>официальное</b> заявление.",📢
"familier, familière",знакомый; фамильярный,"Ce visage m'est <b>familier</b>.","Это лицо мне <b>знакомо</b>.",🤔
une tenue,одежда; поведение,"Quelle <b>tenue</b> mettre ?","Какую <b>одежду</b> надеть?",👗
une intelligence,интеллект; разведка,"C'est une preuve d'<b>intelligence</b>.","Это признак <b>ума</b>.",🧠
comparer,сравнивать,"On ne peut pas <b>comparer</b>.","Нельзя <b>сравнивать</b>.",⚖️
une tradition,традиция,"C'est une <b>tradition</b> québécoise.","Это квебекская <b>традиция</b>.",🎄
"divin, divine",божественный,"C'est <b>divin</b> !","Это <b>божественно</b>!",😇
