French,Russian,ExampleFrench,ExampleRussian,Emoji
un porto,портвейн,"Un verre de <b>porto</b>.","Бокал <b>портвейна</b>.",🍷
gesticuler,жестикулировать,"<b>Gesticuler</b> en parlant.","<b>Жестикулировать</b> при разговоре.",🙌
"manqué, manquée",неудавшийся,"Un coup <b>manqué</b>.","<b>Неудавшийся</b> удар.",❌
téter,сосать,"Le bébé <b>tète</b>.","Малыш <b>сосёт</b>.",👶
un séducteur,соблазнитель,"Un <b>séducteur</b> invétéré.","Закоренелый <b>соблазнитель</b>.",💘
une frustration,разочарование,"Une grande <b>frustration</b>.","Большое <b>разочарование</b>.",😤
répercuter,отражать,"<b>Répercuter</b> le son.","<b>Отражать</b> звук.",🔊
acclamer,приветствовать,"<b>Acclamer</b> le vainqueur.","<b>Приветствовать</b> победителя.",👏
un tournevis,отвёртка,"Un <b>tournevis</b> cruciforme.","Крестовая <b>отвёртка</b>.",🔧
une girafe,жираф,"Le cou de la <b>girafe</b>.","Шея <b>жирафа</b>.",🦒
concéder,признавать,"<b>Concéder</b> une erreur.","<b>Признать</b> ошибку.",✅
une bricole,безделица,"Une petite <b>bricole</b>.","Небольшая <b>безделица</b>.",📦
une brindille,веточка,"Une <b>brindille</b> sèche.","Сухая <b>веточка</b>.",🌿
un sommier,матрас,"Un <b>sommier</b> à ressorts.","Пружинный <b>матрас</b>.",🛏️
un électeur,избиратель,"Un <b>électeur</b> inscrit.","Зарегистрированный <b>избиратель</b>.",🗳️
une fessée,порка,"Recevoir une <b>fessée</b>.","Получить <b>порку</b>.",👋
internet,интернет,"Surfer sur <b>Internet</b>.","Сидеть в <b>интернете</b>.",💻
un nylon,нейлон,"Des bas en <b>nylon</b>.","Чулки из <b>нейлона</b>.",🧵
tondre,стричь,"<b>Tondre</b> le gazon.","<b>Стричь</b> газон.",🌿
"taillé, taillée",выточенный,"Un diamant <b>taillé</b>.","<b>Огранённый</b> бриллиант.",💎
un tome,том,"Le premier <b>tome</b>.","Первый <b>том</b>.",📚
"strident, stridente",пронзительный,"Un cri <b>strident</b>.","<b>Пронзительный</b> крик.",🔊
un rêveur,мечтатель,"Un <b>rêveur</b> incorrigible.","Неисправимый <b>мечтатель</b>.",💭
"indécent, indécente",непристойный,"Une tenue <b>indécente</b>.","<b>Непристойный</b> наряд.",😳
un phoque,тюлень,"Un <b>phoque</b> sur la glace.","<b>Тюлень</b> на льду.",🦭
"crucial, cruciale",решающий,"Un moment <b>crucial</b>.","<b>Решающий</b> момент.",⚡
"dément, démente",безумный,"Un projet <b>dément</b>.","<b>Безумный</b> проект.",🤪
un absolu,абсолют,"L'<b>absolu</b> moral.","Моральный <b>абсолют</b>.",⚖️
un atome,атом,"Un <b>atome</b> d'hydrogène.","<b>Атом</b> водорода.",⚛️
une escadre,эскадра,"Une <b>escadre</b> navale.","Морская <b>эскадра</b>.",🚢
une friche,пустырь,"Une <b>friche</b> industrielle.","Промышленный <b>пустырь</b>.",🏚️
une orchidée,орхидея,"Une belle <b>orchidée</b>.","Красивая <b>орхидея</b>.",🌸
"convenu, convenue",условленный,"À l'heure <b>convenue</b>.","В <b>условленный</b> час.",⏰
déporter,депортировать,"<b>Déporter</b> des prisonniers.","<b>Депортировать</b> заключённых.",😔
un carillon,колокольня,"Le <b>carillon</b> de l'église.","Церковный <b>колокол</b>.",🔔
un journalisme,журналистика,"Étudier le <b>journalisme</b>.","Изучать <b>журналистику</b>.",📰
un mas,ферма,"Un <b>mas</b> provençal.","Провансальская <b>ферма</b>.",🏡
une sanction,санкция,"Une <b>sanction</b> économique.","Экономическая <b>санкция</b>.",⚖️
"vénitien, vénitienne",венецианский,"Un masque <b>vénitien</b>.","<b>Венецианская</b> маска.",🎭
une adaptation,адаптация,"Une <b>adaptation</b> cinématographique.","Экранная <b>адаптация</b>.",🎬
une désolation,отчаяние,"Une scène de <b>désolation</b>.","Картина <b>отчаяния</b>.",😔
"branché, branchée",модный,"Un café <b>branché</b>.","<b>Модное</b> кафе.",☕
un turban,тюрбан,"Porter un <b>turban</b>.","Носить <b>тюрбан</b>.",👳
une atrocité,зверство,"Commettre des <b>atrocités</b>.","Совершать <b>зверства</b>.",😱
une bactérie,бактерия,"Une <b>bactérie</b> dangereuse.","Опасная <b>бактерия</b>.",🦠
une diplomatie,дипломатия,"La <b>diplomatie</b> internationale.","Международная <b>дипломатия</b>.",🤝
un fouillis,беспорядок,"Un <b>fouillis</b> indescriptible.","Неописуемый <b>беспорядок</b>.",🗃️
un tapage,шум,"Faire du <b>tapage</b>.","Поднимать <b>шум</b>.",📢
une citerne,цистерна,"Une <b>citerne</b> d'eau.","<b>Цистерна</b> с водой.",🚰
"exagéré, exagérée",преувеличенный,"Un prix <b>exagéré</b>.","<b>Завышенная</b> цена.",💰
une nomination,назначение,"Une <b>nomination</b> officielle.","Официальное <b>назначение</b>.",📋
une devanture,витрина,"La <b>devanture</b> du magasin.","<b>Витрина</b> магазина.",🏪
un parloir,приёмная,"Le <b>parloir</b> de la prison.","Тюремная <b>приёмная</b>.",🏛️
une poigne,хватка,"Avoir de la <b>poigne</b>.","Иметь <b>хватку</b>.",💪
biblique,библейский,"Un récit <b>biblique</b>.","<b>Библейский</b> рассказ.",📖
un mutisme,молчание,"Garder le <b>mutisme</b>.","Хранить <b>молчание</b>.",🤐
ici-bas,здесь на земле,"La vie <b>ici-bas</b>.","Жизнь <b>здесь на земле</b>.",🌍
perler,выступать каплями,"La sueur <b>perle</b>.","Пот <b>выступает</b>.",💧
un plant,саженец,"Un <b>plant</b> de tomates.","<b>Саженец</b> помидоров.",🍅
une noisette,фундук,"Une <b>noisette</b> grillée.","Жареный <b>фундук</b>.",🌰
superposer,накладывать,"<b>Superposer</b> les couches.","<b>Накладывать</b> слои.",📚
une autruche,страус,"La tête d'<b>autruche</b>.","Голова <b>страуса</b>.",🦅
un engrais,удобрение,"Un <b>engrais</b> naturel.","Натуральное <b>удобрение</b>.",🌱
une solennité,торжественность,"Avec <b>solennité</b>.","С <b>торжественностью</b>.",🎭
"voilé, voilée",скрытый,"Une menace <b>voilée</b>.","<b>Скрытая</b> угроза.",🔮
une taxe,налог,"Une <b>taxe</b> sur le luxe.","<b>Налог</b> на роскошь.",💰
"cocu, cocue",рогоносный,"Un mari <b>cocu</b>.","Муж-<b>рогоносец</b>.",🦌
"acquis, acquise",приобретённый,"Un droit <b>acquis</b>.","<b>Приобретённое</b> право.",✅
mutiler,калечить,"<b>Mutiler</b> un corps.","<b>Изувечить</b> тело.",😱
un réchaud,плита,"Un <b>réchaud</b> à gaz.","Газовая <b>плитка</b>.",🔥
une toiture,крыша,"Une <b>toiture</b> en tuiles.","<b>Крыша</b> из черепицы.",🏠
élaborer,разрабатывать,"<b>Élaborer</b> un plan.","<b>Разработать</b> план.",📋
extasier,восхищаться,"S'<b>extasier</b> devant un tableau.","<b>Восхищаться</b> картиной.",😍
un coteau,холм,"Les <b>coteaux</b> de vignes.","Виноградные <b>холмы</b>.",🍇
réglementaire,уставной,"Une tenue <b>réglementaire</b>.","<b>Уставная</b> форма.",📋
une anesthésie,анестезия,"Sous <b>anesthésie</b> générale.","Под общей <b>анестезией</b>.",🏥
primo,во-первых,"<b>Primo</b>, écoutez-moi.","<b>Во-первых</b>, послушайте.",1️⃣
référer,ссылаться,"Se <b>référer</b> à un document.","<b>Ссылаться</b> на документ.",📄
un concitoyen,сограждане,"Mes chers <b>concitoyens</b>.","Мои дорогие <b>сограждане</b>.",👥
une brochure,брошюра,"Une <b>brochure</b> touristique.","Туристическая <b>брошюра</b>.",📄
un sous-bois,подлесок,"Se promener dans le <b>sous-bois</b>.","Гулять по <b>подлеску</b>.",🌲
une caractéristique,характеристика,"Les <b>caractéristiques</b> techniques.","Технические <b>характеристики</b>.",📊
une rivalité,соперничество,"Une <b>rivalité</b> ancestrale.","Вековое <b>соперничество</b>.",⚔️
une vulgarité,вульгарность,"Quelle <b>vulgarité</b> !","Какая <b>вульгарность</b>!",😤
