French,Russian,ExampleFrench,ExampleRussian,Emoji
un plein,полный бак; разгар,"Faire le <b>plein</b> d'essence.","<b>Заправить</b> полный бак.",⛽
une barbière,женщина-цирюльник,"La <b>barbière</b> de Séville.","<b>Цирюльник</b> из Севильи (ж.р.).",💇‍♀️
un boy,бой; слуга,"Le <b>boy</b> apporte le thé.","<b>Слуга</b> приносит чай.",🧑‍🍳
zut,чёрт! блин!,"<b>Zut</b>, j'ai oublié mes clés !","<b>Чёрт</b>, я забыл ключи!",😤
une poêle,сковородка,"La <b>poêle</b> est chaude.","<b>Сковородка</b> горячая.",🍳
auxquelles,которым (ж.р.),"Les femmes <b>auxquelles</b> je pense.","Женщины, <b>о которых</b> я думаю.",❓
ceux-ci,эти (вот эти м.р.),"<b>Ceux-ci</b> sont meilleurs.","<b>Эти</b> лучше.",👆
une tripe,потроха; кишка,"Les <b>tripes</b> à la mode de Caen.","<b>Рубец</b> по-канскиt.",🥩
ciao,чао; пока,"<b>Ciao</b>, à demain !","<b>Чао</b>, до завтра!",👋
une saute,скачок; перепад,"Une <b>saute</b> d'humeur.","<b>Перепад</b> настроения.",😤
un parler,говор; речь,"Le <b>parler</b> québécois.","Квебекский <b>говор</b>.",🗣️
un ras,уровень; вровень,"Au <b>ras</b> du sol.","<b>Вровень</b> с землёй.",📏
une casse,слом; разбитое,"Il y a de la <b>casse</b>.","Есть <b>поломки</b>.",💔
anniversaire,юбилейный,"Une édition <b>anniversaire</b>.","<b>Юбилейное</b> издание.",🎂
les moeurs,нравы; обычаи,"Les <b>moeurs</b> changent.","<b>Нравы</b> меняются.",📜
go,старт; поехали,"C'est <b>go</b> !","<b>Поехали</b>!",🚦
un locataire,жилец; арендатор,"Le <b>locataire</b> paie le loyer.","<b>Жилец</b> платит аренду.",🏠
halte,стой! привал!,"<b>Halte</b>-là !","<b>Стой</b>!",🛑
un pars,отъезд (устар.),"Au moment du <b>pars</b>.","В момент <b>отъезда</b>.",🚶
net,чисто; резко,"Couper <b>net</b>.","<b>Резко</b> оборвать.",✂️
dix-sept,семнадцать,"Il a <b>dix-sept</b> ans.","Ему <b>семнадцать</b> лет.",1️⃣7️⃣
une vainqueure,победительница,"La <b>vainqueure</b> du tournoi.","<b>Победительница</b> турнира.",🏆
un are,ар (100 м²),"Un terrain de cent <b>ares</b>.","Участок в сто <b>аров</b>.",📐
un intéressant,интересное,"L'<b>intéressant</b> de l'affaire.","<b>Интересное</b> в этом деле.",🤔
unes,одни (неопр. ж.р.),"Les <b>unes</b> et les autres.","<b>Одни</b> и другие.",👩‍👩‍👧
une claque,пощёчина,"Recevoir une <b>claque</b>.","Получить <b>пощёчину</b>.",👋
un coca,кока-кола,"Je voudrais un <b>coca</b>.","Я хочу <b>колу</b>.",🥤
une blanche,белая (нота/шар),"Une <b>blanche</b> au billard.","<b>Белый шар</b> в бильярде.",🎱
une traînée,шлейф; шлюха (груб.),"Une <b>traînée</b> de lumière.","<b>Шлейф</b> света.",✨
"instant, instante",настоятельный,"Une demande <b>instante</b>.","<b>Настоятельная</b> просьба.",⚡
un ridicule,смехотворность,"Le <b>ridicule</b> ne tue pas.","<b>Смешное</b> не убивает.",😂
"donné, donnée",данный; заданный,"À un moment <b>donné</b>.","В <b>данный</b> момент.",📌
"payé, payée",оплаченный,"C'est <b>payé</b>.","<b>Оплачено</b>.",💵
une trompette,труба,"Jouer de la <b>trompette</b>.","Играть на <b>трубе</b>.",🎺
une lady,леди,"Une vraie <b>lady</b>.","Настоящая <b>леди</b>.",👸
une bosse,шишка; горб,"J'ai une <b>bosse</b> sur la tête.","У меня <b>шишка</b> на голове.",🤕
un merveilleux,чудесное,"Le <b>merveilleux</b> dans les contes.","<b>Чудесное</b> в сказках.",✨
marin,морской,"Un paysage <b>marin</b>.","<b>Морской</b> пейзаж.",🌊
un bienvenu,желанный гость,"Soyez le <b>bienvenu</b> !","<b>Добро пожаловать</b>!",🙏
"enfoiré, enfoirée",мудацкий (груб.),"Quel geste <b>enfoiré</b> !","Какой <b>мудацкий</b> поступок!",🤬
un disciple,ученик; последователь,"Le <b>disciple</b> suit le maître.","<b>Ученик</b> следует за учителем.",📚
une longue,долгая (нота/гласная),"Une <b>longue</b> en phonétique.","<b>Долгий звук</b> в фонетике.",🔊
une clope,сигарета (разг.),"T'as une <b>clope</b> ?","Есть <b>сигаретка</b>?",🚬
