French,Russian,ExampleFrench,ExampleRussian,Emoji
un rapprochement,сближение,"Un <b>rapprochement</b> diplomatique.","Дипломатическое <b>сближение</b>.",🤝
une révision,пересмотр,"Une <b>révision</b> du contrat.","<b>Пересмотр</b> контракта.",📋
affluer,стекаться,"Les touristes <b>affluent</b>.","Туристы <b>стекаются</b>.",👥
un correspondant,корреспондент,"Un <b>correspondant</b> de guerre.","Военный <b>корреспондент</b>.",📰
un historien,историк,"Un <b>historien</b> célèbre.","Знаменитый <b>историк</b>.",📖
déjouer,расстраивать,"<b>Déjouer</b> un complot.","<b>Расстроить</b> заговор.",🎭
relayer,сменять,"Se <b>relayer</b> au volant.","<b>Сменяться</b> за рулём.",🚗
écarlate,алый,"Devenir <b>écarlate</b>.","Покраснеть <b>как рак</b>.",🔴
"minutieux, minutieuse",тщательный,"Un examen <b>minutieux</b>.","<b>Тщательный</b> осмотр.",🔍
compréhensible,понятный,"Une explication <b>compréhensible</b>.","<b>Понятное</b> объяснение.",✅
une divinité,божество,"Une <b>divinité</b> grecque.","Греческое <b>божество</b>.",⚡
vétérinaire,ветеринар,"Le <b>vétérinaire</b> soigne les animaux.","<b>Ветеринар</b> лечит животных.",🐕
endommager,повреждать,"<b>Endommager</b> la voiture.","<b>Повредить</b> машину.",🚗
un rôti,жаркое,"Un <b>rôti</b> de bœuf.","<b>Жаркое</b> из говядины.",🥩
une mathématique,математика,"Les <b>mathématiques</b> appliquées.","Прикладная <b>математика</b>.",📐
un désaccord,разногласие,"Un profond <b>désaccord</b>.","Глубокое <b>разногласие</b>.",❌
une arrogance,высокомерие,"Avec <b>arrogance</b>.","С <b>высокомерием</b>.",😤
une manchette,манжета,"Les <b>manchettes</b> de la chemise.","<b>Манжеты</b> рубашки.",👔
happer,хватать,"<b>Happer</b> une proie.","<b>Схватить</b> добычу.",🐍
"adéquat, adéquate",адекватный,"Une réponse <b>adéquate</b>.","<b>Адекватный</b> ответ.",✅
un sultan,султан,"Le <b>sultan</b> d'Oman.","<b>Султан</b> Омана.",👑
une restauration,реставрация,"La <b>restauration</b> du tableau.","<b>Реставрация</b> картины.",🖼️
un bibelot,безделушка,"Un <b>bibelot</b> décoratif.","Декоративная <b>безделушка</b>.",🏺
un hockey,хоккей,"Jouer au <b>hockey</b> sur glace.","Играть в <b>хоккей</b> на льду.",🏒
"bienveillant, bienveillante",благожелательный,"Un regard <b>bienveillant</b>.","<b>Благожелательный</b> взгляд.",😊
une amabilité,любезность,"Avec <b>amabilité</b>.","С <b>любезностью</b>.",🤗
"coûteux, coûteuse",дорогостоящий,"Un projet <b>coûteux</b>.","<b>Дорогостоящий</b> проект.",💰
"rusé, rusée",хитрый,"Un renard <b>rusé</b>.","<b>Хитрый</b> лис.",🦊
un e-mail,электронное письмо,"Envoyer un <b>e-mail</b>.","Отправить <b>электронное письмо</b>.",📧
un jules,парень,"Mon <b>jules</b> m'attend.","Мой <b>парень</b> меня ждёт.",💑
dévier,отклоняться,"<b>Dévier</b> de la route.","<b>Отклониться</b> от маршрута.",↪️
gratis,бесплатно,"C'est <b>gratis</b>.","Это <b>бесплатно</b>.",🆓
un brocanteur,старьёвщик,"Un <b>brocanteur</b> du marché.","Рыночный <b>старьёвщик</b>.",🏺
un gland,жёлудь,"Un <b>gland</b> de chêne.","Дубовый <b>жёлудь</b>.",🌰
jaunir,желтеть,"Les feuilles <b>jaunissent</b>.","Листья <b>желтеют</b>.",🍂
mutuellement,взаимно,"S'aider <b>mutuellement</b>.","Помогать <b>взаимно</b>.",🤝
un encouragement,поощрение,"Un mot d'<b>encouragement</b>.","Слово <b>поощрения</b>.",💪
une vivacité,живость,"La <b>vivacité</b> de l'esprit.","<b>Живость</b> ума.",⚡
une abbaye,аббатство,"Une <b>abbaye</b> médiévale.","Средневековое <b>аббатство</b>.",⛪
un lord,лорд,"Un <b>lord</b> anglais.","Английский <b>лорд</b>.",🎩
"trapu, trapue",коренастый,"Un homme <b>trapu</b>.","<b>Коренастый</b> мужчина.",💪
ouste,вон,"<b>Ouste</b> ! Sortez !","<b>Вон</b>! Выходите!",🚪
à tâtons,ощупью,"Avancer <b>à tâtons</b>.","Продвигаться <b>ощупью</b>.",👆
klaxonner,сигналить,"<b>Klaxonner</b> à un piéton.","<b>Сигналить</b> пешеходу.",📯
une sélection,отбор,"Une <b>sélection</b> rigoureuse.","Строгий <b>отбор</b>.",✅
un fascisme,фашизм,"La montée du <b>fascisme</b>.","Рост <b>фашизма</b>.",⚠️
un républicain,республиканец,"Un <b>républicain</b> convaincu.","Убеждённый <b>республиканец</b>.",🏛️
un déclic,щелчок,"Entendre un <b>déclic</b>.","Услышать <b>щелчок</b>.",🔊
une affectation,назначение,"Une <b>affectation</b> à l'étranger.","<b>Назначение</b> за границу.",📋
chiner,рыться на барахолке,"<b>Chiner</b> aux puces.","<b>Рыться</b> на блошином рынке.",🔍
